src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,82,226053762667711,40772499501,2024-09-04 12-22-22,110.176.61.19,-3844994,ims,116.236.24.62,2754390,-391742833,-26555,38
huawei,123,226057032637781,40728203198,2024-09-04 12-24-48,135.87.147.144,1408575356,internet,243.100.13.84,-464206359,344901368,-30663,-104
huawei,-12,226057046299870,40790300707,2024-09-04 12-24-01,147.119.9.6,-1568457601,internet,156.219.243.217,-1841091901,-130987166,189,66
huawei,-93,226052078417612,40749194553,2024-09-04 12-20-35,55.219.25.84,-1800107342,ims,116.156.218.8,-174529093,1981573904,30681,-92
huawei,-22,226057144770034,40701540380,2024-09-04 12-21-02,13.128.2.120,1233404741,ims,222.61.179.13,-341595635,-1913143546,7312,-83
huawei,74,226056671206326,40716556329,2024-09-04 12-21-06,118.177.130.239,1176831272,ims,129.98.171.251,-1543477519,1021780424,28844,-63
huawei,-104,226058297514994,40711930960,2024-09-04 12-20-33,26.132.197.82,-48151278,ims,210.172.187.90,886143737,123533897,-22283,-32
huawei,-97,226055676403260,40734886646,2024-09-04 12-24-04,214.3.220.96,-1400589892,internet,116.186.227.152,-2097949241,2096367578,-12638,56
huawei,34,226059780404068,40712393638,2024-09-04 12-24-57,171.116.43.52,1070629064,ims,98.66.129.32,-757471596,56421295,-14271,-25
huawei,49,226058524384893,40711404900,2024-09-04 12-21-43,139.232.43.147,-393938645,ims,167.71.41.63,527009650,-381767941,11226,72
huawei,58,226052258256145,40762703625,2024-09-04 12-23-27,34.23.62.14,-658562780,internet,51.132.13.150,2060743944,1931302974,-8647,-50
huawei,6,226052650716481,40727270716,2024-09-04 12-21-44,112.121.162.8,1044615043,internet,21.160.165.45,503757989,1528085271,-29095,-4
huawei,4,226058042510964,40712735163,2024-09-04 12-22-25,118.96.78.71,-976722482,ims,111.224.86.23,-1425774079,850676040,5863,108
huawei,114,226057005288969,40730479768,2024-09-04 12-22-54,202.219.152.63,-1008392475,internet,46.100.255.176,-1121059296,930693123,-17107,-45
huawei,8,226056688989600,40750190972,2024-09-04 12-23-20,148.60.66.150,833383842,internet,149.78.144.6,-1782485587,-997936333,32386,-111
huawei,-78,226052833442716,40774177649,2024-09-04 12-20-30,161.250.66.48,-1988148213,ims,36.45.193.61,290066630,-1034397162,-15850,-41
huawei,-45,226059926660296,40703884056,2024-09-04 12-22-05,177.11.39.96,449620940,internet,215.198.108.230,1467259952,-22223035,-1951,-114
huawei,42,226055758313004,40768816364,2024-09-04 12-23-01,121.141.136.110,-1218042249,ims,225.100.230.149,-745434582,-1449645791,-23559,40
huawei,-97,226056677218385,40780377490,2024-09-04 12-21-48,245.69.64.27,98532798,ims,4.200.108.30,-1190756066,-1608413068,7914,-24
huawei,-71,226054440499608,40719216341,2024-09-04 12-23-53,90.197.108.35,847152373,ims,141.253.112.104,62365128,577763951,8987,-84
huawei,9,226050889493751,40738967324,2024-09-04 12-23-36,144.238.252.158,-1249744119,internet,25.240.217.180,775156584,-1638507196,9273,-79
huawei,-103,226058260366180,40739897166,2024-09-04 12-23-42,181.135.251.213,1512141292,ims,126.176.29.13,-1966122935,-1218433778,3434,58
huawei,-75,226054035423839,40701211575,2024-09-04 12-20-51,245.141.74.181,-516718598,internet,10.216.232.88,-1580117913,754955064,24827,-96
huawei,-125,226056514038462,40765137812,2024-09-04 12-24-08,183.131.144.2,-1835315553,internet,212.21.166.184,-402353310,211330509,2570,-38
huawei,31,226055892841793,40704226037,2024-09-04 12-23-47,159.238.156.50,429268975,ims,77.86.114.223,322336475,2099709337,-2662,-70
huawei,108,226056894617724,40759313267,2024-09-04 12-22-27,107.58.34.73,1843791258,ims,229.135.67.144,1114021645,1623409975,3883,43
huawei,51,226052748651852,40718719090,2024-09-04 12-24-21,18.164.193.37,-1946240198,internet,176.157.131.91,-1096527923,458678991,-31667,-116
huawei,32,226051529262724,40798340794,2024-09-04 12-20-47,33.72.109.137,1156764917,internet,38.177.252.212,1773590830,-671009481,8245,80
huawei,12,226052559672886,40731538300,2024-09-04 12-24-51,166.12.66.91,1347387518,ims,77.98.208.32,-516258166,-283417482,10825,71
huawei,34,226052845315954,40771575887,2024-09-04 12-24-30,255.231.128.147,109519181,internet,226.127.154.144,109846311,-704577649,-25883,-13
huawei,54,226058087039650,40783353761,2024-09-04 12-24-24,254.82.243.156,-649432011,ims,129.194.244.249,2145832572,-1113303920,25922,4
huawei,-37,226054117264598,40787396539,2024-09-04 12-24-22,152.66.82.25,-1008466626,ims,137.129.86.63,-2045306233,-708382611,23290,77
huawei,98,226057168278048,40775958066,2024-09-04 12-24-17,81.14.85.165,-73578094,internet,9.22.153.81,1068366571,357605312,31960,64
huawei,51,226050249214581,40754322636,2024-09-04 12-21-10,15.42.125.225,-1725912933,ims,240.138.133.243,332255463,1558969321,24953,-117
huawei,-17,226053515054769,40749563681,2024-09-04 12-21-11,244.84.4.149,-327335913,internet,243.186.53.226,574905371,-953628639,7967,123
huawei,96,226057686708411,40740059916,2024-09-04 12-24-40,98.205.177.51,-1976298810,internet,215.170.142.57,-1098184441,2007957862,-10660,-117
huawei,-69,226053259357123,40762267570,2024-09-04 12-22-52,14.176.101.112,1139331781,internet,40.124.35.204,1711408865,-804766516,-2862,-82
huawei,-1,226056581005789,40707565619,2024-09-04 12-25-00,134.185.39.116,277538823,ims,16.198.30.195,1843522354,409043109,16267,121
huawei,-28,226059488614996,40772910451,2024-09-04 12-23-16,117.29.225.206,-1079736573,internet,196.37.163.195,-1314714189,-279536315,14830,-84
huawei,-98,226052999187825,40793722924,2024-09-04 12-20-37,84.222.158.184,-1120464985,internet,21.213.201.71,872465748,2085315697,10107,52
huawei,121,226052900698601,40789083724,2024-09-04 12-23-27,176.149.49.110,1314907044,internet,156.107.132.193,1313218816,-1400390847,-1924,86
huawei,92,226054245956943,40784944069,2024-09-04 12-21-07,10.59.118.23,1308015697,ims,165.203.174.150,-1863172467,1585209752,-5693,-70
huawei,10,226050250027286,40788030413,2024-09-04 12-23-21,152.210.195.89,1773267816,ims,40.197.86.81,-400551196,-1613328359,-32327,72
huawei,13,226053812010174,40722031201,2024-09-04 12-23-03,54.173.109.61,2104537621,ims,221.162.110.2,1746967053,231690094,-2591,37
huawei,-111,226055556132158,40741338836,2024-09-04 12-20-46,142.58.87.244,-847259728,ims,27.190.104.79,-599106424,-1207046089,31701,85
huawei,75,226051864037749,40767264855,2024-09-04 12-23-29,230.69.126.38,-939051780,ims,153.10.95.46,-1097640406,-546804780,-30513,83
huawei,-128,226057844966933,40738472939,2024-09-04 12-22-10,13.100.224.89,-1570952182,ims,224.226.216.35,124580476,-2005885540,-17586,112
huawei,71,226052637077144,40778304942,2024-09-04 12-22-07,88.251.166.154,-1326103890,internet,211.222.112.155,223748843,1039423038,24865,30
huawei,-87,226052544193879,40751774239,2024-09-04 12-24-42,93.81.171.156,1569544767,ims,81.52.9.100,-29385612,247265967,-11410,-84
huawei,2,226055302231997,40737320257,2024-09-04 12-22-38,2.241.207.117,-188704379,internet,228.170.221.79,-1402134956,-1045421616,22033,121
huawei,122,226050193280721,40729139570,2024-09-04 12-20-10,148.207.7.179,-297754014,ims,132.201.58.223,-371388392,-759971618,30537,59
