src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-86,226059556755779,40712750767,2024-09-04 12-59-44,200.154.55.13,-88903793,ims,54.46.24.25,-255179473,-1249348239,-24490,-61
huawei,-40,226057516625948,40783625658,2024-09-04 12-59-51,176.13.201.12,-589412790,internet,126.167.44.193,-1417131755,2122039124,-9349,-79
huawei,-56,226051188274273,40793369508,2024-09-04 12-57-08,2.12.191.248,-1093959516,ims,29.55.39.190,1706078874,188939800,-19986,30
huawei,-45,226050617122719,40706130876,2024-09-04 12-57-42,89.95.160.76,-2070946986,ims,245.177.28.0,-946094957,-1733524350,8219,-57
huawei,-100,226057422618207,40729537840,2024-09-04 12-56-36,148.139.113.149,679409843,ims,129.37.107.111,963537904,1313660700,-9320,110
huawei,-64,226059179677094,40737568897,2024-09-04 12-58-57,227.234.121.40,1180527888,ims,250.220.157.71,-28169188,2091553564,22859,63
huawei,-81,226059971718122,40750173539,2024-09-04 12-55-28,179.86.94.43,-1594021141,ims,212.132.208.35,-1999706787,-1646199430,-13131,-61
huawei,-42,226054159615950,40793284468,2024-09-04 12-58-19,8.33.254.124,-399342707,internet,244.44.254.10,-791377594,551099940,22600,-42
huawei,-1,226050206021529,40753685977,2024-09-04 12-59-37,89.236.184.92,-586914442,internet,16.50.164.134,1263342673,1149787863,10368,-88
huawei,-117,226055323352527,40746780317,2024-09-04 12-56-42,50.115.131.32,-471119710,ims,204.16.237.88,1614367542,-156140204,15365,-9
huawei,21,226057467866796,40728830995,2024-09-04 12-58-57,112.107.228.57,-676111967,internet,150.91.131.176,-501647296,-210667476,-1514,51
huawei,-107,226058780580918,40737372433,2024-09-04 12-59-05,83.144.22.79,1837713489,internet,26.135.23.249,-518522831,-2038531676,-31129,-21
huawei,112,226059998142859,40799964235,2024-09-04 12-59-11,67.65.16.161,-89981901,internet,180.135.140.23,1833872641,1661677333,-11708,-25
huawei,61,226054720436253,40749905657,2024-09-04 12-55-12,244.56.193.29,327650632,ims,56.152.217.119,-952136121,-570717066,1256,101
huawei,-49,226052539843874,40715482864,2024-09-04 12-58-52,63.170.132.77,-518635462,internet,157.164.88.209,1742980871,-949767757,1922,124
huawei,-6,226059567401975,40734137923,2024-09-04 12-57-39,139.30.166.161,1161948771,internet,233.65.98.72,-1140541232,1232358427,15401,58
huawei,62,226051722387493,40734743380,2024-09-04 12-57-03,152.21.129.18,-1407954099,ims,168.62.59.88,968969719,-916886422,668,-32
huawei,-31,226058286698543,40744362056,2024-09-04 12-55-48,56.37.225.127,-293265278,internet,255.230.21.182,713933571,557439521,-17126,62
huawei,8,226056972409950,40783050844,2024-09-04 12-55-37,221.9.98.111,741038267,internet,148.247.65.34,-576957257,488802047,17665,-122
