src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,124,226053028382919,40708349636,2024-09-04 13-12-54,12.247.210.190,-779238852,internet,255.114.36.62,1639333507,416724746,27188,124
huawei,35,226056572544075,40713350396,2024-09-04 13-12-24,54.84.124.13,-2127836911,internet,103.230.151.109,1401071364,1249896641,27463,-64
huawei,62,226057841607071,40730000190,2024-09-04 13-11-04,171.193.71.59,-741168990,internet,102.157.85.95,-2121418862,-959353571,305,91
huawei,16,226051263433573,40709270187,2024-09-04 13-14-10,163.253.51.108,825887459,internet,4.64.133.39,-620494944,1999087675,3570,-4
huawei,57,226057479491850,40749585139,2024-09-04 13-10-36,224.251.195.152,-1590278787,internet,72.84.2.87,1694397375,-1032354294,25569,-6
huawei,-92,226050762763611,40799125077,2024-09-04 13-11-09,122.152.17.151,-1939905016,internet,117.94.72.46,-1022507313,-1540437768,12781,63
huawei,33,226051128569305,40713173779,2024-09-04 13-14-18,87.212.249.151,1403749014,ims,101.120.116.25,1556584141,-701930861,-5060,-26
huawei,27,226052901554174,40727101168,2024-09-04 13-14-28,118.166.239.143,-1935931888,ims,100.24.176.184,806318169,-1039433293,-6057,19
huawei,15,226059019599456,40780993803,2024-09-04 13-10-46,227.107.27.90,349760547,internet,41.170.186.167,-2107224400,247503828,1926,-14
huawei,-114,226050268621934,40737038492,2024-09-04 13-11-28,62.167.211.73,-1353802514,internet,167.66.193.234,-1210631675,304981087,9720,-10
huawei,-128,226057197064887,40754322289,2024-09-04 13-15-02,245.97.140.190,-1947957259,ims,82.14.128.215,-1091440099,-1933813638,-20468,-86
huawei,42,226056330176987,40791971092,2024-09-04 13-10-23,43.59.47.4,757591607,ims,64.243.181.21,-1474514990,60433828,4907,105
huawei,-107,226050566875241,40749180635,2024-09-04 13-13-17,252.202.11.241,974088348,ims,104.233.91.148,2013728824,1835547982,19914,-123
huawei,-113,226055934026566,40778616373,2024-09-04 13-12-55,83.198.185.207,1855972907,ims,56.235.7.188,-1824142182,-1831679355,-18610,-101
huawei,101,226057153223973,40719414321,2024-09-04 13-14-14,49.197.220.214,1934650445,internet,63.249.207.197,-1053072252,-1405688035,-12453,-67
huawei,81,226050883765898,40725044511,2024-09-04 13-14-26,95.206.56.40,-412179515,internet,23.179.74.144,-617103026,1641911804,-21095,36
huawei,-94,226053857552725,40729670337,2024-09-04 13-11-22,108.188.44.169,344971598,ims,226.85.53.195,1326720138,-1207156218,-24313,58
huawei,36,226055187153017,40720581877,2024-09-04 13-14-35,251.171.156.85,-1903708806,ims,80.76.79.25,-851250219,-766251715,-9687,24
huawei,-127,226058209758355,40748649338,2024-09-04 13-11-57,66.112.29.174,1940081525,ims,213.116.3.5,456097767,-144926670,25938,62
huawei,-96,226056376187907,40796542646,2024-09-04 13-12-41,190.251.251.103,1654155396,ims,8.229.254.232,1278150256,1911731767,14689,-64
huawei,-120,226051997862164,40796358022,2024-09-04 13-14-09,162.8.49.55,1363184758,ims,233.74.247.221,-1694473718,-1441260792,-2918,15
huawei,-82,226055619001010,40719943146,2024-09-04 13-12-46,142.174.14.143,468571573,internet,27.243.23.144,-1936587776,-1123515249,-27473,-82
huawei,-110,226058564856933,40768130782,2024-09-04 13-10-49,35.66.204.140,1166826615,internet,205.50.212.7,120756931,-56602288,-26656,80
huawei,20,226059467894043,40733534232,2024-09-04 13-12-58,158.133.117.186,1081276754,internet,105.2.113.54,848235762,2009927072,1851,93
