src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,28,226056528154688,40740875760,2024-09-04 13-35-00,37.222.183.111,1896920556,ims,121.132.140.48,779007889,609379404,-28165,-45
huawei,-112,226051258298794,40765424352,2024-09-04 13-33-10,54.194.228.189,-253404162,internet,57.55.214.199,1048966715,-817553290,-28056,108
huawei,90,226058534826995,40782825214,2024-09-04 13-30-28,240.110.5.2,662060162,ims,217.55.90.184,-255465516,-783655296,-22125,46
huawei,-74,226051762831870,40710867805,2024-09-04 13-34-11,33.226.140.222,-111560694,internet,129.31.59.221,-608810837,-335541570,-10361,68
huawei,-71,226050015805228,40773195049,2024-09-04 13-31-12,250.11.206.129,2092921781,ims,114.132.113.193,708414647,-765817266,19866,-112
huawei,-35,226052297296086,40767476134,2024-09-04 13-31-36,184.239.92.42,-1378557968,internet,63.152.215.44,735963468,-1376341748,-940,-96
huawei,-107,226052874180095,40736652451,2024-09-04 13-34-36,206.32.183.149,-1330273010,internet,13.84.91.205,-299206578,198827500,25153,-101
huawei,-79,226055089081979,40723879625,2024-09-04 13-34-09,130.140.196.157,1241493242,ims,8.205.159.64,1848296818,-2124791408,-6698,-60
huawei,49,226055183364355,40782065181,2024-09-04 13-32-35,124.95.181.96,1986614287,internet,32.18.159.49,-170113569,888494735,7379,36
huawei,-47,226059243909815,40740859922,2024-09-04 13-33-02,150.153.151.167,-1725620562,ims,1.178.87.121,-693204928,-482293946,-26538,62
huawei,-121,226051885972975,40747489112,2024-09-04 13-32-05,3.32.162.207,1645574465,internet,1.22.59.67,746038050,1965357799,1857,-1
huawei,-89,226058748061709,40752186016,2024-09-04 13-32-37,122.189.55.125,-563514982,ims,234.106.237.215,1500629252,-1869831644,5472,37
huawei,37,226057713214472,40746777841,2024-09-04 13-31-56,170.17.180.30,1952238535,ims,34.109.198.33,-1083157141,-1192954934,-25186,-70
huawei,-43,226054528009358,40729250951,2024-09-04 13-34-37,23.122.164.103,1837555888,ims,101.173.149.193,1523980554,-1083984599,-18464,-20
huawei,-77,226055905593439,40749882321,2024-09-04 13-30-51,121.58.180.132,-1480477505,ims,69.68.125.145,-1024714707,-1920353434,20584,-54
huawei,111,226054475538328,40763769258,2024-09-04 13-31-26,193.61.24.194,-721466476,internet,137.239.244.107,1321645580,911341523,13560,-8
huawei,102,226051231867553,40784538347,2024-09-04 13-33-43,230.1.180.166,186378707,internet,52.49.167.103,-740262940,-1663787735,-26007,-51
huawei,1,226054355655591,40734885008,2024-09-04 13-31-22,140.208.219.184,243061389,internet,116.27.189.19,1069161236,-943952853,-15666,-30
huawei,-114,226050651554803,40712591335,2024-09-04 13-32-35,15.20.71.208,2065723340,internet,70.78.14.227,1454296952,1576951172,24446,1
huawei,-28,226058972089129,40744479709,2024-09-04 13-34-06,114.75.226.82,-341179033,internet,248.29.220.218,598438742,-1902454229,-23356,89
huawei,-12,226056664607983,40761194195,2024-09-04 13-32-05,40.53.209.72,2076153473,internet,64.38.245.35,357422391,-146553597,-4113,94
huawei,-96,226051392777107,40726476914,2024-09-04 13-32-25,153.130.1.13,-116911026,ims,51.130.178.195,-1055687317,2136345870,-28378,-14
huawei,104,226052224727196,40794658279,2024-09-04 13-32-29,210.204.152.58,-1652075031,internet,246.120.228.12,-351232925,760496380,-18304,99
huawei,70,226059858398771,40784501175,2024-09-04 13-34-13,12.213.228.127,265167022,internet,199.158.36.237,-1214351249,-915017224,-23842,2
huawei,-71,226056108197285,40745301193,2024-09-04 13-33-39,40.212.118.230,376417485,ims,228.21.70.146,195321032,-1731437901,32184,5
huawei,71,226051095003071,40723060789,2024-09-04 13-32-07,45.193.208.2,1711988037,ims,42.99.142.39,254466059,-145152202,-23238,56
huawei,32,226050613559046,40715373438,2024-09-04 13-34-38,48.208.200.255,893042149,ims,155.25.140.255,1312201119,-2055914257,29597,67
huawei,69,226051771832998,40744617872,2024-09-04 13-34-55,107.85.118.199,-1649191766,ims,148.211.145.225,171993966,-1067954934,841,-1
huawei,-8,226055034749015,40758419953,2024-09-04 13-32-55,54.195.69.96,1930898223,ims,235.53.17.250,1685515608,762437574,-4693,-103
huawei,8,226056320475610,40720638546,2024-09-04 13-32-53,136.186.41.32,1582630985,ims,150.58.70.176,-1877963657,-1419383059,27910,-90
huawei,-98,226056018543071,40733777788,2024-09-04 13-30-41,209.235.212.67,48616082,ims,202.79.225.16,-2092528278,1375462320,1567,110
huawei,16,226050279796725,40775717175,2024-09-04 13-33-13,206.185.28.44,871316654,ims,39.57.220.242,67286409,723085062,14064,5
huawei,113,226050440873550,40708430100,2024-09-04 13-31-59,15.142.235.219,-154654525,internet,50.131.231.15,-793359250,1270631914,-3432,100
huawei,90,226052480512345,40787213630,2024-09-04 13-31-05,154.222.0.204,-859729980,internet,18.185.34.157,-1490462331,-1801260752,5332,98
huawei,-120,226056394703217,40746429153,2024-09-04 13-34-03,28.17.127.1,-1919072433,ims,229.156.191.173,-279151277,1241461820,-27695,122
huawei,-58,226054951589072,40737323838,2024-09-04 13-32-20,17.12.127.45,-598860013,internet,146.206.185.112,-1476064023,-260512470,14111,-68
huawei,-105,226057993242780,40757032932,2024-09-04 13-33-26,231.95.184.173,1307249191,internet,168.7.90.33,2108224758,-56748227,32238,-118
huawei,-28,226057428942459,40713482854,2024-09-04 13-30-33,27.127.197.67,1843207284,ims,235.205.125.83,-1924834397,-1702573138,2490,-43
