src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-52,226057904504273,40764029142,2024-09-04 13-35-09,121.57.0.89,2039572240,ims,83.192.63.109,1035414483,687817729,-12895,27
huawei,-39,226059692598338,40713379861,2024-09-04 13-36-02,49.129.151.163,-388674384,ims,95.164.158.252,-718493375,-1553828391,-1604,33
huawei,102,226055193102009,40740606506,2024-09-04 13-39-24,64.111.188.128,1009312594,ims,94.22.233.232,1064304967,-22962047,-25891,96
huawei,-49,226053084987333,40767340305,2024-09-04 13-39-03,28.228.222.204,1077454287,ims,183.16.106.7,-888858945,-1897851583,24825,17
huawei,34,226057695517468,40757635045,2024-09-04 13-35-06,167.6.136.48,665485059,ims,89.146.6.168,-967753059,813878152,7293,34
huawei,-44,226050598016676,40748049930,2024-09-04 13-35-23,55.80.47.38,2038336676,internet,38.55.183.229,1223501494,-1915049253,12236,13
huawei,-71,226051806684673,40761038372,2024-09-04 13-38-52,114.9.215.165,-378631918,internet,254.21.178.113,-1594281022,-883292695,19025,43
huawei,62,226055652576343,40787840664,2024-09-04 13-39-28,94.150.87.219,1508094835,internet,233.6.213.181,1197014987,1489701955,25453,23
huawei,61,226056566031683,40794699171,2024-09-04 13-35-04,108.239.165.206,1371208586,internet,155.128.55.158,-1488786814,1937767388,-13224,-124
huawei,112,226059068117043,40776097932,2024-09-04 13-37-09,131.212.103.173,-1084632419,ims,48.190.28.94,1572266533,1921440854,-20111,-56
huawei,4,226054418096491,40716659123,2024-09-04 13-35-12,218.127.145.88,-1160820570,ims,133.228.24.236,-1448958157,1719332038,-32475,74
huawei,55,226057386342277,40769464070,2024-09-04 13-38-05,204.26.83.71,-91315975,ims,127.37.92.233,1343756855,-676289036,-3207,54
huawei,34,226056482615038,40711380317,2024-09-04 13-36-40,179.211.209.100,-1308696720,internet,74.44.132.73,669003193,34424613,6254,90
huawei,110,226057011758664,40752461721,2024-09-04 13-38-46,208.148.84.159,734471088,internet,114.220.27.134,-960986536,-1698137387,7514,47
huawei,97,226056085818703,40712957878,2024-09-04 13-37-55,15.76.229.27,-1782442865,ims,82.118.9.250,863623941,-577369446,28687,82
huawei,-98,226059577834397,40772841123,2024-09-04 13-37-33,229.248.118.166,66702256,ims,29.187.44.193,1749976858,1308988961,-6696,100
huawei,112,226056951567673,40715062647,2024-09-04 13-38-02,77.82.163.52,-1955034117,ims,105.213.137.183,-1649021154,-467509985,13262,-91
huawei,-72,226055144089666,40787809374,2024-09-04 13-35-23,26.178.15.175,100288959,ims,39.207.196.120,-1418318825,-1205357684,-8897,44
huawei,62,226055418265071,40747971648,2024-09-04 13-37-49,67.192.209.52,909874041,ims,121.166.75.49,856409473,519464539,9427,31
huawei,-92,226053845262464,40752999887,2024-09-04 13-39-52,50.223.218.106,976091137,ims,218.249.246.53,-2101491774,217378888,26399,-49
huawei,-121,226058599197560,40701484127,2024-09-04 13-36-38,34.211.65.21,712490506,ims,138.141.245.237,1409350589,1170250232,20334,22
huawei,106,226055884164813,40768582492,2024-09-04 13-36-29,103.207.53.18,-1563557692,internet,239.226.128.126,317994884,1993013476,15190,-118
huawei,2,226057312906896,40761743091,2024-09-04 13-39-22,44.63.99.171,863200287,ims,233.184.188.238,-319479645,-1859140594,18988,32
huawei,-114,226059013546493,40760563394,2024-09-04 13-35-53,166.234.255.247,1721603300,ims,191.146.255.134,-683674667,-1119280821,-5455,125
huawei,83,226059626557802,40786306004,2024-09-04 13-37-56,37.234.48.218,-259305079,ims,119.110.95.193,-32171048,1452701048,17335,-72
huawei,-126,226058939472184,40798954298,2024-09-04 13-38-09,172.216.243.12,-808369084,internet,62.64.163.38,738786883,525231168,-13203,41
huawei,-13,226054838218727,40798782094,2024-09-04 13-39-20,230.121.176.222,-2017790434,internet,75.62.10.137,911163781,-1338205894,-1533,13
huawei,-8,226053820514296,40711579283,2024-09-04 13-38-53,13.248.98.165,951655416,internet,192.255.248.214,637150734,1600247722,-16775,-125
huawei,116,226050615811682,40743084991,2024-09-04 13-36-04,231.108.65.118,174725579,ims,199.187.185.82,-1884126116,-1097751547,12144,-54
huawei,77,226059519231769,40775019075,2024-09-04 13-35-59,167.160.158.196,1389648929,internet,230.204.144.179,-1427572485,-614781126,-31181,-1
huawei,-78,226058430261560,40707404137,2024-09-04 13-35-31,193.157.244.3,263453962,ims,26.229.14.91,1895297319,966620703,-28230,5
huawei,-93,226056510059875,40751043950,2024-09-04 13-37-56,153.221.13.93,-844427194,ims,208.243.229.231,959529396,2051945610,27219,35
huawei,-96,226055220671174,40744532484,2024-09-04 13-39-11,124.136.146.8,1482869533,ims,210.240.3.242,-1061860317,95513573,-14138,-93
huawei,13,226056698711831,40743656156,2024-09-04 13-38-04,55.200.101.16,104427229,internet,225.86.117.1,974573506,-1673545195,-10289,103
huawei,84,226053492097066,40780471154,2024-09-04 13-38-29,205.250.36.134,1614363725,internet,26.249.181.17,786596746,798255509,-21640,-2
huawei,71,226059298944383,40727594055,2024-09-04 13-36-44,15.90.126.182,-645683083,ims,142.91.189.33,-275733804,2094211681,6619,-115
huawei,76,226051336533864,40717851222,2024-09-04 13-39-44,37.38.92.212,1060621112,ims,176.1.71.12,1919601461,2075436621,24404,-76
huawei,21,226052243336273,40786177029,2024-09-04 13-38-31,12.102.172.111,-861386522,internet,86.44.152.2,-377120770,-1374907300,-2052,22
huawei,-31,226058440824939,40764688188,2024-09-04 13-35-15,165.131.7.62,162094423,ims,64.35.90.111,-1935493146,1367603440,-26706,-7
huawei,56,226057482170957,40726930729,2024-09-04 13-37-27,3.20.46.118,842746817,ims,140.209.30.141,-542089237,-2143022063,258,14
huawei,-38,226054007634157,40754998770,2024-09-04 13-38-39,184.85.181.118,-1701409254,ims,5.186.53.238,-1269768582,1012704339,-9876,39
huawei,55,226054786407360,40779372396,2024-09-04 13-35-38,153.237.86.72,-569434416,internet,139.1.31.30,-1589778060,-58916654,-20565,-3
huawei,-120,226059247814543,40706574863,2024-09-04 13-36-09,127.188.197.47,-956788441,internet,0.147.183.254,649396845,1108512079,-2501,43
huawei,81,226054875476624,40715264874,2024-09-04 13-36-37,19.59.62.213,-125859958,ims,183.37.128.249,2121403984,745787769,-9601,67
huawei,56,226054640916992,40720256097,2024-09-04 13-38-49,219.79.42.22,603141615,ims,163.195.194.99,1534843038,2021497807,25916,34
huawei,-38,226056942166645,40785616757,2024-09-04 13-39-52,252.149.124.213,2046913266,internet,239.124.181.79,-2093493709,619527921,6350,-26
huawei,61,226059281193560,40748353700,2024-09-04 13-35-06,69.65.130.46,2073018816,ims,228.91.252.53,-1042394007,1558534923,-15868,52
huawei,114,226053209377917,40750249927,2024-09-04 13-35-38,129.69.207.191,-59993608,internet,13.167.91.220,652343657,-1831550568,24739,-98
huawei,-97,226058826133103,40797857079,2024-09-04 13-36-18,159.101.142.187,84512949,internet,19.131.78.127,-1310509531,761898956,-26133,22
huawei,52,226056858368418,40790978615,2024-09-04 13-39-41,112.137.11.113,1359405571,internet,201.204.164.255,520709375,-1805818790,25339,91
huawei,42,226052173809353,40747319137,2024-09-04 13-35-55,18.221.128.255,-255600409,internet,104.65.121.183,-2044146765,1614882439,-31286,-99
huawei,34,226055391327966,40769626324,2024-09-04 13-36-08,165.51.2.138,-1099268267,internet,123.160.216.105,196635308,-1256166644,-31767,0
huawei,-117,226056492262643,40774588518,2024-09-04 13-35-52,201.99.139.29,-568707424,internet,222.25.170.78,1401812396,1326340838,-26806,-3
huawei,-8,226054397171343,40738077734,2024-09-04 13-38-54,228.217.175.132,-695437066,internet,237.179.243.7,-639493804,-664742665,15665,32
