src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,113,226059501525627,40746572244,2024-09-04 13-57-04,219.170.240.215,1116632166,ims,212.230.7.51,1508928771,-1723939092,27422,-125
huawei,84,226050186054469,40745466792,2024-09-04 13-58-45,33.204.237.100,-702313155,internet,162.139.142.68,-568677783,-1035181654,-31551,-126
huawei,56,226055116152318,40791490219,2024-09-04 13-58-55,179.113.14.15,-1277830515,internet,5.60.171.205,798168666,-2048668852,16836,70
huawei,121,226051558544152,40765290819,2024-09-04 13-59-02,191.109.195.123,-1082696817,ims,144.193.202.222,-1870761719,1519835050,-5015,-91
huawei,77,226054883641666,40708248939,2024-09-04 13-56-17,12.213.88.124,1519923955,internet,44.183.192.116,1249328495,-172790003,-580,72
huawei,16,226053076412530,40754033539,2024-09-04 13-59-08,192.250.159.84,1014240132,ims,191.107.48.89,565235827,-2136484465,21810,-27
huawei,-45,226059885475548,40730589888,2024-09-04 13-57-35,127.245.190.127,-1488278838,ims,246.212.239.80,-428688842,-238735063,-20534,-76
huawei,-64,226052601389445,40730574221,2024-09-04 13-55-11,236.25.206.116,1467391828,ims,144.36.196.156,-337880586,1559290594,1562,46
huawei,-25,226057686231700,40702945909,2024-09-04 13-55-33,103.3.125.118,1931586913,ims,206.216.72.134,1057069800,1806142174,32128,-52
huawei,-26,226054978167899,40727252638,2024-09-04 13-56-27,126.161.120.124,-906818560,ims,1.157.164.192,522788283,-1569853383,-23069,-78
huawei,-108,226052559389277,40770870592,2024-09-04 13-55-28,63.196.130.254,-286064124,ims,165.71.191.1,-548090767,332652342,20762,-4
huawei,-29,226050528338464,40751852103,2024-09-04 13-55-34,114.138.209.60,-1250263626,ims,114.206.67.163,-1780817243,726700084,-11820,-31
huawei,-66,226051119480788,40794607046,2024-09-04 13-56-43,129.178.210.89,-322964543,internet,10.4.5.133,1703234362,1148828159,-1293,-9
huawei,-60,226050076555496,40766663528,2024-09-04 13-56-50,159.79.160.56,-213049226,internet,119.105.182.104,-23331825,1646136251,-31677,44
