src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,57,2024-09-03 15-33-29,-22991,-70,40735219235,1484176846,bUICUZOA,40702507123
nokia,-98,2024-09-03 15-32-42,19982,32,40743102463,2146773972,lBNgFpLR,40761089541
nokia,53,2024-09-03 15-31-54,-23490,-128,40784566567,644808174,hxXmbDhS,40721277458
nokia,51,2024-09-03 15-30-43,-30670,-51,40720520568,-1594226762,sUhqKocH,40761663927
nokia,11,2024-09-03 15-30-59,-14807,41,40724546668,1925149989,yRAcaHyl,40771687022
nokia,-122,2024-09-03 15-29-54,-16201,21,40760625000,1323741915,iQNrNKfi,40775067168
nokia,-16,2024-09-03 15-29-33,-3839,94,40740561763,488199302,zKnCwjxM,40765814194
nokia,-102,2024-09-03 15-31-23,-438,-49,40766240464,-1721587391,YuxGLHJH,40759376085
nokia,61,2024-09-03 15-31-24,-32719,-72,40741639715,-254156865,DhavzEgi,40748916740
nokia,-124,2024-09-03 15-33-32,-4590,-30,40783076244,-1989635214,RWQqJWGu,40723993796
nokia,-123,2024-09-03 15-33-44,-9307,-38,40778953426,298161547,UaWurDQQ,40718570848
nokia,-106,2024-09-03 15-30-47,-1344,47,40782715237,-798774773,MonygoWq,40735943465
nokia,-29,2024-09-03 15-33-27,-4103,-25,40751182133,1479469936,KbUMgJkb,40710721123
nokia,98,2024-09-03 15-31-04,-32574,-19,40796318325,-119840024,UyVaTfty,40796503849
nokia,-31,2024-09-03 15-33-52,640,24,40728932268,-312695818,TwioywLZ,40790627051
nokia,-8,2024-09-03 15-30-35,24701,77,40710537220,1612393947,hVpbFYKD,40746877723
nokia,-5,2024-09-03 15-33-40,3641,-41,40769684375,-435541823,ubEjkIPB,40718732100
nokia,-59,2024-09-03 15-30-01,15433,52,40724922002,1297718622,sVjkBmqU,40702563738
nokia,-55,2024-09-03 15-31-52,27966,-36,40743508418,1719385910,OjaGqEJS,40746483487
nokia,-17,2024-09-03 15-33-30,-26666,-86,40788198679,1526995038,vTSdmNsJ,40704834190
nokia,17,2024-09-03 15-31-20,9058,-116,40761172459,971374149,eNpzjZPH,40755193718
nokia,-8,2024-09-03 15-33-09,-27118,-22,40779558045,1382356400,TcnJssBK,40716140424
nokia,-15,2024-09-03 15-33-01,-12628,-70,40799744698,-1226618300,hbAUuZmQ,40796728430
nokia,101,2024-09-03 15-29-32,-27988,78,40784634389,-1166816486,DBeepdnr,40712910474
nokia,-107,2024-09-03 15-32-15,-23260,52,40794576889,-242150730,jfEcjrJB,40716571523
nokia,43,2024-09-03 15-32-49,-450,-56,40794214076,1743205035,bhoGKVkD,40774138672
nokia,109,2024-09-03 15-32-15,-10033,-40,40781394750,-956924051,FgJBsBcL,40749957250
nokia,-62,2024-09-03 15-30-30,29972,-70,40751849083,200733397,UcFTGGcu,40759254266
nokia,-37,2024-09-03 15-29-42,-17275,112,40708298795,182320817,RsNFhlTs,40787693542
nokia,78,2024-09-03 15-33-53,-15387,5,40726906459,301958997,WxhEckpf,40767221753
nokia,126,2024-09-03 15-30-58,18692,-34,40724068315,1669448535,aRooUwks,40778440774
nokia,88,2024-09-03 15-32-45,-30719,109,40721141215,1918374889,HAJizpvI,40775173543
nokia,-38,2024-09-03 15-29-29,11152,94,40701124827,869955216,nSlxAIfk,40787418030
nokia,127,2024-09-03 15-31-23,-13570,-55,40707166268,-913919156,VBzObIJy,40793698839
nokia,7,2024-09-03 15-32-12,-16070,-64,40791232222,1398210284,pjcDLQTM,40774322721
nokia,20,2024-09-03 15-31-09,-26648,99,40701336461,-1509561490,jQffrkVK,40733778289
nokia,74,2024-09-03 15-29-32,-9992,45,40734419639,711005638,atRvGtTr,40746362823
nokia,89,2024-09-03 15-31-54,29006,-42,40740589241,-1624808961,NAuxmhUj,40778995905
nokia,-126,2024-09-03 15-32-35,28379,-95,40763625047,388222251,MQpMvSNu,40725760528
nokia,-46,2024-09-03 15-33-02,21180,-82,40799620354,-132749350,URUPJwAB,40765127342
nokia,16,2024-09-03 15-29-12,-8720,-128,40774874820,799078156,wrfpPIHU,40717650629
nokia,-28,2024-09-03 15-33-53,-26664,64,40729835715,759431106,jWOryyUa,40741395459
nokia,-9,2024-09-03 15-30-57,6259,-121,40798920143,1761217009,HZifYfPY,40777874667
nokia,-61,2024-09-03 15-30-26,-17357,36,40793729431,1910367870,DjDEPMus,40742336190
nokia,-102,2024-09-03 15-29-36,-20488,-87,40707543587,-1260864844,VrwgLojG,40713816589
nokia,-127,2024-09-03 15-33-25,-32344,-47,40748144448,-849623788,kUmUfjfF,40798613403
nokia,11,2024-09-03 15-29-37,1115,-34,40792728693,-1429625244,FUGksvCL,40704025631
nokia,-83,2024-09-03 15-32-54,-2914,-58,40733650332,1938379061,YNkNSJSV,40727307900
nokia,-60,2024-09-03 15-29-16,13924,-47,40792691732,-1655984282,oHTxeWUP,40716986237
nokia,37,2024-09-03 15-32-17,-4780,-91,40726950615,-359824292,WsSiiUuH,40757264645
nokia,82,2024-09-03 15-31-35,-641,42,40711642947,481967320,quvoWHmt,40724692903
nokia,-110,2024-09-03 15-29-46,28208,-78,40754593650,260631410,XXMnlNua,40799420043
nokia,-95,2024-09-03 15-29-54,15810,-51,40791162265,-203242712,ZynzSxRC,40771788299
nokia,85,2024-09-03 15-33-34,18856,-86,40775817283,-1847980677,hGZmxnsf,40789925069
nokia,-104,2024-09-03 15-33-22,-26073,-100,40704678613,517637223,LDkxagVk,40743416530
nokia,-101,2024-09-03 15-32-35,-25204,37,40751612058,597937575,xJppLbWY,40701303871
nokia,-96,2024-09-03 15-33-38,-27890,-38,40769891447,2048326821,rEFECArK,40703374884
nokia,-14,2024-09-03 15-29-14,31809,-17,40704919336,-309734443,TAbIjWAl,40702012081
nokia,33,2024-09-03 15-32-20,16299,21,40770867153,1065973692,JssxfKKQ,40748058953
nokia,100,2024-09-03 15-31-06,8464,12,40766060776,-1613638893,ZZafAIsR,40758079169
nokia,57,2024-09-03 15-31-45,23870,-126,40729826099,-376152271,iFLTsSnu,40759575637
nokia,-87,2024-09-03 15-29-14,2973,59,40731725467,2110853932,bPJecQTd,40755085756
nokia,-110,2024-09-03 15-34-07,3044,-9,40743950209,2033620941,RByvFkMz,40790129759
nokia,-86,2024-09-03 15-31-32,-21974,-18,40735234521,1882865184,plgbtmHL,40750780694
nokia,28,2024-09-03 15-34-10,-8563,104,40707983092,-90967908,WWrjTSQU,40792465940
nokia,-72,2024-09-03 15-29-53,-28614,1,40763341005,1117222325,JEhSegiE,40755552316
nokia,118,2024-09-03 15-32-49,-25683,20,40774462909,376569779,ZChJitcW,40786350912
nokia,106,2024-09-03 15-32-15,7425,108,40755191189,1616631237,egbguGoa,40758350492
nokia,-68,2024-09-03 15-33-29,8651,20,40762138549,-1208966471,doXrUCvH,40724355309
nokia,-107,2024-09-03 15-32-18,9671,50,40708886830,100451472,LOQALAlh,40792451684
nokia,109,2024-09-03 15-30-42,16628,-46,40703023533,-421712322,dItFozXX,40773765174
nokia,-49,2024-09-03 15-32-25,20435,102,40732684591,-1395507547,kSECZVdY,40793837754
nokia,-100,2024-09-03 15-29-37,-30462,-126,40767680629,1733393061,HfeaAikt,40768928709
nokia,61,2024-09-03 15-33-57,21296,1,40755236948,-1738695300,HVIGiMFB,40718745711
nokia,-118,2024-09-03 15-30-52,6079,75,40765785210,522045792,VpNIymWW,40756261930
nokia,34,2024-09-03 15-30-41,27311,101,40762056399,-854811908,GxfgkfKS,40771573641
nokia,15,2024-09-03 15-30-02,-19437,-123,40718019001,-1532957335,xhxzoJBa,40708947095
nokia,58,2024-09-03 15-30-22,-2605,-72,40767447807,20758934,wspmqEZP,40712390009
nokia,91,2024-09-03 15-30-35,6812,108,40780952375,1303060766,oZOUsFPc,40771905602
nokia,-64,2024-09-03 15-31-53,-22701,13,40734893075,1784453912,IiRBUKFN,40719088511
nokia,-19,2024-09-03 15-32-51,-20390,-23,40721147368,-651534179,mNrQeiHb,40789885644
nokia,102,2024-09-03 15-30-25,3609,-40,40760035686,599056095,mPFOCALa,40742418767
nokia,-72,2024-09-03 15-31-51,25248,25,40768108727,-434049622,uhjgfszp,40734993860
nokia,-26,2024-09-03 15-32-42,5516,73,40732846624,-1097575260,rYcnGUKP,40799637298
nokia,-48,2024-09-03 15-31-05,-19039,107,40773513612,1751225377,xfaToONO,40787321331
nokia,27,2024-09-03 15-32-52,28746,34,40793127877,1723511723,XDpgbYeL,40715516381
nokia,-107,2024-09-03 15-31-32,-5023,112,40749582418,-227824848,wxuwWHGY,40756909850
nokia,88,2024-09-03 15-32-05,-26982,-94,40708773074,-898789720,iMVAXfey,40793888914
nokia,48,2024-09-03 15-33-38,-24793,71,40776782327,859138240,DaHMRHsN,40710404542
nokia,-17,2024-09-03 15-32-19,-11810,-76,40755591053,805672381,rXPVpRFa,40739937679
nokia,46,2024-09-03 15-33-51,-4306,69,40757010827,-837389974,sBKvjgSP,40753113642
nokia,-75,2024-09-03 15-31-00,-24736,-30,40737352104,-1113035875,ZSTfqysB,40715795507
nokia,-68,2024-09-03 15-34-04,-9808,-25,40761178074,-549342698,PKctEdCy,40776854892
nokia,106,2024-09-03 15-32-16,-29146,-50,40794396041,1753965200,GrnhbjDP,40748564213
