src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-34,2024-09-03 17-07-48,25728,126,40796271697,6585845,UYWdLRga,40720837473
nokia,-40,2024-09-03 17-05-51,26885,-105,40762136910,288607604,AYMcNQDW,40705299436
nokia,22,2024-09-03 17-07-28,11116,56,40718074167,-1138365704,KcqEvyox,40741712338
nokia,21,2024-09-03 17-07-23,22390,-118,40743916675,-1831208051,cAAtDfAj,40720382184
nokia,-20,2024-09-03 17-07-43,-13034,-28,40746045249,452245054,DaQiaYRy,40761077093
nokia,69,2024-09-03 17-09-15,-32537,-30,40775314682,1632994005,kayEaRwB,40733606916
nokia,-43,2024-09-03 17-06-32,-27794,23,40702324663,426053168,cejgXWex,40793383441
nokia,64,2024-09-03 17-06-34,-15110,-118,40734841443,-383194937,uEDpxCQl,40733671164
nokia,-73,2024-09-03 17-06-52,24177,101,40739517116,1680286876,sMVDeDXY,40792355785
nokia,100,2024-09-03 17-08-12,-11165,57,40757519628,-407410632,EIPffzDB,40782048573
nokia,118,2024-09-03 17-07-39,19478,-5,40761807256,497717378,eCSURBgV,40705105870
nokia,31,2024-09-03 17-07-45,24603,66,40780251531,-1947582804,qXPIfGtb,40796193369
nokia,-76,2024-09-03 17-10-01,25491,-30,40735384649,2113509494,RPCNXXTg,40762374397
nokia,-104,2024-09-03 17-09-04,-13973,77,40718571376,1594255585,ykvKItYz,40790293885
nokia,89,2024-09-03 17-07-20,29062,66,40792280825,-1168655528,DcBPdxLU,40718141795
nokia,21,2024-09-03 17-06-26,-5426,7,40739704541,-722363438,SDdRuvcC,40767663144
nokia,-93,2024-09-03 17-09-27,-21586,31,40724138830,689106782,boVCKeTf,40742319667
nokia,100,2024-09-03 17-06-13,11775,62,40773974113,1341106233,KqMDcUAW,40763791907
nokia,-103,2024-09-03 17-08-46,-16789,-2,40771175904,-1114163406,fOGLDNAd,40791235720
nokia,11,2024-09-03 17-08-21,397,44,40710374362,1677666275,GGRNgweD,40787803283
nokia,-15,2024-09-03 17-08-40,-7075,-101,40774819234,802911973,nSbcRbiz,40729839756
nokia,-40,2024-09-03 17-05-37,28574,101,40710805956,-478527704,jxHYXtln,40717092874
nokia,84,2024-09-03 17-09-49,15544,47,40767713268,-1307843051,ohQVnTXQ,40791843886
nokia,-36,2024-09-03 17-09-13,-5719,27,40749541134,-2016221211,ELuyAspJ,40770985866
nokia,33,2024-09-03 17-09-40,9077,123,40724223395,-95252071,MkLZpQVK,40777893627
nokia,64,2024-09-03 17-07-30,26630,-10,40737010419,862511986,oGrWVukh,40772167489
nokia,-64,2024-09-03 17-05-55,-24665,72,40705275973,894985473,eeuqkPhn,40754784547
