src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-76,2024-09-03 17-17-54,-7435,5,40795429021,-1896497499,uOrYPyAD,40729869985
nokia,4,2024-09-03 17-15-16,-13447,48,40747139790,1883932982,WCipulzO,40710795872
nokia,111,2024-09-03 17-16-37,-15374,60,40744386340,-1653967862,mSdSuzVh,40707791240
nokia,-121,2024-09-03 17-16-42,18731,-42,40732155389,-1474186429,HDZVwBYS,40721052943
nokia,4,2024-09-03 17-19-13,-18763,-114,40724324316,-2041092933,Ezptoimy,40793941118
nokia,30,2024-09-03 17-16-32,31190,-72,40740635076,2121421024,ZFUHimaM,40734577868
nokia,-74,2024-09-03 17-15-46,-11579,34,40722215142,-50866446,OfxjytCq,40799025630
nokia,117,2024-09-03 17-17-56,-12368,-21,40775381043,-1989874058,AVdFeDkK,40714788622
nokia,109,2024-09-03 17-17-44,4318,91,40749207309,-132808118,QkryQkIw,40784981487
nokia,122,2024-09-03 17-18-01,-22920,59,40749659892,1357166747,jCUADnao,40734028463
nokia,-120,2024-09-03 17-15-10,1444,39,40759175024,1213294395,oruVyCSC,40727731495
nokia,-125,2024-09-03 17-17-30,-19350,96,40730067125,790728187,lKzBPgvO,40753034235
nokia,57,2024-09-03 17-16-58,10105,-1,40792790349,1367372135,wBTeVunN,40708369716
nokia,-56,2024-09-03 17-19-28,5535,23,40770870185,-1267429468,zdrHUaUn,40798930892
nokia,-101,2024-09-03 17-18-41,-19974,-80,40790213897,-1693124640,VHujsrzv,40706570961
nokia,-59,2024-09-03 17-15-12,28003,-38,40728930311,1898940918,KgWFkdcn,40772647952
nokia,-116,2024-09-03 17-17-26,23607,-62,40777187710,319045582,uPrxIood,40725505241
nokia,-99,2024-09-03 17-15-41,29098,36,40749266352,-1470453852,jtqveIzk,40791589075
nokia,-75,2024-09-03 17-16-08,25246,-107,40760268681,-1944739278,sxhhCdHg,40759827564
nokia,-5,2024-09-03 17-18-48,-12376,-34,40778588427,-704748319,jDtKdJOj,40778442322
nokia,-26,2024-09-03 17-18-33,24987,-115,40798511023,817316756,SIRqMgQZ,40731333762
nokia,-11,2024-09-03 17-16-27,-26012,-35,40790124713,1711289766,vdABEVBn,40737441679
nokia,-126,2024-09-03 17-19-37,-29608,-44,40738011573,-1198720209,NoNCZvBV,40737157442
nokia,-63,2024-09-03 17-15-25,32098,88,40782592656,275226023,zOYcXyas,40796787974
nokia,-13,2024-09-03 17-18-02,3400,6,40758329490,1308866771,TejnCeID,40788293504
nokia,72,2024-09-03 17-16-18,32336,-30,40751626530,-846178471,ayzdYLzC,40746492750
nokia,116,2024-09-03 17-19-35,798,71,40715378776,-1789255565,CgalKivG,40722850096
nokia,84,2024-09-03 17-17-15,7517,5,40779482755,1602842140,nSyOEYlC,40741245764
nokia,51,2024-09-03 17-16-38,22077,90,40700497522,-352033659,ztdpWiBp,40706695550
nokia,-95,2024-09-03 17-15-51,21588,88,40789440193,-137635112,xWMeVvxB,40796058547
nokia,-86,2024-09-03 17-17-34,-19982,97,40798503239,-1858393482,nhhMLYUm,40736405713
nokia,62,2024-09-03 17-15-51,-21374,88,40782774715,1860455849,EQVmxxJA,40766170037
nokia,43,2024-09-03 17-18-07,-26586,28,40761916760,1244675856,EvpzIxQj,40792265567
nokia,-42,2024-09-03 17-15-11,-6398,-44,40760718216,-1283924393,byXMuPRe,40754955412
nokia,119,2024-09-03 17-17-14,29230,74,40727500070,1747662782,jpbTbwhJ,40798030540
nokia,106,2024-09-03 17-15-44,22204,-105,40790621558,-618470198,mExBBdtk,40767177425
nokia,-105,2024-09-03 17-16-03,14879,-73,40704907359,-1265856219,cdhKiJAM,40723180490
nokia,1,2024-09-03 17-19-47,-11384,96,40741351051,-1950079099,bVkmevOe,40768849060
nokia,3,2024-09-03 17-17-09,-24450,-103,40756244357,1178070045,SderxXeh,40712328192
nokia,101,2024-09-03 17-17-55,23691,34,40767862661,1734846625,rYUnvRXi,40751660165
nokia,-120,2024-09-03 17-15-04,1568,103,40763346333,1004778815,tyjBSuVh,40719255423
nokia,28,2024-09-03 17-17-50,-10431,78,40718699101,1802851224,GheCYaFJ,40783552752
nokia,-112,2024-09-03 17-20-01,-12579,-1,40751369415,981112216,mAXODxXR,40744700055
nokia,-67,2024-09-03 17-16-24,15207,-63,40701685965,755960377,ZRUVEzaB,40797294479
nokia,-31,2024-09-03 17-16-08,-2650,11,40756123842,582603569,CQcLyPZe,40789327746
nokia,3,2024-09-03 17-19-23,877,125,40777760387,787955212,KHuoibsj,40777934010
nokia,-89,2024-09-03 17-19-19,30211,71,40721275423,401286839,uuvAvCIt,40798229534
nokia,-78,2024-09-03 17-18-04,19227,33,40787817813,493610290,nhYFcaRA,40716735343
nokia,-10,2024-09-03 17-18-51,-22534,50,40717062705,754106972,UVbcIJym,40767099122
nokia,-50,2024-09-03 17-18-30,-16820,59,40701997553,-1171227697,whpGVTas,40764545832
nokia,-58,2024-09-03 17-18-14,-24773,20,40785186885,759942556,bfnhwSxX,40701242901
nokia,106,2024-09-03 17-18-20,-13043,30,40789547068,-888727857,fQjtvZWX,40746409589
nokia,48,2024-09-03 17-19-56,-15126,-17,40746580174,-567029257,LnAyEYkz,40793465584
nokia,-9,2024-09-03 17-18-05,25156,107,40797533669,-2003922126,WJcLDKUe,40795304060
nokia,-115,2024-09-03 17-15-34,27728,-72,40781414259,1046435513,SXpgYnBe,40766944840
nokia,46,2024-09-03 17-17-12,22604,80,40791117733,877554025,wgnMIKHI,40761294281
nokia,101,2024-09-03 17-17-55,-25416,-122,40766091260,-82543607,ZFcjBXIs,40711194525
nokia,-52,2024-09-03 17-18-09,-19067,-94,40776922064,1699641745,RgZgWQXz,40789828582
nokia,45,2024-09-03 17-15-43,20694,84,40787224875,-884859931,nwecZCHu,40744517906
nokia,23,2024-09-03 17-17-04,-30984,36,40762432278,-646300450,wjBNCyrN,40702334984
nokia,55,2024-09-03 17-15-20,3744,82,40764030543,669421622,nNLYAoXO,40776278818
nokia,-90,2024-09-03 17-18-48,16416,8,40799453015,-1483351468,MviJVCjV,40711211991
nokia,21,2024-09-03 17-17-03,29816,120,40773566814,2027662355,elAyMCrI,40714810192
nokia,73,2024-09-03 17-19-00,-10435,-96,40726169658,-1588505558,RwGgUkWV,40755249976
nokia,-61,2024-09-03 17-15-58,27312,-102,40794573510,349780304,qfhmrZQj,40746020766
nokia,-20,2024-09-03 17-15-48,25978,50,40702016223,-2029076620,xDeWEFDv,40746629863
nokia,-52,2024-09-03 17-15-01,3391,1,40718970608,1627626520,yhivCCIV,40776307110
nokia,-13,2024-09-03 17-20-00,-122,103,40707010806,1573725014,VaHthbvl,40778182773
nokia,-46,2024-09-03 17-19-51,-12912,-54,40727694799,493022548,PuiLlHRD,40745526940
nokia,101,2024-09-03 17-15-14,18018,43,40750986568,1287414799,assUuMjq,40719237482
nokia,-69,2024-09-03 17-16-32,14697,110,40783844781,652662675,OciwLDub,40727513284
nokia,-39,2024-09-03 17-19-51,-29047,-81,40771355909,1646175357,RHVoCmIl,40715640703
nokia,-11,2024-09-03 17-17-54,-27764,33,40736860282,-467071050,jODqQiQe,40752107167
nokia,-59,2024-09-03 17-19-31,-17920,0,40763667667,-945773295,VucOzDjo,40796753899
nokia,53,2024-09-03 17-18-13,-28210,-128,40768924983,166373681,otrkFYCe,40773694632
nokia,56,2024-09-03 17-18-36,-18641,-39,40751458109,-777759518,vwHdGrsr,40790610256
nokia,77,2024-09-03 17-18-27,-30197,-26,40709352532,1609808549,cHcXSGgY,40765892657
nokia,102,2024-09-03 17-16-21,26823,38,40793620045,286163899,InWkVVYD,40701558644
nokia,-69,2024-09-03 17-16-20,13209,-67,40779323637,-477966562,pukJgkDO,40714983969
nokia,-42,2024-09-03 17-17-52,15934,68,40777227064,-212442470,pHqXMfNa,40703600089
nokia,-46,2024-09-03 17-19-43,-32391,-107,40755071551,975320507,JcClWOFS,40729498289
nokia,54,2024-09-03 17-15-06,-22365,-45,40733196917,-1330566532,NmTiZOPj,40769935796
nokia,-88,2024-09-03 17-17-25,-1230,93,40715166216,-1632960207,cmVXKyld,40706074447
nokia,5,2024-09-03 17-18-52,20337,61,40783974607,-1295889009,UOuTlNwr,40742454551
nokia,-126,2024-09-03 17-17-54,-18529,-77,40715031887,1698514921,PFjzXXMt,40777276831
nokia,-41,2024-09-03 17-18-04,29295,6,40767615491,-420772462,BcweyOJK,40749489838
nokia,-93,2024-09-03 17-16-00,20171,95,40723904322,-556266142,jgfMhLpt,40710175760
nokia,47,2024-09-03 17-15-04,-29326,85,40761410641,1163089515,Brgaoryr,40733873033
nokia,87,2024-09-03 17-15-31,-2380,84,40762686901,1568844188,QTOtcOfi,40721270553
nokia,-31,2024-09-03 17-19-17,-29946,57,40733548204,174737809,nmsCOxRQ,40702391920
nokia,-103,2024-09-03 17-19-14,-24835,-115,40781712250,793874594,HFIhMIjF,40730220782
nokia,16,2024-09-03 17-19-07,-4181,50,40789180290,679279214,cshcFyAf,40792671199
nokia,55,2024-09-03 17-15-55,-11140,-106,40789130663,2078784116,LWIuwJqR,40719181691
nokia,-73,2024-09-03 17-16-43,-7893,118,40740250537,-1771581641,aaPxgJgI,40768429154
nokia,12,2024-09-03 17-16-55,29301,-57,40709053984,-840472704,OsjfzVUw,40756567111
nokia,-100,2024-09-03 17-15-47,-29283,124,40702744739,1652432643,oIPejywz,40728091579
nokia,-90,2024-09-03 17-17-02,9173,-70,40700356540,-584892781,jpgWZMMr,40724441604
nokia,112,2024-09-03 17-15-47,-11187,10,40749156408,985767917,FTHcKZyj,40710783160
nokia,76,2024-09-03 17-19-25,-21031,-62,40701588629,1176256592,HxsQHMlz,40763781626
nokia,39,2024-09-03 17-16-18,-30298,115,40779096609,-2085260481,mFYNMXhB,40758474350
nokia,-110,2024-09-03 17-16-30,-24489,56,40768466409,-1808927049,LyaKCjlr,40782419455
nokia,-78,2024-09-03 17-18-24,21771,125,40796624115,-1398860734,BVdAFjMp,40740453012
nokia,-119,2024-09-03 17-17-04,17834,41,40716120631,1061360982,FJmxFbMw,40779331136
nokia,-81,2024-09-03 17-17-12,23169,85,40777959090,-50881105,djESRKRx,40705228127
nokia,125,2024-09-03 17-16-17,-4600,77,40765407606,-2046158237,OqKekFSE,40795160980
nokia,-100,2024-09-03 17-18-14,16571,59,40792451746,-1011600941,oIohiexY,40790951686
nokia,78,2024-09-03 17-17-04,28230,89,40745294913,-403861495,wdOTBdPM,40799137495
nokia,-55,2024-09-03 17-15-20,-22144,0,40751710405,-626215608,lWGQjRSA,40777667666
nokia,-27,2024-09-03 17-18-44,-23811,69,40797016156,-1092828912,ySbSghtL,40701660394
nokia,35,2024-09-03 17-18-27,19538,-20,40767550022,-350278065,PkXQtaNh,40773882221
nokia,0,2024-09-03 17-16-57,-27466,88,40724724873,-1020491463,dlzxeXqZ,40709892934
nokia,-96,2024-09-03 17-17-58,11827,29,40743257527,1832039633,BQiKHDBK,40765724868
nokia,-77,2024-09-03 17-15-51,22911,93,40784882725,991483692,fvdMIuvD,40724452775
nokia,2,2024-09-03 17-16-54,10338,59,40793073381,-20570017,svHOlYfQ,40779440029
nokia,22,2024-09-03 17-17-50,32208,33,40734715773,-2091686224,KxrMxJPp,40744776068
nokia,18,2024-09-03 17-15-53,-26522,46,40702937143,185286164,ohshIjZa,40793815810
nokia,-15,2024-09-03 17-18-21,4768,19,40717828896,22983590,IehoXUDm,40798844807
nokia,87,2024-09-03 17-16-52,24105,-71,40736268461,-575476687,pTdlKlpn,40770724790
nokia,11,2024-09-03 17-19-37,14863,27,40741476244,-1003257452,Lyvqnywq,40794462375
nokia,2,2024-09-03 17-19-54,-32422,90,40798482833,-2012543733,peAzJghc,40704622559
nokia,-72,2024-09-03 17-18-56,8439,81,40766667295,-1749560985,UEznJHQJ,40799832209
nokia,-65,2024-09-03 17-19-14,2138,-120,40797151361,965736773,HdHTaNEC,40791754943
nokia,18,2024-09-03 17-18-48,7226,12,40771934342,153511757,hikHJbKy,40759145845
nokia,-25,2024-09-03 17-16-02,21857,-54,40732313883,2065938309,mEcmugQm,40708198607
nokia,-97,2024-09-03 17-18-13,5823,-27,40724904648,2028739839,hTFLuJHv,40734567699
nokia,127,2024-09-03 17-18-20,-25987,40,40743890187,184318298,ZNvMDFNk,40762945633
nokia,-20,2024-09-03 17-15-15,27086,-21,40786852021,-1306323945,OtCHqRYr,40741591976
nokia,-119,2024-09-03 17-15-30,-3123,75,40709195700,-1929753226,nZYORkUM,40793093738
nokia,100,2024-09-03 17-15-09,-21427,42,40706225896,1719634123,rKGVtZBx,40730020781
nokia,5,2024-09-03 17-15-23,30356,70,40709906964,-223631629,jmTzSaBG,40713081351
nokia,87,2024-09-03 17-15-54,32058,-70,40735955161,1274253870,yejAojmc,40746112647
nokia,-28,2024-09-03 17-15-48,-29095,64,40716491115,621346106,oRbzWKMb,40792717832
nokia,-69,2024-09-03 17-19-03,12250,74,40796727263,-1051808191,WSUfjxbL,40783521721
nokia,122,2024-09-03 17-17-54,17802,-85,40746480115,347431261,RAhSCbMd,40765034174
nokia,-92,2024-09-03 17-18-13,-6601,104,40726306495,816688868,eTmlcoWz,40767097536
nokia,-127,2024-09-03 17-19-30,29353,-124,40787276926,1431980027,sSnhDsgd,40706866106
nokia,-39,2024-09-03 17-16-59,16681,125,40765905400,90887014,tMxkkCVo,40785179472
nokia,36,2024-09-03 17-18-29,3143,-11,40756208691,-2071716117,SJzBAbZQ,40789609146
nokia,-50,2024-09-03 17-18-57,-26897,-39,40732351125,152473432,MhkjNXYs,40704651036
nokia,1,2024-09-03 17-16-11,25349,-50,40753472984,-583962677,FuroKKyw,40771204395
nokia,-79,2024-09-03 17-19-01,28362,59,40725265111,-852493039,kFETIGjH,40720295602
nokia,114,2024-09-03 17-18-37,-31039,45,40713160068,1318186778,rtBuflzD,40707737927
nokia,-66,2024-09-03 17-16-48,5624,-109,40706420796,1188234283,SNdfzrRb,40741870682
nokia,-59,2024-09-03 17-19-34,22875,-119,40766320988,189873404,EcHaAlDl,40705373068
nokia,-47,2024-09-03 17-20-01,-32507,6,40790306111,-1864518450,jVsVMOgX,40770621266
nokia,-74,2024-09-03 17-19-21,23440,-67,40717703137,1648845719,wAEwntAj,40786768119
nokia,2,2024-09-03 17-17-54,-32666,-120,40750087375,906096032,reqMtYQd,40752820289
nokia,-2,2024-09-03 17-17-09,12148,-100,40765566020,-700090971,czAeUAki,40778945325
nokia,-46,2024-09-03 17-17-15,8687,-119,40792387122,-501064526,YPEymxPa,40700133374
nokia,39,2024-09-03 17-17-55,-4209,-11,40793849366,-780327489,VoCoLavA,40763473359
nokia,53,2024-09-03 17-19-46,289,67,40708387303,-85198675,sLkVMfLm,40714347703
nokia,95,2024-09-03 17-19-00,15733,90,40764643665,1254272958,IZuzrZJF,40769568244
nokia,-47,2024-09-03 17-19-13,22300,-44,40779941484,1344949447,suykwAtV,40793799383
nokia,-10,2024-09-03 17-15-23,1858,35,40765472996,-423205858,sOUmWzzp,40738529358
nokia,8,2024-09-03 17-19-20,27034,76,40751377443,118670015,YqxCrtiN,40725474610
nokia,-53,2024-09-03 17-16-13,-6519,-69,40772794087,-129347796,wCHwjVNT,40747638926
nokia,-117,2024-09-03 17-15-09,28723,121,40775866384,733424401,bpaHwFmV,40713766992
nokia,-51,2024-09-03 17-15-11,-23436,-99,40707902949,-157451835,ZzIxTftj,40703116773
nokia,70,2024-09-03 17-16-32,31756,-55,40739075827,1225458330,eqoYCOOf,40759354712
nokia,-105,2024-09-03 17-19-04,-13014,-12,40786592256,1709836778,ulHikmxz,40702144707
nokia,-53,2024-09-03 17-19-24,-8754,57,40767109785,-1401902725,brzhmKJz,40736493884
nokia,-106,2024-09-03 17-19-23,28624,-116,40701349582,-1360269359,ACLVFgoJ,40727792812
nokia,112,2024-09-03 17-19-47,-2035,122,40764201436,-827121217,dXRluJOL,40770680220
nokia,38,2024-09-03 17-18-45,24147,-30,40702609482,22878486,XBnPeWVz,40771696983
nokia,-52,2024-09-03 17-18-32,-10036,-81,40701590435,1131894469,NRddLqNT,40735701462
nokia,7,2024-09-03 17-15-56,-5044,125,40701227420,164799664,UPEjFSEw,40781779232
nokia,-82,2024-09-03 17-18-46,25199,-66,40771023060,339728099,NcAGtYmO,40790214533
nokia,-65,2024-09-03 17-18-40,29594,-101,40748378063,-1545348847,VbruanAa,40753834063
nokia,-112,2024-09-03 17-18-31,-4114,-23,40770921969,584860925,aebOfOlW,40713957506
nokia,83,2024-09-03 17-19-05,-13841,4,40770720607,-1800298142,tQzLybBQ,40745835702
nokia,115,2024-09-03 17-16-54,18778,-31,40780966044,-2026084792,HXmomxBp,40732181259
nokia,7,2024-09-03 17-15-08,4544,-9,40714562027,78889644,NDBdUBPJ,40713354476
nokia,107,2024-09-03 17-15-21,-9591,-92,40743236101,-533251838,SkyIeRbp,40779489242
nokia,2,2024-09-03 17-15-04,18835,-111,40705032973,656406914,YQkpCMkW,40777545273
nokia,-21,2024-09-03 17-19-35,30521,-115,40786982715,80068894,AZFueNtu,40790070447
nokia,73,2024-09-03 17-16-11,-13866,68,40793786028,321388089,CYnEaXXz,40726460106
nokia,97,2024-09-03 17-18-22,-13160,15,40726386490,1554131944,FIImgRNY,40702057430
nokia,-48,2024-09-03 17-19-08,-31537,-23,40733173063,-1382997340,sJBdZOts,40784296739
nokia,-41,2024-09-03 17-17-14,-2946,40,40716776860,2066999051,fULfiJfQ,40749179651
nokia,-28,2024-09-03 17-17-33,20090,62,40733387520,-1969586149,NJtOBToU,40701735471
