src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,118,2024-09-03 17-23-46,-2934,-90,40789420561,405009572,pSgBruYL,40761211712
nokia,-39,2024-09-03 17-20-49,27381,102,40792394919,-1260992628,qDouivhT,40769396702
nokia,-5,2024-09-03 17-24-48,3049,-11,40730038435,-703072798,NDxrLrtq,40727142095
nokia,-66,2024-09-03 17-20-04,-3461,93,40788424308,-974149756,wRRWjsXI,40759608882
nokia,-47,2024-09-03 17-22-10,-17101,71,40788264978,-2036163700,QDDvEIJZ,40773874923
nokia,-121,2024-09-03 17-22-13,-28122,-52,40781386668,-534120079,OHsBGzyV,40715000642
nokia,21,2024-09-03 17-24-00,-24170,-55,40790902306,173072215,gzVVSOLV,40749896709
nokia,104,2024-09-03 17-20-27,31090,-22,40731554290,-615828403,LqxiADfe,40789216245
nokia,-75,2024-09-03 17-20-37,-3820,-109,40758081325,-285474272,RTSkWHfL,40701059484
nokia,20,2024-09-03 17-23-25,2005,83,40756211634,1264201662,KpBqNtkZ,40749081650
nokia,7,2024-09-03 17-21-12,12138,-64,40735913232,1496022249,xxGyiQUr,40725820670
nokia,3,2024-09-03 17-21-32,1967,108,40733415629,637114615,CFynKeAv,40712699604
nokia,-81,2024-09-03 17-24-31,31942,24,40793035255,1283481711,CZxqqWNc,40781268256
nokia,121,2024-09-03 17-23-44,-13371,-57,40705835279,843755704,TsGxPPhX,40709923305
nokia,-49,2024-09-03 17-21-10,-11153,-61,40738881047,-1575092199,bTEnQGlH,40728480087
nokia,75,2024-09-03 17-20-26,31237,4,40742652154,-140143307,mSPLsSVW,40767945833
nokia,-106,2024-09-03 17-22-53,-31931,105,40783311159,1191988395,jMLNOLLb,40740784173
nokia,-40,2024-09-03 17-22-43,-8265,-21,40798891041,1691057210,kvOFIzpA,40791518437
nokia,-127,2024-09-03 17-22-23,-26143,-7,40788182453,-1822730517,hhfwqwZP,40770713605
nokia,51,2024-09-03 17-21-00,29599,-84,40700804985,1865896751,hKiFBDkd,40769636060
nokia,96,2024-09-03 17-24-16,11324,46,40744073849,-2017009868,avhLwNsI,40753273167
nokia,21,2024-09-03 17-21-37,944,79,40710539872,257174422,qbdloTnz,40722854201
nokia,117,2024-09-03 17-21-07,30559,59,40749254680,1323923707,dYzSdpfC,40791791474
nokia,-72,2024-09-03 17-20-06,-21700,-75,40731434256,-424229825,glLuaYGw,40722357056
nokia,-2,2024-09-03 17-24-32,3558,-37,40716057976,589944172,fJhcqfwX,40781267800
nokia,-102,2024-09-03 17-20-46,-31024,-107,40757964170,-549481902,cLbfiBJT,40798465828
nokia,-81,2024-09-03 17-24-36,8212,100,40718944101,-1078204612,dbwNlmdS,40724668742
nokia,-46,2024-09-03 17-21-53,666,31,40774748364,1749821011,AJjHGJpq,40799126764
nokia,21,2024-09-03 17-20-36,24433,-127,40702106064,1829100273,pvamkzWW,40704155290
nokia,-60,2024-09-03 17-21-05,-1420,-62,40763980320,1268127007,FSOiKBeq,40736912111
nokia,-31,2024-09-03 17-23-04,6897,123,40764015125,-1890916824,cbsOVyDt,40711894132
nokia,-111,2024-09-03 17-24-19,8551,109,40781990972,1847078591,duFDgolc,40767776208
nokia,-10,2024-09-03 17-20-13,27362,-107,40734308603,1931179223,tudGpYFd,40778065132
nokia,-8,2024-09-03 17-22-45,-23756,115,40719007285,-55335511,tfRruBZn,40756945809
nokia,40,2024-09-03 17-21-06,-17497,-15,40714948927,1414709510,AOvppoPp,40732662921
nokia,-63,2024-09-03 17-23-27,-22817,-107,40770994634,-1602870463,HaDRhDcC,40708471021
nokia,-116,2024-09-03 17-23-18,32086,30,40713254006,1155915577,EVfyphsO,40731872947
nokia,127,2024-09-03 17-22-55,11587,12,40764553677,-2045068555,HHFmVnRn,40760589749
nokia,124,2024-09-03 17-22-10,3862,30,40767298146,210831834,PhXrTkgM,40708945934
nokia,-49,2024-09-03 17-24-03,-5320,-49,40720352598,-1108788217,MwVIkPaF,40729228268
nokia,-58,2024-09-03 17-23-03,-15363,101,40760307862,1003422618,BMvspmHr,40748567278
nokia,54,2024-09-03 17-20-14,1935,5,40777493150,-1115817736,AmsDUydW,40736015242
nokia,127,2024-09-03 17-21-44,20328,56,40779296047,-2007445033,fQuoyCsj,40796915969
nokia,-77,2024-09-03 17-21-44,-4162,81,40772559994,1509027713,XFeViGvj,40787153788
nokia,-90,2024-09-03 17-23-46,13711,-102,40789763782,1667901579,jGIshZUx,40730453343
nokia,70,2024-09-03 17-22-17,32558,113,40777551770,1986469246,dlmWNISw,40737155108
nokia,37,2024-09-03 17-21-56,-485,54,40742114929,-226332364,oVKoBwiw,40718308028
nokia,119,2024-09-03 17-21-29,-4457,-33,40759958557,1818603181,WcISgPZo,40705848464
nokia,-18,2024-09-03 17-24-20,-20811,112,40725759342,1736349497,IBVCAqHG,40771033300
nokia,89,2024-09-03 17-24-26,-8484,-109,40730943660,-1557708913,tXHNQzXT,40725546764
nokia,-124,2024-09-03 17-22-50,6822,25,40774917526,1820202714,neomNFxf,40777873284
nokia,-16,2024-09-03 17-23-24,9524,28,40792870582,-1344386325,aPBzhGBu,40710750951
nokia,-3,2024-09-03 17-20-48,-11865,-83,40738845143,1311910798,RoTRkHxS,40797082225
nokia,-29,2024-09-03 17-22-14,13513,0,40784168552,-808450580,XHdEFHtI,40702949166
nokia,-91,2024-09-03 17-22-11,9926,32,40719726607,1893009914,WubOPYSQ,40700703835
nokia,-51,2024-09-03 17-20-07,-14926,-1,40764105390,-1594513566,DNGIghES,40778574981
nokia,-21,2024-09-03 17-23-10,-6142,-67,40711656908,-502488985,bBMKMQje,40702270999
nokia,44,2024-09-03 17-24-34,27627,71,40736496763,1227941878,hPUrWLHp,40783765436
nokia,-61,2024-09-03 17-24-00,-2996,-46,40713554157,-824707559,yuLXgJrx,40741105418
nokia,-51,2024-09-03 17-22-24,-2245,-100,40749727964,-506329117,jRUeOjSD,40735388617
nokia,-67,2024-09-03 17-24-06,17279,-127,40763140361,1293652990,LOdQtcUW,40730543322
