src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-124,2024-09-03 17-44-38,-10539,11,40733459176,-953337422,hbSTmblc,40771123261
nokia,49,2024-09-03 17-43-05,-5329,-71,40720017417,-1291789957,SHvccZeg,40754787201
nokia,-48,2024-09-03 17-44-21,28226,31,40703876742,-1053977441,MhqVViQn,40720367994
nokia,105,2024-09-03 17-41-36,-21876,-68,40720699438,-5160081,BCfmOMBH,40715060493
nokia,-70,2024-09-03 17-43-03,-29158,96,40786645395,1360233838,zkgCdHjz,40799943551
nokia,-118,2024-09-03 17-41-10,-24566,102,40782425856,476289445,loGuwGLv,40745272493
nokia,4,2024-09-03 17-41-22,-14984,68,40752265282,-2104440413,RcwANxHQ,40762340200
nokia,-119,2024-09-03 17-44-48,13872,-46,40788653163,-52802405,ynbIaeHb,40740778798
nokia,79,2024-09-03 17-44-06,-13694,94,40705103997,-1484683635,NhjTnBJf,40762435594
nokia,58,2024-09-03 17-44-55,31616,62,40790797849,778127109,FnKuyamW,40731102399
nokia,74,2024-09-03 17-42-16,-2442,-105,40789526698,-2025573953,GWdShIbC,40760564244
nokia,-89,2024-09-03 17-44-28,-29834,-95,40729855102,1419287391,wnSVOoXA,40756659975
nokia,94,2024-09-03 17-40-35,-3677,49,40726405832,668380774,SeQZnRUY,40713615359
nokia,-19,2024-09-03 17-40-29,-21217,103,40701744597,1063425801,YKgqzWju,40717929697
nokia,84,2024-09-03 17-42-46,22782,62,40715045013,1249554440,DPaKDJiZ,40765993619
nokia,47,2024-09-03 17-44-45,-19272,96,40706422422,1638990662,PYMchxpn,40751227168
nokia,-110,2024-09-03 17-40-48,-11296,-106,40778343652,-391695916,RQPLQXqf,40762998619
nokia,-67,2024-09-03 17-40-25,17228,31,40783579061,-800518138,JkPQduaM,40764102981
nokia,-10,2024-09-03 17-42-36,31449,-127,40797398189,651814054,tMeBhLEB,40746085709
nokia,-24,2024-09-03 17-43-03,30141,-63,40767931046,-804803640,ejAEabzM,40713550385
nokia,-102,2024-09-03 17-44-59,-23388,-73,40745418650,1371844197,rnLDiWox,40759014572
nokia,-40,2024-09-03 17-40-09,-20510,110,40723249855,1405405580,WiuaaVup,40778792877
nokia,99,2024-09-03 17-42-31,-19342,4,40761066699,-1020588560,GhhowXBV,40742562950
nokia,-79,2024-09-03 17-43-22,9307,-46,40774128208,-1725256481,SqcxUItl,40725445615
nokia,-87,2024-09-03 17-42-43,-25572,126,40722300899,-1459459363,eCCWyWWm,40764460485
nokia,-110,2024-09-03 17-43-06,-11658,-98,40760179286,805466093,YXXKZLjc,40708764469
nokia,100,2024-09-03 17-40-07,-18737,-83,40767294942,439372085,RlbDLwNe,40786225380
nokia,105,2024-09-03 17-42-32,4774,36,40751505203,122949458,NGuSXTsW,40770493911
nokia,-19,2024-09-03 17-44-53,31639,-53,40768902928,-1453624132,tPReZHJJ,40762072228
nokia,66,2024-09-03 17-43-42,-266,-60,40770940735,-387394037,eKFJjVoE,40706325076
nokia,54,2024-09-03 17-44-21,-30021,-80,40797160557,-371250215,liVJvxXk,40704385942
nokia,108,2024-09-03 17-40-12,-22482,-127,40790343281,69520751,yNJOVJmY,40736428988
nokia,63,2024-09-03 17-41-08,-32137,30,40790936786,-1922424453,qZasyCTT,40724934996
nokia,109,2024-09-03 17-40-36,-15464,-43,40719381037,-1577791082,xcmgVYRf,40766019635
nokia,-79,2024-09-03 17-42-56,-21208,40,40745642283,1075698246,tnHQjUkS,40714404680
nokia,107,2024-09-03 17-42-05,26452,-4,40757118680,-1590675211,uLHNepYt,40717263943
nokia,24,2024-09-03 17-44-37,12128,-43,40723083209,287425693,jNCmfjcL,40786382737
nokia,-101,2024-09-03 17-40-46,110,77,40791832615,1238415843,qyVlMNci,40730009841
nokia,-96,2024-09-03 17-44-11,-1670,25,40725504340,471404617,kZFeGbPP,40741943149
nokia,23,2024-09-03 17-43-57,-5350,125,40764197557,-213112070,DCkbIuqD,40722895778
nokia,51,2024-09-03 17-43-44,11129,38,40754636114,-175558862,AfotGKLl,40746227566
nokia,-97,2024-09-03 17-43-19,24149,-23,40751298495,1803706348,AQnuHuQP,40755381122
nokia,30,2024-09-03 17-41-24,31129,-75,40710163187,411942020,IScKAibE,40790774732
nokia,36,2024-09-03 17-44-44,25503,65,40711239860,208450336,EGZMpiyN,40756419750
nokia,-44,2024-09-03 17-43-08,-16578,104,40757353402,1599089019,VChZOlVl,40738382764
nokia,62,2024-09-03 17-43-46,7872,-41,40790672344,-1425178259,qjLbOaae,40756301492
nokia,-77,2024-09-03 17-41-45,-22307,-24,40705313165,-1761183058,FkzBCsEI,40777596987
nokia,-57,2024-09-03 17-42-25,3538,-5,40711322253,-1538393422,rdBjiGhz,40713744814
nokia,77,2024-09-03 17-41-55,-30212,115,40767800977,1800182220,sxsKJNnR,40718990266
nokia,-127,2024-09-03 17-42-48,30768,87,40714090104,-248230874,UMqwGFyp,40761213174
nokia,-92,2024-09-03 17-42-31,2558,36,40732408966,1694031374,mhxkoUTu,40756933235
nokia,-47,2024-09-03 17-43-44,-3222,84,40717627308,1617997959,jYtIAUtS,40794372080
nokia,100,2024-09-03 17-43-25,6812,-89,40702825641,1265515506,IHZRPEjD,40744424393
nokia,107,2024-09-03 17-44-30,14741,-115,40705995854,-2012102195,IoajyPZq,40793982342
nokia,70,2024-09-03 17-41-39,30701,-64,40708829374,-485854464,RttJFQmS,40796128350
nokia,59,2024-09-03 17-41-06,3298,108,40797773343,109935478,JzzwfDrr,40784532809
nokia,-54,2024-09-03 17-42-33,24448,39,40706844192,-445654438,TEXfoLrq,40736125327
nokia,3,2024-09-03 17-42-55,7787,-53,40769206750,-266421520,IYWwtxHD,40753352626
nokia,38,2024-09-03 17-40-25,31498,-110,40758484312,-1722917059,SffMwNJc,40754845335
nokia,-6,2024-09-03 17-42-47,7353,15,40741242213,1131152477,EIFqoARQ,40775912042
nokia,-38,2024-09-03 17-41-41,30668,-62,40795189495,-1703269155,NENoNODc,40704080947
nokia,53,2024-09-03 17-44-40,-14661,11,40748780859,1299859045,ekPLweaz,40718791384
nokia,-97,2024-09-03 17-41-37,32289,4,40724573782,-695847386,vmOrjKRr,40717387091
nokia,0,2024-09-03 17-43-13,-24140,125,40719280356,-358839846,ieYQuZKX,40743587521
nokia,-16,2024-09-03 17-41-58,-27054,-44,40793433433,-687788778,DOYqkcYi,40736157006
nokia,86,2024-09-03 17-40-35,-19620,-17,40745145446,1971859475,azxNStBo,40783458162
nokia,-81,2024-09-03 17-41-04,7970,66,40750920684,-296708841,yEohrJba,40782701018
nokia,59,2024-09-03 17-42-18,1294,-94,40783489001,1961969602,CDGIRepD,40760254025
nokia,-4,2024-09-03 17-40-41,-21828,60,40747737823,732094270,iVEzpYSp,40790187633
nokia,-6,2024-09-03 17-40-25,-8338,45,40727245121,-268922112,RPkHlVCW,40725278147
nokia,99,2024-09-03 17-45-00,29588,-30,40796385027,935350774,QwHptZqM,40782120074
nokia,71,2024-09-03 17-40-26,25513,-66,40792274670,715382981,qQcGHQfp,40748169413
nokia,22,2024-09-03 17-44-38,14225,60,40706084274,-395276146,DScTDrsi,40793209800
nokia,-52,2024-09-03 17-40-46,11496,124,40778317803,728481251,KfDqQqnO,40704821766
nokia,82,2024-09-03 17-41-56,-1971,93,40708153752,-675366610,XnukOBjw,40730852152
nokia,120,2024-09-03 17-42-58,-31075,-60,40784680522,589583903,XUkGXWJD,40778184336
nokia,91,2024-09-03 17-44-11,-30426,-48,40719462254,-1824774337,WPoVqcEB,40780884166
nokia,64,2024-09-03 17-43-11,10133,84,40708808680,-483725920,aNVYyVoA,40797273114
nokia,-9,2024-09-03 17-42-56,11060,46,40741411528,-26772956,vtCrHDSL,40704687189
nokia,-127,2024-09-03 17-40-32,-10488,87,40724102906,316731042,iQxPWgte,40708824098
nokia,-50,2024-09-03 17-40-05,-28973,125,40761069930,88185462,uHkbjbob,40785841305
nokia,127,2024-09-03 17-42-15,-8684,-100,40793241516,1325212687,apGJJLjc,40779570244
nokia,-51,2024-09-03 17-44-28,30881,97,40714938628,-347471758,hvfROIrc,40721412055
nokia,-26,2024-09-03 17-40-28,5169,-53,40780456835,1216894893,BfKrwqcw,40734521083
nokia,-28,2024-09-03 17-40-36,4345,46,40739594332,1047989895,AeKHVdXZ,40757811060
nokia,-88,2024-09-03 17-43-31,13959,91,40797749691,-898752134,uCybGxDf,40759300860
nokia,35,2024-09-03 17-43-46,2219,-25,40703443209,-1629914745,ySIRNFqx,40760267813
nokia,121,2024-09-03 17-40-50,-7979,75,40727981435,-1517056154,yPPHtcdv,40747001484
nokia,-126,2024-09-03 17-40-23,3460,31,40747984014,-759123599,MTwLifNT,40770281728
nokia,2,2024-09-03 17-40-09,-12116,111,40748060272,1720539345,niBwteau,40728881623
nokia,53,2024-09-03 17-43-46,8770,75,40730879038,-796899682,VciJDRaW,40714704043
nokia,-38,2024-09-03 17-44-52,20260,80,40757925630,-1069128284,BaFXqJNc,40788807898
nokia,104,2024-09-03 17-42-40,19831,-30,40734115754,-1480423697,sjumtjuh,40763395704
nokia,29,2024-09-03 17-41-26,-28616,-70,40795646651,-1680955429,ChGJEwBp,40709816207
nokia,56,2024-09-03 17-42-56,11419,61,40718306675,-244597882,RlWgtoMW,40776406070
nokia,35,2024-09-03 17-41-40,-19335,-63,40794797141,1576831643,Xkrjtvhr,40751177985
nokia,106,2024-09-03 17-40-13,-6248,-51,40704411691,-1806360818,bIEPzgQO,40791601296
nokia,114,2024-09-03 17-44-31,12779,84,40752718932,-818776305,sbQhELAM,40710294851
nokia,-88,2024-09-03 17-42-10,8971,122,40717893001,-783605068,JFKFDTRV,40723267979
nokia,-113,2024-09-03 17-44-54,-18409,-11,40762335192,1642325021,AqNwKjck,40777212909
nokia,-3,2024-09-03 17-40-16,-30406,-29,40747541385,-1662608097,imeGdTEK,40733180124
nokia,0,2024-09-03 17-40-31,28214,86,40756269499,718680532,pRSVIAgC,40761032954
nokia,-80,2024-09-03 17-44-02,-18256,62,40745728785,-505714452,nqiAJrsy,40783278370
nokia,-126,2024-09-03 17-41-09,-32727,90,40793205191,-1732065153,iQZVbHif,40788857077
nokia,-32,2024-09-03 17-44-54,21914,82,40791327566,682573314,DtLwwmKY,40792725759
nokia,-79,2024-09-03 17-41-47,16137,-124,40740164757,1633837271,PoKKzhNS,40734675941
nokia,-41,2024-09-03 17-42-58,-16192,2,40781374993,-702238299,cRWtLdyb,40708563838
nokia,-57,2024-09-03 17-42-17,-6295,-62,40720424595,1984962766,cpJahtgz,40783399601
nokia,-72,2024-09-03 17-44-31,9849,112,40793637964,147514280,RRnkGywt,40760266126
nokia,111,2024-09-03 17-41-38,-5605,-67,40759731273,159609423,cxgSUlZH,40772083185
nokia,-89,2024-09-03 17-43-29,20206,47,40783542716,-1628803119,RKoirYyX,40769578483
nokia,84,2024-09-03 17-44-45,21657,125,40770202844,1285678956,aFUMwmML,40730691047
nokia,100,2024-09-03 17-41-56,22138,37,40712657037,-635335094,xlciHgIm,40790250927
nokia,-30,2024-09-03 17-43-06,-13927,-98,40767415837,-1135689450,BTzYqmsO,40763153006
nokia,-15,2024-09-03 17-44-20,18367,-10,40738997067,-1527100370,zpmdHZtn,40776842600
nokia,116,2024-09-03 17-42-18,-13765,97,40722905862,50872654,ufiFeZyk,40723684337
nokia,-64,2024-09-03 17-41-49,-24417,-126,40767397793,322983960,orxRDzsw,40723378448
nokia,-31,2024-09-03 17-44-33,-13931,-35,40784277251,1503835948,vAWJrQun,40778956043
nokia,55,2024-09-03 17-41-17,26575,47,40786202584,1664018763,GbSmucIv,40763425901
nokia,-117,2024-09-03 17-41-14,12032,-118,40732035217,31228570,aEezculw,40764853416
nokia,66,2024-09-03 17-42-33,-23471,121,40717251605,-821237215,yLanxbQQ,40739394048
nokia,-111,2024-09-03 17-43-30,2225,-100,40778947878,-177851148,tTasdRfF,40756473319
nokia,8,2024-09-03 17-41-13,27251,-97,40779913557,-1087356262,pecBtYdP,40784338010
nokia,-16,2024-09-03 17-41-22,19201,68,40762525374,1002204915,NflCstOH,40729056503
nokia,117,2024-09-03 17-40-50,-17218,19,40724776521,-826577945,soQceMnw,40701446997
nokia,-75,2024-09-03 17-43-53,-22603,-101,40767637637,-854535854,HIkKYNQY,40769374543
nokia,-45,2024-09-03 17-42-28,9419,108,40786511421,229942887,SYiebZGd,40798918094
nokia,-56,2024-09-03 17-43-06,-14463,-125,40757522025,722249631,FIUXiaia,40746298990
nokia,-6,2024-09-03 17-41-52,-16453,-108,40754537230,-2071930608,GroYPhXD,40768968064
nokia,-104,2024-09-03 17-42-46,-18627,-83,40757271829,-1893698259,PPYvVbYL,40738258356
nokia,-32,2024-09-03 17-44-52,-9315,110,40763943822,-642344414,EbEyUzBq,40788880172
nokia,-16,2024-09-03 17-40-33,-1166,-93,40772697362,-1835876938,CZsejFBo,40754092981
nokia,117,2024-09-03 17-43-56,9093,-40,40704819540,1456613956,SeOBDLwb,40759766452
nokia,-64,2024-09-03 17-42-50,-9824,-39,40745672358,957242148,GwQtBwXu,40768044770
nokia,-109,2024-09-03 17-42-44,-12979,89,40792880020,2022067624,YHQptHgv,40704706364
nokia,48,2024-09-03 17-41-34,215,17,40762589991,1242832447,pGNwtQia,40731352631
