src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,45,2024-09-03 18-01-37,-25362,-110,40779131334,-1802714955,jtfeNJTr,40710932940
nokia,125,2024-09-03 18-00-40,7848,-30,40733846189,-64654548,eekPuMNs,40795098073
nokia,-105,2024-09-03 18-04-54,27013,58,40797407140,-1582031101,gJebpoFx,40786588944
nokia,-47,2024-09-03 18-02-02,-14469,66,40718595695,473542047,YshoAPnj,40783550729
nokia,-107,2024-09-03 18-02-12,22895,7,40741377365,-737057777,jYKNJeNG,40713862728
nokia,111,2024-09-03 18-00-48,-13864,-21,40728894209,-1020475934,HxnOGNNy,40743642154
nokia,-52,2024-09-03 18-04-02,4732,21,40783685201,1520233970,urDXjYHT,40747482648
nokia,-25,2024-09-03 18-00-19,-21158,86,40705844701,-430908956,pzLlNWHt,40756481494
nokia,48,2024-09-03 18-02-49,4248,-17,40776440768,1428081270,SGImGxbX,40704815021
nokia,2,2024-09-03 18-01-37,-25742,-88,40711448580,-134345278,LrQPqTRG,40722638896
nokia,35,2024-09-03 18-00-02,26948,-39,40704062290,995393887,FZwGTynT,40742978967
nokia,-17,2024-09-03 18-01-51,3116,94,40755732080,-1895970497,hiFVfwku,40765270371
nokia,-89,2024-09-03 18-03-31,31252,70,40757257175,-39684237,jwAMBwmV,40791351670
nokia,-75,2024-09-03 18-03-08,21866,115,40766405407,1124906532,ZlPTcPeX,40706523413
nokia,-24,2024-09-03 18-01-23,-6038,-94,40784750212,-1588680574,FjEHzxJk,40763159715
nokia,-28,2024-09-03 18-04-46,7362,-42,40781494935,231512591,qHHJdIRW,40772894640
nokia,-108,2024-09-03 18-03-24,16010,39,40713501788,135733078,YeiyESie,40732137823
nokia,-19,2024-09-03 18-03-44,-11339,-107,40702064808,1595526596,PWgKYWln,40738281678
nokia,117,2024-09-03 18-01-05,22708,-86,40726938086,-936563936,dPNcsjKR,40761031809
nokia,73,2024-09-03 18-03-37,-113,-95,40791004577,-1392690261,ATXAIsDv,40788548834
nokia,-101,2024-09-03 18-03-03,-23092,-56,40711427895,-2051739985,VLOJkFKD,40705516034
