src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-44,2024-09-03 18-22-02,-15005,46,40799970068,1942637659,zuWVROfi,40712045592
nokia,123,2024-09-03 18-24-13,-24611,-75,40717619393,1885019943,HnJQzErL,40746611230
nokia,-20,2024-09-03 18-25-00,-25750,-50,40798026533,725479720,GuItNszI,40725116911
nokia,9,2024-09-03 18-21-31,-22009,30,40738696938,1603214199,MQYuZQmn,40745431823
nokia,43,2024-09-03 18-20-08,-17787,99,40708148425,-46054553,feHnicls,40770428423
nokia,-68,2024-09-03 18-21-55,16067,-97,40798839675,-913596215,ccTZnNIP,40701510337
nokia,97,2024-09-03 18-24-11,-25850,113,40791230286,-160935500,vFYZBSCG,40788569517
nokia,102,2024-09-03 18-22-06,-17484,77,40727337354,1865670522,ZXNsDeTJ,40718825907
nokia,-6,2024-09-03 18-24-55,20912,-126,40738929736,-901486354,HRfGETPW,40767439814
nokia,31,2024-09-03 18-23-14,-4383,-23,40725681614,308698460,sKBinYvT,40719646927
nokia,73,2024-09-03 18-23-20,-31438,-29,40725877987,725565713,qVSZwGgn,40784757492
nokia,76,2024-09-03 18-22-05,-24703,-29,40713902343,-1329299791,BlruhhFV,40798359860
nokia,90,2024-09-03 18-24-30,16241,66,40797682506,683529625,kVBTMiGS,40747497145
nokia,-75,2024-09-03 18-22-45,24832,110,40735886706,-1481883570,VipLIOfg,40713320987
nokia,99,2024-09-03 18-20-27,2293,-3,40727653199,1952525395,aevcqFyg,40741862050
nokia,67,2024-09-03 18-24-25,22181,46,40721105797,-1269348635,pnbtDUJh,40723121071
nokia,-40,2024-09-03 18-23-51,19284,-86,40711936984,-591534485,BSsyEvBn,40726317830
nokia,38,2024-09-03 18-22-12,-4991,-14,40729402888,-1483446987,ZvdWdSjy,40794245680
nokia,101,2024-09-03 18-20-38,-19633,98,40748586694,-924597195,luzviYFg,40726565982
nokia,-37,2024-09-03 18-21-07,-1469,4,40728621021,303928479,lgVnUZrE,40791780732
