src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,105,2024-09-03 18-30-17,-2633,-96,40727753655,2033687692,ZGQobFmf,40742775829
nokia,16,2024-09-03 18-30-10,-24704,-64,40767796102,-936599228,PLVclkEQ,40747595563
nokia,-12,2024-09-03 18-31-35,5349,-108,40773371872,88858130,fnNCKGoS,40768378112
nokia,-88,2024-09-03 18-34-41,-20204,-48,40720031401,269718588,PwYCJTPd,40788357406
nokia,13,2024-09-03 18-33-42,27876,49,40761807661,2094658336,tJxlcvnE,40717458804
nokia,-94,2024-09-03 18-30-32,-24866,99,40767877713,543396893,BIOiqdqJ,40770286712
nokia,-106,2024-09-03 18-32-08,-13934,-83,40705878574,-899065955,WbUTRcyt,40726468837
nokia,-11,2024-09-03 18-31-13,-23776,-97,40701159110,-300185068,AHcmLovI,40789635005
nokia,-59,2024-09-03 18-34-58,-23528,-83,40762747347,1673732899,kLTHamXm,40799929281
nokia,63,2024-09-03 18-30-37,-5684,-17,40722580942,-944389839,lbBNggXp,40726473601
nokia,-103,2024-09-03 18-34-35,-27602,-96,40760877124,1009941100,GpCKLwUG,40718808840
nokia,118,2024-09-03 18-30-25,25475,-14,40736236875,651876324,IXhBNcIe,40710979343
nokia,12,2024-09-03 18-31-50,-26375,97,40730770494,319043108,hKmFvsld,40765371767
nokia,-48,2024-09-03 18-34-54,-7454,47,40750389454,-1661656738,CjOlduSW,40704948226
nokia,-65,2024-09-03 18-32-13,-13796,-108,40709368743,-240929733,BLpjVBXY,40729186956
nokia,117,2024-09-03 18-34-14,7842,38,40743374242,-994440849,LBrxTTzj,40776451822
nokia,63,2024-09-03 18-34-13,-6296,33,40762617692,-1200352897,EWPeIxYU,40717925358
nokia,74,2024-09-03 18-34-29,-12132,-72,40739807176,876966357,tsrHWeBC,40777475821
nokia,-49,2024-09-03 18-32-18,11166,81,40779554706,-1547329607,jLeHNUWt,40734260247
nokia,-114,2024-09-03 18-31-33,29468,-100,40786581445,-608832405,MARtexMZ,40787125751
nokia,19,2024-09-03 18-30-17,26649,110,40775092492,340337289,zNGpupTy,40755840534
nokia,53,2024-09-03 18-33-34,9950,-55,40721586957,1431225091,AKUSWeSh,40718353764
nokia,100,2024-09-03 18-34-54,3628,62,40798476889,1303798257,XcXtmbNP,40744166248
nokia,-89,2024-09-03 18-33-38,-6,-90,40765883231,1656098500,aVgbTNUa,40773617336
nokia,94,2024-09-03 18-30-39,29317,93,40752243973,2138771451,cXrMEoyE,40729173513
nokia,34,2024-09-03 18-33-42,7581,-31,40706647073,454734705,jaWAfAkx,40739162859
nokia,-52,2024-09-03 18-34-17,26610,41,40787850104,1380399620,AESCVylt,40733040424
nokia,28,2024-09-03 18-33-15,781,69,40744602172,-2109817260,tSrZukLJ,40748292115
nokia,75,2024-09-03 18-30-54,13211,-6,40758096430,2137139955,ODVfmoNs,40767751466
nokia,93,2024-09-03 18-33-20,-7641,4,40795465667,-200842253,sQJYtaHJ,40726081962
nokia,16,2024-09-03 18-34-12,-26592,-21,40772090478,-506108200,wVuZTWUv,40761568243
nokia,-115,2024-09-03 18-34-16,-31239,77,40745257583,-955638121,qoJPNhqc,40734380708
nokia,-52,2024-09-03 18-32-09,1816,82,40722905879,-2131527964,zOimeBpP,40747926867
nokia,-56,2024-09-03 18-33-39,2190,31,40734202216,-1864228329,vltAEDRT,40755846960
nokia,-1,2024-09-03 18-31-39,27691,108,40732763863,448215597,MbdbOrqV,40717137795
nokia,100,2024-09-03 18-34-23,-5022,20,40771839883,1285883528,mEQhLubb,40733672166
nokia,-60,2024-09-03 18-32-43,15861,22,40773989505,-797131999,qLHwqAUT,40783589108
nokia,-95,2024-09-03 18-31-50,-8282,-26,40781863491,-759245815,GsfWzEOQ,40777737329
nokia,102,2024-09-03 18-31-37,24552,-82,40729140658,2023072559,oFPdHdAe,40737088951
nokia,-11,2024-09-03 18-30-28,15536,56,40767136155,-428708160,NDzVWZPY,40798669650
nokia,49,2024-09-03 18-33-09,-26436,34,40730374706,-522818578,YkhyypbZ,40717531871
nokia,-83,2024-09-03 18-34-29,-3391,117,40720221047,-889192295,xDwftdhc,40776545167
nokia,-55,2024-09-03 18-31-23,8072,32,40796337590,-677994769,iJWEcknD,40779015646
nokia,37,2024-09-03 18-31-09,-24482,-42,40714402042,-1991691236,csizyogi,40754746063
nokia,-49,2024-09-03 18-33-00,25025,36,40727460524,1828843468,JAMnIGDY,40704388185
nokia,43,2024-09-03 18-30-03,-13156,42,40792426184,1810996081,TctPoJzV,40735940610
nokia,21,2024-09-03 18-34-48,483,102,40777212143,-720845651,XSBOPDBp,40717601867
nokia,54,2024-09-03 18-34-01,10012,-86,40787921211,1058535304,tQebEzDm,40720257793
nokia,27,2024-09-03 18-32-11,3009,-102,40703157206,-2087920171,IlDFJNRR,40703411916
nokia,-121,2024-09-03 18-33-12,23921,105,40705432916,1111195331,PlVgZtql,40774315231
nokia,-66,2024-09-03 18-30-37,25911,-100,40710885963,820099811,mBNkjzXR,40758165965
nokia,-4,2024-09-03 18-33-24,167,-48,40729128704,-1754557488,iTawtynK,40774686004
nokia,-26,2024-09-03 18-32-56,27717,-77,40700493194,-588650194,KqklACbk,40777749573
nokia,44,2024-09-03 18-31-41,14751,-28,40729141903,-430771867,sRazdYla,40760798683
nokia,-119,2024-09-03 18-33-15,-8655,-98,40729340310,2066297802,RAzhhvXT,40708145036
nokia,-126,2024-09-03 18-33-53,-8517,105,40760581035,1529951092,QKVgyanb,40774401752
nokia,28,2024-09-03 18-33-18,16642,-46,40785432098,-177240985,fgtXINIR,40738612983
nokia,-14,2024-09-03 18-33-11,26272,58,40790418646,-1898077829,QwYjamew,40767954398
nokia,19,2024-09-03 18-34-39,-18477,-64,40708096669,1044899072,tdWnZJfs,40734564242
nokia,126,2024-09-03 18-34-10,9518,-93,40749271813,1161720742,pSEkbvWl,40745285694
nokia,-30,2024-09-03 18-33-00,15687,-125,40712707574,-1105599669,qMekkKgJ,40745574563
nokia,-25,2024-09-03 18-30-56,-9908,113,40746007109,2119382793,fPRwlUky,40718992520
nokia,97,2024-09-03 18-34-46,21664,44,40794560935,1874161325,yWCREzWW,40708893384
nokia,104,2024-09-03 18-31-15,-12024,-68,40743233500,2131967246,ArpKkCnH,40788480247
nokia,60,2024-09-03 18-34-20,23702,127,40767830292,-2140227175,uIqxSYZP,40761011592
nokia,25,2024-09-03 18-34-35,14597,89,40784704198,-910749729,JNxONiwO,40767552832
nokia,-6,2024-09-03 18-34-42,24591,37,40748376083,-1261732766,oYGMfabE,40715320004
nokia,123,2024-09-03 18-30-38,26050,-42,40775601487,1981956574,YMteRIAg,40744499888
nokia,-28,2024-09-03 18-34-43,31085,-56,40786822570,657607623,TUxNZuNz,40714413583
nokia,62,2024-09-03 18-33-10,-14620,71,40726850277,2097609488,fWHyMTde,40719485122
nokia,78,2024-09-03 18-35-01,13409,123,40741373124,-1395178007,csqFohHr,40771154750
nokia,123,2024-09-03 18-31-07,-19542,-99,40789896454,827506285,tfufJcqB,40772137773
nokia,24,2024-09-03 18-30-09,-24116,-128,40703250943,-260103562,dSfXWwzz,40703495751
nokia,-84,2024-09-03 18-31-05,30865,42,40722923652,1208966366,gworwOsa,40798195741
nokia,104,2024-09-03 18-34-34,-25721,17,40760698717,2049232765,GekSdzJZ,40719520508
nokia,-19,2024-09-03 18-33-46,-8941,42,40709582428,574289144,dMiRnLqn,40711698195
nokia,-99,2024-09-03 18-31-27,-9985,31,40738612678,1619309192,izDrtfaU,40781974621
nokia,-85,2024-09-03 18-32-17,-18673,-25,40762917030,929443325,ACsqTlMg,40771663801
nokia,-100,2024-09-03 18-33-27,25152,76,40744620595,-1585336712,xYiQkJpj,40780990317
