src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-34,2024-09-03 18-48-39,-18934,46,40707690580,1823170671,VXvxXOls,40759844372
nokia,-49,2024-09-03 18-49-18,-22387,-90,40771044928,1350350282,dgPVgBiB,40701730059
nokia,-67,2024-09-03 18-47-32,23119,108,40725796792,-393171896,NNWhlprv,40733068323
nokia,-50,2024-09-03 18-47-47,-8924,-45,40703236187,2020550912,sbGwcmDQ,40792751273
nokia,-59,2024-09-03 18-48-36,-22507,-117,40714330715,-1802496316,YGGAznVi,40712972539
nokia,114,2024-09-03 18-46-41,-31645,97,40793663766,-1398805640,arHqbqXp,40712346770
nokia,-59,2024-09-03 18-48-23,-2402,120,40776269200,218353499,RzBbIukx,40711923371
nokia,114,2024-09-03 18-48-37,10533,-99,40715975322,477727133,kBwlOeYe,40774440173
nokia,-6,2024-09-03 18-49-16,17225,59,40783758830,-415791680,lMqjKzPa,40761486487
nokia,-65,2024-09-03 18-46-25,-11481,-52,40730385232,454030863,iTNFUksK,40701949579
nokia,70,2024-09-03 18-45-27,23417,-86,40704141649,1692461153,OhQAAfnF,40732899458
nokia,-108,2024-09-03 18-48-39,4152,-66,40759499794,425252038,tSDNVoQo,40735398232
nokia,-111,2024-09-03 18-47-33,-27332,-36,40793184599,1793526670,MVAkKgkP,40704445048
nokia,115,2024-09-03 18-48-56,25757,49,40700811201,-277374837,mvbGQhRZ,40722693826
nokia,87,2024-09-03 18-46-36,10711,-39,40775452439,-1883615271,kSLDaHQY,40788577861
nokia,-68,2024-09-03 18-49-33,-23061,-44,40743815279,-1359907252,PkheUwaj,40740001040
nokia,95,2024-09-03 18-46-16,28869,7,40701674872,-717626817,OGRCmlSO,40799982624
nokia,-61,2024-09-03 18-46-24,5971,110,40720883232,696583767,cOWOPrGM,40731819285
nokia,-51,2024-09-03 18-47-29,22817,-55,40750396752,1983743276,sIfVzjkU,40732964316
nokia,121,2024-09-03 18-45-07,-19547,18,40767129318,-449875156,vHktgGWK,40722654831
nokia,-77,2024-09-03 18-48-49,-5679,78,40747417636,531458033,uYXJHASl,40749377642
nokia,-61,2024-09-03 18-48-28,27897,-6,40779834939,412156231,XaMHhUiI,40772091170
nokia,-117,2024-09-03 18-49-41,11658,1,40768864872,-92684235,bJBrJNoG,40750946908
nokia,18,2024-09-03 18-49-54,9172,-67,40757102143,815781462,LgSSNpeN,40706336992
nokia,-86,2024-09-03 18-46-24,-9153,-39,40740295067,1585859886,iHdZLXdF,40794514091
nokia,-55,2024-09-03 18-49-37,16521,-23,40752243890,-2117386980,kWVLmKUi,40762208697
nokia,64,2024-09-03 18-49-49,30383,90,40725022702,-1033236729,qjZOublZ,40708609457
nokia,124,2024-09-03 18-46-48,3013,95,40761674701,-2010681964,wBrsUMTe,40791855545
nokia,96,2024-09-03 18-46-21,-23753,-46,40740429318,480191763,DjhmtTRA,40760901482
nokia,-39,2024-09-03 18-45-24,468,-116,40756631272,-1734562442,DxQPArwZ,40728157174
