src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-42,2024-09-03 19-00-30,-32558,115,40701484535,-560418010,aWlIeUfR,40726717806
nokia,-40,2024-09-03 19-00-04,16777,-75,40708304968,763182439,cTtsPtMG,40742397471
nokia,11,2024-09-03 19-03-58,-4288,3,40732557381,208674732,AwpWUaUW,40750940529
nokia,86,2024-09-03 19-03-51,14135,-65,40797480163,-1565268405,VyVGQmOs,40708848340
nokia,116,2024-09-03 19-01-12,-28379,16,40780524008,1797410247,VMGjQvaH,40752335020
nokia,54,2024-09-03 19-04-42,13478,-27,40758329266,-2126487916,TfXxTZdS,40714564685
nokia,-40,2024-09-03 19-02-33,-13797,-24,40771808858,-1560744235,QzVvqkRd,40734231934
nokia,49,2024-09-03 19-00-37,12716,13,40797372607,921262358,jXevLoeX,40758914036
nokia,117,2024-09-03 19-02-22,26359,40,40758703496,355718908,trnWQYBa,40720665024
nokia,-44,2024-09-03 19-03-47,-14107,-11,40754407210,-373908094,SOBGcHgi,40750869653
nokia,125,2024-09-03 19-01-16,-6590,1,40772123093,-381368753,VvangAVl,40791941143
nokia,97,2024-09-03 19-01-22,20442,39,40781559986,1758069618,rpPzWxZm,40716373537
nokia,-5,2024-09-03 19-00-46,-18672,85,40769171716,-1237099663,zsBExKlV,40736878585
nokia,21,2024-09-03 19-04-32,1554,11,40768736804,169182778,PhLRMTdl,40783882085
nokia,22,2024-09-03 19-02-55,-17542,115,40711543868,347099482,yfdngVjk,40761588704
nokia,60,2024-09-03 19-00-11,-28480,63,40743842600,1695150015,BrdYMGDc,40745654991
nokia,-108,2024-09-03 19-00-26,27507,79,40796718815,1227530769,IoIwRGoP,40707560922
nokia,62,2024-09-03 19-02-27,-18358,-40,40783723191,1446029513,vutRMOZk,40775099067
nokia,-18,2024-09-03 19-03-05,20109,106,40790025687,386153157,UFenLsXX,40774273115
nokia,-97,2024-09-03 19-00-24,3197,-36,40711012308,-1216577202,yYHDgoBy,40730392001
nokia,79,2024-09-03 19-03-55,-26755,-92,40760712368,-747677291,vWURQxzl,40799301359
nokia,-38,2024-09-03 19-03-29,27456,-98,40781625277,1188049379,FFzKgFbJ,40790768899
nokia,-29,2024-09-03 19-00-40,794,-98,40778137492,-33695276,kPXqDFpv,40752156464
nokia,62,2024-09-03 19-01-43,18698,-68,40730302075,1357514419,OXfvOObr,40700084790
nokia,77,2024-09-03 19-04-59,-13336,120,40749049528,1040679045,upMjYcuj,40761120255
nokia,-77,2024-09-03 19-04-45,32018,-22,40702559827,-100778920,XqpNgkBY,40751695473
nokia,114,2024-09-03 19-00-17,5285,-17,40787532429,1051999940,qRUkmMBc,40797505167
nokia,54,2024-09-03 19-00-41,-19388,-17,40740511771,1477952791,EtMUdvgk,40766727678
nokia,93,2024-09-03 19-04-42,-16892,-26,40715709510,344920666,VeFLcdav,40702889906
nokia,-57,2024-09-03 19-04-39,21057,96,40714429634,-876778987,ZcTLdQfw,40714439745
nokia,-89,2024-09-03 19-00-52,29731,25,40789469903,-1202031901,FBSPctSC,40729907922
nokia,-97,2024-09-03 19-03-00,-28799,-119,40752940275,1728975474,yrrUWMtF,40765264585
nokia,-120,2024-09-03 19-04-20,7630,107,40739650270,-1228844532,noeevlnk,40750606732
nokia,39,2024-09-03 19-00-49,-30694,-97,40743377989,721457037,BhSedrWq,40738299693
nokia,52,2024-09-03 19-01-47,-142,119,40767988622,-652164717,ozINWOBa,40793807253
nokia,-77,2024-09-03 19-03-48,23400,-54,40774631926,-793388302,blaWQREa,40701862271
nokia,31,2024-09-03 19-04-11,32482,49,40795603259,-1118983845,pcqRGyCM,40707494437
nokia,-43,2024-09-03 19-02-58,-18535,-81,40709277069,-322173191,MXjYtQar,40768279786
nokia,18,2024-09-03 19-03-19,-883,-52,40782981679,1334339733,bXYrpBJk,40760374254
nokia,77,2024-09-03 19-03-37,-2939,60,40725721972,-499781828,HrSIDnVg,40722958337
nokia,120,2024-09-03 19-00-43,32458,57,40756203813,-1248912000,riQBriEd,40784790611
nokia,-34,2024-09-03 19-01-28,-18847,-40,40761814400,1312477949,QqhxPGPJ,40708051796
nokia,35,2024-09-03 19-01-47,29562,-102,40737848254,1483161656,PPegAQXe,40798356211
nokia,-31,2024-09-03 19-02-07,28558,-75,40701908481,256688523,HOixDfqE,40701859164
nokia,9,2024-09-03 19-03-18,4246,-35,40730413466,-1859751970,TpDntTUK,40729800147
nokia,-10,2024-09-03 19-00-18,-15643,-86,40770708161,731950590,AxDpNbSy,40721803285
nokia,-23,2024-09-03 19-02-01,5897,112,40701707966,1113643674,OGzXGmSH,40734642874
nokia,94,2024-09-03 19-01-55,8964,47,40700480552,2119871645,zwkmBBfC,40718424190
nokia,69,2024-09-03 19-00-55,-24791,-102,40728055001,237983859,nnKhKgLR,40742557496
nokia,-98,2024-09-03 19-02-34,-10934,-6,40792114648,175932128,ikpYLNdj,40703489775
nokia,-76,2024-09-03 19-02-44,-24360,44,40799265676,-1767285765,YVMdUeLQ,40763038356
nokia,-99,2024-09-03 19-04-48,7540,-4,40726312769,-759337848,mKoRWYdR,40748003559
