src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,27,2024-09-03 19-34-44,-5273,-124,40797592012,1658655810,zxldDjtz,40778688695
nokia,62,2024-09-03 19-31-58,-31362,-83,40743681016,1634875103,joWEjcum,40734702395
nokia,29,2024-09-03 19-34-15,-23396,-126,40724863613,-1801802866,nDDLziJl,40787314892
nokia,89,2024-09-03 19-31-30,-13499,102,40793111517,-1206269172,JJqJSfLd,40706536032
nokia,85,2024-09-03 19-32-15,1710,69,40745112363,-1801047558,qWuofxcX,40704717939
nokia,59,2024-09-03 19-30-46,-18192,32,40740244048,-875965476,OqqkuaRy,40767715394
nokia,-40,2024-09-03 19-33-21,26589,118,40761256332,-1982929607,BEJeskaF,40737877215
nokia,-3,2024-09-03 19-32-27,-2234,45,40738056988,2095925138,lREUeASe,40738222181
nokia,-118,2024-09-03 19-34-31,-23965,26,40755412506,-1667627031,JnETfkLh,40795521554
nokia,67,2024-09-03 19-32-01,27016,115,40783156154,-1575690402,rPiaMDqu,40783449669
nokia,-52,2024-09-03 19-33-30,26505,-68,40728263951,1300922775,UaIogAZo,40745582727
nokia,-89,2024-09-03 19-33-17,32146,30,40723886665,-1822776436,CIDRTsvu,40704136016
nokia,-118,2024-09-03 19-31-31,-8954,-90,40727267256,-665225588,cNckUVqc,40765476479
nokia,18,2024-09-03 19-33-43,804,-105,40788533375,1510299305,vdmZKSVZ,40776611410
nokia,99,2024-09-03 19-32-24,25461,10,40749571026,679087230,JIwlQjyI,40703348374
nokia,-66,2024-09-03 19-33-23,-6455,74,40735334201,-1224130448,niUsngJf,40706999860
nokia,38,2024-09-03 19-34-16,6835,88,40717228077,694401536,RKFrrQgV,40753051126
nokia,69,2024-09-03 19-34-23,951,-112,40719534602,353494488,PTGjGkzu,40753515686
nokia,64,2024-09-03 19-30-26,16414,43,40772987391,-218464720,dgrgOLaj,40741846667
nokia,-118,2024-09-03 19-32-41,18043,-100,40766364424,772874951,xKvuTZRb,40770129523
nokia,82,2024-09-03 19-31-56,25050,-108,40790719790,-1700966289,YnIRLMdF,40768261259
nokia,98,2024-09-03 19-33-32,18396,42,40706838347,-1103168487,Gpzduyrr,40768010337
nokia,54,2024-09-03 19-30-48,-25522,123,40791928918,1639930044,xzMeiSRv,40712652507
nokia,-60,2024-09-03 19-33-54,5683,77,40725654815,153269967,IpHYJzFM,40700315231
nokia,25,2024-09-03 19-31-28,1274,-63,40739624764,-1020238254,qUOKIJTS,40757780278
nokia,-97,2024-09-03 19-31-31,-20955,-32,40753650613,1226731023,lavZWmhw,40748010049
nokia,-53,2024-09-03 19-33-52,32324,-53,40717205856,-1282485345,gEMAYKRn,40762165079
nokia,-87,2024-09-03 19-34-22,-13578,60,40784364927,-1147573041,dLbZYvXR,40730662496
nokia,14,2024-09-03 19-31-30,17249,-36,40741231167,-452332639,YMSKpqcu,40730319370
nokia,37,2024-09-03 19-32-49,3541,-25,40794381919,-614262185,oaFqPqIS,40756972653
nokia,-55,2024-09-03 19-34-57,19569,-72,40713776432,355792308,SuJfobsv,40791958352
nokia,45,2024-09-03 19-31-08,-14957,-67,40726559176,2088316960,imPVMNxb,40770949912
nokia,-103,2024-09-03 19-33-55,11327,56,40707122449,1789180329,BubIAqZG,40717962739
nokia,122,2024-09-03 19-34-16,-8927,36,40784428814,12049909,HCWzIEzg,40709731620
nokia,-18,2024-09-03 19-33-02,-1474,-66,40761669452,1466563272,SnvlBnVK,40728791535
nokia,-30,2024-09-03 19-34-34,-7179,78,40754150314,-2004333042,GtJNThfu,40711533333
nokia,-90,2024-09-03 19-30-10,29484,27,40783414460,-1827759715,QwKFfeKT,40775355279
nokia,-29,2024-09-03 19-32-59,-10668,-97,40726071251,1356560411,dAezuRdY,40716928739
nokia,56,2024-09-03 19-31-51,19592,50,40762072170,-791175677,nHXhzbvh,40750824339
nokia,-114,2024-09-03 19-33-54,14500,40,40765203352,-1699769919,hxmwauNA,40755845481
nokia,111,2024-09-03 19-31-54,-16286,9,40741950074,1721343184,tpGXnveX,40719809022
nokia,-106,2024-09-03 19-34-53,3591,115,40714857195,-797626203,vdKAAYrv,40758333072
nokia,-85,2024-09-03 19-33-26,-16375,10,40735659331,-858849010,GGgjOjnS,40749610553
nokia,32,2024-09-03 19-34-39,-14537,-50,40793307811,-918204119,ixWMEBgr,40740937389
nokia,-53,2024-09-03 19-31-12,-19000,-109,40713703401,-640500227,xtAwZxbk,40741144057
nokia,84,2024-09-03 19-30-07,28186,95,40749080128,-261412285,mXQHsOhM,40705094431
nokia,-9,2024-09-03 19-31-07,-21931,35,40754593658,584097022,HbcfwdcK,40744275621
nokia,8,2024-09-03 19-32-35,-1786,59,40763830444,873739717,QNdCyqwb,40799976221
nokia,74,2024-09-03 19-30-20,-12917,26,40797643200,1908818280,fHHhjPQr,40746336497
nokia,41,2024-09-03 19-30-50,32595,107,40783241120,-1204302294,ZQSdpphS,40783587392
nokia,24,2024-09-03 19-33-08,13877,-53,40730917763,-53948176,jIHnfiaB,40741448661
