src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-51,2024-09-03 19-47-53,-7749,83,40723283256,-1171219997,kbFyGukL,40745483072
nokia,13,2024-09-03 19-47-45,10796,-115,40784056799,767376148,yaWysWth,40763467784
nokia,-120,2024-09-03 19-45-44,28079,75,40724209700,1659127103,KDhynDtw,40767647731
nokia,-108,2024-09-03 19-49-10,-32160,-85,40772971366,-1886028273,UTaDhgEc,40706509762
nokia,-4,2024-09-03 19-46-01,7688,114,40717214078,-1129311979,psaVFoCT,40763490439
nokia,114,2024-09-03 19-45-43,17083,-118,40755336972,-558222062,NOhttXDP,40711994453
nokia,-117,2024-09-03 19-45-30,31985,-109,40759507752,1796701337,joKtCDEr,40753649089
nokia,-122,2024-09-03 19-49-28,17545,-97,40718352335,1959819786,BxoEwkuI,40783983545
nokia,-21,2024-09-03 19-49-16,12227,-42,40717755369,-140384543,OGpEIyoG,40709426149
nokia,92,2024-09-03 19-47-18,7650,121,40794534111,-291792620,sgZAMBNS,40791337021
nokia,88,2024-09-03 19-50-02,1374,-87,40754956136,423524079,wKRMkMrR,40766926286
nokia,-67,2024-09-03 19-47-29,-4776,107,40739826093,-1966961176,kvITtKRR,40771947123
nokia,69,2024-09-03 19-47-47,-1343,122,40746107026,531578195,jRYotioD,40784707647
nokia,-75,2024-09-03 19-46-14,21378,-30,40712478557,1958049046,UyKPphXB,40709739563
nokia,-117,2024-09-03 19-47-36,18615,-71,40774789313,1954555114,LzxAsMRi,40706443109
nokia,19,2024-09-03 19-48-20,6363,-75,40729517168,475810954,NifSothM,40786640594
nokia,21,2024-09-03 19-49-19,-22975,63,40744363069,251547715,FsvbCynp,40788931447
nokia,-97,2024-09-03 19-45-36,15896,126,40796472825,197788087,qflZWcTX,40731381303
nokia,-6,2024-09-03 19-45-51,23050,16,40767406130,-676855423,eMTypzMy,40754904930
nokia,88,2024-09-03 19-47-17,-27042,-8,40738234880,-610794824,guDwFUOy,40789038909
nokia,111,2024-09-03 19-46-31,21298,82,40795597024,2129071674,JGLbZeAH,40733024751
nokia,-83,2024-09-03 19-45-26,-17439,12,40709388620,-2058906026,giYWbHKH,40700914978
nokia,-21,2024-09-03 19-46-35,-10927,-104,40765498905,1898024740,NeKYuVco,40764470446
nokia,27,2024-09-03 19-48-09,1157,126,40713680797,2102876138,UueqJCdn,40729778349
nokia,-36,2024-09-03 19-46-56,-27140,-71,40722993594,150765120,McupBgDp,40765176045
nokia,-60,2024-09-03 19-46-07,22565,-58,40748885578,-157460007,BoekNeCh,40794669486
nokia,-66,2024-09-03 19-47-33,21078,121,40707006607,-1521032607,vymewkIp,40759438845
nokia,3,2024-09-03 19-47-11,23461,123,40790403441,993311134,yZLVwydk,40758334506
nokia,40,2024-09-03 19-45-55,-25199,84,40723662205,2026891181,uxMhDkPa,40767812788
nokia,-97,2024-09-03 19-45-53,31866,81,40781312340,1720913101,BaLIertJ,40757739931
nokia,50,2024-09-03 19-47-25,6093,111,40740093912,739094457,kXRGImPL,40783837978
nokia,-114,2024-09-03 19-48-52,-5931,-72,40762170574,-383702336,AdOeIKic,40739262709
nokia,19,2024-09-03 19-47-28,28134,-119,40701572048,-1846558011,uCmurkxl,40705764473
nokia,-25,2024-09-03 19-47-49,11109,120,40704364798,653304128,LTxJjoAy,40760141171
nokia,68,2024-09-03 19-47-23,-9596,44,40774217811,961622804,soIweQkV,40701140409
