src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-63,2024-09-03 20-07-02,29404,14,40756799245,643091030,sHTqgBhl,40704816528
nokia,-73,2024-09-03 20-09-56,-25375,125,40701184931,-184037289,RWslWBkQ,40748046534
nokia,18,2024-09-03 20-05-32,4027,-96,40751096019,1944207804,YKUvxDOh,40784037607
nokia,43,2024-09-03 20-09-35,16541,-38,40739680764,495844307,QWDuTxvQ,40763338274
nokia,124,2024-09-03 20-08-12,24423,42,40757592760,603938868,KksPjDXd,40716635791
nokia,102,2024-09-03 20-07-39,8388,-51,40712064013,158201767,TlYnXkjs,40713122580
nokia,-61,2024-09-03 20-09-15,22260,-59,40744227377,-1965262235,UERRkcLE,40778404053
nokia,92,2024-09-03 20-07-03,-14134,4,40701348922,406568732,AuxAEWPi,40777667475
nokia,69,2024-09-03 20-07-56,-32448,106,40758120810,-1508776014,bBHtsZZd,40785745292
nokia,58,2024-09-03 20-07-54,29426,116,40777940924,2032315038,xCgFNIwG,40761085813
nokia,90,2024-09-03 20-05-38,26781,-84,40780444642,-1893439252,DxYOgjPR,40792384153
nokia,-108,2024-09-03 20-07-58,-29946,21,40778666662,1329313053,eVZGLCmM,40799495726
nokia,-104,2024-09-03 20-06-10,28626,56,40736031011,1961556339,YzKMzRYv,40738282243
nokia,122,2024-09-03 20-05-42,24362,113,40769721697,1709391326,ApRsNIqD,40795485312
nokia,-35,2024-09-03 20-06-43,15518,-116,40762075509,-565631278,IzcDzigg,40799358303
nokia,-35,2024-09-03 20-07-36,-25706,-58,40755196330,-2008404829,JQgkLGyQ,40748819272
nokia,90,2024-09-03 20-06-57,119,79,40739405583,805932760,iznKwboj,40767480953
nokia,-90,2024-09-03 20-08-14,-20598,95,40788353023,609254381,wPnhQOfW,40777785854
nokia,72,2024-09-03 20-08-48,19256,71,40711472742,-397256982,OuBhOJwW,40736805533
nokia,103,2024-09-03 20-07-47,-26343,-116,40747727737,1319560280,rQpYTyKi,40708595163
nokia,58,2024-09-03 20-08-14,28666,-30,40742125512,1089105888,wmjaKCUP,40722113008
nokia,-10,2024-09-03 20-09-57,-22052,31,40761558606,1936287819,MGNkAUMw,40743043061
nokia,-31,2024-09-03 20-05-45,24662,64,40752414084,-302799000,pCPBPDgv,40769229237
nokia,-70,2024-09-03 20-09-24,-15840,-64,40754612019,120833165,eVvbDRsv,40789653269
nokia,101,2024-09-03 20-06-42,-18218,111,40724354625,1045486955,LeijTypn,40773162454
nokia,107,2024-09-03 20-07-37,-13378,-56,40714564035,197852334,sZtDiaLm,40777409052
nokia,58,2024-09-03 20-07-40,-10360,10,40747893853,1493740325,FnKnzeOa,40722781879
nokia,-75,2024-09-03 20-06-20,-24605,124,40705230636,1179306521,WdaQBBvA,40724899705
nokia,59,2024-09-03 20-09-45,14970,64,40764645493,-533316590,ekviZNOp,40730433578
nokia,114,2024-09-03 20-06-39,-32133,-28,40796998316,1702615382,SYbgibfM,40782224347
nokia,41,2024-09-03 20-07-35,-27885,-1,40780834925,-1546408338,GiQZULfm,40783868202
nokia,-32,2024-09-03 20-06-14,13410,-42,40700502057,263078526,rhIjJFEl,40712970934
nokia,105,2024-09-03 20-07-27,-27133,-32,40705962600,1331190987,NTXZJuXb,40736042741
nokia,76,2024-09-03 20-07-08,4522,-10,40779214542,-1242485934,toDMheMN,40740834775
nokia,-4,2024-09-03 20-09-16,15360,-43,40796581496,-704899395,ehOiMwDV,40731273837
nokia,72,2024-09-03 20-06-23,7367,20,40798983306,819550849,scbNeJal,40738466348
nokia,76,2024-09-03 20-05-03,-25477,-54,40797172886,-722868633,WwugmYzH,40757886031
