src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-23,2024-09-03 20-32-28,17234,-33,40769686528,1911996677,gSncQHbR,40746579282
nokia,-117,2024-09-03 20-33-59,-7648,-36,40740863118,-90418608,ifNivkeA,40776394653
nokia,16,2024-09-03 20-30-01,-21448,-14,40706328732,-1218205933,PZOxnNXP,40776204907
nokia,5,2024-09-03 20-34-58,5900,93,40793181782,1238071640,gELdYfDm,40772656980
nokia,-113,2024-09-03 20-31-28,24101,-55,40736326575,463147746,YiTkKyui,40782749508
nokia,116,2024-09-03 20-33-17,-31096,52,40731421967,-804402894,pUmFPWhq,40700860195
nokia,-80,2024-09-03 20-30-18,5622,109,40723510988,-1391550057,PYkgpwDd,40768262550
nokia,77,2024-09-03 20-31-36,-22176,-25,40715793117,-914210275,zEEFLrIp,40760869792
nokia,-58,2024-09-03 20-32-12,29670,-42,40771614715,-619678638,uBtyezdL,40701585051
nokia,-58,2024-09-03 20-30-46,-31417,-60,40797788466,989440547,OrhPSNoE,40773574781
nokia,-60,2024-09-03 20-31-17,3846,93,40755760437,-453712071,EIilQXYK,40787941579
nokia,120,2024-09-03 20-30-06,-15166,-47,40712486186,-1478497871,icCPTZxF,40783787239
nokia,74,2024-09-03 20-30-52,17063,19,40708858899,331673112,ThKiwqbN,40720206358
nokia,-54,2024-09-03 20-34-56,23422,-122,40780082186,-1298625219,SaHAGoGv,40741115745
nokia,-92,2024-09-03 20-33-29,2608,66,40794611214,437203365,bxLUNnWq,40702532604
nokia,95,2024-09-03 20-30-25,-12595,104,40779630238,1018809903,RDTjtKvD,40707797261
nokia,-27,2024-09-03 20-32-10,16110,-17,40737510786,-1352847551,FCJWJEaU,40786088397
nokia,49,2024-09-03 20-33-05,10507,18,40747341561,710878576,kJWFRFFe,40796262633
nokia,58,2024-09-03 20-33-26,-12368,-25,40702464498,2007005969,ilSwpEcx,40774786194
nokia,15,2024-09-03 20-31-24,-5446,-84,40793920509,766155555,rhMDZZfq,40754274769
nokia,33,2024-09-03 20-33-07,-13640,33,40725195146,1253362266,TdkUaDhQ,40793559416
nokia,-35,2024-09-03 20-34-11,3382,-10,40759245237,-1486836844,EzracqDg,40727303025
nokia,0,2024-09-03 20-34-18,-22535,-62,40772600374,-1651239618,WDsDRkdK,40726542169
nokia,-85,2024-09-03 20-30-14,-489,-34,40713982694,-926517408,zBxWWsxo,40769507064
nokia,-60,2024-09-03 20-31-52,32233,63,40726158615,1323914596,xlMzrObr,40790848479
nokia,-51,2024-09-03 20-33-22,-23960,-2,40797984521,96371303,iLnOsvzT,40750528953
nokia,-43,2024-09-03 20-30-45,18299,31,40703923886,-100428457,NCYxOTih,40753839444
nokia,-50,2024-09-03 20-34-03,23068,126,40703665589,-539466719,NFMxSHiT,40741355507
nokia,-93,2024-09-03 20-32-06,31321,-21,40769925694,1683624065,hPazRLGM,40740449049
nokia,-105,2024-09-03 20-34-12,16488,57,40748509254,-242697964,FKMoAJjB,40774763999
nokia,78,2024-09-03 20-33-58,-18109,107,40794784402,-1906269206,QBgcwtrn,40776102216
nokia,-41,2024-09-03 20-30-04,14501,33,40799689296,-247131806,JQovcjSm,40762936689
nokia,96,2024-09-03 20-34-44,29591,36,40794476827,-943553084,aomffEtP,40792182390
nokia,67,2024-09-03 20-31-12,-18089,-125,40723908968,771829422,rPEsnnvk,40718364597
nokia,-27,2024-09-03 20-32-45,22909,6,40733950743,-1676952156,WxGPIHIY,40789516005
nokia,66,2024-09-03 20-32-24,-22848,-116,40757343733,194216745,lXLnpwIY,40734965834
nokia,-10,2024-09-03 20-33-39,-15011,28,40786916642,1001053007,rhMhayZd,40779737216
nokia,108,2024-09-03 20-31-43,-30559,-128,40730549195,-1868128327,jepoLgQe,40754850677
nokia,121,2024-09-03 20-33-27,-12965,-17,40702096634,-263619558,ZGkPgvaC,40788860690
nokia,-55,2024-09-03 20-34-37,-2442,-35,40795685231,-168080845,YokUaJgz,40712505359
nokia,14,2024-09-03 20-30-45,4260,72,40712493256,-2098001753,yMsmkEKc,40776505358
