src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,21,2024-09-03 20-42-31,-15773,29,40791657527,103874188,TeOStPid,40798510158
nokia,-105,2024-09-03 20-41-23,-19335,58,40717170501,-538642951,kVeKobal,40721421239
nokia,-117,2024-09-03 20-42-30,-9670,108,40736688896,-1923939360,yMciMdMo,40735062331
nokia,36,2024-09-03 20-44-15,-8675,-97,40744732117,1800302929,gpAhkzWk,40722915985
nokia,48,2024-09-03 20-43-34,-20083,-75,40752925518,-1556561716,gUWYIPYt,40772227547
nokia,89,2024-09-03 20-43-17,-21986,36,40735052378,-564109186,DCDguvTo,40758056091
nokia,44,2024-09-03 20-41-39,-27098,84,40753280807,910179612,SAmEpubx,40775859858
nokia,123,2024-09-03 20-41-02,20075,-71,40765014755,636131352,nReWMCju,40781845513
nokia,25,2024-09-03 20-41-18,9647,62,40775529000,-1260252999,whcdvygO,40748154959
nokia,-117,2024-09-03 20-44-05,13475,109,40799035178,334715233,pKALvIMo,40743600420
nokia,14,2024-09-03 20-41-25,-22839,0,40791491995,-840281552,CpprAOxl,40787327391
nokia,112,2024-09-03 20-41-01,-12408,-119,40797971422,-485177721,nYGFcQhb,40773375794
nokia,-90,2024-09-03 20-44-01,14098,-17,40717215877,-437658733,CRgyJyzL,40783501026
nokia,96,2024-09-03 20-42-02,-9067,-38,40757272007,1187683899,hfILZlJh,40750144976
nokia,-124,2024-09-03 20-44-18,32485,21,40755809031,-280576253,wudlraKv,40741871810
nokia,-23,2024-09-03 20-40-54,-25266,-122,40722987281,-1572841266,ElKBJZRG,40707520221
nokia,36,2024-09-03 20-43-54,23498,99,40761749878,-1279780490,GxKArQtr,40703204878
nokia,-95,2024-09-03 20-44-43,-12275,-1,40773742188,1749753319,XXorklwr,40757937515
nokia,-69,2024-09-03 20-40-55,-14425,104,40787863078,-1391909591,NBkNyokf,40712022039
nokia,115,2024-09-03 20-44-05,-12812,74,40768714709,1553533089,XYNguXqn,40703992580
nokia,97,2024-09-03 20-40-21,18931,-71,40791298869,877826690,LGfrakBT,40702380036
nokia,42,2024-09-03 20-42-49,488,101,40704957612,-363743853,yiBkdvle,40772395605
nokia,-56,2024-09-03 20-42-05,-21581,110,40754935911,-1720712566,eTczVeKk,40792060724
nokia,-70,2024-09-03 20-42-23,-17418,97,40799576676,1702765471,WYMASZjz,40726092367
nokia,118,2024-09-03 20-42-25,7396,-120,40754563535,-1667921304,TqnYwcqz,40739798411
nokia,-29,2024-09-03 20-40-19,-20588,-35,40762605022,-1514397493,hjAyNefD,40770082219
nokia,57,2024-09-03 20-41-39,299,54,40758386082,1273405000,acVCzCrz,40707496211
