src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,35,2024-09-03 21-12-31,1729,71,40728265646,-339845986,mScBbQRy,40746953767
nokia,86,2024-09-03 21-12-15,9940,-3,40736029502,-964010933,SgCmDNJP,40792438917
nokia,-9,2024-09-03 21-11-14,6039,45,40730198697,1065742261,sUmManCl,40798326610
nokia,8,2024-09-03 21-13-22,-1378,124,40771729959,384357676,bOvbtKLL,40751291919
nokia,38,2024-09-03 21-10-49,-28235,-36,40796144444,1563600843,XlhlyZpY,40792818095
nokia,26,2024-09-03 21-13-11,-20489,-7,40748143877,-1345086382,pXgGhhxO,40790423923
nokia,-105,2024-09-03 21-12-40,14446,-75,40747159442,992606088,VcsmdVzB,40742540755
nokia,-12,2024-09-03 21-14-44,-1066,110,40778674645,-717565407,bjgFYFEf,40793762348
nokia,45,2024-09-03 21-12-27,19322,31,40706985027,382770935,ELTHPBVZ,40745286331
nokia,115,2024-09-03 21-13-05,15523,2,40708512176,-79222381,UrQzUWPA,40702987302
nokia,-113,2024-09-03 21-11-42,28545,59,40759484972,-30863393,QfGUbqkT,40720035301
nokia,106,2024-09-03 21-11-40,18072,47,40728675815,1080827699,wzNnOYGf,40733641101
nokia,-62,2024-09-03 21-10-52,-2082,-17,40795200777,1806746513,phvcCPSN,40741463107
nokia,114,2024-09-03 21-12-45,-28680,118,40716457625,-1921161423,nWVcPsAG,40719944722
nokia,-83,2024-09-03 21-11-03,-5001,93,40791232480,1214627335,EWLTSmhS,40756472174
nokia,-15,2024-09-03 21-11-06,18057,-19,40755440790,-1193718975,pMMYeqeB,40763778909
nokia,-7,2024-09-03 21-13-22,-3812,-112,40751024860,1372693086,nVdsxiJP,40729978802
nokia,93,2024-09-03 21-10-09,18870,10,40796583129,-470460949,PyXuBDyl,40791599035
nokia,105,2024-09-03 21-10-48,27005,-71,40775262960,-1045313265,indkvRrO,40771820639
nokia,87,2024-09-03 21-13-05,-1668,23,40729899000,299606267,ZUjGwwpr,40748085347
nokia,-13,2024-09-03 21-12-28,25750,-115,40718056331,-1120379652,GWOIZZcb,40740860149
nokia,-90,2024-09-03 21-10-59,11197,-102,40748892935,-866745886,ckDbQMQl,40720478492
nokia,17,2024-09-03 21-12-26,-7809,-31,40772869579,876001310,hBmFSImi,40732774749
nokia,-101,2024-09-03 21-14-21,-4683,-42,40774869607,-128148476,AFkbIrZI,40742154711
nokia,-71,2024-09-03 21-14-12,-29667,121,40718822164,-774382194,ehNPPFXh,40743483015
nokia,8,2024-09-03 21-14-10,-18682,40,40723696785,-92058,OmziRPoE,40713893496
nokia,121,2024-09-03 21-11-46,-24753,61,40702150889,839602287,nbbHIgxk,40747711393
nokia,-34,2024-09-03 21-11-18,30110,96,40756114631,-2111711812,seZHQrpM,40785194503
nokia,-105,2024-09-03 21-14-35,-28121,-51,40736511439,-1871524354,CzMViqps,40703180736
nokia,5,2024-09-03 21-13-46,-27939,76,40756978142,824095092,aiNxGicS,40721135390
nokia,7,2024-09-03 21-11-48,4819,43,40709662412,-2006062805,mAwoFHDA,40733067464
nokia,-1,2024-09-03 21-11-16,-4801,58,40767410347,1434239815,peZpboda,40746750532
nokia,-24,2024-09-03 21-14-46,1238,51,40711834086,-792130393,yJjZfDGZ,40709931761
nokia,-85,2024-09-03 21-10-15,-6937,89,40758802167,1924436202,JBoDqcJs,40781385540
nokia,-81,2024-09-03 21-11-03,-27533,-13,40789081774,-586865616,kqBLfdfj,40770196592
nokia,-89,2024-09-03 21-12-57,8623,49,40797776803,-1483393401,hBFwvnWs,40764724114
nokia,5,2024-09-03 21-14-05,4101,41,40713081851,-480684343,YXAXXOAw,40705126625
nokia,100,2024-09-03 21-14-47,-13223,-60,40728164354,880617740,hvCnZlZS,40799677224
nokia,16,2024-09-03 21-14-00,4285,-124,40764740626,1796444573,PfGaCrlI,40745289694
nokia,-43,2024-09-03 21-12-43,-6726,-65,40716548606,935369839,pTcbJLOu,40718397546
nokia,-111,2024-09-03 21-14-55,17642,-57,40741562445,871542530,XslYHGmv,40732109284
nokia,26,2024-09-03 21-10-56,-24217,-48,40754495793,-376876838,lvoNgDGN,40742508407
nokia,4,2024-09-03 21-14-54,16717,126,40738406793,-2001823639,TtAcbHWX,40717866234
nokia,108,2024-09-03 21-11-54,10937,-8,40768724217,1283964995,hZkrSwqR,40778831035
nokia,40,2024-09-03 21-10-39,-12759,-117,40740870964,1010909492,rmvbTQjW,40716407424
nokia,-54,2024-09-03 21-11-50,-28,58,40797515137,996562907,CXQcuqWX,40703489274
nokia,16,2024-09-03 21-11-27,2743,-19,40730423218,2076427665,MgaIviVG,40760492839
