src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,43,2024-09-03 21-26-47,-13609,100,40722972923,1199525369,oZEgmflJ,40741611487
nokia,56,2024-09-03 21-25-10,-19239,-70,40734455602,-825534743,vIcyryXD,40744201322
nokia,120,2024-09-03 21-27-49,31542,46,40721722158,-1742153177,DZeXaNaq,40716576270
nokia,-24,2024-09-03 21-25-50,-23172,-37,40740075540,955291519,kyVNZHQZ,40726697025
nokia,-77,2024-09-03 21-28-38,-21361,23,40749169641,1158298587,vMtJNTac,40759899355
nokia,-37,2024-09-03 21-29-46,-2186,-119,40799752971,1543363825,TnyKedAk,40702302945
nokia,54,2024-09-03 21-29-38,20215,123,40783316426,1020059166,CrCfeUiY,40716140485
nokia,-66,2024-09-03 21-27-46,-22954,-75,40721276429,-1594877502,KTwzYRPC,40769449576
nokia,-39,2024-09-03 21-27-36,-16023,-126,40707083112,1534640419,PgBnhKLK,40717899866
nokia,-104,2024-09-03 21-29-50,-1135,-35,40712533811,-350646019,IfzqiADq,40790819586
nokia,-56,2024-09-03 21-27-14,-27161,-123,40757470885,670773013,NmgtkLru,40793853084
nokia,-90,2024-09-03 21-27-04,-2930,41,40776345762,1630059156,vjfrQovK,40799767759
nokia,-81,2024-09-03 21-25-31,-28330,17,40798389167,1344252101,MtoNwkvm,40707449065
nokia,-86,2024-09-03 21-29-54,15469,99,40718647432,-1307322167,UBVoLcNA,40797906134
nokia,-31,2024-09-03 21-27-32,-22281,-94,40760921902,1452814695,mtGizfni,40790682185
nokia,-22,2024-09-03 21-28-59,23571,32,40706294550,-299584553,vuCUsRkx,40769631162
nokia,26,2024-09-03 21-29-51,20528,90,40793072131,-93556975,TSGPCQKy,40794303540
nokia,-122,2024-09-03 21-25-05,-21590,-54,40745099818,-1580912284,yKTWmQpy,40795346402
nokia,126,2024-09-03 21-25-19,-24155,34,40775534434,872548326,kKXEyMRD,40771829963
nokia,74,2024-09-03 21-27-42,3275,53,40721883596,1455231102,yLdwhUjM,40777018413
nokia,-38,2024-09-03 21-28-07,758,-68,40799566329,-839152926,GlDasUSQ,40796435002
nokia,6,2024-09-03 21-29-25,-23984,73,40707393891,1606157825,ULyvQwMJ,40709933105
nokia,-18,2024-09-03 21-26-11,4058,58,40726911973,1213875544,tKsQfZGb,40716642645
nokia,107,2024-09-03 21-28-51,30980,50,40771504685,-730548804,TfUQorjq,40736034517
nokia,-94,2024-09-03 21-26-10,-17573,77,40722377104,1028370864,YplOpQAB,40769881105
nokia,97,2024-09-03 21-29-09,14283,126,40706185350,1692353069,xcfpniEC,40737951800
nokia,48,2024-09-03 21-27-32,17887,-99,40776573637,2132116528,cbKDZTsV,40748793127
nokia,61,2024-09-03 21-26-05,-11161,104,40754280227,-659503129,dIWTWYjX,40755487496
nokia,-8,2024-09-03 21-25-26,26179,35,40733202437,-533830486,MBuJPnMo,40773259192
nokia,98,2024-09-03 21-27-47,19651,-114,40777331749,1104181766,eJAQgZwg,40795395848
nokia,-64,2024-09-03 21-25-09,-15183,26,40701097271,1466962578,TNMcKZyS,40737548897
nokia,-35,2024-09-03 21-28-00,-16972,119,40756721101,1652142658,uWXHIgfk,40713896291
nokia,113,2024-09-03 21-25-55,2603,95,40794937566,-142686342,zyPvMBki,40799125751
nokia,-65,2024-09-03 21-27-06,-18090,121,40748734930,689232087,yiHyGugG,40724311161
nokia,50,2024-09-03 21-30-01,19936,-14,40772437954,289367944,vZeKIBuR,40759349805
nokia,-33,2024-09-03 21-25-41,-4078,50,40779213836,319103383,XyhPkcYg,40759992628
nokia,-31,2024-09-03 21-27-30,17245,-48,40769743993,1107746833,tArgNivL,40798661192
nokia,64,2024-09-03 21-25-58,-6176,59,40728757584,-479864838,kmbqxGDt,40726228106
nokia,-82,2024-09-03 21-29-06,8955,-20,40701893205,1128103898,RwJhlFSW,40700567916
nokia,86,2024-09-03 21-29-37,-22298,-13,40746517625,1067847536,qqiUAwUh,40702778031
nokia,-12,2024-09-03 21-27-41,16547,-121,40760409490,-354211277,QvrExbdv,40700140410
nokia,-75,2024-09-03 21-28-21,-4192,-36,40796874228,1443054328,XNtLsqEM,40794821661
nokia,-38,2024-09-03 21-28-18,5742,100,40746671964,1117726171,lgEryFAY,40773549202
nokia,-64,2024-09-03 21-26-17,16850,115,40781954500,-1791806504,ectWRCzL,40724016186
nokia,-35,2024-09-03 21-25-02,-18770,-91,40743914736,369320155,IwpzjtVr,40789649475
nokia,53,2024-09-03 21-26-31,14,124,40777647458,1413849530,LofTkkTD,40766558764
nokia,-93,2024-09-03 21-25-38,5012,90,40764359500,922794009,LVzuNYpW,40746915639
nokia,109,2024-09-03 21-28-48,4333,78,40744325259,363221528,dkbvbYzz,40739857816
nokia,101,2024-09-03 21-26-59,-25986,-65,40724790279,1112603816,tzDKvxBn,40750859735
nokia,-4,2024-09-03 21-26-03,-28260,117,40781167510,-533424107,imUnYslT,40787115759
nokia,27,2024-09-03 21-29-57,-2694,49,40718825526,-108455106,dXWsaYIK,40718528409
nokia,-81,2024-09-03 21-26-01,-7846,31,40700949671,-180443153,EmDpEkdO,40707992793
nokia,-26,2024-09-03 21-27-51,-1116,-100,40783253584,1243559635,CJxXpymm,40720687871
nokia,-95,2024-09-03 21-27-39,-1347,-6,40795728978,865484972,RqaJWAOh,40756786132
nokia,-63,2024-09-03 21-29-10,16511,78,40748895540,-390604285,YKYtgqRg,40784507210
nokia,19,2024-09-03 21-27-35,-32520,20,40710508680,-615979850,FafNWnnn,40785289774
nokia,37,2024-09-03 21-28-55,-12525,115,40756733246,-1320217065,KbHFcyoo,40758852393
nokia,-83,2024-09-03 21-26-55,-4905,69,40768921679,-687106878,BybWSIno,40799975313
nokia,1,2024-09-03 21-26-55,31155,33,40770946033,2081330905,mRTtaRtE,40727259409
nokia,-26,2024-09-03 21-25-09,-24369,-96,40703882879,-1269365750,iDqmvmbE,40783810662
nokia,72,2024-09-03 21-25-59,28635,87,40795320269,241197615,OIvbzZuo,40742624676
nokia,-73,2024-09-03 21-27-06,-9716,58,40756115129,-80252569,MXqiqasJ,40710235118
nokia,-128,2024-09-03 21-29-28,4655,-45,40726448772,285061739,xajSESAh,40759965161
nokia,-31,2024-09-03 21-27-39,17494,-81,40778817056,2069858748,HMOBByOK,40723227395
nokia,25,2024-09-03 21-26-19,9621,-60,40792924448,1396433610,RTWRclkY,40794515084
nokia,-123,2024-09-03 21-26-30,6779,43,40794993596,1745613864,zwZkEorn,40746287144
nokia,-14,2024-09-03 21-29-37,-7353,-127,40797280827,-477898119,BNpbbThQ,40714030989
nokia,-127,2024-09-03 21-27-18,-8208,-4,40740213341,650255517,iJNbAAUT,40782192035
