src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-7,2024-09-03 22-12-08,-19607,-24,40711487729,-506158364,KsdFUbCH,40796431117
nokia,-117,2024-09-03 22-11-01,4177,-10,40761114830,-404803267,YXlfdfjI,40726796736
nokia,-29,2024-09-03 22-14-16,4879,25,40753846826,-890007364,RKoowIOz,40718013838
nokia,-106,2024-09-03 22-11-32,21522,-39,40752723271,476693217,TuuIfDwC,40769847955
nokia,-80,2024-09-03 22-14-28,14607,64,40720962184,-561977995,ZCwpKpfg,40744553205
nokia,79,2024-09-03 22-11-50,27447,-71,40786922068,192891749,CdPsuIMd,40747955000
nokia,93,2024-09-03 22-11-53,22437,103,40765068025,1530433446,rDAQXASW,40750801322
nokia,-109,2024-09-03 22-13-24,-28763,80,40772927640,-196935459,Yelhuhbg,40716395934
nokia,-98,2024-09-03 22-10-09,27514,32,40718587261,-511706438,AhlKvRgn,40751388102
nokia,-87,2024-09-03 22-11-58,5439,34,40733512575,-96503066,LxqRxyQy,40748775862
nokia,-94,2024-09-03 22-14-20,19622,8,40746019689,-968667156,NKsditIs,40798731059
nokia,114,2024-09-03 22-11-35,30101,55,40761193627,-772322565,oTSSuijJ,40748156470
nokia,-68,2024-09-03 22-12-02,30339,48,40790483620,-1816427363,NwiumFXR,40755765081
nokia,64,2024-09-03 22-14-47,-23104,-52,40743699195,905421186,dFNvFdIB,40719238460
nokia,101,2024-09-03 22-14-25,-17091,-21,40789133774,2060238366,gHSlwEdp,40785428287
nokia,85,2024-09-03 22-11-47,-19877,-51,40704631370,375237311,iaOvlavg,40790489883
nokia,120,2024-09-03 22-11-50,-8704,66,40704682828,-843660888,djcBXZoe,40739781997
nokia,90,2024-09-03 22-11-05,22315,-116,40789578069,1647369666,jlYTfchP,40753811828
nokia,-26,2024-09-03 22-13-36,-2,-8,40707507273,-1189859003,EGnIZwAR,40796639017
nokia,-83,2024-09-03 22-10-58,-12384,110,40745204427,-2006564209,mwFQKDHf,40786923501
nokia,-94,2024-09-03 22-12-44,-1781,26,40743903875,701326298,ZwzPamfc,40737859042
nokia,-101,2024-09-03 22-13-24,22582,42,40733539502,1857635446,sPCabQJO,40799799804
nokia,35,2024-09-03 22-10-04,26999,-51,40710175600,1904444034,wRVPQhIr,40749326788
nokia,-106,2024-09-03 22-11-57,-27329,-28,40776700483,-446441640,BZWgdYTF,40737297554
nokia,114,2024-09-03 22-11-54,-30581,35,40701518821,-1565902140,DLvBIrmV,40748209221
nokia,80,2024-09-03 22-14-49,-27320,127,40773973664,-539665935,CPsoQBiw,40799539700
nokia,111,2024-09-03 22-12-40,-6668,33,40794111987,-1664928538,RvJyekyJ,40746907341
nokia,-124,2024-09-03 22-13-08,25163,119,40707089147,623558425,TyTgVUyy,40796554545
