src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-13,2024-09-03 22-20-34,-15542,85,40795182409,-1609899188,SGDQDyKw,40775435786
nokia,-117,2024-09-03 22-20-54,-19501,-12,40744728975,-1403165799,NaZlCNWL,40744778083
nokia,77,2024-09-03 22-24-02,-14949,13,40791996801,158635757,IljgokiB,40721371685
nokia,113,2024-09-03 22-24-44,-18690,39,40737191357,-1629484636,kWwopEsS,40741302163
nokia,-11,2024-09-03 22-20-02,32199,122,40789253042,270439995,wwbsDAMQ,40708689878
nokia,18,2024-09-03 22-22-13,14464,-101,40780058679,75758243,ZoaQxZAE,40798386341
nokia,9,2024-09-03 22-20-19,-9877,94,40790111281,1745639382,LMJeuUej,40736614487
nokia,-46,2024-09-03 22-22-16,15895,113,40797014568,-921285614,fAFqjPIV,40774346306
nokia,-54,2024-09-03 22-20-17,4827,112,40708857663,-1070034202,KuSUcXMa,40705171782
nokia,-75,2024-09-03 22-20-30,-15042,73,40706370586,1402045894,Ozhhovvi,40721041232
nokia,77,2024-09-03 22-21-50,-18337,19,40737169752,-1850860739,aHseGswN,40705673595
nokia,-64,2024-09-03 22-22-04,4934,112,40704783151,1505452833,SGbazRGY,40783400848
nokia,-59,2024-09-03 22-20-07,26136,-115,40705861266,1359057798,ksgkOiMT,40793087773
nokia,27,2024-09-03 22-23-19,14786,31,40778247882,1873738581,zwvfyHcE,40758178768
nokia,-58,2024-09-03 22-21-05,-11251,119,40727748902,-521486012,rfwkCnsW,40729179622
nokia,-89,2024-09-03 22-22-36,6997,62,40728980859,-292611960,hkbKbFue,40795800942
nokia,-41,2024-09-03 22-21-43,23018,-46,40700919701,1101619775,OCcFHJtH,40788751556
nokia,26,2024-09-03 22-21-24,2611,-48,40707657887,1841765635,pEjpDUZF,40713942383
nokia,-21,2024-09-03 22-21-38,27074,-61,40779538576,799999169,dUljnMwV,40766464025
nokia,-97,2024-09-03 22-22-34,-14163,31,40744914245,-551108476,YVHkdhDy,40750069720
nokia,46,2024-09-03 22-20-20,18089,111,40797581548,972015405,CmgCRaOg,40790662183
nokia,-115,2024-09-03 22-22-54,603,-53,40770823514,1359253944,XpTvMCDu,40764497228
nokia,-71,2024-09-03 22-21-57,19792,-27,40717399472,2084268747,dLjiSVEw,40732027137
nokia,56,2024-09-03 22-20-18,9365,-51,40703635285,541578166,ocggPvxh,40716805064
nokia,44,2024-09-03 22-24-45,9451,4,40703998742,-1679225250,GlwbgdhA,40755233043
