src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-44,2024-09-03 22-26-56,23897,-48,40770168926,554420242,rlXXebSz,40709500693
nokia,-35,2024-09-03 22-25-15,11202,-9,40755891352,-1095627245,xVokvDqp,40790784707
nokia,3,2024-09-03 22-29-18,-2828,-61,40723502839,1137006445,KUfkQYxy,40773206496
nokia,-34,2024-09-03 22-25-22,-17175,24,40750982003,917336653,BLrKtuot,40706210771
nokia,-6,2024-09-03 22-25-52,29247,33,40794859778,228731576,zPKkxDMJ,40702032008
nokia,-120,2024-09-03 22-30-00,-6481,41,40723477876,1113064538,IUrSTqiv,40736661488
nokia,46,2024-09-03 22-25-30,-8113,93,40752344431,-2027521905,NLzJxcyC,40771753460
nokia,-39,2024-09-03 22-28-00,6868,87,40770037037,310559266,qOOnalcf,40782262937
nokia,109,2024-09-03 22-27-26,5947,-29,40730855974,1166052061,EhOnZEBA,40743704112
nokia,-89,2024-09-03 22-30-01,-22352,-39,40758290551,-61516995,KkXFapJx,40717918590
nokia,-51,2024-09-03 22-25-30,-25540,-95,40763482932,-1987731501,jLmxAuQT,40775508368
nokia,28,2024-09-03 22-27-08,15318,-73,40704098689,-1350792310,aMhTNSOW,40723333550
nokia,111,2024-09-03 22-29-31,-25538,-105,40739356216,1660194937,cyuivHkC,40749745427
nokia,-37,2024-09-03 22-28-30,13732,39,40732540222,2123341137,YEBQvNnk,40732912181
nokia,-20,2024-09-03 22-29-05,-7297,39,40716700163,978053473,rVXTVJWI,40755204349
nokia,79,2024-09-03 22-26-46,-12981,-99,40746942214,649319692,MbRkRnUR,40782674972
nokia,25,2024-09-03 22-27-14,19864,-87,40731564041,-1200386638,dgBGbonn,40751951753
nokia,10,2024-09-03 22-27-05,21712,75,40751085591,1169848905,jIRBryvm,40749508763
nokia,20,2024-09-03 22-27-32,-1295,-94,40704086355,-1713176718,nZuiLXAm,40748801164
nokia,-110,2024-09-03 22-27-21,7934,-106,40711297354,-332249167,dpjdmILt,40705472195
nokia,95,2024-09-03 22-25-16,-11257,-109,40789984824,-292065495,albsoybt,40796498737
nokia,18,2024-09-03 22-28-03,21255,-111,40772132612,-1315473596,IbsaWuel,40767153620
nokia,-45,2024-09-03 22-26-15,15152,118,40725053789,1747603129,QMSLAFml,40701105251
nokia,21,2024-09-03 22-27-26,-7949,42,40756578380,-406968959,ykneqduT,40777123050
nokia,97,2024-09-03 22-26-08,-32029,-22,40721207897,-348403026,ZhcSCuKl,40745155223
nokia,-114,2024-09-03 22-29-07,26568,127,40741627663,493487950,RHvSydYU,40769662343
nokia,20,2024-09-03 22-26-50,-2165,63,40738383910,226686051,XyrgwUYG,40702025555
nokia,-93,2024-09-03 22-25-08,-22515,102,40747394617,1509569229,fpHnWeRc,40799208500
nokia,-6,2024-09-03 22-29-29,6187,124,40701914571,-29460587,kbheMXxF,40702293056
nokia,26,2024-09-03 22-25-49,31975,14,40758787474,935771802,cYFxkzee,40729156280
nokia,-89,2024-09-03 22-27-06,8574,-33,40720313905,2007956071,dwmRKRgT,40719757606
nokia,-89,2024-09-03 22-29-56,26927,44,40794271530,213186210,bZiVeoYf,40730339986
nokia,79,2024-09-03 22-29-51,-4340,-111,40708467991,-8750410,hAXMOnYE,40753444397
nokia,33,2024-09-03 22-29-45,-22053,-5,40767988656,-848227365,jVxwQoDu,40750042839
nokia,-75,2024-09-03 22-28-36,-2365,-127,40789732641,-626251114,FtAwwLDj,40720760453
nokia,-44,2024-09-03 22-27-42,-26464,-71,40790092219,1308063888,RmhdrmIY,40798188384
nokia,-121,2024-09-03 22-29-04,3135,92,40732591786,781845369,izClyCpi,40769684404
nokia,67,2024-09-03 22-25-57,-10082,105,40793287436,286882428,QLdeSvHn,40791467557
nokia,88,2024-09-03 22-26-47,3699,-127,40791403881,-552068726,Cdrfiyjb,40786419920
nokia,-104,2024-09-03 22-28-23,-23310,23,40776907640,-1249553718,UhkeKWQi,40786233952
nokia,-41,2024-09-03 22-26-12,-15859,-24,40787093268,1326366162,AHPZbwgP,40702610080
nokia,98,2024-09-03 22-25-34,8488,107,40779410121,675507448,VVZKufUN,40756170584
nokia,9,2024-09-03 22-29-09,27394,-25,40770737565,1727161755,BbRcNOzb,40778967059
nokia,33,2024-09-03 22-25-11,8164,-95,40753927897,-574934411,wubToBZa,40786360785
nokia,81,2024-09-03 22-29-08,-16038,-34,40726545047,-561028938,pUBNnSun,40786299528
nokia,-8,2024-09-03 22-28-51,24670,126,40753301196,-1865758686,SFZKXkgb,40778660378
nokia,38,2024-09-03 22-26-34,5705,124,40767540993,1952435220,cuKCjvZa,40702428609
nokia,121,2024-09-03 22-25-58,2607,26,40722530976,-782398206,UsqUacII,40729919725
nokia,5,2024-09-03 22-28-18,-3303,78,40750721972,-646279362,jWYcBUNg,40764904191
nokia,-80,2024-09-03 22-29-59,-25636,-69,40742822548,1633750907,UxjINDAP,40741659924
nokia,-59,2024-09-03 22-26-44,22962,-29,40748432661,-1231691168,imdjjDsg,40791759254
nokia,-80,2024-09-03 22-26-16,-19851,68,40755292818,813828846,jbplMeBP,40766049029
nokia,110,2024-09-03 22-28-57,887,-53,40767888067,-1465306990,JxWSdSLo,40771337924
nokia,53,2024-09-03 22-27-38,-5112,-65,40743672633,1182494083,MbXAIroC,40756489432
nokia,25,2024-09-03 22-27-33,-23045,50,40794568820,484181876,PYiuiCFR,40702775006
nokia,4,2024-09-03 22-28-13,-8168,-101,40771165304,456597122,BdZcloFf,40707787312
nokia,-36,2024-09-03 22-28-57,32055,76,40756926277,-1493641314,TsjhkTOX,40780453114
nokia,-24,2024-09-03 22-25-18,-2959,-78,40704992388,-776624445,lfMzFXJm,40751473493
nokia,26,2024-09-03 22-26-58,29481,-40,40705107013,-1791997099,enLLaiwy,40708054903
