src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-38,2024-09-03 22-31-47,26196,-94,40768890712,-135534985,pFgdqoTD,40739781051
nokia,57,2024-09-03 22-30-46,-1788,77,40755881184,-1803686445,IHycqeOA,40764332143
nokia,-80,2024-09-03 22-30-19,-9050,10,40702880858,-57414617,kzKtyxyZ,40764483430
nokia,76,2024-09-03 22-33-41,1102,-43,40702008168,-1082902533,IDOCOTvs,40723920462
nokia,-72,2024-09-03 22-34-26,-26292,-16,40735195951,-1752668967,gjHoniOw,40711055026
nokia,-6,2024-09-03 22-30-49,-29643,-116,40743069273,-314508973,ApmwnlJu,40784642616
nokia,-70,2024-09-03 22-30-28,16568,123,40731961533,-1681971128,KSGcjbUX,40758640940
nokia,-26,2024-09-03 22-33-19,-15504,75,40783581892,-1122350912,URyrozwz,40726778376
nokia,-1,2024-09-03 22-34-14,1625,12,40710100416,-482998222,tgmCECLa,40756347690
nokia,-87,2024-09-03 22-30-54,-13978,94,40747447644,1325935944,jfVWwsZI,40787336275
nokia,-38,2024-09-03 22-32-35,-17303,105,40788581373,-1561648998,WZqCODsJ,40743013868
nokia,28,2024-09-03 22-30-42,21471,-122,40750520276,-834824466,xwsBjQxi,40723828528
nokia,68,2024-09-03 22-34-55,25306,-73,40773526645,-72278062,ryOuKNTW,40789407087
nokia,120,2024-09-03 22-31-29,12029,127,40737270808,982024104,GGvqhbLl,40758163560
nokia,75,2024-09-03 22-30-55,-18141,33,40772909181,-1887258972,KFrWnwvJ,40750961258
nokia,-103,2024-09-03 22-33-23,8824,-118,40757072667,-679473234,oxkIwYoO,40766870476
nokia,6,2024-09-03 22-30-48,-6501,-2,40758471833,669729283,ulZRSmal,40777171037
nokia,-9,2024-09-03 22-30-31,-4184,-70,40787925443,425517974,JdhqgUBk,40746863680
nokia,64,2024-09-03 22-33-28,18225,-44,40723195626,-1303479000,TgrfGvhV,40739302503
nokia,-115,2024-09-03 22-30-34,-11611,54,40768801690,-1078526986,WurzyVZN,40727134734
nokia,-51,2024-09-03 22-32-15,4850,-80,40788014679,2104535855,qEpeIGwr,40759667119
nokia,66,2024-09-03 22-30-01,24124,19,40796170210,1079712485,TnZntIAf,40707193752
nokia,-10,2024-09-03 22-32-57,31541,-71,40706225764,1233701722,EIpfYygX,40710380038
nokia,8,2024-09-03 22-34-20,-31718,-14,40741522795,575868602,ENonLkAE,40786225601
nokia,-84,2024-09-03 22-32-03,-29518,-102,40799196732,1855978139,tCTreCKN,40726520416
nokia,-109,2024-09-03 22-32-09,-3739,67,40773367132,31486734,YOzSncHZ,40742296154
nokia,62,2024-09-03 22-30-33,-998,108,40776495283,883147064,utUOtbZZ,40717179661
nokia,33,2024-09-03 22-32-07,1313,-50,40769047592,2043231921,DpdIgQeK,40712560470
nokia,35,2024-09-03 22-32-40,-22533,-104,40765452733,1221743957,fryLIcpg,40785848502
nokia,102,2024-09-03 22-33-27,-16877,104,40716847749,332704597,ZkqOvuKD,40788049413
nokia,-112,2024-09-03 22-32-24,-17738,51,40722338044,-967047578,vbbMlxWz,40761805235
nokia,-88,2024-09-03 22-31-27,23459,124,40701365888,-546057122,VzjicuOM,40778848532
nokia,65,2024-09-03 22-33-07,5865,99,40744611759,-1254984548,GAJipPDr,40777521724
nokia,-51,2024-09-03 22-30-56,21481,-82,40719844881,1678037273,URLxADhS,40767401543
nokia,21,2024-09-03 22-32-03,10909,5,40738672378,-1888939566,PXfTSjoA,40737209071
nokia,-21,2024-09-03 22-30-46,-1521,119,40792906795,2036895714,eyFrjwYh,40708569255
nokia,-90,2024-09-03 22-31-10,-30063,-29,40754187686,-936732662,ycBgeLzg,40766059278
nokia,86,2024-09-03 22-32-09,14050,-39,40726857115,-2071898880,QBQMOexI,40709569755
nokia,-62,2024-09-03 22-31-44,12293,101,40732057802,1713349782,nRySfHnh,40714426721
nokia,19,2024-09-03 22-30-33,31008,-121,40746210185,-15001841,SvOMfrhR,40794781646
