src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,55,2024-09-03 22-47-20,-11710,-27,40741264276,-1294272360,ZnRGNHCu,40716448881
nokia,87,2024-09-03 22-50-01,28118,-88,40795031102,-518442318,ZqKUNyLP,40714285728
nokia,77,2024-09-03 22-45-34,11520,52,40782537868,130088966,SkPwKDUh,40719648654
nokia,-8,2024-09-03 22-48-45,1851,70,40763925483,260730760,YkzsVqzj,40774930866
nokia,-98,2024-09-03 22-45-03,17511,16,40721556040,1362921758,aDLCzIdn,40723563618
nokia,-65,2024-09-03 22-49-00,8172,-27,40718671801,-163772606,XQsYqiCP,40772210836
nokia,-53,2024-09-03 22-45-56,30489,-68,40776615606,-1994719177,BqFEzQFq,40791920169
nokia,-77,2024-09-03 22-48-51,14745,34,40730024369,887588703,kPBRBBJZ,40768151345
nokia,-74,2024-09-03 22-49-42,-18745,-106,40754384512,894548557,MjLDoLTj,40759100940
nokia,67,2024-09-03 22-48-40,19335,-96,40754200686,2046262342,fTgIrOgC,40749959470
nokia,-89,2024-09-03 22-49-05,10056,114,40717358275,-386675054,zQGJKiNQ,40733379368
nokia,-17,2024-09-03 22-48-53,18788,-35,40704820298,1585156136,mJLMiPAC,40798251349
nokia,48,2024-09-03 22-48-22,-24251,39,40769045549,1164561590,SBOKfoLG,40799293687
nokia,95,2024-09-03 22-46-34,-25603,26,40799040774,2071880339,aYLBhhgC,40787774705
nokia,-62,2024-09-03 22-48-49,13131,29,40756986991,351217360,TlwzFWxB,40728064434
nokia,-45,2024-09-03 22-45-50,-8866,119,40741869651,660538141,JPqtjVgB,40760271931
nokia,-92,2024-09-03 22-49-13,-27089,-90,40785851702,1146590027,hiTGXeFL,40784384547
nokia,52,2024-09-03 22-47-58,15951,42,40795474018,-670521021,GEKudesY,40700135013
nokia,-127,2024-09-03 22-45-35,4009,105,40790785937,-795024089,zTSHxUuT,40729513685
nokia,75,2024-09-03 22-49-11,13856,58,40773208936,-1403213176,NNRQrOGK,40741222917
nokia,-10,2024-09-03 22-49-10,8353,44,40708934863,-1291536063,JfhZJHqJ,40711455382
nokia,68,2024-09-03 22-47-03,-19465,83,40747200530,-1706404259,avNtMZId,40718113355
nokia,27,2024-09-03 22-49-00,20065,24,40750453491,-829408298,HdbsmpcC,40785462388
nokia,-104,2024-09-03 22-48-23,-24667,19,40780405794,-2030856101,NNUUUQSN,40783758291
nokia,5,2024-09-03 22-46-48,13809,117,40795696016,18571242,cbZQvIOs,40749883228
nokia,-7,2024-09-03 22-47-05,-1962,-54,40741711276,1333259234,fGLauXCE,40711808025
nokia,102,2024-09-03 22-46-39,-11277,-103,40791984322,362753023,FndyRivM,40767244532
nokia,-14,2024-09-03 22-49-43,27932,75,40744922198,-1238259240,DGZfVFKM,40767439557
nokia,-86,2024-09-03 22-48-42,29244,57,40734106817,-1635504477,emIyVyOM,40710239303
nokia,5,2024-09-03 22-47-18,13778,-112,40762510293,-638007938,dzrasYfU,40739127662
nokia,115,2024-09-03 22-49-17,-28247,-97,40706964061,-346118987,bvyqrjbe,40752055412
nokia,125,2024-09-03 22-45-35,-9340,-31,40718182241,973517732,hmwIhSKf,40768164999
nokia,118,2024-09-03 22-49-15,48,-33,40763145309,504000921,LFKbHsbE,40749065516
nokia,10,2024-09-03 22-46-34,-31432,-88,40772810163,1818226859,YgfENUQI,40721825657
nokia,-76,2024-09-03 22-48-35,18147,44,40707642779,-908083208,AIPeEFpk,40725165753
nokia,-68,2024-09-03 22-45-13,13150,50,40750324612,-1601858886,bAoOJRjr,40734152873
nokia,-67,2024-09-03 22-45-25,-15561,-36,40777954149,-940014909,SgvRqKqp,40701179663
nokia,78,2024-09-03 22-46-21,10507,-59,40730190627,-1910484003,MKDJnkND,40750400800
nokia,19,2024-09-03 22-49-10,7088,48,40739127416,2054240707,JaNQcpSb,40774348489
nokia,71,2024-09-03 22-49-08,25985,-48,40757058628,-800499143,CDPhqLxf,40727872984
nokia,-78,2024-09-03 22-47-14,16708,-92,40751348347,-214941889,DOTPQZob,40724323932
nokia,93,2024-09-03 22-46-28,8569,58,40754317524,1679300969,yIjRUQrh,40757226929
nokia,46,2024-09-03 22-49-04,-25836,-51,40720710962,-1877776688,ZFpasINv,40759832344
nokia,-6,2024-09-03 22-48-08,-17160,110,40752762576,-1985489149,McNdfnAk,40761040128
nokia,1,2024-09-03 22-49-32,-14607,64,40708948264,-997587660,DfHcOZWh,40719040717
nokia,63,2024-09-03 22-46-04,18221,-25,40719538729,2066269533,lUNIeOOd,40770953215
nokia,-71,2024-09-03 22-47-54,6610,43,40717610782,-1033725031,SEkgZZlx,40709041891
nokia,-69,2024-09-03 22-45-09,-14638,52,40789275747,1410551318,sHSKjKgc,40778616632
nokia,92,2024-09-03 22-48-26,15627,-36,40708169528,254522979,ikJeGovH,40790930805
nokia,104,2024-09-03 22-48-16,-24873,53,40718066941,1952170821,CXcCHdFT,40735150900
nokia,-74,2024-09-03 22-49-48,25888,-30,40702519384,977349457,BxytAJmo,40776149644
nokia,-7,2024-09-03 22-45-52,-28096,108,40754452003,-701819738,bSsczWTe,40732335382
nokia,-92,2024-09-03 22-48-10,-15926,-61,40777311301,-1082835288,cOxecpzZ,40707416609
nokia,-107,2024-09-03 22-48-06,-83,55,40768474155,1181000985,KsfczfEH,40789082915
nokia,-45,2024-09-03 22-49-47,7521,127,40769440456,-2004186298,dOaHvpek,40740814154
nokia,-116,2024-09-03 22-45-18,23154,116,40747207009,-1404119482,LKajonVE,40799202677
nokia,22,2024-09-03 22-48-35,-24697,-112,40727851337,1341428641,nJReEOUp,40766368077
nokia,-77,2024-09-03 22-46-23,5868,55,40708846712,-1056922264,cuUlLbhI,40776944442
nokia,96,2024-09-03 22-49-00,-18822,-110,40734670473,-467852702,nAOUCrPr,40722620641
nokia,40,2024-09-03 22-49-56,14040,22,40732948861,1652156991,iKEsHmRl,40721829180
nokia,5,2024-09-03 22-47-30,-25042,84,40746478577,589061439,HbTJAVGy,40745024560
