src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,41,2024-09-03 22-58-07,17499,103,40769783057,-788455707,DeUvLasy,40758477722
nokia,95,2024-09-03 22-58-14,-32540,33,40701963450,-2128966316,RjMvWVtI,40755167734
nokia,-128,2024-09-03 22-56-02,-23533,124,40777064015,231147922,ZETwmlwg,40759783769
nokia,-48,2024-09-03 22-59-58,21735,-28,40720525511,1924164434,fOfmCttR,40719286152
nokia,-104,2024-09-03 22-56-20,17629,-38,40775067206,-1030774949,gxxNaIAF,40733514745
nokia,-64,2024-09-03 22-57-14,12495,-11,40770971246,-151176242,qCypchGk,40746235337
nokia,-93,2024-09-03 22-57-39,-19600,-96,40763733531,367760339,xUqrZQLc,40703369135
nokia,59,2024-09-03 22-57-51,710,-27,40718812912,2134404750,pqqkuBvQ,40716535126
nokia,80,2024-09-03 22-55-54,28019,-21,40705758623,1892249870,kzzvSpEb,40733492459
nokia,44,2024-09-03 22-59-29,-4957,-3,40789031088,-123099199,xSeTvzAA,40762928090
nokia,-95,2024-09-03 22-58-17,17021,23,40770021108,-42581438,QfMxZdxx,40785785071
nokia,22,2024-09-03 22-57-02,-22572,25,40729590028,-1208481257,uZVGanUK,40701110926
nokia,-88,2024-09-03 22-58-15,28310,-108,40771058264,-1730982783,EJDEcbOS,40712311604
nokia,-17,2024-09-03 22-55-35,14921,-53,40746914169,-1121499497,Mpzstepn,40766281306
nokia,-76,2024-09-03 22-59-52,-22436,-70,40709226538,1876266270,ZLvqiiUq,40797600956
nokia,91,2024-09-03 22-59-27,-879,-45,40707996941,-1435642388,Azjfyppo,40790298657
nokia,9,2024-09-03 22-58-34,21302,-101,40769781814,1907560099,HzlyxEZN,40742951801
nokia,-84,2024-09-03 22-58-39,731,-38,40762122023,-772324831,kLkFLWJV,40729171482
nokia,-87,2024-09-03 22-58-30,5309,27,40723850635,-1265391131,Afhilbwj,40752717211
nokia,114,2024-09-03 22-59-46,24156,-17,40763745479,1125356401,sbVgoWHZ,40712445519
nokia,-119,2024-09-03 22-55-20,29935,62,40768755171,118981033,JyAfGrQd,40721521309
nokia,29,2024-09-03 22-56-33,3455,76,40758499923,108662620,uEQvCLmz,40704973359
nokia,-40,2024-09-03 22-58-25,-28566,127,40714141053,1628071396,pSBKVKhy,40750010355
nokia,-103,2024-09-03 22-56-57,16886,0,40752553192,343218488,czwhfnUp,40704223486
nokia,10,2024-09-03 22-58-30,-32488,111,40753619358,701023161,bwZkZgyK,40704968791
nokia,121,2024-09-03 22-57-08,20999,52,40757749733,350281827,oZoucHsg,40768094239
nokia,-53,2024-09-03 22-57-17,-11489,-123,40716078185,407981522,hinjhsWU,40764582701
