src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-18,2024-09-03 23-12-02,-14611,2,40717906581,-2050202001,aOFadRio,40795817865
nokia,-69,2024-09-03 23-11-35,-4316,0,40758143944,-87508121,wrBmtMgH,40769296660
nokia,-106,2024-09-03 23-10-16,6424,-95,40747148603,-1216246048,qylJyYka,40713676616
nokia,72,2024-09-03 23-12-29,3488,-116,40737235805,-1678079669,mcpNjLxc,40734196335
nokia,82,2024-09-03 23-14-05,24406,-100,40720802034,-695304941,tPCqqnaj,40784393808
nokia,42,2024-09-03 23-11-49,17120,106,40727004236,1049114378,rrdgVXih,40758946252
nokia,-48,2024-09-03 23-13-56,23427,-3,40748968824,-1688708919,CJGHvIpW,40756409679
nokia,31,2024-09-03 23-13-57,-32613,-79,40765708200,937018645,CieVeHjl,40770513965
nokia,-80,2024-09-03 23-10-10,-9813,-35,40713255982,1844430935,GVUbyzbo,40742456088
nokia,-22,2024-09-03 23-14-03,12592,75,40734525685,-593868927,RrlZwvJT,40774901349
nokia,-75,2024-09-03 23-13-07,-18732,-36,40716440118,959425997,USNEpSRc,40782663083
nokia,62,2024-09-03 23-10-48,1432,22,40729489214,948842546,zmupLxfO,40719362001
nokia,42,2024-09-03 23-14-58,4066,-92,40770452090,288503258,lqMecsPR,40772895291
nokia,-54,2024-09-03 23-12-06,18831,-29,40720810085,-1914929905,LadCPhvL,40742774810
nokia,34,2024-09-03 23-14-35,14124,-91,40760767614,-1843885705,WalSVOQo,40707577163
nokia,-11,2024-09-03 23-12-24,23576,-109,40736403092,-563872964,ywQSrXVk,40748290374
nokia,-115,2024-09-03 23-14-08,24648,-29,40725138647,233548298,KcjxTGKn,40776135607
nokia,-123,2024-09-03 23-13-41,-19142,21,40764761998,-1094842853,BDHQWhfb,40729710845
nokia,-52,2024-09-03 23-12-36,-18651,96,40762579938,-1169087597,ABDoKzyr,40743215978
nokia,66,2024-09-03 23-14-26,20458,-106,40763316488,921787652,YLvpGNxJ,40791051798
nokia,-77,2024-09-03 23-10-59,14088,-35,40774552303,889430308,fKIhdIkg,40751959693
nokia,-86,2024-09-03 23-14-58,-4698,-96,40737847085,821816391,qQeXrVNP,40714161375
nokia,-1,2024-09-03 23-14-05,23950,44,40797806312,771141255,jkjaVcla,40760812031
nokia,56,2024-09-03 23-12-56,-13401,-26,40756934231,578971654,UEFJbSPJ,40729262523
nokia,-27,2024-09-03 23-14-59,-30050,69,40717531487,-1468177322,qWcGHtwM,40745182171
nokia,-111,2024-09-03 23-13-43,-11935,-60,40738870515,1663789021,qaQwPrOJ,40736659981
nokia,48,2024-09-03 23-13-43,-10356,-18,40763637706,-943122591,hWmAQARG,40728529703
nokia,29,2024-09-03 23-13-17,-31775,38,40707420767,-1825702594,rOxkeRef,40725089232
nokia,121,2024-09-03 23-10-30,9629,21,40793329234,-753268771,nIkPfrVM,40793484151
nokia,81,2024-09-03 23-13-50,20915,8,40718430668,342161445,wpLvdFaZ,40761475047
nokia,-106,2024-09-03 23-10-50,17126,123,40752145118,675134455,FevFLfvR,40794134772
nokia,-24,2024-09-03 23-14-59,-22594,15,40775419150,-366603580,mAQTcVkB,40753469898
nokia,8,2024-09-03 23-12-49,834,-125,40722034966,384229920,VKKXMfQq,40742435091
nokia,47,2024-09-03 23-12-47,22590,-84,40724504179,1401484038,JPatfdAD,40761036029
nokia,121,2024-09-03 23-12-54,6753,50,40746104705,-1944320863,BltKikFc,40758840376
nokia,-23,2024-09-03 23-13-46,-9936,118,40770026725,1221699020,HznhfeBu,40731270976
nokia,-88,2024-09-03 23-14-57,1442,-30,40716380421,-96237747,KPLUiVHD,40717454181
nokia,-112,2024-09-03 23-11-19,-26331,77,40759301430,-714442395,eXinEQYr,40766184177
nokia,-91,2024-09-03 23-12-39,-22483,-46,40792862586,-1835076766,GaoSWdTN,40758931169
nokia,85,2024-09-03 23-13-41,-13315,-82,40700850107,-884474925,LndPozIn,40743360369
nokia,25,2024-09-03 23-12-13,1528,13,40783498334,-299753795,MyRauyZk,40786989251
nokia,55,2024-09-03 23-13-50,883,-112,40791492218,143058713,IEuuYoxv,40771237730
nokia,80,2024-09-03 23-13-44,15246,-41,40716383817,-1902817115,ZDpSOKMv,40787106617
nokia,-51,2024-09-03 23-13-26,25461,69,40760261105,-626400148,irRBEjRE,40701028042
nokia,125,2024-09-03 23-12-53,-28446,35,40718686539,1239505147,ctvzypUc,40720741500
nokia,87,2024-09-03 23-11-04,30181,101,40755069603,-1757600218,KytMDfyy,40783949359
nokia,-15,2024-09-03 23-11-13,32051,32,40794256616,-104324430,aohRRJkX,40721147561
nokia,-84,2024-09-03 23-13-21,9790,52,40778638888,-242548583,WAQAPlzd,40794043182
nokia,56,2024-09-03 23-10-45,32488,108,40787016359,-1645952008,LJAcVDLW,40705424463
nokia,-69,2024-09-03 23-10-36,3950,-83,40727316651,70275807,FFQqHatk,40754022291
nokia,0,2024-09-03 23-10-34,4608,-24,40731507263,1680834451,AnjLFNcZ,40768789662
nokia,19,2024-09-03 23-13-31,22451,105,40776665753,-1843994191,EUAxhTbJ,40720833175
nokia,22,2024-09-03 23-13-43,-855,-83,40783873874,473456470,lUbcYjxU,40749016308
nokia,-119,2024-09-03 23-12-57,6139,-10,40795286399,1207243985,fEqOHPhU,40749580093
nokia,-36,2024-09-03 23-12-18,-25627,95,40712293620,425502124,pWSvGxHy,40705879537
nokia,-23,2024-09-03 23-15-00,-31877,-128,40757923836,1073361883,DNvGkBAU,40777533545
nokia,-47,2024-09-03 23-14-23,28585,-24,40781010090,1225108874,dAxbMopb,40791812850
nokia,-55,2024-09-03 23-13-14,-24766,-41,40787947275,495087293,xnCFRoVY,40753935525
nokia,-38,2024-09-03 23-15-01,-14233,9,40784973081,13979446,cPGmwckK,40742405907
nokia,-16,2024-09-03 23-13-18,-10677,-97,40772781847,-592983531,AWnNSlHF,40785197021
nokia,-38,2024-09-03 23-14-12,-23117,105,40791862672,1101704744,ETyTYsRf,40755457580
nokia,-101,2024-09-03 23-12-26,25011,-62,40767369197,266749718,UpZHBskb,40775289302
nokia,-53,2024-09-03 23-10-31,-4897,85,40757611221,-1738130684,OEFtqsYg,40784126061
nokia,-118,2024-09-03 23-11-22,-8087,-35,40797169707,366544612,vLOpGqIm,40725124427
nokia,65,2024-09-03 23-11-14,6109,0,40727647943,-1063014764,LwbPuYed,40791712497
nokia,-101,2024-09-03 23-13-37,-10580,118,40729709085,1557697722,rTTBgYDO,40752064281
nokia,-60,2024-09-03 23-11-21,-18668,-13,40799057973,1550132286,sjnvgGwj,40742391714
nokia,21,2024-09-03 23-14-19,-23183,87,40732369680,-2023611769,HnhKhoao,40785711870
nokia,-108,2024-09-03 23-11-38,-22824,-35,40780700357,-904624274,UWxWCPQw,40779870182
nokia,-90,2024-09-03 23-10-28,11069,105,40709950552,-1862312370,GJAsluzo,40765217216
nokia,11,2024-09-03 23-13-12,3223,-117,40769249887,1222508569,uyxFvBGN,40712670580
nokia,90,2024-09-03 23-10-34,-23507,87,40735407909,390514772,CGMPvHId,40788127915
nokia,29,2024-09-03 23-14-13,13345,78,40725084148,259284931,rlWdJpgG,40713640217
nokia,-125,2024-09-03 23-12-09,-8312,48,40729464006,1026253098,eoUKLfTi,40749745639
nokia,-125,2024-09-03 23-12-34,-17342,28,40731530634,-1253533322,FTeCbLUf,40729710222
nokia,10,2024-09-03 23-11-15,-2211,-54,40771905192,-1884456707,lhDXTgTL,40772012015
nokia,4,2024-09-03 23-13-34,-19689,60,40747943549,1056767105,uJlQuPvD,40720048912
nokia,-43,2024-09-03 23-11-08,20941,39,40767900208,1915383478,vQAajefQ,40746217653
nokia,96,2024-09-03 23-14-33,5367,20,40760640574,-163114095,XNJzlwCf,40780799885
nokia,99,2024-09-03 23-10-27,-28721,-27,40733949419,530694363,NEhLrZVC,40759800665
nokia,-121,2024-09-03 23-11-21,-30977,84,40786174734,-1825408485,wtXRDmBJ,40787435344
nokia,-52,2024-09-03 23-13-02,24721,14,40760310656,-1308932059,dtnNEjCM,40725758320
nokia,124,2024-09-03 23-10-44,5901,-84,40728056458,-913150299,OsruAoYS,40703965501
nokia,11,2024-09-03 23-14-05,-10884,98,40795248875,-57211307,xTqenAcI,40776049601
nokia,90,2024-09-03 23-11-16,21346,67,40727647539,-389179976,ukyuECaX,40747867498
nokia,-95,2024-09-03 23-11-36,7571,-98,40738514500,-1983123387,YRjJocEi,40738123071
