src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-49,2024-09-03 23-15-34,-4290,-27,40707772264,-773912835,gFagtWdv,40739987231
nokia,-59,2024-09-03 23-17-15,23173,68,40736168089,-795904202,NlnehxUE,40718640172
nokia,85,2024-09-03 23-17-26,16624,37,40773258638,1147011544,lBNibOKB,40709344007
nokia,-72,2024-09-03 23-16-18,29933,-10,40779099462,-274856799,rtPkNzeM,40709524164
nokia,-92,2024-09-03 23-16-46,31167,116,40773073482,-1314122916,qTBQpisj,40797188748
nokia,61,2024-09-03 23-15-49,31841,-77,40703578296,-386748080,ThFlnhba,40704489215
nokia,16,2024-09-03 23-19-51,27302,5,40749548375,-1758510002,SntxzjBu,40788423407
nokia,46,2024-09-03 23-19-06,-6536,125,40714474429,-1109608164,BXhxXMTG,40725426771
nokia,51,2024-09-03 23-15-27,-7190,-40,40799431112,1750135355,uYcvvcMI,40700754192
nokia,8,2024-09-03 23-15-33,-14820,89,40769900215,1849442116,missZbVr,40728745629
nokia,117,2024-09-03 23-17-58,24836,23,40780994619,1026754525,aUgnXlgN,40747220034
nokia,7,2024-09-03 23-19-05,-18869,-23,40714477403,-1607597938,HgSgimxr,40790647786
nokia,121,2024-09-03 23-17-17,28719,-103,40775183382,215060461,QyyoHxtM,40766761119
nokia,-18,2024-09-03 23-15-28,-17270,-93,40728890326,2143046265,fSRVahcu,40719154334
nokia,-120,2024-09-03 23-15-15,14903,-96,40743262797,-1142945941,SopZwNSc,40794413813
nokia,-102,2024-09-03 23-18-10,12740,69,40722920480,1027766473,VsHjXfQm,40782409301
nokia,-41,2024-09-03 23-16-06,-8593,27,40752390930,2068440969,JTAmoWSq,40717873841
nokia,36,2024-09-03 23-19-39,18869,-70,40753663716,434287388,FuVFjKvy,40725359922
nokia,12,2024-09-03 23-16-41,-17747,-117,40748336845,828849220,ygNBVFpn,40707749258
nokia,-90,2024-09-03 23-19-11,27726,-124,40775727249,-726338714,wAHJppPn,40713616155
nokia,-34,2024-09-03 23-17-54,-16700,97,40753938327,671384366,LRfCKvUE,40725804043
nokia,19,2024-09-03 23-19-38,-16453,8,40730172698,1481542858,NBPMQuUW,40721061163
nokia,-101,2024-09-03 23-19-37,2840,26,40755760338,-540075337,vBEyFnav,40727515246
nokia,63,2024-09-03 23-17-36,-25821,-104,40721505959,1938380842,fznsdWVX,40742005498
nokia,-66,2024-09-03 23-16-27,3141,-104,40788852461,-1028701500,NDEcaUNB,40720333500
nokia,-37,2024-09-03 23-18-23,-9033,-21,40798300666,1022972175,nhDPRbMK,40708702171
nokia,21,2024-09-03 23-16-38,-25125,-79,40735001633,25535241,rlLolHvR,40777510850
nokia,118,2024-09-03 23-15-28,7896,28,40776711290,-481201672,dqMxvIZL,40707422578
nokia,-29,2024-09-03 23-19-36,-13534,-103,40770576904,803842967,niEMSCws,40752045135
nokia,-12,2024-09-03 23-19-53,20280,-118,40701651655,-992873260,TsBBBdGm,40752410168
nokia,-128,2024-09-03 23-17-38,29476,-105,40743668404,-1089974395,EbtHgPRV,40780008914
nokia,-22,2024-09-03 23-18-45,19939,-72,40748929960,-1007973963,gkibImfj,40701587184
nokia,59,2024-09-03 23-16-49,4227,-49,40710822795,-1157962415,efbuuNda,40753630557
nokia,31,2024-09-03 23-19-36,-30180,-85,40762549287,-1032225450,pgESuXvE,40766846585
nokia,38,2024-09-03 23-17-18,19857,-69,40789990047,-383264544,YeFiHqUj,40715652020
nokia,-32,2024-09-03 23-15-51,23310,14,40750418232,723805314,HHCRSLUk,40782234872
nokia,-42,2024-09-03 23-16-00,-14808,-34,40792496931,-464282371,gYrFKWld,40739846675
nokia,-50,2024-09-03 23-15-20,18101,82,40794231881,487999993,JTlroRIa,40748867344
nokia,-20,2024-09-03 23-18-48,-27418,-58,40706850123,1076007519,IudPyXRh,40764741222
nokia,94,2024-09-03 23-19-46,4907,61,40723176926,1289177161,uJBpQYvl,40759799760
nokia,91,2024-09-03 23-15-13,-19715,-37,40742398308,-17002174,RfeNBwdh,40714688619
nokia,-3,2024-09-03 23-15-30,-24616,-13,40795685456,-900544088,ltpzJDHo,40761823380
nokia,-77,2024-09-03 23-16-03,-7983,76,40785828232,-747938953,JxhFcOUL,40703085814
nokia,36,2024-09-03 23-18-27,-29233,-40,40780312665,-1612299939,rTAPXWhF,40740971008
nokia,18,2024-09-03 23-17-36,-27133,59,40783016469,-1595741622,KPeBfTrm,40715460629
nokia,82,2024-09-03 23-16-44,-14594,50,40781710935,-1246199195,iPvyIFpZ,40705612622
nokia,34,2024-09-03 23-19-26,5415,-3,40759970129,-454396180,McOAwfzV,40796090317
nokia,37,2024-09-03 23-19-33,16368,45,40793196190,1976278532,AgVAFGJY,40776442590
nokia,28,2024-09-03 23-19-57,31738,50,40768530348,1986286080,LRJNqIMI,40708198913
nokia,-46,2024-09-03 23-17-44,-30671,66,40726278371,-315738255,LiRslOXH,40732552387
nokia,-89,2024-09-03 23-18-14,11760,124,40781696945,1718810491,OIOqKeGE,40722231993
nokia,6,2024-09-03 23-18-29,7949,-31,40762461679,970009456,OPvNYwKx,40735688498
nokia,3,2024-09-03 23-16-49,17061,123,40780242455,-1141405190,qAleqxQO,40757527427
nokia,90,2024-09-03 23-16-53,-32341,-101,40784446576,745986457,lDnBOhBP,40763773919
nokia,-21,2024-09-03 23-17-00,-26532,14,40749838258,-928156150,rZsYCizI,40747571834
nokia,17,2024-09-03 23-15-25,16662,97,40766719966,-132629019,DdMHiJhv,40723887019
nokia,127,2024-09-03 23-18-14,30427,119,40742978773,862380948,botWmRwm,40762460860
nokia,11,2024-09-03 23-18-44,-31859,79,40717341458,-1533002449,jzfEgkTu,40700126705
nokia,-14,2024-09-03 23-15-35,-25244,-7,40792962577,-1865329752,GzQxPTFI,40732740393
nokia,13,2024-09-03 23-17-00,-15414,96,40751418959,-1434952008,meMVdURr,40715058485
nokia,-73,2024-09-03 23-18-25,16902,7,40766574860,55913469,SJDsbpYu,40732795706
nokia,-61,2024-09-03 23-15-39,-18245,-78,40763139497,-145618957,wSidiEFP,40786659359
nokia,-95,2024-09-03 23-17-19,-25839,-37,40773512757,1673293099,kYtshOhs,40758970732
nokia,76,2024-09-03 23-17-27,-23755,110,40734815083,-938658312,XKAHfbYg,40751609798
nokia,-70,2024-09-03 23-18-25,24145,-45,40742136393,1758013571,wpYLiuHi,40750995230
nokia,-29,2024-09-03 23-18-15,32184,8,40738965955,1711127257,thyyUWQF,40799818972
nokia,68,2024-09-03 23-17-20,12918,-62,40784878365,-1051741923,EiNuUZQq,40769072808
nokia,14,2024-09-03 23-16-40,16979,39,40733639752,254339780,DWlkessz,40732866688
nokia,37,2024-09-03 23-17-35,8302,-82,40712238516,77269667,WETrCWXd,40728811994
nokia,-93,2024-09-03 23-16-05,-13948,-11,40716141288,-752636559,sYKbMcbO,40726012100
nokia,92,2024-09-03 23-16-33,11568,-44,40733192147,-1894338464,CIfolkPY,40753519474
nokia,91,2024-09-03 23-17-27,3652,-42,40798180448,1851855974,QwOFWBug,40709354877
nokia,-66,2024-09-03 23-16-24,8738,91,40787824934,-1713903277,wRwUZmNC,40760995446
nokia,-94,2024-09-03 23-16-32,12392,-77,40718009119,1404047547,nvHVCJsV,40701335576
nokia,-95,2024-09-03 23-18-49,-3140,71,40754238947,2058627582,EeFAgkZe,40706916118
nokia,49,2024-09-03 23-18-38,17506,-69,40709384202,-1828488369,LidwsKvl,40764204256
nokia,-19,2024-09-03 23-18-00,-1641,23,40776577732,-1059820112,GPqVxcNN,40734054022
nokia,19,2024-09-03 23-16-19,-20709,82,40715884587,1583947407,WkznEsRF,40790365559
nokia,72,2024-09-03 23-15-50,15257,46,40743069088,-788948923,vWAyavPA,40776419613
nokia,-42,2024-09-03 23-16-11,-28758,88,40730457328,-1755471161,WShHbTfH,40704821344
nokia,96,2024-09-03 23-18-38,-23833,-41,40752543984,482600743,ERWpbNAQ,40778487994
nokia,90,2024-09-03 23-19-22,-5155,-10,40772786034,1568730955,ZxnutgcM,40716647741
nokia,126,2024-09-03 23-16-10,28846,-35,40785006575,740421711,IiEiBJhj,40743641429
nokia,54,2024-09-03 23-16-50,-6601,75,40754387631,-654774338,ANRKIIDx,40750854211
nokia,98,2024-09-03 23-15-03,24695,39,40716569978,-1716934164,GcxoXIni,40765943649
nokia,-102,2024-09-03 23-19-07,8362,1,40722735247,1705761740,AxOhsvQh,40729693183
nokia,27,2024-09-03 23-19-58,-2526,10,40785630650,2128558079,wUUzFIPS,40708642597
nokia,-86,2024-09-03 23-17-51,-18446,90,40727241824,-559952461,VwZmULRe,40736880470
nokia,60,2024-09-03 23-18-26,14241,-93,40723125188,456471557,qRinHetD,40707832528
nokia,9,2024-09-03 23-15-39,21776,-96,40771689158,-1913651957,DGkrZASN,40728812444
nokia,-14,2024-09-03 23-19-08,-16451,25,40740968580,217753628,GUcSsmFK,40791214489
nokia,40,2024-09-03 23-16-20,-18870,-24,40748604524,48073726,JFcegYPw,40701132491
nokia,80,2024-09-03 23-16-36,20183,-49,40729526809,1438747761,uBCpYybf,40702563891
nokia,52,2024-09-03 23-16-52,16319,104,40713790966,1528296977,pnsBLXKd,40756983656
nokia,-31,2024-09-03 23-15-35,-11325,-40,40777499948,1797722478,uQKSUfRg,40701906363
nokia,70,2024-09-03 23-15-46,-12518,-54,40766592561,2024139676,WsAlWOhs,40751098375
nokia,1,2024-09-03 23-17-22,1123,-47,40707100863,1040127261,ApaoGJNl,40702287357
nokia,-85,2024-09-03 23-18-00,2768,-117,40727258916,-1195656811,orSGwGIw,40701848052
nokia,-45,2024-09-03 23-16-50,-19670,-30,40767241625,-1313478456,xkgVqWlD,40796939063
