src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-95,2024-09-03 23-24-13,4455,30,40744077254,701767722,CaYYStee,40734834955
nokia,-111,2024-09-03 23-22-07,-25088,-125,40787520738,593379146,bxaEfOPb,40754588296
nokia,-84,2024-09-03 23-21-45,10179,124,40764448494,-173327846,MZjUOice,40709051213
nokia,51,2024-09-03 23-20-03,7836,-115,40755807997,2129618860,LOBdXHvU,40739469047
nokia,120,2024-09-03 23-23-33,23890,21,40767170020,-489256906,YEuupVGu,40764090365
nokia,-31,2024-09-03 23-22-05,12750,-89,40727118235,-1916998336,TVfpcztD,40721492695
nokia,-71,2024-09-03 23-20-20,-1076,-112,40770330337,1925893007,fqwDIEma,40720475672
nokia,13,2024-09-03 23-22-37,-24973,-54,40756634484,327182915,NXfErmqT,40798951360
nokia,-37,2024-09-03 23-22-25,-2798,39,40769856604,823793504,CbEpCNFH,40755640685
nokia,-121,2024-09-03 23-22-13,-29531,-16,40779218884,1102772062,QXhyEFnZ,40736393612
nokia,66,2024-09-03 23-23-45,-28136,-36,40732327518,-685317688,PBaAEwWF,40790432767
nokia,16,2024-09-03 23-20-38,-10135,-71,40730051257,1197384263,nxBKSqYf,40712890455
nokia,69,2024-09-03 23-24-36,31850,6,40775705508,274890459,jTAgYjcq,40713145695
nokia,124,2024-09-03 23-21-19,6418,-94,40712686297,-454615914,EyxpOsfR,40743175867
nokia,-1,2024-09-03 23-22-05,1410,44,40751644760,1273772045,teGjpFkw,40794397597
nokia,-9,2024-09-03 23-21-13,15694,2,40751794065,1080568525,TvAJkgDf,40736314648
nokia,-92,2024-09-03 23-24-16,14473,-21,40762282213,-2008378513,IiNvEXCY,40731180184
nokia,109,2024-09-03 23-21-06,-10580,127,40720484444,295536964,WKOrUQRV,40706810800
nokia,-96,2024-09-03 23-24-16,-9134,-67,40737669448,-1256022406,iCosRdpc,40701060889
nokia,1,2024-09-03 23-20-22,-1376,115,40716269610,-1873523472,lKpVWeOJ,40711668844
nokia,36,2024-09-03 23-22-01,-21127,-21,40733106825,-1593651479,hgEbGxnS,40701580277
nokia,-21,2024-09-03 23-21-39,32542,14,40749919978,1554761373,AkgMlxXq,40754211584
nokia,-117,2024-09-03 23-21-32,7941,0,40700305206,-658053413,OuhxDjLZ,40780558331
nokia,8,2024-09-03 23-23-32,-9674,-41,40742896975,1358259299,QUSCRHLu,40753100662
