src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-105,2024-09-03 23-42-07,-10220,38,40791165296,-1419443098,WXmMQItt,40755925275
nokia,-17,2024-09-03 23-43-56,25846,24,40751234350,-2068682926,gzzqXbps,40776082895
nokia,-45,2024-09-03 23-40-54,7191,-62,40704601508,310787322,QjeWYJPy,40744439181
nokia,-2,2024-09-03 23-41-58,-8938,64,40793217585,-1929479553,pdHlvCPw,40725979904
nokia,-35,2024-09-03 23-43-28,4964,-106,40770735358,2135125054,NTCVjVFY,40743769603
nokia,-10,2024-09-03 23-40-57,21835,66,40772796559,-412277202,NXRRUgxb,40709200565
nokia,43,2024-09-03 23-42-18,20731,34,40781873527,-871431349,rZlZLRGy,40755983738
nokia,118,2024-09-03 23-41-53,7423,98,40750548413,2074822564,WCfwVvQL,40795326693
nokia,74,2024-09-03 23-44-50,31342,-87,40731169700,-2020871962,DeTRLwZG,40767867271
nokia,-123,2024-09-03 23-40-38,-3219,33,40762065329,-1390495667,IoJVUCPt,40738641041
nokia,46,2024-09-03 23-43-38,15577,-14,40707839601,-1400694509,BXyAtGSs,40791714891
nokia,-26,2024-09-03 23-42-39,190,55,40755260616,-570060117,pUgclqeu,40718944258
nokia,-69,2024-09-03 23-41-51,-26776,-108,40792940620,-1674479968,vERBTMQG,40790994395
nokia,38,2024-09-03 23-44-01,-25478,80,40733236706,8336991,VFUlEdaM,40786247191
nokia,-43,2024-09-03 23-43-41,29774,-74,40712898435,1085350651,DvljrWFs,40776336131
nokia,30,2024-09-03 23-41-30,21464,61,40749655862,-1189254820,qqFTPoiA,40793803720
nokia,-26,2024-09-03 23-40-09,8221,-36,40769821897,2055026877,zaJAhCAP,40799108505
nokia,-66,2024-09-03 23-40-37,-19561,27,40734312591,-639363701,bydVBDde,40714971186
nokia,-75,2024-09-03 23-42-45,-10480,43,40793823517,-1040737270,CMnNdJCT,40701180008
nokia,11,2024-09-03 23-40-21,-22116,38,40796958539,1162922847,kevMdnLu,40740125488
nokia,19,2024-09-03 23-44-45,-16625,109,40712793078,-1058367321,oKshdTxt,40786103699
nokia,-126,2024-09-03 23-43-21,-24242,85,40777167283,-130996249,ZWfkJbpa,40750322588
nokia,8,2024-09-03 23-43-23,23276,-60,40745355431,-1928112547,IheubGOf,40788123925
nokia,20,2024-09-03 23-42-39,13839,29,40700731291,-1685411364,BJEaCvKo,40767577286
nokia,80,2024-09-03 23-44-08,5352,-17,40715318727,1865510842,exEiODsX,40787310969
nokia,28,2024-09-03 23-41-09,23710,-122,40700000910,-477171346,gzFtLLAL,40739564751
nokia,6,2024-09-03 23-43-02,32754,19,40709259233,-1927752170,zxtWfNGn,40713714917
nokia,75,2024-09-03 23-40-17,-13054,54,40769103816,-451990344,QsGuxnEt,40792978489
nokia,62,2024-09-03 23-41-56,21874,-122,40778124611,1339450137,EVOeQOMA,40789104064
nokia,-70,2024-09-03 23-42-29,-12271,34,40788075911,382648945,WioRBKbw,40790708328
nokia,-37,2024-09-03 23-44-49,3059,-41,40715579281,802477122,dNWDZFci,40766410962
nokia,46,2024-09-03 23-44-45,-8042,-119,40765366194,-2001498258,rtviJiVy,40793740816
nokia,-78,2024-09-03 23-44-01,-6836,-73,40715740391,1446528128,TeXiNTVQ,40798165842
nokia,-1,2024-09-03 23-44-18,-9163,-37,40785249754,-1168617787,QrYkpcZx,40749332183
nokia,-106,2024-09-03 23-41-46,11782,124,40767997658,-808611359,dHrcTmZm,40770626504
nokia,29,2024-09-03 23-40-40,31335,15,40757240365,1534032421,wfuvjypu,40796180263
nokia,-12,2024-09-03 23-42-37,3231,-6,40762870570,-1722095843,nLXdXrNh,40773598078
nokia,-77,2024-09-03 23-44-16,22063,29,40794317189,-193269122,vVYKqJbH,40752001684
nokia,-19,2024-09-03 23-42-07,-27429,52,40796345809,-325997707,AphhAvuf,40726670503
nokia,-64,2024-09-03 23-41-25,-16687,58,40784304578,-1479940734,eRoIhcig,40741505356
nokia,-23,2024-09-03 23-41-10,18473,70,40757765192,1327359625,lfvAyZeP,40715773788
nokia,-74,2024-09-03 23-41-00,15251,78,40730750784,-1487415332,DVxQMlmR,40769333532
nokia,32,2024-09-03 23-41-20,2005,-120,40794343272,1810662134,HQBiiuzD,40762495912
nokia,-68,2024-09-03 23-40-31,-14063,48,40774702898,238479615,xhYfnUTn,40763962654
nokia,-108,2024-09-03 23-40-56,12707,-81,40742586508,-661571696,IXjROwCx,40771403158
nokia,-22,2024-09-03 23-41-29,-27110,-26,40706279767,-2141156218,WYrfVABp,40721422401
nokia,116,2024-09-03 23-41-11,22484,-110,40755422934,-1344328811,sdOLgxEx,40781979713
nokia,-51,2024-09-03 23-43-40,31905,-72,40735812937,159046511,JDhVdaNt,40776825596
nokia,76,2024-09-03 23-42-32,17110,90,40756363999,-1047762743,BJbtyAYP,40734298418
nokia,100,2024-09-03 23-42-20,22338,90,40729255331,-1491409444,bSEXjiEp,40788582294
nokia,37,2024-09-03 23-40-23,18217,-31,40704438374,-536919962,VrBNfVtb,40768987551
nokia,46,2024-09-03 23-40-27,-7973,-86,40766987017,-1206059604,ZekddTGh,40742775828
nokia,37,2024-09-03 23-41-31,26464,-66,40779947268,-981642234,FhQdKhWB,40762802698
nokia,70,2024-09-03 23-42-46,-12326,91,40709071838,1083945968,RzdhNvNs,40724022828
nokia,47,2024-09-03 23-40-21,-15614,-61,40788856390,-1067839075,UODeagpx,40759636150
nokia,100,2024-09-03 23-44-54,31943,-90,40710505801,739949860,xHlJKSrO,40767668123
nokia,15,2024-09-03 23-41-04,-13843,-72,40762362469,-369934498,HOrbliGG,40709604632
nokia,-115,2024-09-03 23-44-52,16643,-76,40798891226,26349432,ylPGzmMC,40763249721
nokia,117,2024-09-03 23-40-51,-30659,-70,40764966633,1615448051,VtzMEpfH,40722572645
nokia,49,2024-09-03 23-40-02,362,-16,40787581977,-2031307916,FlHaJRek,40765177157
nokia,-99,2024-09-03 23-42-38,-4305,90,40772913692,-1296039763,ljZCdHXh,40738057714
nokia,-116,2024-09-03 23-43-17,-18933,29,40753396355,-1629781172,MxYwcKOv,40791600228
nokia,69,2024-09-03 23-42-15,-30574,18,40799653882,1932556914,oLrRYiSA,40769751336
nokia,93,2024-09-03 23-42-26,15128,83,40713591188,-197468116,bAXLDYDd,40706804229
nokia,120,2024-09-03 23-42-27,23864,-15,40759092110,528860851,bAexnpQq,40781187086
