src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,40,2024-09-03 23-59-27,-24369,-79,40706684506,1669655940,vTmfuiRb,40795882067
nokia,27,2024-09-03 23-59-38,19932,-100,40727594651,-1994004192,jIEZOGmu,40710531927
nokia,24,2024-09-03 23-57-12,-11523,-25,40796709249,75739784,qhaFNofB,40753413233
nokia,-91,2024-09-03 23-56-55,3774,-37,40767518384,1767177934,lubipqSQ,40796033704
nokia,-39,2024-09-03 23-59-33,6809,3,40790950836,-1334593696,DhCCyLaI,40785533539
nokia,85,2024-09-03 23-58-39,-19959,-23,40703499142,-197369085,BnpjbXlL,40786675850
nokia,-31,2024-09-03 23-56-25,-14702,-122,40741940773,1626659702,xjYwuNin,40750975717
nokia,79,2024-09-03 23-55-59,-11252,-39,40754259635,-1161346154,MqWMKqDD,40721604005
nokia,-42,2024-09-03 23-57-00,-9759,-86,40735705731,-696332346,HyrhGEYh,40792065203
nokia,24,2024-09-03 23-56-08,3610,45,40795101885,-1733967630,HqbxJwQe,40734802206
nokia,-127,2024-09-03 23-59-01,28892,-18,40758152813,1919703368,fBshiJQU,40787041109
nokia,-72,2024-09-03 23-55-33,26342,53,40712037910,-480468070,IbKUNRvb,40755848543
nokia,-51,2024-09-03 23-56-06,6548,106,40706829931,-1249833803,pnQyBFhT,40798810025
nokia,23,2024-09-03 23-57-55,1455,63,40780125852,-402450038,UKvSbyga,40789551900
nokia,-97,2024-09-03 23-59-22,27137,34,40763126596,-1969160929,pHoJfcIn,40754723413
nokia,73,2024-09-03 23-57-18,31905,50,40778389884,1716844807,hSUiIAxM,40706862178
nokia,39,2024-09-03 23-59-20,-19155,79,40799410065,846967798,ixFgQqVF,40740780665
nokia,94,2024-09-03 23-59-54,24474,56,40704671130,-237487444,mVKjhkWL,40732069953
nokia,-69,2024-09-03 23-59-21,6894,-25,40760548580,-1157071136,DTvwcqsn,40742243661
nokia,65,2024-09-03 23-58-12,17801,-127,40741877383,-978532982,CpNpjqtg,40772989841
nokia,-54,2024-09-03 23-59-50,-15590,-14,40749198596,-722914367,fMusvpFB,40796437329
nokia,122,2024-09-03 23-58-26,-18647,-59,40789437795,-1345132265,VjvqSosz,40720608653
