src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,91,2024-09-04 00-06-50,5313,-40,40779830169,-2011059782,AZhXcAKP,40747465309
nokia,67,2024-09-04 00-08-15,4998,-98,40756865292,-1164833393,QrgjchCb,40732958517
nokia,-6,2024-09-04 00-09-59,8558,4,40718660198,-293725095,fOgGnRqf,40710597412
nokia,21,2024-09-04 00-07-35,-19993,69,40780961680,226116815,OqBPRPxL,40724609378
nokia,-24,2024-09-04 00-05-20,-17113,83,40750555763,228825872,FOuEDKOM,40741059033
nokia,65,2024-09-04 00-09-05,3430,39,40773525784,-218040843,BIsxVVDg,40717404115
nokia,36,2024-09-04 00-05-19,11178,16,40738177768,968839735,cICdgrVx,40739424128
nokia,7,2024-09-04 00-07-53,28701,-7,40723013950,1717191032,xFiovhyi,40709113349
nokia,67,2024-09-04 00-09-39,-16032,-97,40779016872,32692282,osXJMEuJ,40774495610
nokia,-76,2024-09-04 00-09-43,-27484,91,40733150350,-1922199085,BxfTbKMr,40745264796
nokia,-124,2024-09-04 00-06-00,21654,-127,40781667518,2076041248,ooaPUfAU,40787262303
nokia,-103,2024-09-04 00-08-52,6086,77,40797883048,415015490,VAzfeMLR,40756337131
nokia,-124,2024-09-04 00-09-55,-25561,87,40721355304,-448557016,IewDtJTP,40775269177
nokia,55,2024-09-04 00-08-39,-20038,-99,40724769419,-999976612,LRyMSvpJ,40763081178
nokia,70,2024-09-04 00-08-38,1236,61,40783379874,-2103676657,OsVpyJuz,40722311799
nokia,-9,2024-09-04 00-07-56,-27130,102,40711966627,697374714,XkBPkXBo,40794062111
nokia,-124,2024-09-04 00-08-13,-23404,1,40714291051,-609741431,jGNCjVyl,40780482923
nokia,-3,2024-09-04 00-08-30,4623,96,40762783445,-405358836,FwTJEGUw,40781418189
nokia,-72,2024-09-04 00-09-22,-26775,65,40755343313,-2064598782,BtBiIOxK,40762083290
nokia,-56,2024-09-04 00-06-17,-3558,13,40756553420,-1627744130,wKNBgsmP,40774856741
nokia,-50,2024-09-04 00-07-41,-22927,14,40743079008,98155364,iYRCOSCe,40720301382
nokia,-5,2024-09-04 00-07-06,-5984,-111,40768648952,658017113,FQmJdyzT,40735027019
nokia,36,2024-09-04 00-06-22,-18879,2,40799363272,1616753992,wSuhJUhM,40799903960
nokia,104,2024-09-04 00-07-24,30221,-96,40780157282,363290149,DiBUGoEb,40741989671
nokia,-116,2024-09-04 00-08-26,14544,-32,40735667150,2038227167,wSAhaYGA,40795462899
nokia,-19,2024-09-04 00-06-42,-23144,-38,40719102369,1053653637,XUfcRPOU,40738819283
nokia,-67,2024-09-04 00-09-54,25403,-30,40721033524,410627898,vkTxoLEA,40772811803
nokia,-55,2024-09-04 00-05-22,-7014,-101,40783741329,1703053852,fUYmIStZ,40746055389
nokia,31,2024-09-04 00-07-11,-19485,-37,40791681987,616658168,FvkDhuUd,40712555710
nokia,6,2024-09-04 00-07-39,-30008,6,40789558631,-1623733714,WAFxJHiq,40743770681
nokia,50,2024-09-04 00-05-26,-17901,-85,40728795231,338190885,vwplicrp,40700554418
nokia,-79,2024-09-04 00-09-22,-11508,-43,40759250990,-1744935568,taPPejtI,40773960161
nokia,-2,2024-09-04 00-08-20,-9352,38,40757168470,-753822958,DMwfNDcI,40784126549
nokia,-66,2024-09-04 00-08-03,914,-61,40791325606,-1724053934,eFxdNMWv,40726189855
nokia,126,2024-09-04 00-08-48,-28498,78,40722704066,970821627,tDBeheug,40786271697
nokia,63,2024-09-04 00-07-37,-20473,101,40769350101,-764290914,JoYvcvwI,40739671804
nokia,96,2024-09-04 00-06-34,22758,-100,40794346183,-2127282909,fWyzMILd,40775545085
nokia,-115,2024-09-04 00-07-11,15181,-70,40719081269,-971348558,bUtYvmtv,40748331540
nokia,-10,2024-09-04 00-08-41,-16871,20,40768441356,2054941766,XdHSagpl,40773343661
nokia,-82,2024-09-04 00-08-58,-3637,9,40734646222,326209980,wBAMowfA,40718935650
nokia,78,2024-09-04 00-08-09,24615,118,40742747357,-434447258,iuhKZYGh,40738350083
nokia,37,2024-09-04 00-05-41,-24195,-87,40712961796,-890309080,iMgLXivZ,40780047455
nokia,-40,2024-09-04 00-05-41,30440,87,40768199266,645167179,dRtHeXzX,40703847889
nokia,37,2024-09-04 00-07-27,-28853,122,40743607054,-1177780773,LWGDtSFZ,40780599144
nokia,19,2024-09-04 00-07-32,-29247,-84,40766374866,-1227465388,AQqIWUzB,40770087083
nokia,-52,2024-09-04 00-09-11,23566,-40,40754708445,-354569099,ALfKVMxi,40796378326
nokia,68,2024-09-04 00-06-32,-7454,42,40741485742,-1269181529,XFvZWEGk,40758501018
nokia,-79,2024-09-04 00-10-01,-32083,-122,40755321760,2047277137,gtMjnudo,40779977639
nokia,50,2024-09-04 00-06-07,27029,105,40753829069,-68421289,QkjUiEYk,40750567989
nokia,-115,2024-09-04 00-07-24,-3903,101,40760310708,753026970,ynHXdtMH,40769058734
nokia,109,2024-09-04 00-06-15,21477,123,40730746138,450661749,turxqveg,40781083648
nokia,-124,2024-09-04 00-05-43,2566,32,40789967927,2077736228,BqYUWKLR,40755777552
nokia,-55,2024-09-04 00-09-51,-21096,-29,40768706547,1363701640,fTbaEeUS,40771874652
nokia,43,2024-09-04 00-09-36,12791,53,40710791051,-1810454721,YCzCdWJm,40784904841
nokia,-116,2024-09-04 00-05-21,-6456,-93,40784714273,-1925719043,fsdUaYka,40799528330
nokia,-22,2024-09-04 00-09-08,9735,-119,40746664335,-1682358039,GglDmikz,40703206021
nokia,-88,2024-09-04 00-05-20,26679,-4,40752638061,-408212817,fCvFoPDy,40733249415
nokia,-84,2024-09-04 00-07-33,-24270,-39,40724768388,-1755020056,KHbqviaS,40729867495
nokia,73,2024-09-04 00-05-50,-24651,83,40796801221,1921799219,uNscKTkU,40737719544
nokia,111,2024-09-04 00-08-03,18568,-87,40762916550,-1955642001,WSaECfSO,40797298346
nokia,-18,2024-09-04 00-08-27,20918,-44,40753905612,1490127358,ilxCInLA,40728071839
nokia,78,2024-09-04 00-05-48,32177,24,40718530962,-1310545991,yoErqXYy,40744403496
nokia,43,2024-09-04 00-09-20,9971,-61,40707897626,369394548,jBpqjgfe,40753521211
nokia,-114,2024-09-04 00-06-19,1145,-39,40701441906,2001108492,rJJbAlgI,40769026520
nokia,-91,2024-09-04 00-05-43,-25276,70,40710637007,1945495,SvAjZLAU,40727747353
nokia,-101,2024-09-04 00-05-14,2326,-120,40777237380,1020810470,LjPYSoUt,40785504600
nokia,-111,2024-09-04 00-06-09,82,-10,40742721281,746494280,vknqTAyx,40763649265
nokia,-52,2024-09-04 00-09-49,-30941,23,40743188419,832450439,UzPTAjtv,40749186106
nokia,23,2024-09-04 00-09-00,-16872,-46,40784812373,526453726,uqlmeMqI,40799416637
nokia,20,2024-09-04 00-07-59,29855,71,40740575227,-1782222636,BjTkrqZw,40733598936
nokia,-29,2024-09-04 00-06-18,-14144,108,40787621769,-717430681,CNkuQydM,40701416468
nokia,87,2024-09-04 00-09-09,-31458,-75,40756406358,248378420,mFRVhUFl,40789825549
nokia,-124,2024-09-04 00-08-24,31095,83,40736982041,-1716618064,PHPrompH,40706040108
nokia,25,2024-09-04 00-06-26,17702,53,40723129506,-666838699,HUDsDivh,40747732563
nokia,13,2024-09-04 00-06-59,20571,44,40718086143,371589818,iaWUULLw,40782287194
nokia,-13,2024-09-04 00-09-43,-6899,-61,40710498667,83460005,jOfCGVOY,40710864514
nokia,33,2024-09-04 00-07-45,29900,34,40747856096,533762767,BvCwlAAD,40706069766
nokia,55,2024-09-04 00-07-43,-13418,69,40717713576,2069504963,aElQqpnF,40719521673
nokia,93,2024-09-04 00-09-47,-16149,-53,40782557973,-687808611,HzcBrYGQ,40718365469
nokia,102,2024-09-04 00-09-35,-4922,127,40748985526,160807692,gQJbGsyl,40743771908
nokia,-98,2024-09-04 00-07-51,-5948,-64,40786436452,-1371215917,siwxULlh,40713813721
nokia,-14,2024-09-04 00-05-50,-29430,78,40715113556,-533858141,oJVFrVRC,40741488799
nokia,-6,2024-09-04 00-08-04,-10782,85,40795010050,2005269083,yznBphBd,40731538749
nokia,-50,2024-09-04 00-07-44,6968,-58,40730078539,-671448983,uURtundH,40713266829
nokia,-69,2024-09-04 00-07-50,9032,-74,40788926581,2129731731,OAcoKZEF,40766042078
nokia,63,2024-09-04 00-09-38,9709,117,40753874858,2014599006,BjmIOKLY,40750435991
nokia,-15,2024-09-04 00-05-46,6987,-35,40729456719,1431993908,EqCHAXwO,40736182041
nokia,-34,2024-09-04 00-06-02,-2179,-116,40739966841,2026320055,ifAqcyky,40711466695
nokia,7,2024-09-04 00-07-54,16573,99,40725203979,133104586,qAoEUCRB,40775194410
nokia,2,2024-09-04 00-08-48,11599,18,40748730022,-1497496423,egoDYtky,40748971250
nokia,67,2024-09-04 00-05-56,-8760,-1,40736616826,-784179377,bqRNGlph,40769526891
nokia,40,2024-09-04 00-08-25,-26605,62,40768497624,-1429662583,njgpVtWI,40726971174
nokia,10,2024-09-04 00-08-15,-11283,-89,40735125623,2142631131,QmDBXFEx,40757892857
nokia,34,2024-09-04 00-08-10,24016,-71,40725875830,689894000,PuOqacPZ,40752135543
nokia,-100,2024-09-04 00-06-02,14922,112,40714059963,1777176944,OTtYvawW,40757076574
nokia,124,2024-09-04 00-06-10,7359,-53,40798322031,-1330903421,rVaFZzAb,40715238426
nokia,-69,2024-09-04 00-05-32,-7213,4,40757872579,-2127285457,xVgCZLYD,40714152566
