src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,90,2024-09-04 00-22-27,-27213,1,40702977993,475138455,AvuVSEae,40753085402
nokia,-52,2024-09-04 00-22-31,-30085,117,40716224869,-1703516108,wrWLAOIE,40734630014
nokia,-8,2024-09-04 00-22-17,-22690,-10,40709605220,-2072602731,qPSgnOxl,40710234472
nokia,55,2024-09-04 00-24-52,-8540,24,40727019503,218017438,HEVZMAcf,40790375845
nokia,-2,2024-09-04 00-20-01,-13102,3,40779701822,924515905,wUqlVFyi,40790977109
nokia,-10,2024-09-04 00-21-28,-8787,-69,40714072778,-80231637,qSlgfmgb,40793838124
nokia,-24,2024-09-04 00-23-42,28201,85,40731259742,-1003626872,UVFguqrv,40788408790
nokia,-32,2024-09-04 00-20-18,6394,88,40777236928,-1606663448,YTCMwZZz,40742935325
nokia,117,2024-09-04 00-22-32,13827,122,40740175758,-1593390137,PvgHntGZ,40793753388
nokia,-65,2024-09-04 00-21-46,5872,82,40764096849,834029648,wwsjSNGG,40714527598
nokia,1,2024-09-04 00-23-57,12529,25,40763092977,-625400140,tlLDbNjj,40706150182
nokia,15,2024-09-04 00-22-46,-8326,84,40753253945,-48663118,OaZbchPE,40770303576
nokia,-62,2024-09-04 00-23-33,23067,-2,40718694481,-1250852645,MoftYSte,40758634418
nokia,76,2024-09-04 00-23-57,-14179,-90,40783860909,815752483,GCUKDTZD,40798745699
nokia,46,2024-09-04 00-23-15,-6670,72,40721921770,1272625317,vYwAOxAA,40722753262
nokia,45,2024-09-04 00-23-04,6964,6,40747925760,-1411343329,pJwzPbCX,40784320616
nokia,25,2024-09-04 00-23-12,30541,-77,40743024987,-2080217008,VUcCWOqz,40721683887
nokia,-78,2024-09-04 00-24-12,-7431,-43,40761516616,-550560473,VQMdesQq,40706971152
nokia,26,2024-09-04 00-20-22,-7631,-28,40774473925,99749101,NzXbYjjw,40734418662
nokia,-56,2024-09-04 00-21-43,-17225,-19,40703273672,-1621944915,hfKarWyB,40716247067
nokia,-19,2024-09-04 00-23-59,-6991,-58,40769703112,482510500,TXzqovFW,40739256114
nokia,54,2024-09-04 00-20-48,-22273,-96,40795228803,277857655,GJptfZco,40783410834
nokia,-8,2024-09-04 00-24-53,18682,102,40774064892,791958455,WCwtttLt,40750449347
nokia,86,2024-09-04 00-24-07,-25467,115,40747529384,-365425501,uDryfelE,40738764548
nokia,-22,2024-09-04 00-24-48,27659,99,40764848488,-445718278,JOtTXTuZ,40746551564
nokia,125,2024-09-04 00-20-48,29892,-97,40767129995,1408719901,zAfelrtb,40731970057
nokia,7,2024-09-04 00-20-53,27707,-38,40722679793,-969359375,stEUpRzg,40703030131
nokia,83,2024-09-04 00-24-58,19320,80,40719389311,-195952123,xiRxNAvc,40744714574
nokia,-78,2024-09-04 00-21-44,29714,1,40721935135,-547178819,SlQSziLz,40732804113
nokia,113,2024-09-04 00-21-13,-2899,-127,40703108279,2042416100,oCCmRQSf,40758254298
nokia,42,2024-09-04 00-24-42,-9046,-60,40714175940,-1072845433,nzGiVvtC,40730548257
nokia,-86,2024-09-04 00-20-10,31740,-9,40745106167,-544346030,AIztGJRt,40796129705
nokia,-8,2024-09-04 00-23-47,-29031,-40,40713436515,-1185557223,LPDnAeiI,40763492818
nokia,114,2024-09-04 00-24-07,-7838,38,40702253993,-2086827290,XqOLdrQo,40799911414
nokia,-21,2024-09-04 00-22-11,-22929,-28,40758521462,-155259661,CauAHUCh,40757857810
nokia,96,2024-09-04 00-23-20,12686,79,40776199411,-1186354965,GwzJehsT,40704731300
nokia,106,2024-09-04 00-22-33,-17191,88,40739400074,-151990442,PQdiSiSw,40710406565
nokia,-117,2024-09-04 00-24-42,9845,28,40795566382,-1592196452,CiWiiCOH,40798813216
nokia,-57,2024-09-04 00-20-06,-16376,-74,40742509330,-939823596,NuhLxuyL,40736274968
nokia,17,2024-09-04 00-21-25,-12837,69,40779644980,-554905053,yOqXVmOX,40787028311
nokia,119,2024-09-04 00-23-06,-3653,82,40724067025,-1059855476,VEXXPXGr,40749219812
nokia,99,2024-09-04 00-23-20,-7118,-5,40745396362,-292063444,EbJgPWcT,40704452688
nokia,50,2024-09-04 00-25-00,24936,62,40747595726,943475938,qYUhfcxj,40756784246
nokia,4,2024-09-04 00-22-00,-21500,1,40718289149,-2111195556,lqSuAnNr,40733609561
nokia,-23,2024-09-04 00-24-48,-825,-69,40752202092,-68369489,rewvFJEC,40757150079
nokia,-63,2024-09-04 00-20-29,15621,7,40752814152,1380914135,SsVQazJZ,40716692919
nokia,-92,2024-09-04 00-20-12,9638,2,40776337718,-359485149,CSDfaGWG,40708582679
nokia,83,2024-09-04 00-24-38,-1603,126,40734693768,1124737817,nZavkNcK,40733072400
nokia,-9,2024-09-04 00-22-25,9849,-114,40763184997,-1244924079,YjmIvcUR,40774945519
nokia,52,2024-09-04 00-22-13,-13847,-56,40795406910,554734478,qxVCsAge,40721880412
nokia,-113,2024-09-04 00-22-51,-30025,26,40796385290,-1066224707,IdWqBdcQ,40792103270
nokia,4,2024-09-04 00-22-20,-23033,21,40780616577,1257280771,HQkGqqSx,40769320536
nokia,-56,2024-09-04 00-23-39,365,13,40792018523,317939229,YhGUPzBd,40795693962
nokia,34,2024-09-04 00-22-32,-8775,-79,40798224146,-1836125832,ZdZFEKhl,40773216799
nokia,-9,2024-09-04 00-23-25,-22315,-69,40796416558,-1165080664,hTaXRkCy,40789376516
nokia,-80,2024-09-04 00-21-22,-12966,-4,40766437117,448988391,ehnNtGEN,40726436148
nokia,-2,2024-09-04 00-20-35,-1025,47,40734606320,-1204918519,dMXExftk,40752568902
nokia,-4,2024-09-04 00-23-15,6790,-59,40758791343,-2054401568,OKlrtFGw,40714409477
nokia,79,2024-09-04 00-21-51,14635,24,40760523200,288256828,lSMfMTYZ,40731098683
nokia,38,2024-09-04 00-24-22,-14093,-91,40755279236,926812021,KuXSpiKc,40763325262
nokia,54,2024-09-04 00-24-47,-10445,-12,40741173941,1324508630,nGJpmJtI,40747512788
nokia,-26,2024-09-04 00-22-26,-3797,14,40731360673,-1258137400,sWzbxsIV,40779222517
nokia,-94,2024-09-04 00-20-16,-27008,87,40750743090,-601350972,KnUGjnHZ,40730032082
nokia,-43,2024-09-04 00-23-06,-28370,9,40726860560,1498450601,cEpetIeV,40785659893
nokia,39,2024-09-04 00-20-12,32584,87,40754102264,-1984149638,PqAebQzq,40733120645
nokia,-115,2024-09-04 00-21-36,-27807,69,40743086869,-953064635,CHDgjrkH,40799106974
nokia,23,2024-09-04 00-20-41,21426,27,40774196188,1997117112,gBWPPXmi,40763786586
nokia,1,2024-09-04 00-21-44,18976,78,40793110902,650289273,VVMDgCTA,40787818855
nokia,-123,2024-09-04 00-22-34,-1831,-90,40706945065,2012636558,oiYBmjKH,40774181208
nokia,-36,2024-09-04 00-21-59,-21424,125,40790602273,632392301,kranYaRg,40723891669
nokia,119,2024-09-04 00-20-17,-27112,-119,40733879068,-1834171851,jivMZgKg,40725842158
nokia,-25,2024-09-04 00-24-45,15731,68,40764527715,-987051997,XFTDjvuv,40733984039
nokia,122,2024-09-04 00-22-16,8565,53,40794115748,-13444378,SKKiVBHW,40764752013
nokia,-11,2024-09-04 00-24-18,18234,17,40789251020,-1567178167,nCoBSeVb,40773363817
nokia,94,2024-09-04 00-24-36,21738,52,40738430158,196420361,SoPWUaLB,40765022855
nokia,-98,2024-09-04 00-20-28,29276,114,40714560433,-1535221305,iLlkQOdi,40793938582
nokia,44,2024-09-04 00-21-32,10881,-34,40769690984,-157527806,RfCNteWV,40749602993
nokia,116,2024-09-04 00-21-37,-2132,70,40788577186,-1655879666,wqZBsjgv,40794681479
nokia,45,2024-09-04 00-20-47,25267,37,40727311954,-923359511,vNwHSXyQ,40765634086
nokia,-72,2024-09-04 00-24-15,22868,-36,40755747502,1050750416,ohjGiNOu,40777366705
nokia,125,2024-09-04 00-21-33,-12324,-98,40748041347,1472205,XJETfVqS,40728922884
nokia,-41,2024-09-04 00-20-38,-11175,11,40764178243,894120096,NLezfvkl,40778540130
nokia,-63,2024-09-04 00-20-23,-24973,94,40704699978,-698646910,YrziclFa,40700952513
nokia,107,2024-09-04 00-23-47,-19083,84,40729761521,710081637,ZACcKfkY,40748546093
nokia,-79,2024-09-04 00-20-47,19080,-106,40798657202,30207646,tjHwSWfu,40751871079
nokia,8,2024-09-04 00-23-41,-24170,-15,40716005845,596257276,TbjwqYvL,40798405296
nokia,-96,2024-09-04 00-22-40,-24950,-52,40775095766,389961646,lYIyunAo,40719247322
nokia,-126,2024-09-04 00-24-51,-5569,42,40790996969,2121146236,UfIgrpsb,40771701924
nokia,121,2024-09-04 00-24-27,-31614,-104,40796942700,457816714,BlZkcdQl,40722296874
nokia,-56,2024-09-04 00-21-28,-7850,11,40746322600,-1922782825,iXBZvEug,40736305474
nokia,-88,2024-09-04 00-22-38,10132,112,40757183879,-1103350303,CkjniGGA,40744080786
nokia,57,2024-09-04 00-24-23,-19422,-88,40723878133,-318142183,GTxMkXsD,40762065522
nokia,56,2024-09-04 00-21-03,-5441,-53,40723973213,-188083170,dFNYSaOX,40798040866
nokia,-17,2024-09-04 00-24-12,9326,-118,40761299279,175508086,pcJfqWEv,40744427238
nokia,-108,2024-09-04 00-22-14,21575,74,40798086090,1313180808,EaMWfZQZ,40775083027
nokia,-7,2024-09-04 00-23-37,-19624,37,40738860661,1932269059,jGHTbGJq,40723877804
nokia,-49,2024-09-04 00-20-31,19390,-89,40707763699,431942087,DLfdYvAs,40797467003
nokia,-74,2024-09-04 00-21-34,10650,12,40727622889,1278910779,hrhxfhgG,40739225315
nokia,43,2024-09-04 00-24-31,-9585,-61,40759482095,695389454,JyjUgMmL,40790278879
nokia,-93,2024-09-04 00-23-41,-10355,-26,40739183998,1880226778,KjCeBbRn,40713505368
nokia,-5,2024-09-04 00-22-15,12239,114,40771609050,-1841036412,DClQtzSN,40738863027
nokia,6,2024-09-04 00-20-27,-22922,122,40746559539,-1712545900,kFajRqhn,40759857592
nokia,48,2024-09-04 00-21-38,-8928,-51,40760373221,332223563,xBAKQZwQ,40788885245
nokia,-12,2024-09-04 00-20-28,-21471,34,40711873763,1089835543,IecQYwQc,40755259049
nokia,-77,2024-09-04 00-21-58,-32302,-32,40735106523,-1163712148,wehEkmSw,40718702556
nokia,119,2024-09-04 00-21-59,20378,23,40702622027,242785085,YQDChDnY,40709835560
nokia,49,2024-09-04 00-23-22,30962,118,40710010796,980982629,yHfjVADm,40759917467
nokia,122,2024-09-04 00-20-30,-19286,65,40749646809,-1461073280,tZzghXwq,40772528461
nokia,-15,2024-09-04 00-23-23,19720,79,40790630918,-1091695966,dViGIiAg,40718078051
nokia,106,2024-09-04 00-24-42,4465,-79,40761953531,1777117524,rTAojGys,40794809720
nokia,55,2024-09-04 00-24-12,22157,-97,40713719413,-1643091609,FemMjygn,40789374449
