src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-32,2024-09-04 00-26-01,18031,-40,40787556724,2017719899,bnjOoIlp,40712966614
nokia,38,2024-09-04 00-29-08,19239,-93,40767169663,185278136,xjfbndNN,40753322937
nokia,121,2024-09-04 00-26-21,24610,83,40720891205,844760761,KDKCWzuP,40793128264
nokia,42,2024-09-04 00-29-46,11832,61,40753732962,1236882888,mkJbfDGl,40771167235
nokia,-79,2024-09-04 00-25-08,-24976,-69,40757527946,992423394,NObZXOgD,40786526212
nokia,-54,2024-09-04 00-26-25,21479,-40,40713981221,-1809419022,qeJkAsls,40747874411
nokia,-48,2024-09-04 00-29-08,-16349,-114,40703943744,-1163577462,heNBzeoM,40701929407
nokia,-98,2024-09-04 00-28-22,2757,-90,40725125494,-1519442019,uIRGTNju,40706205301
nokia,-41,2024-09-04 00-25-43,-6985,-64,40786399005,-1757265325,AzNvkdny,40770286801
nokia,125,2024-09-04 00-25-47,20187,80,40701562690,-1391188348,kAsKBRzI,40761267184
nokia,17,2024-09-04 00-26-53,-20362,71,40771921144,1012924255,dEUcROeZ,40734278843
nokia,-98,2024-09-04 00-25-39,278,14,40752727808,1947153853,hdjnVeBv,40713135215
nokia,-55,2024-09-04 00-28-01,25963,-68,40717799973,1212354847,aaUyNFQA,40783975792
nokia,-108,2024-09-04 00-25-27,-22734,62,40759480280,-978514078,xgREmNdQ,40783400007
nokia,95,2024-09-04 00-26-22,31059,-40,40710058309,1706312434,bGYDmsCU,40778898244
nokia,77,2024-09-04 00-27-14,-25964,-61,40709372435,-1408730464,hzCtgYXd,40744087156
nokia,13,2024-09-04 00-25-24,32676,41,40793280184,-853990113,BixcigRF,40747320036
nokia,116,2024-09-04 00-28-49,-25748,64,40731640102,236479175,wUCLDDnu,40791999450
nokia,-35,2024-09-04 00-26-50,15411,-48,40734241954,-1859888880,XptimGUX,40798569340
nokia,108,2024-09-04 00-25-15,23967,-66,40721118181,2069431904,ESnWnzfC,40710692958
nokia,110,2024-09-04 00-26-36,-23470,-43,40734370014,2079923049,ZEYwWrIF,40715080786
nokia,10,2024-09-04 00-27-57,-13973,-28,40791877341,1799076474,SuiMhfEI,40741532454
nokia,56,2024-09-04 00-27-05,19924,56,40782775377,-2142418273,pFVqsqsK,40730466356
nokia,56,2024-09-04 00-27-57,-17489,-29,40797027262,285822701,yfHvQIrk,40778476224
nokia,50,2024-09-04 00-29-02,-29880,43,40783308366,-2023514296,QauCQOld,40707557558
nokia,-66,2024-09-04 00-26-38,11021,-33,40750450500,-798918310,bwUxbYYq,40768683505
nokia,93,2024-09-04 00-29-19,23011,-121,40778290604,-78399123,ejUzzqhe,40711008484
nokia,-57,2024-09-04 00-26-27,-19680,56,40788614038,-2024429040,vppgByzZ,40794798231
nokia,-67,2024-09-04 00-28-54,28218,-63,40767957946,-1907722330,hPWWrpYR,40763797172
nokia,10,2024-09-04 00-26-23,-12754,-49,40771262346,-417635339,yZFrHWfj,40764878905
nokia,-54,2024-09-04 00-28-12,-24169,33,40708838288,1381572764,PHKitdfR,40739414653
nokia,99,2024-09-04 00-26-28,14663,45,40784902626,713960202,kYkHPmDr,40782735922
nokia,-72,2024-09-04 00-26-58,25568,9,40744838689,-1310733507,WERawQoJ,40749018038
nokia,46,2024-09-04 00-25-14,27849,118,40741985555,-995935885,dAtODPkF,40764178118
nokia,19,2024-09-04 00-29-08,8221,120,40716564749,-338981417,SKnMqNbP,40789114846
nokia,-99,2024-09-04 00-27-44,-19998,-111,40799680858,-647361551,HbUOpawC,40735146569
nokia,-79,2024-09-04 00-25-28,-9693,45,40739843815,745946004,nuevmITg,40709804665
nokia,-114,2024-09-04 00-29-04,-28258,110,40749384081,139233691,aKfxSHIO,40759486319
nokia,58,2024-09-04 00-28-40,-24384,-71,40739526891,-1374985785,JmsFJSfo,40700087931
nokia,17,2024-09-04 00-25-04,-29142,-114,40700598406,159229223,SUfvLCnP,40704020267
nokia,-105,2024-09-04 00-25-37,-26012,89,40752627823,-616666081,ncJvzvev,40798787245
nokia,15,2024-09-04 00-25-07,25356,65,40737168887,-341501303,GiebkxoW,40736132716
nokia,51,2024-09-04 00-28-13,-14499,-42,40772406832,630061442,hApTVLjp,40796038224
nokia,96,2024-09-04 00-25-03,-31893,20,40746560698,-319825736,fvUnswuG,40763486132
nokia,-21,2024-09-04 00-25-36,30086,97,40737332244,-1298211460,uwIZZvlX,40761611927
nokia,-81,2024-09-04 00-30-00,27230,-100,40706657770,-1758892804,ePIPoXTF,40720293538
nokia,-105,2024-09-04 00-26-56,10939,-3,40731100621,694206435,lczeqbtw,40712661956
nokia,69,2024-09-04 00-25-55,26454,81,40756177193,-682663062,FgdYpYPn,40723832384
nokia,83,2024-09-04 00-27-56,-23490,-71,40776779347,947306516,bLWxXLnG,40749186501
nokia,-126,2024-09-04 00-25-31,16057,50,40749296791,-1032706764,jsOtySSO,40758598189
nokia,58,2024-09-04 00-26-38,-11618,25,40722754860,-1330416019,nIDUNPTz,40799988969
nokia,36,2024-09-04 00-28-22,6795,-39,40735851769,2005494797,reuoJUUA,40749421318
nokia,-43,2024-09-04 00-27-21,-10460,26,40798355049,623955839,NxGDAHBu,40743877475
