src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,11,2024-09-04 00-34-26,-17819,-11,40754839725,-1967883855,JPzKWgSd,40779030432
nokia,-113,2024-09-04 00-34-16,-18773,2,40722751554,970463423,mZfnEKJi,40759128047
nokia,-12,2024-09-04 00-34-01,-14527,-109,40728318309,1334345207,WTXUKVVx,40724503557
nokia,-42,2024-09-04 00-31-56,1493,-1,40744068846,-265550987,YDeXaeUd,40756542142
nokia,47,2024-09-04 00-33-46,19882,33,40753766396,-565831459,ZwRexDjM,40767958267
nokia,-21,2024-09-04 00-31-05,-1647,-59,40708121417,-541158256,SzyJBklJ,40706981778
nokia,125,2024-09-04 00-30-53,27700,113,40701170479,-2088221738,yCPakYVG,40783450079
nokia,107,2024-09-04 00-31-23,-12130,-28,40715139152,166689707,WMfBMhYf,40742094774
nokia,-92,2024-09-04 00-30-57,-5314,36,40749611992,-977854761,kwRNsZyG,40736536823
nokia,-82,2024-09-04 00-32-31,24152,-104,40771724981,-1435479213,xVWhSwIh,40775946046
nokia,116,2024-09-04 00-33-24,-22199,38,40765988244,-198736742,aiEYHqkl,40704162540
nokia,22,2024-09-04 00-31-58,-6323,-85,40799606383,1774213183,RAWqSTQr,40740705058
nokia,93,2024-09-04 00-33-28,-31623,-49,40737527660,398034705,tCYnHZTw,40752238738
nokia,102,2024-09-04 00-32-37,32445,-25,40731825529,2051997257,gKwUWyqI,40776063148
nokia,118,2024-09-04 00-31-09,11151,-91,40706012889,734499109,pVhFgAmb,40797802446
nokia,113,2024-09-04 00-33-03,-7509,51,40706040855,-1917482992,nLbKYePE,40708120129
nokia,103,2024-09-04 00-30-48,29828,-119,40759189024,-219472886,qYVhTpGH,40774396533
nokia,-64,2024-09-04 00-31-12,-9466,23,40773099127,1958955990,fVMACvll,40706678148
nokia,-95,2024-09-04 00-30-03,-9501,-50,40722422578,2108058650,QajvgrKS,40726471341
nokia,77,2024-09-04 00-34-33,-26871,-91,40733590940,-1676892976,SKpOhSnQ,40748472547
nokia,93,2024-09-04 00-30-29,26835,-87,40787073912,-1878875175,cSzAhlcC,40765767744
nokia,-82,2024-09-04 00-34-55,24949,81,40702446816,-26380322,OLYobKkG,40741692882
nokia,56,2024-09-04 00-31-11,-18345,51,40754715446,816917678,mEUvOFac,40729883303
nokia,16,2024-09-04 00-34-59,11379,24,40754689238,846908597,BHCPPUvD,40741805075
nokia,119,2024-09-04 00-30-22,-20183,-105,40737140343,1055472835,pzlMEgkJ,40738613655
nokia,-110,2024-09-04 00-32-40,-6076,-94,40769771811,-1429558753,XAQelpJS,40762056630
nokia,-34,2024-09-04 00-30-16,-28630,-92,40717438777,-1608668804,eNRyrkqr,40700850448
nokia,-43,2024-09-04 00-33-44,-28732,116,40728913711,-1643979663,SXYglWAh,40751223705
nokia,44,2024-09-04 00-33-22,-16661,88,40759348968,306425106,OWMXMCQm,40737576905
nokia,40,2024-09-04 00-30-12,12959,-55,40794910206,-947114159,lWrFQMKD,40707365186
nokia,-6,2024-09-04 00-31-38,29515,120,40702766887,2009142589,iyuJMLWT,40722490109
nokia,47,2024-09-04 00-34-26,-23382,116,40780204092,-1501321271,hPLjIaVh,40744423880
nokia,92,2024-09-04 00-32-36,11345,-32,40708725374,607404586,hJgwBLZU,40764891140
nokia,105,2024-09-04 00-31-13,-22746,-74,40798948070,-1193816537,GbxgzKoX,40783126510
nokia,104,2024-09-04 00-31-32,-1390,27,40702448528,-1618810097,eVxnkZGl,40735955900
nokia,100,2024-09-04 00-32-58,-12066,11,40785151873,-725292043,HgHPUvky,40798825601
nokia,-111,2024-09-04 00-32-59,19249,36,40723316924,1201069977,IpMzazXF,40780528846
nokia,-119,2024-09-04 00-30-25,-2978,52,40714241110,-834221839,nycgZYfM,40784058269
nokia,99,2024-09-04 00-33-27,30459,47,40729646057,-772363073,jPnPObhD,40742823585
nokia,-91,2024-09-04 00-32-31,10284,-3,40721984473,288981783,zRzMMbeu,40716045388
nokia,88,2024-09-04 00-32-22,-17248,-124,40731896091,-253947165,BYJiNVBf,40768457838
nokia,17,2024-09-04 00-34-39,23909,112,40776693582,-1058513590,SxpeqhuC,40726637934
nokia,-11,2024-09-04 00-31-46,-16769,102,40732357557,-1167740750,TlPaVCJL,40749955315
nokia,117,2024-09-04 00-31-35,29525,-57,40734680302,768550938,JbYvaHkt,40705496463
nokia,102,2024-09-04 00-32-16,17009,39,40754724628,-1107928221,EmmcshSL,40755394632
nokia,-60,2024-09-04 00-31-37,-31772,-56,40777821158,1726313512,TPtaLZlQ,40761990532
nokia,-100,2024-09-04 00-32-19,-4600,95,40773023649,-624926689,bteTIoQa,40738711452
nokia,-86,2024-09-04 00-33-11,-1387,85,40791373704,-739300185,wCbUFOgK,40769113067
nokia,119,2024-09-04 00-30-41,30732,41,40764158628,-1759407607,pdyEFzFz,40783840548
nokia,-22,2024-09-04 00-33-04,9236,79,40752520845,-1816323987,bsUJejzP,40742683977
nokia,118,2024-09-04 00-34-27,-22985,115,40726931690,88223179,FuSnGwVT,40742440636
nokia,7,2024-09-04 00-32-09,25627,-126,40794816013,-1030303687,TLYYUvGo,40766253638
nokia,-76,2024-09-04 00-33-18,-3631,-53,40724548992,-397539118,rHqMCnrv,40783423883
nokia,-34,2024-09-04 00-32-27,-18615,-81,40735087785,-1206995505,rldmhtKQ,40749133073
nokia,87,2024-09-04 00-31-41,25124,-120,40750859089,1555067058,LWXdRSyb,40762088641
nokia,-52,2024-09-04 00-31-42,16045,124,40717001388,654058824,gbMsylbf,40735432274
