src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-3,2024-09-04 01-07-08,293,-13,40718214739,-279888682,cDrgwixD,40734245605
nokia,-38,2024-09-04 01-08-45,7691,-53,40737451326,-351952111,adOicpmz,40706142781
nokia,5,2024-09-04 01-07-13,2479,5,40710888758,-1834457003,SJiwICAc,40732972839
nokia,-35,2024-09-04 01-07-59,-1056,18,40752259016,-1289538800,hnUgSkLF,40768727269
nokia,-7,2024-09-04 01-08-14,31091,-48,40755149926,-984523205,WYupkizn,40727239214
nokia,-25,2024-09-04 01-05-59,-24042,-94,40707760153,-366945187,wFhkxrMC,40794571775
nokia,48,2024-09-04 01-05-49,-612,127,40754200753,-781550397,ioIDfoYf,40778066051
nokia,-35,2024-09-04 01-05-05,-25457,-17,40782031198,307601984,SDmGYqdL,40786108397
nokia,115,2024-09-04 01-05-43,-20236,64,40788517903,-348990458,gmwNhMQo,40783623112
nokia,96,2024-09-04 01-06-54,11201,47,40781684524,-1221176082,pwSlQCUo,40788896704
nokia,-2,2024-09-04 01-07-04,-17668,62,40719531366,-815285433,DiIEfcRV,40769830755
nokia,-88,2024-09-04 01-08-33,26267,96,40711166204,-314416897,mewtQzhg,40796799050
nokia,-98,2024-09-04 01-08-00,3643,-20,40797905008,-1033833137,yrEzzGqk,40725883163
nokia,-92,2024-09-04 01-08-06,3315,-78,40779523812,1049035714,oJtPcnIK,40790130234
nokia,89,2024-09-04 01-06-13,-2450,69,40786884204,-1710048337,arsIrfKK,40731344184
nokia,92,2024-09-04 01-05-01,-14692,49,40784369088,-1621901773,vPHLxiux,40786591374
nokia,-41,2024-09-04 01-05-52,-3737,83,40710244666,1244393764,fvUmTpKc,40714644170
nokia,113,2024-09-04 01-05-11,-31309,79,40766652260,-2001109026,gCvDGfxe,40776750848
nokia,-80,2024-09-04 01-07-48,2733,56,40728728521,1113067275,aLzTMFin,40746185309
nokia,-73,2024-09-04 01-06-15,23466,-5,40747081526,21217077,ARtIscAP,40756782326
nokia,-88,2024-09-04 01-05-36,-21848,106,40748255883,759619272,BgRmZfxo,40753636448
nokia,-53,2024-09-04 01-07-51,-7244,62,40709659822,2010951969,NuZQJUht,40714207393
nokia,57,2024-09-04 01-06-55,-9398,67,40709368023,1374057480,uYGVzqFB,40726309161
nokia,-49,2024-09-04 01-06-19,-7894,-126,40787848108,820299067,LcyecDRq,40723729950
nokia,-77,2024-09-04 01-06-10,31592,-66,40778278284,-664785089,cgBzcWpg,40739624709
nokia,-116,2024-09-04 01-05-39,21472,-50,40733871557,1062676056,AEkXAirx,40771009526
nokia,121,2024-09-04 01-07-50,-23924,99,40701372863,1084358544,zAAimbXv,40711478102
nokia,116,2024-09-04 01-05-26,-4777,100,40706502044,1011953049,TQqRfvPZ,40733412354
nokia,-63,2024-09-04 01-09-39,15084,-88,40791132511,-1011556848,dwPBYcdt,40709568985
nokia,-49,2024-09-04 01-08-38,28354,-81,40751697213,918510012,hvEmblxS,40778827077
nokia,108,2024-09-04 01-06-09,14011,-71,40762246360,-1168820527,jKdfFduC,40744767831
nokia,13,2024-09-04 01-08-35,-8368,40,40785547917,9224573,eDWossTh,40781627264
nokia,14,2024-09-04 01-08-53,-4121,-38,40703516877,-1448544962,wvhXcFbF,40781292043
nokia,67,2024-09-04 01-06-08,-3578,-59,40751247918,850107982,hgIFLwYg,40784655750
nokia,122,2024-09-04 01-06-41,-31994,39,40784459022,1052124175,AHitplMr,40709873241
nokia,-100,2024-09-04 01-09-02,-13741,-122,40797812006,979661230,NSlTgZYL,40774445041
nokia,-38,2024-09-04 01-06-31,-26708,42,40782987229,64007010,iQXGmkaf,40732934177
nokia,-26,2024-09-04 01-08-03,-14830,-109,40752232150,1689185150,AVbULJHI,40774373839
nokia,111,2024-09-04 01-05-27,-12678,21,40746025714,-1534843101,FfoMkqUO,40737375383
nokia,1,2024-09-04 01-06-21,-11506,-62,40711225539,527097265,zirsAQaW,40748113822
