src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-23,2024-09-04 01-14-50,-13251,-81,40731803181,-454387618,VbxVoXuP,40714137378
nokia,55,2024-09-04 01-10-16,22141,76,40749832828,-1211234427,SWgxkdDp,40776426677
nokia,117,2024-09-04 01-13-36,-22843,-50,40730864173,525161478,QSWvpIAw,40760697097
nokia,45,2024-09-04 01-14-21,26359,-55,40769425066,-1934746808,QlrOPPDG,40787111343
nokia,-3,2024-09-04 01-11-36,7402,-125,40763097626,-1058555562,damvWmJQ,40782780135
nokia,-45,2024-09-04 01-12-06,-7963,45,40778836806,248335810,AJEicPxV,40733906518
nokia,82,2024-09-04 01-13-15,-14470,122,40772234999,708959268,XzumcEGp,40741553050
nokia,-109,2024-09-04 01-13-04,-11411,11,40797520144,-1376618631,GluYlFUP,40718062161
nokia,88,2024-09-04 01-13-22,-29441,65,40763724273,688523237,FmSFCwOa,40731672765
nokia,-24,2024-09-04 01-13-30,15700,84,40748155319,-1241931831,GcuBzDew,40721079668
nokia,80,2024-09-04 01-12-16,-15650,-110,40735620141,754385183,jfBjbcCO,40794503771
nokia,0,2024-09-04 01-14-14,20455,-8,40730991458,-1340587845,yMlECUvC,40722447516
nokia,23,2024-09-04 01-13-05,-9450,69,40782350835,-83437382,aMNcrLMZ,40759098243
nokia,16,2024-09-04 01-10-51,-3735,-123,40758081999,1747395641,tsGmMfDY,40764620714
nokia,-59,2024-09-04 01-12-25,-29158,-12,40731573377,2004825657,HjoaRKuF,40718418104
nokia,67,2024-09-04 01-10-07,-19826,-11,40773055296,1703608803,NOYErLHK,40753449130
nokia,93,2024-09-04 01-14-33,22808,-37,40739869464,-599099990,ENgZNtGW,40749463856
nokia,70,2024-09-04 01-11-08,5298,119,40736087557,-1806219544,PyNUfnrJ,40702490841
nokia,-97,2024-09-04 01-10-27,16950,55,40773758785,563300427,DXPuAbGZ,40781123179
nokia,91,2024-09-04 01-11-30,-16285,-102,40726389639,-833423785,PCocAoCD,40700710728
nokia,-110,2024-09-04 01-11-53,-16982,-7,40754077860,1509093219,qPUmGbHD,40763862646
nokia,25,2024-09-04 01-12-55,-27656,-20,40772089313,-66498769,YLuDElYR,40799713384
nokia,-80,2024-09-04 01-13-29,-1758,59,40748482522,-1723424962,UVwrPkJt,40793402258
nokia,-81,2024-09-04 01-14-09,-1570,110,40706993858,-1209282808,aIZMkiGh,40786742157
nokia,109,2024-09-04 01-10-29,1928,18,40711069188,2030401304,vOzJTcnk,40750673217
nokia,78,2024-09-04 01-12-38,-8332,-58,40713724088,-118688039,AoCyYCjS,40745950574
nokia,81,2024-09-04 01-12-11,19424,-95,40716712628,-1933272209,MskVQTNo,40755065190
nokia,45,2024-09-04 01-11-28,20249,93,40792198603,-1883772778,WLfTxVYJ,40772751612
nokia,-7,2024-09-04 01-14-08,-7102,-105,40708066430,-1227641488,bvPCYJoT,40753434940
nokia,95,2024-09-04 01-12-55,25940,24,40770647690,1807652748,JbHGrRPv,40766614682
nokia,85,2024-09-04 01-10-25,12913,117,40728961190,-698870807,JShwDVcZ,40738244760
nokia,-95,2024-09-04 01-12-23,5713,-7,40775613689,1602570563,bvBlwZuF,40706063633
nokia,58,2024-09-04 01-11-31,14448,-44,40705845812,986341575,eNTucRDr,40743124055
nokia,63,2024-09-04 01-12-22,-8687,-25,40741495574,-937194037,zOSJHfXK,40721305955
nokia,-118,2024-09-04 01-11-25,-20788,94,40771833378,736462690,EjsKFHKp,40711912077
nokia,-104,2024-09-04 01-11-57,18923,85,40707669662,-1474911267,VNYWiNDr,40791792983
nokia,-48,2024-09-04 01-14-20,-2183,-105,40722352320,1592290773,rMAigvLM,40786338171
nokia,10,2024-09-04 01-10-13,23925,1,40739068311,-545633856,KaaIwBox,40749284510
nokia,82,2024-09-04 01-10-50,-15429,72,40760449931,2041637115,RuUJsuWY,40762161634
nokia,-105,2024-09-04 01-12-44,-26822,31,40732724650,917104257,mMhxfaOU,40777622515
nokia,-4,2024-09-04 01-10-16,-10475,115,40791283712,1647005151,BZhNoIAQ,40722792531
nokia,17,2024-09-04 01-11-34,11077,-16,40711878301,510299818,bfacGusG,40730032056
nokia,55,2024-09-04 01-14-49,12301,3,40751460875,455984602,GAOwgjGM,40791213990
nokia,27,2024-09-04 01-13-25,4846,-37,40787876227,87311777,kFHjaJSI,40747094751
nokia,-114,2024-09-04 01-13-32,7407,125,40706986081,495053226,gnuuyxjT,40780931717
nokia,-127,2024-09-04 01-13-11,-11101,94,40713438297,-164155896,XppyULZB,40750366928
nokia,57,2024-09-04 01-12-54,20557,-106,40772462430,214140516,oClgEwdO,40701123377
nokia,-82,2024-09-04 01-11-05,20927,-114,40755126028,1964165432,CrDVUZZU,40749996469
nokia,-53,2024-09-04 01-12-45,5700,34,40732275716,-424662045,TCtHqZFK,40749044876
nokia,22,2024-09-04 01-13-08,30486,126,40712323987,-1075974124,oWsMXpKS,40751902839
nokia,-87,2024-09-04 01-11-32,5806,43,40743187584,-1753122542,ICJvVWrp,40793149323
nokia,-110,2024-09-04 01-11-22,-21338,-76,40761127739,-597279104,PjDRJDJj,40770128201
nokia,-58,2024-09-04 01-13-24,13771,-102,40748361948,-148667926,akCPCzmM,40778191239
nokia,98,2024-09-04 01-12-18,20925,24,40776875992,1516937033,FSXEKzoS,40792970700
nokia,45,2024-09-04 01-12-16,18194,96,40766263420,-861895268,runDGRub,40754763166
nokia,101,2024-09-04 01-14-49,5679,-32,40703192403,-815699687,mmlSXjRg,40752530706
nokia,12,2024-09-04 01-14-00,8037,-26,40710351830,-796717170,nWaUkjGb,40708930578
nokia,-107,2024-09-04 01-10-07,19267,56,40737576903,-1817196194,qsQUjEtS,40701214570
nokia,89,2024-09-04 01-14-25,-13204,105,40714779387,-333566924,WlLeUhUO,40771738661
nokia,-31,2024-09-04 01-10-53,11598,119,40726612934,63902794,eVxjcKZl,40710412400
nokia,-97,2024-09-04 01-13-51,-30700,-19,40714169585,-1144320854,JaVyeABp,40710667594
nokia,-2,2024-09-04 01-14-18,26286,104,40784414272,1510073943,eCIiqBAY,40752358873
