src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-42,2024-09-04 01-23-26,13419,-52,40706164335,-1457048346,HXnfvjrg,40765174977
nokia,-22,2024-09-04 01-22-23,22236,55,40709597776,-448619390,kcuvGbkM,40771903438
nokia,99,2024-09-04 01-24-45,-30565,-15,40710441365,1326947651,BINaaKGP,40718098222
nokia,-80,2024-09-04 01-22-18,-7754,-1,40748785621,-899319269,qDuINRST,40749145883
nokia,33,2024-09-04 01-23-51,12186,-127,40788643280,882338570,tuYfKOHU,40791722399
nokia,-100,2024-09-04 01-23-26,-26242,39,40781827297,-2129514135,tkIhUDSp,40789149806
nokia,-12,2024-09-04 01-22-29,22502,6,40724219841,-790864190,UwrXEoaO,40753311321
nokia,108,2024-09-04 01-20-51,2845,-74,40722532467,1724757729,OcgKxmeP,40772238495
nokia,13,2024-09-04 01-22-31,-32139,-119,40740476465,-1891183964,PUzOItOP,40705812871
nokia,64,2024-09-04 01-23-49,-14401,127,40773327346,-1990830762,lLJqkJOY,40785739990
nokia,92,2024-09-04 01-21-39,16217,13,40769575854,886271590,LMADxGvk,40746248333
nokia,54,2024-09-04 01-20-04,28265,-29,40786342121,847729149,KzndqiOd,40780718981
nokia,45,2024-09-04 01-24-47,-7811,113,40755055278,315699428,vaRBzhRB,40739328263
nokia,-84,2024-09-04 01-24-38,-18418,-76,40744514671,-2019546846,nnFyhHjS,40786329066
nokia,-18,2024-09-04 01-23-43,-6805,70,40753097873,-157637824,oakIIrwO,40701392536
nokia,-112,2024-09-04 01-24-04,24769,-35,40765817241,650615193,JBNoGkNT,40740048780
nokia,49,2024-09-04 01-24-34,-3299,57,40741992618,2144435339,GchLUWWD,40744681981
nokia,87,2024-09-04 01-20-56,1922,-27,40764847701,791075920,tVrsDxqi,40789787571
nokia,79,2024-09-04 01-23-09,32109,-106,40774289719,628310162,VtwssqlJ,40758272139
nokia,-24,2024-09-04 01-22-57,-13175,121,40774249908,-1470203827,JrHNRXpW,40767834334
nokia,124,2024-09-04 01-22-30,3463,19,40771898396,1585840429,XhpCzqmt,40748164147
nokia,-103,2024-09-04 01-21-47,-25570,-127,40796543679,-1643666223,aGXYeGWY,40771741861
nokia,116,2024-09-04 01-23-17,20482,-109,40732476959,1811762750,CoHbIkju,40703826683
nokia,-31,2024-09-04 01-22-09,18908,82,40729990240,2001910733,mPiRqTxa,40718707247
nokia,113,2024-09-04 01-24-37,15133,-38,40741920625,1125152530,HuihavHc,40746452594
nokia,8,2024-09-04 01-22-33,-20384,-60,40757098374,-1682623445,ihTimEJp,40767262915
nokia,-65,2024-09-04 01-24-36,-18390,35,40762667731,952768445,LWbspUtQ,40740824296
nokia,113,2024-09-04 01-22-38,-23541,-122,40786640830,198575093,gmbwewyz,40727177217
nokia,-37,2024-09-04 01-23-28,30936,-35,40774828000,-193472594,nKKnDIBr,40726730028
nokia,-27,2024-09-04 01-24-05,13475,-7,40712237294,2118251747,kVvNbOKh,40721961761
nokia,62,2024-09-04 01-20-48,-30661,31,40780949189,-1445758133,AEPvhGZj,40792282103
