src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,3,2024-09-04 01-31-17,29930,-106,40737680182,-1498714951,uOiGbvVF,40725172619
nokia,56,2024-09-04 01-30-38,28012,83,40764168533,1099665099,CtZRgFgu,40714859779
nokia,2,2024-09-04 01-31-14,8041,-127,40767706709,1964350305,mfcqsCZx,40773929882
nokia,7,2024-09-04 01-30-13,25860,-18,40709590708,-428786269,XNQagIcP,40742313830
nokia,-2,2024-09-04 01-33-46,-18972,-43,40782934327,-306401460,UtsYJmgO,40708212477
nokia,115,2024-09-04 01-32-28,-10368,-23,40748599984,-559890605,jEfMdqfK,40765264452
nokia,-106,2024-09-04 01-34-57,8527,64,40729676168,-885386972,zsqTnBxL,40714143735
nokia,107,2024-09-04 01-31-43,20025,37,40753426987,1524055356,sSQgDlOF,40791421419
nokia,71,2024-09-04 01-32-15,18838,56,40785873550,1927894651,wfCmXzzu,40724346723
nokia,-125,2024-09-04 01-30-14,21773,88,40720323353,115634600,nUZRVZUQ,40728434258
nokia,81,2024-09-04 01-32-58,-1271,-63,40736259939,-1208852121,IkwGMsuS,40780272280
nokia,0,2024-09-04 01-31-18,20087,-86,40779530505,-1349732198,pxCljPQQ,40766712127
nokia,-20,2024-09-04 01-32-10,15652,118,40767365493,-1143435549,hCxdYPnF,40707135415
nokia,-123,2024-09-04 01-31-28,2105,-2,40719715565,552012959,ZpRUhBTg,40760144273
nokia,-70,2024-09-04 01-30-17,-2956,-41,40777777380,459602455,UpZfAsco,40712338793
nokia,-109,2024-09-04 01-32-01,31075,-77,40717965198,-1551558518,FmxrXffy,40772572593
nokia,26,2024-09-04 01-30-35,243,-44,40794682799,-337790643,pAectoRi,40769021192
nokia,-75,2024-09-04 01-34-23,28140,117,40715889584,-1384695956,ISlIkjxx,40740820607
nokia,33,2024-09-04 01-34-01,3551,-81,40746369075,382170404,tixDrEoJ,40738875830
nokia,-60,2024-09-04 01-31-37,4235,-99,40784586486,405355595,JlQcqLxz,40761260880
nokia,-102,2024-09-04 01-33-40,30023,36,40708595076,-794739085,CoXrGbfr,40725655650
nokia,75,2024-09-04 01-32-09,7032,102,40727127467,-1770286630,iSmLhkLO,40782130867
nokia,94,2024-09-04 01-33-20,-5712,-96,40725226747,862802822,bLPMigCZ,40723640631
nokia,-12,2024-09-04 01-32-25,16505,-3,40793034028,-718931962,meielyrn,40706340211
nokia,49,2024-09-04 01-34-37,-24420,-27,40700048148,-698520354,zpDFKSxU,40726958422
nokia,127,2024-09-04 01-32-36,-21389,-126,40726789075,1471028243,LCkHJShm,40794585481
nokia,103,2024-09-04 01-32-45,21655,121,40759734937,1191184349,WkxVLAxL,40759867796
nokia,121,2024-09-04 01-30-17,10849,87,40781428709,-2019465760,mFNguvcM,40748837557
nokia,39,2024-09-04 01-33-41,-12188,-107,40742480067,116550692,OsjWZvNL,40718327930
nokia,-126,2024-09-04 01-30-38,27152,1,40780038813,-1006909477,QgXusYxA,40707472218
nokia,-108,2024-09-04 01-30-48,-31296,-123,40798432049,685314676,ZuBbuWgh,40773347302
nokia,101,2024-09-04 01-31-50,23315,-61,40701891777,-588262759,kAmlSyqq,40786022715
nokia,61,2024-09-04 01-30-13,-15983,-25,40725931410,914563902,ZUIutKHO,40723572825
nokia,25,2024-09-04 01-31-51,-9380,-92,40747974623,1946829180,jQUHpUnh,40765863272
nokia,53,2024-09-04 01-31-57,-18555,-109,40739027391,-1169459955,hMIGBjyq,40757683051
nokia,74,2024-09-04 01-34-23,22680,-40,40744050144,1796161281,mqgmqGZf,40797729914
nokia,-45,2024-09-04 01-30-42,-14279,122,40799307374,973326613,vmVdWDZu,40771035573
nokia,106,2024-09-04 01-31-40,32246,72,40762477078,-266395174,xPmUcmeZ,40781703676
nokia,-10,2024-09-04 01-31-41,18795,-6,40766890248,-784672954,AcHbjGac,40704609679
nokia,83,2024-09-04 01-34-14,504,-27,40706011709,-1494883526,QikUOytO,40791377553
nokia,82,2024-09-04 01-31-37,29697,26,40787530209,-469683962,niErbDXC,40723779416
nokia,-111,2024-09-04 01-31-44,-14850,124,40739917543,59980170,LXFJQVrr,40758078292
nokia,111,2024-09-04 01-30-15,-16281,32,40760516935,-589577033,tjsxzHEu,40732581511
nokia,18,2024-09-04 01-30-09,30558,-4,40794212286,247973399,EtQfCtie,40768092317
nokia,-110,2024-09-04 01-32-30,-20699,-69,40740695739,742548937,EMOnEleq,40718848621
nokia,10,2024-09-04 01-31-35,7097,-15,40738455533,1239123347,tzJkMFJD,40712066232
nokia,-63,2024-09-04 01-33-59,-27283,-116,40757602768,-1617360794,LPRmdkAS,40741268467
nokia,-24,2024-09-04 01-33-11,-4676,-59,40719582802,1369073876,zIXznazr,40713053401
nokia,65,2024-09-04 01-32-39,-9184,0,40706931217,-778276877,IYacWjhk,40767736433
nokia,-44,2024-09-04 01-32-31,16112,-52,40725576164,-833153357,qCrpmHMQ,40703011213
nokia,116,2024-09-04 01-30-12,-10493,-98,40708684873,-1475553530,TEPdzSHx,40795064168
nokia,-78,2024-09-04 01-34-41,8305,-89,40776173286,1118898381,wvSFjJIo,40763628064
nokia,-65,2024-09-04 01-30-22,17150,9,40720078200,1548638669,ktkAHupr,40741244730
nokia,-122,2024-09-04 01-30-28,-18895,-48,40780567796,-1178816201,SpkNAocb,40783838187
nokia,-30,2024-09-04 01-31-46,-26441,110,40776221450,-1174836843,LuFWzmvo,40794490763
nokia,55,2024-09-04 01-32-47,-16039,53,40706952180,-1582674713,FcsPUNpx,40759044563
nokia,-2,2024-09-04 01-30-43,23593,-53,40760168047,-883340394,kFeJeQkv,40740068472
nokia,-44,2024-09-04 01-30-34,15805,11,40720292511,-1872169199,xgbqqZPr,40730034558
nokia,102,2024-09-04 01-31-35,19009,-99,40749306216,842074528,algYYGlB,40786370945
nokia,-114,2024-09-04 01-30-19,-14235,-4,40708872497,-1177542785,tqLfzfdn,40751181099
nokia,52,2024-09-04 01-32-07,17742,43,40728137863,1655250796,OtOIMPwv,40799260996
nokia,-76,2024-09-04 01-31-15,-18529,83,40756113004,1321230261,sDnkENov,40713328934
nokia,116,2024-09-04 01-30-44,-27653,-26,40747986454,688821388,siBHGsdo,40764548753
nokia,-109,2024-09-04 01-31-36,-391,39,40779466226,-1863792164,EGtVwese,40739768151
nokia,-7,2024-09-04 01-31-25,-17661,-27,40716041745,-341490214,DODyygiv,40771694507
nokia,-42,2024-09-04 01-34-35,13545,-25,40751765709,-565680025,bFYryYUt,40768953811
nokia,24,2024-09-04 01-30-40,598,67,40729446000,-1158512785,xJazvfwg,40799675144
nokia,-128,2024-09-04 01-31-08,20821,-120,40759088860,392653636,YFAkCKZn,40798681503
nokia,11,2024-09-04 01-34-14,-6587,-28,40791250476,-1828252566,qKnoOluo,40768103351
nokia,-83,2024-09-04 01-31-52,-20895,-38,40778118364,723599072,Thhsdyhs,40738948324
nokia,-15,2024-09-04 01-32-57,-28553,-55,40733359652,-506510337,UKKvLGso,40777750787
nokia,-35,2024-09-04 01-31-51,-647,64,40738801552,2080170477,sOAMvYuE,40716443321
nokia,37,2024-09-04 01-31-53,-10878,85,40707977305,2047709462,TyrlUfrG,40751600846
nokia,-116,2024-09-04 01-34-08,3371,-55,40789196495,-713297105,kaQGvTyf,40743767036
nokia,-46,2024-09-04 01-31-18,28448,110,40719419280,-105997534,IdHJHhBZ,40751829220
nokia,66,2024-09-04 01-30-59,22606,0,40783899316,470294351,dWqtFZlL,40735007135
nokia,86,2024-09-04 01-33-58,-625,9,40734667149,-201148087,wnNhRAmz,40724641075
nokia,73,2024-09-04 01-31-02,-14109,108,40769895325,289239029,cecBkjoT,40778575879
nokia,-120,2024-09-04 01-30-49,27137,-21,40755611205,1990622175,ZSMHKHUQ,40796061172
nokia,-45,2024-09-04 01-30-28,-15027,-99,40794473825,-444399323,txhOsren,40779232026
nokia,-11,2024-09-04 01-31-46,-10190,-57,40707944427,853694089,AUgeNofg,40773974709
nokia,24,2024-09-04 01-30-34,7953,-81,40763511934,1177605926,yKbLqrvO,40795605479
nokia,21,2024-09-04 01-34-28,-24201,-10,40752137936,883354212,yEDfXTQs,40703960311
nokia,-23,2024-09-04 01-30-54,-5981,16,40719541932,-1966146476,OibjMrXO,40771332872
nokia,49,2024-09-04 01-31-18,-28756,27,40714878533,-245604298,FeDpdMmc,40742165285
nokia,112,2024-09-04 01-30-17,22232,-124,40748556515,357899503,GuIAMRKG,40732218075
nokia,63,2024-09-04 01-31-01,-3493,7,40772567037,-650993275,CbAOdFgF,40787256253
nokia,117,2024-09-04 01-34-09,16929,-112,40718675639,-575878332,IPOGbmra,40734449431
nokia,-75,2024-09-04 01-32-45,-15894,4,40711534682,1231306287,VSWxOVjv,40708384774
nokia,119,2024-09-04 01-31-45,-20749,77,40710746413,1065235627,rRGWlocL,40745811082
nokia,91,2024-09-04 01-34-47,16538,116,40792704302,207104311,jJwHzmuS,40734077494
