src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,79,2024-09-04 01-41-27,-19762,-52,40781536113,817152887,aGkfKSoz,40788126352
nokia,-67,2024-09-04 01-42-01,8011,66,40774854845,1405988133,WXUePhDI,40745062000
nokia,105,2024-09-04 01-41-41,32494,25,40728800494,412063008,iyhJQCBY,40761320184
nokia,18,2024-09-04 01-41-07,-18712,84,40745622137,-1468271561,KGJFYvIC,40715747394
nokia,-84,2024-09-04 01-41-48,-27264,114,40778589513,-677798167,hNMERnAk,40797384115
nokia,-9,2024-09-04 01-40-01,2243,-104,40785296269,1899277952,kSAjxpMv,40732838640
nokia,17,2024-09-04 01-42-43,26475,72,40718689262,1419251357,FZSLqwqN,40783919750
nokia,-81,2024-09-04 01-41-03,8199,-126,40710542403,-2075559601,WSUBLvOD,40788547393
nokia,47,2024-09-04 01-41-14,-20503,-24,40723718097,-346902144,aEkkxvkz,40736915545
nokia,108,2024-09-04 01-42-57,29213,20,40732283572,1220954391,zWdXjvei,40782363673
nokia,-80,2024-09-04 01-43-44,776,-30,40772367673,783875024,KeRTTjUq,40762810211
nokia,-94,2024-09-04 01-41-00,9478,18,40733016557,-527514352,bACxrHYH,40783883043
nokia,-19,2024-09-04 01-42-21,12091,-98,40792443119,-2041253988,cgAFtmAP,40718577127
nokia,58,2024-09-04 01-40-26,9005,-73,40789671809,1712367698,LVtKwcsW,40784399633
nokia,32,2024-09-04 01-40-28,-22355,-57,40759720044,2015703683,HwdIBOLC,40744464270
nokia,-85,2024-09-04 01-44-47,-19600,61,40768082889,994555719,ZQiJDQkn,40706604927
nokia,12,2024-09-04 01-44-37,-30557,-74,40787960017,561403431,UBWGMoDI,40768507955
nokia,35,2024-09-04 01-42-32,-27777,83,40721968683,-1845438536,SDlIZrCc,40756267056
nokia,126,2024-09-04 01-43-59,25853,71,40759755591,-1889220556,lEydvoke,40790804900
nokia,30,2024-09-04 01-44-42,-4969,-72,40729616173,1696743924,idJRcplC,40710911300
nokia,109,2024-09-04 01-42-08,30860,-86,40712787095,2127253849,jgyEAJhr,40745267495
nokia,0,2024-09-04 01-40-56,16188,23,40766192434,122913550,ZovCYLMw,40769989870
nokia,53,2024-09-04 01-41-19,18724,-124,40727840175,-481603741,aBxAAmJP,40777956907
nokia,51,2024-09-04 01-40-34,8155,-54,40766573315,186600282,jpIPGbUm,40769077771
nokia,-43,2024-09-04 01-41-23,31483,-68,40706689883,125798526,xngnZaTN,40771386158
nokia,53,2024-09-04 01-44-10,-21647,-107,40731886376,535874345,nYErFSVS,40729853184
nokia,71,2024-09-04 01-42-59,-16901,88,40737165770,-1722839436,fRUVldqa,40731940572
nokia,-76,2024-09-04 01-42-53,18442,10,40756784176,-1744192145,AWepoZci,40724831638
nokia,43,2024-09-04 01-44-47,22408,70,40782281889,-1929227436,gpOuAIlf,40799769295
nokia,-49,2024-09-04 01-41-25,15636,-93,40789039096,1787408297,OoHluYuG,40728113492
nokia,108,2024-09-04 01-44-45,16996,25,40787903321,-604488325,VjvbZQCG,40729526555
nokia,-84,2024-09-04 01-41-27,-3996,87,40729465571,-1575589275,tgLEaVwP,40735732489
nokia,-88,2024-09-04 01-40-57,-32667,-115,40701872794,-847395383,AckaZuew,40799426077
nokia,75,2024-09-04 01-43-08,29881,2,40716594070,-701630232,FzwQwlJq,40731107396
nokia,-106,2024-09-04 01-41-48,-18511,-22,40769081888,-1847698796,jkjWhMYW,40739589149
nokia,-114,2024-09-04 01-40-18,20875,-22,40715050128,1033875075,KcWyQaQm,40705884307
nokia,-89,2024-09-04 01-40-17,-21612,-112,40731022509,-635673958,IeboDFrR,40769325154
nokia,27,2024-09-04 01-41-21,16361,-122,40766540902,-887924310,nHJUdHrw,40799205759
nokia,7,2024-09-04 01-44-01,-27586,24,40791364438,819899386,yUcpxlQp,40731878519
nokia,73,2024-09-04 01-44-30,-24992,49,40771442264,578244913,GhqweZYK,40754492360
nokia,12,2024-09-04 01-40-34,-24993,75,40703842497,2068117792,sUkJVRxE,40752137993
nokia,38,2024-09-04 01-44-38,20799,70,40762374174,-205668017,CPRDzlfT,40743509984
nokia,103,2024-09-04 01-42-51,-17892,-98,40793443573,1029935491,HrxQznhL,40703392622
nokia,-44,2024-09-04 01-41-23,-20397,-120,40708338576,1527753503,TgZnPWoZ,40714075435
nokia,21,2024-09-04 01-43-16,-24638,-45,40734091349,-1578790366,TaZOZLMi,40797566931
