src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,121,2024-09-04 01-51-43,18709,42,40797693074,678007685,OTiSYhFD,40784468290
nokia,-69,2024-09-04 01-53-05,15986,-84,40702498718,1913412948,tWcrmfIY,40747413666
nokia,61,2024-09-04 01-50-25,9931,21,40707383988,1559932877,UdDbvdHq,40710231292
nokia,54,2024-09-04 01-51-41,11209,4,40761050104,-595760381,VKzhxBzG,40784206253
nokia,109,2024-09-04 01-54-33,5198,80,40734224177,1817419578,QLemwrga,40733669407
nokia,-72,2024-09-04 01-52-40,-30774,84,40797313378,1862766111,MurShDPA,40773883542
nokia,43,2024-09-04 01-51-46,28145,-42,40781383894,965006965,UvEyzJIr,40707658309
nokia,124,2024-09-04 01-51-43,24291,-29,40737140526,2080159670,BTViBxGl,40757824949
nokia,-36,2024-09-04 01-50-04,12536,-18,40791980892,1398513494,BYDEgeAW,40785532293
nokia,-117,2024-09-04 01-51-01,-16560,53,40759225288,1870894554,gnTPbLqD,40724532513
nokia,-87,2024-09-04 01-54-03,6964,-70,40713847417,1731738080,wYjGfHEa,40767006167
nokia,-19,2024-09-04 01-51-52,-28770,-101,40739030943,200609843,UNvsKOXC,40747110434
nokia,55,2024-09-04 01-53-04,29440,-19,40782140497,-1432224861,CWdTCpkM,40759635324
nokia,43,2024-09-04 01-50-49,18621,-63,40730783385,460091532,ZjnKLFGW,40715955795
nokia,-89,2024-09-04 01-52-28,14503,-55,40757331334,414814897,INgnqleR,40777450393
nokia,121,2024-09-04 01-50-03,3031,116,40785746040,1496039591,lLmcoofX,40711986010
nokia,-14,2024-09-04 01-52-14,23154,34,40700412783,-1008190005,znomSGlm,40786701996
nokia,106,2024-09-04 01-51-18,7498,-114,40747364547,1460465949,IEvoOYEM,40720691396
nokia,-52,2024-09-04 01-54-31,-25045,32,40782143380,822518178,jxLEmdPj,40706770676
nokia,106,2024-09-04 01-50-18,-4120,79,40796894792,610017522,QsLcihyp,40740642976
nokia,-34,2024-09-04 01-54-33,-24669,11,40710526711,1019815536,KbVGaeWE,40749460919
nokia,-28,2024-09-04 01-54-58,-6193,49,40797240166,-656814050,cyYuQIwE,40717741189
nokia,10,2024-09-04 01-54-56,-19121,-16,40741251173,-1951072214,vzjaEzHt,40740442540
nokia,-48,2024-09-04 01-50-29,-24689,-127,40785541044,509608564,UlUfBFas,40734092751
nokia,65,2024-09-04 01-53-02,-1782,-48,40735408146,926908530,WzXhOXQJ,40776449353
nokia,-78,2024-09-04 01-50-45,-22509,123,40720579355,-16869792,qPscOfFx,40767791538
nokia,81,2024-09-04 01-51-01,2312,37,40721595063,1427466160,ucOQVdwI,40711986811
nokia,-6,2024-09-04 01-53-27,-6272,-92,40725474388,669712511,yZUwNPjt,40763195012
nokia,92,2024-09-04 01-50-57,-22126,97,40744008163,-2109282942,nLLSJILu,40788652473
nokia,72,2024-09-04 01-50-53,-10573,102,40744204156,1477375106,VWUIhuAp,40729613700
nokia,90,2024-09-04 01-51-01,21482,59,40750986609,-330241770,VlaCMquP,40718492033
nokia,64,2024-09-04 01-51-13,26706,-60,40712141924,-976121531,kNblENCs,40706739705
nokia,-21,2024-09-04 01-52-36,-29636,8,40747478263,1493670280,JdLKryBb,40779368820
nokia,-47,2024-09-04 01-50-30,29145,26,40704586908,-1260229974,mPnYZyXA,40742090522
nokia,-86,2024-09-04 01-50-44,3597,73,40706888200,1041972871,FdDPCPQT,40759740069
nokia,-74,2024-09-04 01-52-00,15326,0,40724867288,1451638081,NOeUiEXG,40789465284
nokia,117,2024-09-04 01-54-59,24664,80,40716538973,1860174033,uCidBYJO,40729670144
nokia,35,2024-09-04 01-50-45,7865,-69,40777992452,-1143852805,GBbWepqo,40752717424
nokia,-28,2024-09-04 01-51-27,-680,-64,40777383496,-862065855,znQtSgPf,40756208580
nokia,110,2024-09-04 01-52-32,8858,2,40710637558,-1710013991,oNISYTyT,40785834906
nokia,-81,2024-09-04 01-52-32,2681,-69,40735182921,-660495881,usTgkyqA,40799992219
nokia,112,2024-09-04 01-51-18,30998,-66,40777483480,-594510211,nmazaKBh,40722710208
nokia,109,2024-09-04 01-53-21,-27992,-90,40765138389,-1147338277,iahsEavT,40779848961
nokia,-20,2024-09-04 01-53-33,-4071,-6,40735663342,468710777,FMeBdBMg,40780383890
nokia,123,2024-09-04 01-50-38,-12139,-79,40759201007,132040022,kmqgHrhy,40735781001
nokia,-49,2024-09-04 01-53-28,-25599,33,40766106164,808663748,KnLWzKTi,40738805527
nokia,23,2024-09-04 01-52-26,11661,35,40715208546,-966603678,GHgXrSWd,40745588469
nokia,2,2024-09-04 01-54-24,-12978,96,40774365195,403572915,GaLteZZe,40700655025
nokia,3,2024-09-04 01-52-50,9141,3,40722046879,1703433566,SySaHgfP,40702852729
nokia,82,2024-09-04 01-50-17,-13380,120,40709643837,1216378016,DroUATkw,40788837631
nokia,34,2024-09-04 01-53-28,-10066,10,40787404218,-1458343847,pkGNCSyB,40785798866
nokia,-83,2024-09-04 01-50-14,146,113,40713665717,-581293901,DJiZKEvO,40791866721
nokia,89,2024-09-04 01-52-16,22814,-50,40770303054,370264761,rmscMByp,40738944102
nokia,-127,2024-09-04 01-51-16,-29223,7,40753665244,-1523601876,vueKSLSN,40704130139
nokia,54,2024-09-04 01-54-17,-21682,-78,40723239090,-1381744957,PRfmdzen,40728570030
nokia,-53,2024-09-04 01-50-45,-31268,9,40782367936,942995466,itALyrQG,40723250742
nokia,70,2024-09-04 01-51-40,6782,88,40777380249,1143173658,KMZDqpeZ,40764624625
nokia,-54,2024-09-04 01-54-38,25247,75,40760354720,1896005489,OuZLOIbs,40763918304
nokia,-81,2024-09-04 01-52-05,-10633,-116,40788227624,1250765778,rOgqrMqL,40769666113
nokia,53,2024-09-04 01-54-41,22972,-101,40755094090,1347641428,EVuJSdPM,40754393119
nokia,-27,2024-09-04 01-54-21,-25795,-28,40743311598,1498821593,DlgvHUGe,40733937732
nokia,123,2024-09-04 01-53-29,20805,-26,40732443779,-1010585252,nraKLOhs,40768350908
nokia,-65,2024-09-04 01-53-44,17605,-82,40760193557,1995888816,KIGmzVGe,40735373526
nokia,-123,2024-09-04 01-50-49,-11710,78,40721397899,-808112879,OTGvIfEi,40751600710
nokia,-121,2024-09-04 01-52-41,-21981,28,40798126592,1771490264,dOAVMMzW,40728026271
nokia,127,2024-09-04 01-53-05,6609,41,40751506007,1380824593,jOLNalYH,40722712400
nokia,-54,2024-09-04 01-52-18,26758,29,40775024738,-1890565957,jvwJCRud,40785089988
nokia,-128,2024-09-04 01-52-52,31678,59,40721770975,54305588,YstpqTMd,40718261287
nokia,-86,2024-09-04 01-55-00,-2125,-3,40780677869,-1833228074,umylLdQQ,40731081347
nokia,70,2024-09-04 01-51-05,-16160,11,40778531532,476089671,yNyBBymV,40760255338
nokia,-17,2024-09-04 01-50-42,-24340,91,40775171911,1620332742,zdkGWbBH,40753855386
nokia,6,2024-09-04 01-50-13,-8945,-7,40777299237,-1656276175,OYnxiKNw,40721327668
nokia,22,2024-09-04 01-54-24,-22072,79,40758925189,-1082900599,fuEIjpMS,40745784778
nokia,1,2024-09-04 01-52-37,-26305,112,40791089273,-1114099663,KAZGkCsn,40778168457
nokia,-43,2024-09-04 01-54-56,-12574,-1,40754886903,1025780172,oOEZLYsd,40796030171
nokia,113,2024-09-04 01-52-36,-19104,-116,40707832344,38204134,zUgLmhSV,40720184576
nokia,-37,2024-09-04 01-52-59,23470,68,40715375484,-1259789667,vnMtQKTV,40797896296
nokia,-35,2024-09-04 01-50-35,1266,-58,40758883144,-1102167174,jBhXQDVD,40720775392
nokia,-40,2024-09-04 01-53-40,-19659,29,40718481356,-800527553,xHdDustd,40758399161
nokia,-8,2024-09-04 01-52-52,-27846,33,40742679013,-1478300785,cfKdVXxh,40793830043
nokia,-13,2024-09-04 01-54-47,-19158,6,40712324564,44790686,VRELFQCI,40759842653
nokia,-79,2024-09-04 01-52-47,18691,-126,40745181332,-302808978,oKdlMyIL,40799514607
