src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-23,2024-09-04 02-04-38,9081,-7,40727255840,-880764274,wmvapXXO,40750297371
nokia,32,2024-09-04 02-00-21,-5698,-106,40711317127,1192160063,UghxYSes,40756257772
nokia,-18,2024-09-04 02-00-37,-17089,83,40719622698,-1043176233,Mywstgzt,40737843543
nokia,124,2024-09-04 02-02-02,-3450,11,40784819441,-1242184093,OFOacFnb,40712609773
nokia,-60,2024-09-04 02-04-34,24839,12,40796841310,641942067,kqXEhPHK,40761522998
nokia,87,2024-09-04 02-00-15,28491,89,40703130903,-143388380,VtsZfRlS,40734028045
nokia,20,2024-09-04 02-01-27,-6418,-22,40756883026,-111701836,HcfojWzO,40742090131
nokia,15,2024-09-04 02-04-48,3030,84,40798734143,1391152786,BqAskGFO,40752436176
nokia,-23,2024-09-04 02-03-08,2823,-124,40714615647,352831776,rmlvtVuE,40733638883
nokia,92,2024-09-04 02-00-51,-32404,-40,40736250479,-1625134736,JHpWZeez,40781975043
nokia,10,2024-09-04 02-03-50,-14952,40,40781618072,1114821536,jRIbCFEI,40770757474
nokia,-120,2024-09-04 02-00-23,-21537,-29,40717585053,-1362161288,ClNMMLGG,40712634975
nokia,-79,2024-09-04 02-00-02,16549,-106,40733702997,-1646687006,OZQUmdRV,40720523813
nokia,-102,2024-09-04 02-03-37,18448,95,40754820545,-2115116008,hqAyoVBp,40771102041
nokia,99,2024-09-04 02-04-04,6031,40,40797039326,-1452949634,MDBVKape,40727512691
nokia,-101,2024-09-04 02-03-19,-21695,-100,40799407098,1183273509,mgKdIZQd,40756604648
nokia,17,2024-09-04 02-01-43,1284,96,40756340186,-1002258497,BBMEfJPF,40734119149
nokia,-28,2024-09-04 02-03-19,22581,124,40708409722,-1766409599,IrAMExRQ,40763812091
nokia,-37,2024-09-04 02-03-26,3669,-13,40766770775,134733783,ZjYRcyXF,40790447790
nokia,6,2024-09-04 02-01-34,-28429,-94,40711548364,650087167,uUSlCsLn,40728504213
nokia,89,2024-09-04 02-04-06,-24013,81,40783534581,-1238026547,FGYqmTew,40752925066
nokia,-85,2024-09-04 02-00-18,-22202,19,40745534413,-599243113,keMIwPzK,40717875286
nokia,110,2024-09-04 02-00-55,-17125,-41,40744910143,450397155,SBNhGOQO,40714706480
nokia,41,2024-09-04 02-00-44,-31840,-42,40750257774,-1567446674,BZlhpimq,40715947245
nokia,98,2024-09-04 02-01-17,-31559,-66,40702254708,-718472107,xQGGfMYy,40783521320
nokia,-55,2024-09-04 02-03-30,-15738,113,40763110385,1604058117,qXkHjUrt,40728678001
nokia,-60,2024-09-04 02-03-08,-18698,-95,40774854634,433503489,KNaBgDoV,40796438866
nokia,25,2024-09-04 02-01-04,-26139,55,40707993857,-486814366,PImHmcdP,40790120341
nokia,-4,2024-09-04 02-04-26,-15999,112,40777037294,-743017675,GqGpvLSU,40735812811
nokia,10,2024-09-04 02-04-53,6440,-27,40729892877,2077082835,BBfvnugR,40748400304
nokia,125,2024-09-04 02-00-37,-20625,86,40704747067,1047717002,TDApZsQv,40765768234
nokia,-34,2024-09-04 02-03-19,21456,55,40735492391,-1177575220,olmsNyKv,40705875424
nokia,24,2024-09-04 02-00-08,-17132,127,40728762627,-30220596,XGNYMFNF,40706484895
nokia,33,2024-09-04 02-02-34,-20399,-38,40708850754,-1772789075,vkcihJhx,40712008716
nokia,50,2024-09-04 02-04-04,9948,19,40794012531,1501527266,gGgAtnbJ,40778244194
nokia,30,2024-09-04 02-01-07,16963,77,40786472418,477555152,ymoHSOQF,40764163920
nokia,9,2024-09-04 02-00-40,31767,-37,40783649288,-858112733,mkxWCDBP,40797181486
nokia,-55,2024-09-04 02-02-42,-4629,-7,40794065705,-1397237884,CpNwhcNm,40714457631
nokia,-84,2024-09-04 02-04-33,4799,-10,40749066137,-44292821,okfOgYki,40727040734
nokia,30,2024-09-04 02-02-46,16786,-100,40721518674,1192969817,pPWysOvx,40701628701
nokia,-90,2024-09-04 02-00-43,-5223,20,40728442887,-1183145168,ciNhrEUl,40775473562
nokia,-81,2024-09-04 02-00-21,5495,80,40798891939,-1317307938,FPtlnePi,40720075129
nokia,-89,2024-09-04 02-00-22,5860,-46,40741388519,-1562575071,wwPdxUGJ,40773720603
nokia,62,2024-09-04 02-02-43,-836,-6,40751623311,1385790819,mZcPzFFu,40729234660
nokia,82,2024-09-04 02-04-20,1133,40,40712677615,655686717,GUqyKUeV,40751799955
nokia,66,2024-09-04 02-04-05,18586,-19,40722787975,1414559916,TCkVTxAC,40766884994
nokia,86,2024-09-04 02-02-14,-2955,-78,40763634145,1240829213,ZfPJTiir,40736822282
nokia,-24,2024-09-04 02-02-43,-3285,60,40766684351,-2125724700,EYWLmofp,40710017004
