src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-3,2024-09-04 02-06-34,12414,-63,40736131251,39307314,zoEypJyG,40743375619
nokia,-59,2024-09-04 02-09-43,10870,30,40794321138,845389806,eMOZXFMh,40797161354
nokia,84,2024-09-04 02-05-30,-14681,36,40730758248,1736238762,FZvlyOlF,40743699312
nokia,-116,2024-09-04 02-09-29,-23498,-103,40771683882,-92711140,rZUaIwib,40754305823
nokia,77,2024-09-04 02-05-59,-22920,-3,40766462865,-1850376808,OjvOZVmp,40700012647
nokia,-70,2024-09-04 02-06-08,-14164,96,40785550291,1982709563,GbmHUeBw,40707948166
nokia,58,2024-09-04 02-07-10,-17660,126,40715882351,1389622520,ndQOuiYt,40737182221
nokia,-42,2024-09-04 02-06-22,-16212,58,40787174701,1941053623,DZAsELsr,40728788990
nokia,105,2024-09-04 02-06-43,19952,-106,40756890342,1701780039,NmBGinzs,40752038139
nokia,-117,2024-09-04 02-09-35,28759,-9,40760959396,-2100585909,AFlRfRSf,40719241975
nokia,-98,2024-09-04 02-08-25,-20174,-9,40710973153,-1379262708,HLMKoQVZ,40711800678
nokia,29,2024-09-04 02-05-54,1123,-27,40757474867,721522492,VvkiDDQT,40710943856
nokia,-7,2024-09-04 02-09-29,4213,67,40745840862,-1999713620,ENsagdwN,40761132638
nokia,103,2024-09-04 02-08-32,24864,1,40711425394,470373353,MaHZVzZV,40761559836
nokia,20,2024-09-04 02-06-04,-26590,76,40788764667,1912527437,zxJRgZmw,40777201557
nokia,3,2024-09-04 02-06-11,5356,102,40707391373,1370182527,NdJJlyxd,40779000258
nokia,99,2024-09-04 02-08-12,21571,42,40708022815,-351944967,XNvUBtBA,40765866599
nokia,-21,2024-09-04 02-05-42,-9615,-38,40737702129,-1656414474,pIagvjsP,40760363876
nokia,18,2024-09-04 02-05-17,25185,-53,40758013374,-516006791,LKoPxnlK,40787363374
nokia,93,2024-09-04 02-07-13,6709,-80,40702890224,-1810882769,dvRPpHYc,40753549405
nokia,-28,2024-09-04 02-05-23,9670,80,40747171696,1119180491,tocwNRUg,40756857765
nokia,-59,2024-09-04 02-08-49,-28892,82,40702216854,-1353402449,tCgAkTyn,40738701226
nokia,125,2024-09-04 02-06-42,-31786,-12,40742651063,1725662021,svsewIuv,40736564392
nokia,29,2024-09-04 02-08-06,-7395,-65,40776330498,1117785279,XVULqLeC,40717946693
nokia,-9,2024-09-04 02-09-38,27294,49,40759092756,-229267594,ihUZKFku,40796157800
nokia,39,2024-09-04 02-08-44,17611,62,40710477893,-426352232,UYoApPps,40747165509
nokia,-125,2024-09-04 02-09-29,-17163,-42,40740913773,-1724920817,KvfBHxpb,40748396968
nokia,-124,2024-09-04 02-08-52,18424,-47,40740717494,1866064138,wHeOKQDh,40783509581
nokia,-36,2024-09-04 02-06-46,7353,95,40768503280,-2059869637,MxUAKDlU,40753159354
nokia,-127,2024-09-04 02-05-40,11459,-2,40785918743,-551901406,ptmzBTto,40705577738
nokia,118,2024-09-04 02-06-11,5167,123,40722555999,-846280170,JQyEvgAf,40798776146
nokia,-51,2024-09-04 02-06-43,22312,21,40789917399,1767610258,bMONGxXa,40716132885
nokia,40,2024-09-04 02-09-28,-24982,-13,40705816439,-467208177,jTqdEPIA,40784966547
nokia,-85,2024-09-04 02-08-25,-1266,-1,40779549220,-1698911148,gunyqseI,40791436732
nokia,-85,2024-09-04 02-05-04,17934,26,40773037762,-15189416,JEWDYwgk,40728596088
nokia,16,2024-09-04 02-06-41,-2833,-94,40740697539,-1678060796,tqDdQKeS,40748457361
nokia,-54,2024-09-04 02-05-33,-1462,-13,40775573667,-172380172,gPazhUnH,40743420695
nokia,-82,2024-09-04 02-07-05,15354,-54,40736608473,862367390,EnHoSxgN,40708356929
nokia,126,2024-09-04 02-07-07,9902,108,40702271067,-1491866849,lDRtiRes,40753965849
nokia,116,2024-09-04 02-08-18,7593,104,40767776705,-23919113,ldOIcCLP,40706400482
nokia,34,2024-09-04 02-06-14,17209,-125,40709791682,71298013,KXnWiNtB,40744979022
nokia,-49,2024-09-04 02-05-36,8816,-81,40732662590,47798238,TNgUJwSu,40751280530
nokia,-82,2024-09-04 02-07-49,16928,-13,40777909735,1947327115,pOlFOpsc,40725066242
nokia,-82,2024-09-04 02-07-53,-4323,51,40776715767,-1375992324,FSzyMsnw,40774731643
nokia,-102,2024-09-04 02-07-36,-3232,-125,40745207744,823536461,OYSavcub,40763235125
nokia,-100,2024-09-04 02-09-41,17934,24,40713852201,1534405320,hxsvblHX,40794775898
nokia,33,2024-09-04 02-08-34,-24054,73,40717374513,1873484729,mLVfwNHc,40789868688
nokia,-43,2024-09-04 02-05-23,-22953,85,40712712790,-1597966420,QqxqZXYU,40744009482
nokia,6,2024-09-04 02-09-33,31771,-7,40703382387,686531575,LTifglmA,40748580402
nokia,-58,2024-09-04 02-09-16,13026,-75,40785349896,52138506,LzREYSTF,40726258028
nokia,-88,2024-09-04 02-06-04,-15948,-118,40779930359,-10435217,iZdnaOnu,40794389323
nokia,68,2024-09-04 02-05-35,-10186,53,40700916190,-873289535,GeGhdxeY,40754709816
nokia,-14,2024-09-04 02-08-19,1948,124,40757973432,1640998031,EmVirDAa,40753801508
nokia,-99,2024-09-04 02-09-07,5423,47,40766039021,1602323946,ljQcciwA,40778461131
nokia,106,2024-09-04 02-06-25,26959,-35,40777076928,886299906,GUsKqDQw,40749863373
nokia,52,2024-09-04 02-09-42,-1762,92,40788644648,602138146,ymUcPtMN,40776694048
nokia,109,2024-09-04 02-08-13,26166,96,40730495491,-1553156547,QthfnICK,40706439146
nokia,-80,2024-09-04 02-09-07,4944,-104,40772509157,-520507982,efPZKUGE,40704365022
nokia,96,2024-09-04 02-05-08,-10239,-81,40772396278,-1875878957,kjsHVmDo,40781615603
nokia,-27,2024-09-04 02-08-24,-21679,59,40708619878,-936116086,ImmpuboH,40793784922
nokia,125,2024-09-04 02-06-18,22089,20,40727146236,-2052115418,QxDWGwCm,40744022284
nokia,-20,2024-09-04 02-08-43,-20738,11,40724441355,-465186017,lotZnTmw,40794469942
nokia,110,2024-09-04 02-08-39,25349,49,40757279785,532491142,rxgOzubh,40724913207
nokia,20,2024-09-04 02-08-13,-31677,70,40716722232,-751591239,LHTcQews,40766430905
nokia,-16,2024-09-04 02-05-26,4956,-21,40785835538,-1008377184,IbdfFrnr,40750950726
nokia,98,2024-09-04 02-06-54,11419,-96,40743120477,-1522316566,pYygnaKz,40725061130
nokia,-85,2024-09-04 02-08-14,-9125,83,40738830728,-773063603,VQfVhQJN,40700619470
nokia,48,2024-09-04 02-06-12,2613,-39,40781639091,107199450,bnIpFPch,40734103505
nokia,83,2024-09-04 02-08-59,-30890,18,40726765660,1169442300,sNzWvkoh,40715154762
