src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-69,2024-09-04 02-28-19,13065,56,40776901275,-2044178566,wcpugMyo,40764645090
nokia,-4,2024-09-04 02-29-33,12628,-97,40734097391,-397595240,ubPrJjLy,40725254786
nokia,-90,2024-09-04 02-26-49,22348,69,40782032988,1669580929,ZAoEnKqP,40798872158
nokia,-60,2024-09-04 02-26-58,27450,-25,40798174345,-461672216,BgtnxysG,40707555539
nokia,43,2024-09-04 02-25-42,11090,4,40746145208,-795143438,ToOguVsc,40731799393
nokia,-78,2024-09-04 02-29-50,14475,119,40749096806,-689816326,ZlcdbMJd,40788165540
nokia,79,2024-09-04 02-30-00,-6677,1,40713544617,377749848,oZWzVtVV,40760008740
nokia,25,2024-09-04 02-29-07,-17684,107,40783807259,2062396966,YmLrDOyL,40796326172
nokia,82,2024-09-04 02-29-07,23060,-13,40732639787,1217487939,ytTPLupI,40750921638
nokia,-13,2024-09-04 02-27-00,-2422,11,40722456728,1631063117,CKhOtlVh,40769057769
nokia,33,2024-09-04 02-27-03,13154,21,40739287127,-1454677179,CyDUUdLw,40719108961
nokia,12,2024-09-04 02-27-53,-13827,125,40731903370,559163243,pLNgAckV,40728036744
nokia,-108,2024-09-04 02-29-14,-15388,101,40795194772,-146381013,PYdHgTJn,40780387386
nokia,44,2024-09-04 02-26-05,32417,-101,40757625582,-1496788284,uiNpMlzg,40768068093
nokia,117,2024-09-04 02-27-44,-31540,0,40789372667,152808223,vclFuiGQ,40791301753
nokia,125,2024-09-04 02-26-35,29820,118,40746967451,-341203886,MoXbUCrH,40773663548
nokia,115,2024-09-04 02-28-10,-1891,106,40745369774,-1943364272,aMtxFrBO,40734868429
nokia,-98,2024-09-04 02-26-31,-6885,-90,40705352829,1246586718,VoJkxTCM,40769020494
nokia,80,2024-09-04 02-28-35,-7809,-110,40796257496,-6104191,LgPZhqYM,40795155128
nokia,-113,2024-09-04 02-29-33,-25225,2,40769846527,2049318447,zxzQkuCB,40766585852
