src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-26,2024-09-04 02-33-32,32513,-125,40747209710,-299113633,KistJhFi,40736967972
nokia,115,2024-09-04 02-33-03,-31931,32,40792300631,1503089432,TuaoUCxg,40783541109
nokia,-34,2024-09-04 02-31-34,23888,-90,40706448482,-1206941468,YXmWGJUd,40730829845
nokia,95,2024-09-04 02-31-57,-18501,-89,40720400521,-463380398,UKiOyppl,40799666101
nokia,-67,2024-09-04 02-32-17,-11198,54,40792629140,-1285976164,MKNrPeHB,40713452638
nokia,-119,2024-09-04 02-33-17,-21800,-17,40769429819,-345542530,LbxdKHwu,40779307967
nokia,19,2024-09-04 02-34-18,28165,124,40772465836,-565616228,rsKLahFB,40765644156
nokia,-98,2024-09-04 02-30-25,-11675,-104,40700290294,-1697765958,uxFBizDU,40702232278
nokia,-13,2024-09-04 02-31-45,-16486,-58,40779448434,-1579806774,OtcLufyD,40710058720
nokia,-34,2024-09-04 02-30-59,-26969,-94,40769535833,1729519698,mlGPwoER,40787921594
nokia,-103,2024-09-04 02-30-24,-27318,94,40798870944,-368734993,vBNHmYFS,40715016348
nokia,-58,2024-09-04 02-34-39,27311,-54,40794518291,-932093975,UcrExPKL,40778048222
nokia,-55,2024-09-04 02-32-52,-31353,-123,40798238713,-1074104926,wCvMmjPl,40766416903
nokia,-40,2024-09-04 02-32-15,-17956,71,40754032428,-371392598,klWJrelt,40719335252
nokia,-127,2024-09-04 02-34-02,31821,80,40763815740,513213635,aYGWennP,40777667380
nokia,-30,2024-09-04 02-31-03,-2462,123,40739322984,-672320953,eVfUhDIV,40729224853
nokia,-100,2024-09-04 02-31-33,-29346,-46,40775904133,1354056791,RIFQjgTR,40774745021
nokia,-42,2024-09-04 02-31-46,-29940,19,40752420017,-1546770206,vVgfGzYa,40778670386
nokia,-8,2024-09-04 02-33-55,-30031,54,40771986064,-1750941265,YMrPvhEo,40794360791
nokia,-82,2024-09-04 02-33-10,29281,-83,40716910869,-1983851206,KUQFtpPf,40733151143
nokia,69,2024-09-04 02-31-06,-19770,-12,40717290810,1443692040,osQdZdZk,40708014736
nokia,-52,2024-09-04 02-31-58,-1603,-109,40771974488,1750400308,duxjGaSV,40799346182
nokia,46,2024-09-04 02-34-00,-12857,-121,40745171201,1636969083,cdgeAadn,40719747156
nokia,-14,2024-09-04 02-31-42,-32725,42,40716186395,1266337576,IaQsexCn,40728107730
nokia,101,2024-09-04 02-30-55,23284,-49,40709861095,573326838,iFGDOLMB,40761949650
nokia,-49,2024-09-04 02-31-05,3644,1,40797662306,550852499,YqOZLIcn,40714493934
nokia,121,2024-09-04 02-32-42,-20743,86,40785953538,-204932675,AVCsWKUG,40764766409
nokia,5,2024-09-04 02-34-18,14293,-46,40710290600,644420010,jNVWNgoo,40718085911
nokia,-10,2024-09-04 02-33-45,18442,79,40725202674,403276680,ZZQhgTnb,40789213016
nokia,-17,2024-09-04 02-31-43,29667,-71,40709890859,-112286283,KtKUGFsP,40759175343
nokia,-113,2024-09-04 02-34-55,-23935,97,40739257175,-1788202038,zjbrtYgX,40721427445
nokia,-24,2024-09-04 02-32-44,-28949,-5,40709855362,-1301454042,eOgHdaiG,40748741628
nokia,-122,2024-09-04 02-34-55,-30363,120,40737181173,-483319835,eOYbmjhZ,40797149579
nokia,56,2024-09-04 02-33-39,-4060,71,40756934657,-905512769,OWaahjwR,40783137887
