src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-63,2024-09-04 02-36-50,-1253,-121,40799110617,1315478905,xycGTUkf,40724212868
nokia,19,2024-09-04 02-36-26,-7867,98,40702893183,-1327383971,zWmoKrBP,40705214559
nokia,38,2024-09-04 02-35-11,9419,101,40762049512,1847595847,TovPqEsC,40712859550
nokia,11,2024-09-04 02-37-14,29307,-49,40727637078,1959563484,kOpYKWGZ,40772149574
nokia,-43,2024-09-04 02-38-23,-32514,-84,40708512692,-1884593931,sgCnYZwv,40716865115
nokia,25,2024-09-04 02-38-24,-23559,122,40786765829,942373590,xsFVQJVl,40770851119
nokia,-95,2024-09-04 02-37-36,28240,-71,40706629462,-1031048710,tTPRkEiP,40790804431
nokia,95,2024-09-04 02-36-30,-22132,26,40752314046,-1517159440,kzHuodnq,40721425554
nokia,14,2024-09-04 02-37-18,-10534,44,40798690031,2127552949,MVMjPCrO,40773184019
nokia,-126,2024-09-04 02-38-45,-7491,76,40748326647,1558572697,hQjzazFT,40752995075
nokia,109,2024-09-04 02-36-49,20205,-102,40755504802,267637913,YoHxzOfR,40717697904
nokia,-34,2024-09-04 02-36-25,-28279,110,40718441876,-1615258128,ZmnAvhbu,40789050467
nokia,39,2024-09-04 02-36-14,5537,-107,40713209386,1989915048,TcZHbVqq,40781245269
nokia,97,2024-09-04 02-35-02,21349,122,40795367791,-296786889,PpHeYXoA,40756847513
nokia,67,2024-09-04 02-37-36,16822,-127,40779707082,1193340859,CVGCfvZj,40766689516
nokia,-39,2024-09-04 02-37-13,23222,40,40769277771,-1178710488,GvDzpEFX,40732475372
nokia,-116,2024-09-04 02-39-10,13261,39,40764151165,1061068457,xjrXvXOL,40730159084
nokia,-76,2024-09-04 02-36-28,-17601,13,40764288135,-1482679178,qkFaqQzb,40762697468
nokia,104,2024-09-04 02-37-35,22314,32,40784319730,-2115465714,sFaKiYdh,40775768524
nokia,-100,2024-09-04 02-36-52,-6875,-54,40733864427,-1654435134,BvSkKMIL,40780624914
nokia,-27,2024-09-04 02-35-13,2738,-90,40767021483,112035247,DFHpqTze,40768699905
nokia,-112,2024-09-04 02-39-54,31494,-6,40774827959,1531545507,OwAIMkZw,40754148555
nokia,-20,2024-09-04 02-38-27,2275,-17,40798049740,522658681,bBAYgsxH,40795806686
nokia,-124,2024-09-04 02-37-00,-22356,90,40787066275,636421189,tZwtSjWv,40750447802
nokia,127,2024-09-04 02-39-48,-11475,-41,40781543944,331045595,LqVlsAPh,40736715419
nokia,-99,2024-09-04 02-37-46,-28843,-125,40790600048,1517037707,jQrwJtpj,40716600349
nokia,-35,2024-09-04 02-39-24,-32234,-114,40734875021,-29731569,bDWUmFVb,40715040171
nokia,-81,2024-09-04 02-35-27,-25197,116,40757064280,-1730594339,KFQPTATl,40777108717
nokia,-90,2024-09-04 02-38-31,-27039,-108,40772447738,418322959,FlSUmWqa,40708729811
nokia,88,2024-09-04 02-35-53,29837,118,40788085181,-1420725637,LmlEZKlb,40761362352
nokia,-45,2024-09-04 02-37-16,-2486,-22,40731285564,-1864485831,chsJWAZx,40710298846
nokia,-92,2024-09-04 02-37-04,16435,-103,40765814675,145339638,DZOLPPMC,40771659806
nokia,54,2024-09-04 02-39-12,-8062,-114,40763267625,-107732426,sPvfYewU,40773835281
nokia,73,2024-09-04 02-35-06,17005,125,40720914695,1584662304,MlxeyEmi,40774853312
nokia,59,2024-09-04 02-35-51,-7017,-82,40709810304,-584154576,sQyZQDLR,40744095412
nokia,51,2024-09-04 02-37-48,15255,57,40783532305,-1622297257,DeVvJlCm,40716934631
nokia,96,2024-09-04 02-38-07,-6729,119,40781328507,-1493830264,CUiEDtLW,40751813856
nokia,39,2024-09-04 02-37-01,-32121,-76,40795695347,-1430800571,kkickStS,40773212538
nokia,73,2024-09-04 02-38-53,-8686,-23,40704957696,-126011304,iByGTSRM,40763056205
nokia,-21,2024-09-04 02-38-16,-21349,-59,40707084569,-469785490,QgcSVtfm,40727506001
nokia,95,2024-09-04 02-35-19,-13368,-10,40768168853,-1170987772,RORNGINO,40705527259
nokia,-109,2024-09-04 02-37-44,7397,-88,40751699222,-1840153878,fgWfQDUg,40772613398
nokia,43,2024-09-04 02-36-54,25306,37,40770082245,-591005559,xQCKUEKH,40721655806
nokia,-113,2024-09-04 02-38-26,21446,34,40730604989,-111829006,OHLdBZhK,40701405455
nokia,122,2024-09-04 02-36-04,9143,-51,40784522760,-451053161,JjaCghaA,40700553538
nokia,40,2024-09-04 02-35-17,22858,101,40704127317,2043073897,jSNmRjIv,40764537665
nokia,-20,2024-09-04 02-37-48,-32298,52,40758516348,-2070089633,aDSKLMXS,40710620429
nokia,-81,2024-09-04 02-38-43,9845,123,40722350203,1958576165,NmEYmyca,40720832446
nokia,110,2024-09-04 02-39-31,-6837,-11,40773886884,711401908,KoaLARpU,40760491713
nokia,-116,2024-09-04 02-35-26,-8667,-63,40709702563,-352300346,kBGrVMDE,40702656127
nokia,-32,2024-09-04 02-37-16,-10808,12,40773419818,-1675762066,daRVVRwk,40703715319
nokia,-13,2024-09-04 02-36-23,7059,-48,40734932721,1266239058,hhyeVJKB,40708319661
nokia,64,2024-09-04 02-36-40,-18149,102,40769355919,765659799,ffqMeKlA,40775969780
nokia,-40,2024-09-04 02-37-11,-6270,-85,40773077198,2141852669,LqJGMIyJ,40783475546
nokia,39,2024-09-04 02-39-37,373,-13,40786485968,-146326371,daGilmLU,40789939846
nokia,-81,2024-09-04 02-37-49,-28028,14,40708888831,78636010,vOIOHMZM,40753023160
nokia,-124,2024-09-04 02-38-06,-21702,120,40733174103,-386759947,yLnjOXvW,40788934727
nokia,101,2024-09-04 02-39-51,-30564,115,40794420989,-1380878534,sRzXflLL,40773820880
nokia,38,2024-09-04 02-37-24,-11984,-113,40715686207,-1985577136,DHZqQGhd,40735628863
nokia,53,2024-09-04 02-38-28,-19256,17,40781710996,-798253290,OOcbUBww,40700958642
nokia,107,2024-09-04 02-36-06,-19673,-43,40729458110,-1336744085,sueDFQJW,40709729894
nokia,81,2024-09-04 02-37-28,12974,9,40702503219,1836198263,RSWeQuqT,40798951383
nokia,-88,2024-09-04 02-36-56,-18490,-5,40740200183,454739244,lakWwXYI,40797682448
nokia,-121,2024-09-04 02-36-09,-5339,71,40785756502,2127168247,nNVufIae,40710487129
nokia,-127,2024-09-04 02-36-15,20365,95,40727806863,2080742857,zSkuYVTk,40759181904
nokia,-13,2024-09-04 02-36-56,-31500,-89,40704275965,-90296714,yCqanLpz,40761612127
nokia,-96,2024-09-04 02-38-59,-12649,29,40717406882,1903385006,XRTQLDsy,40736110929
nokia,26,2024-09-04 02-36-03,-29074,114,40791746381,-807804718,CROuoBOO,40709349396
nokia,-41,2024-09-04 02-36-04,26809,-103,40754355674,146145930,acWrbiXA,40744038505
nokia,-48,2024-09-04 02-38-42,25949,112,40791515535,-1796296321,hMDJzLSo,40727081827
nokia,-26,2024-09-04 02-37-01,-30711,-120,40717915809,1982912285,FKvxuBYl,40704379241
nokia,112,2024-09-04 02-37-00,1055,-39,40799645477,435305651,kMLMYxzH,40741845705
nokia,53,2024-09-04 02-36-43,28259,-52,40722953807,1420808457,ULgHouYa,40789650795
nokia,-41,2024-09-04 02-37-01,20185,-51,40765446950,-994405566,osTfNvJm,40750318893
nokia,-21,2024-09-04 02-39-31,26949,80,40772372218,1520817247,ZsusIydD,40792726831
nokia,-11,2024-09-04 02-37-41,17016,48,40705176521,846103698,ddCdkKUu,40759838305
nokia,-10,2024-09-04 02-38-37,-24405,99,40765150278,1688604151,hfpakrxw,40742054470
nokia,-84,2024-09-04 02-35-26,15442,0,40714802251,-642039367,quudPepL,40750920768
nokia,-91,2024-09-04 02-37-34,23381,-19,40752907495,1414248415,AMhDZagJ,40724941015
nokia,-84,2024-09-04 02-35-58,-1491,48,40725252814,-764821010,BrCeWdAJ,40710039406
nokia,-1,2024-09-04 02-39-39,15844,-102,40706872298,1112520051,uTXbycmp,40725766874
nokia,66,2024-09-04 02-38-03,8330,-115,40789828649,-56755678,GYQMDCkL,40773123113
nokia,95,2024-09-04 02-35-59,31926,-69,40717065479,-1801017406,wbRBlUjE,40790574863
nokia,-28,2024-09-04 02-36-32,-21533,-56,40740547476,1300041602,LALdultZ,40745575234
nokia,-13,2024-09-04 02-38-53,7892,-105,40772516789,-11160713,rqxPrmwT,40711264211
nokia,92,2024-09-04 02-35-30,-14677,-95,40750532027,1762776804,WxpXXXrg,40715147642
nokia,96,2024-09-04 02-39-44,-8926,127,40751062991,-153879498,FOJkKHyU,40715225032
nokia,-119,2024-09-04 02-37-57,18399,85,40736392030,-1370240412,NmfvulLK,40771534089
nokia,-82,2024-09-04 02-36-09,-3003,-11,40763814439,-1996356074,MtapHBLR,40733684121
nokia,-30,2024-09-04 02-35-56,25550,-20,40746138720,-501121590,JpIZmjsM,40716515827
nokia,103,2024-09-04 02-37-11,21159,69,40749303538,838120785,FpslQLbH,40702049068
nokia,-2,2024-09-04 02-38-26,-2915,-22,40740531092,-1020259869,hjOojbPD,40707605389
nokia,-30,2024-09-04 02-37-37,-13281,-126,40790085825,964932583,VXLjTvRQ,40717221597
nokia,121,2024-09-04 02-38-04,-10749,36,40788350463,1756491813,VqAQyqFU,40780473584
nokia,-14,2024-09-04 02-38-35,13705,-56,40758807128,461110491,wwXLecAI,40770258868
nokia,-126,2024-09-04 02-36-08,27418,-21,40776721798,1700643544,yCegtfCO,40770158375
nokia,-15,2024-09-04 02-39-15,-22653,6,40779035033,-1322452875,kEIkifcr,40724642386
nokia,-87,2024-09-04 02-39-02,-15313,-15,40759509908,-2037760614,aJLWSNEY,40739199223
nokia,100,2024-09-04 02-36-54,15406,54,40780418307,-1704876501,hTBWNVbU,40744047138
nokia,41,2024-09-04 02-38-42,29490,-109,40717973061,2075264224,tOQdKdXR,40711324097
nokia,-61,2024-09-04 02-35-35,31100,118,40732231205,1761338024,BTBZUTqk,40756829723
nokia,-63,2024-09-04 02-37-51,8094,-88,40795832006,-248346317,WjMmBInN,40747661605
nokia,45,2024-09-04 02-38-33,28062,-87,40757028563,-423920977,xLmNeYDS,40738869082
nokia,-17,2024-09-04 02-35-50,-18073,121,40797227960,-2138305848,hEvwsBAX,40725775727
nokia,72,2024-09-04 02-36-27,19675,68,40751834633,-1415001479,aITPWVtY,40704792001
nokia,-42,2024-09-04 02-36-29,25781,53,40770446274,-217599911,KXZbakoA,40707291553
nokia,19,2024-09-04 02-37-19,-25942,-89,40732573372,1263887666,AvBhmYjs,40722189092
nokia,-32,2024-09-04 02-38-00,-10656,-72,40736162274,742738193,ifLPdVio,40722565489
nokia,-22,2024-09-04 02-35-38,22531,1,40776210315,-1536365735,TKwjperv,40749857634
nokia,93,2024-09-04 02-37-33,17472,-66,40770361322,-856930196,CycepldU,40705597018
nokia,-25,2024-09-04 02-37-38,-11479,-91,40716619609,-1877127501,eCJmbdrV,40746942787
nokia,-119,2024-09-04 02-37-46,11603,-46,40795366413,1097278352,KhxolvMS,40795472198
nokia,25,2024-09-04 02-35-30,30369,35,40791689206,-745837024,rSvLLdBM,40775618300
nokia,86,2024-09-04 02-38-46,32074,59,40714138920,1236616785,zKPLUDwS,40765323990
nokia,-124,2024-09-04 02-38-19,-17524,124,40708017421,455056113,sBFflqOO,40750521637
nokia,-70,2024-09-04 02-35-37,-12242,1,40718048378,1450166082,mWklwPWy,40793291928
nokia,29,2024-09-04 02-37-51,-12906,121,40763920413,-1372982740,gJARiizC,40731587391
nokia,65,2024-09-04 02-38-11,27110,86,40746983262,-1102798457,qdDPeDXb,40785005812
nokia,71,2024-09-04 02-38-51,-25763,-69,40778382177,403471863,DBKlJRtB,40756738969
nokia,15,2024-09-04 02-35-22,239,-106,40770213946,-853574409,HudczQmq,40767531214
nokia,-10,2024-09-04 02-35-31,-16545,-54,40732835113,-663651991,hHouKixm,40706342266
nokia,-61,2024-09-04 02-35-36,23171,-82,40759944409,280848281,OkFMNgCM,40708707827
nokia,-83,2024-09-04 02-36-47,-106,-85,40706239963,2116195074,FUjsFeZt,40707212367
