src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,45,2024-09-04 02-44-22,-25764,110,40778021856,-136411975,DCnHogac,40747666741
nokia,73,2024-09-04 02-44-01,9375,102,40740117585,-906637764,BojCHhoP,40750158389
nokia,-126,2024-09-04 02-41-51,-24192,-50,40705209889,1860700781,UccrFWgv,40730284221
nokia,-106,2024-09-04 02-43-33,12864,-31,40759030702,1024331948,RdguqMbg,40754611340
nokia,-32,2024-09-04 02-41-55,-12224,-70,40785535086,237841036,JcjmUkaw,40752885000
nokia,103,2024-09-04 02-44-13,-16411,70,40723776880,1237877555,qVuYHuGn,40786354615
nokia,-62,2024-09-04 02-42-12,-10145,26,40757498212,-1019466623,qmXCxpHi,40707663501
nokia,-78,2024-09-04 02-42-06,-9911,15,40728882458,1071933293,ZFopCKPC,40711992147
nokia,81,2024-09-04 02-42-25,23440,112,40778616622,568349335,YgLqRaRx,40792986196
nokia,80,2024-09-04 02-44-59,-17372,32,40735103428,-1803602712,eLMxPAvy,40759897145
nokia,4,2024-09-04 02-44-35,32175,-37,40725803961,-516705590,FuUhoKPJ,40712273761
nokia,88,2024-09-04 02-42-44,-14685,14,40734642828,1277859459,CrKRNWCP,40719772111
nokia,-54,2024-09-04 02-43-15,-13370,-79,40763778933,-1590074993,HdRSvBlm,40758034531
nokia,31,2024-09-04 02-42-16,-20683,79,40752581684,-1503779625,DDXNJXJr,40761710665
nokia,-25,2024-09-04 02-42-13,5691,111,40771084840,-791827042,czWixYUw,40759242263
nokia,-29,2024-09-04 02-42-03,-9347,24,40760843566,1145176833,jbCmauCR,40749388463
nokia,95,2024-09-04 02-44-20,-21758,-103,40705164940,-2126904983,CoMUZEhg,40700841794
nokia,-28,2024-09-04 02-44-11,8176,-16,40765795219,-641582018,yNwTedUb,40726640216
nokia,-12,2024-09-04 02-44-23,6062,-11,40794300316,-1252281303,ZDJbiDXU,40797540004
nokia,90,2024-09-04 02-42-14,-5969,86,40778082739,1892501884,cunUfGuo,40756297074
nokia,58,2024-09-04 02-44-34,-17803,93,40708740369,2118270975,SKOHqYkF,40727857180
nokia,-127,2024-09-04 02-43-57,11877,-32,40703952452,911940785,tgALLBer,40718260280
nokia,-2,2024-09-04 02-40-16,28246,19,40725323318,-692463511,SYvzGimc,40731559200
nokia,69,2024-09-04 02-40-38,-28502,77,40797138777,-468927893,ZOVZdqvg,40742877565
nokia,91,2024-09-04 02-41-59,-16029,-114,40715111865,-197211843,QDXbweww,40713108800
nokia,-93,2024-09-04 02-44-42,-17090,1,40792438941,1073241192,JORXuHLy,40722321815
nokia,75,2024-09-04 02-44-37,-9109,-100,40761583131,-196834656,NfkdSshS,40722880394
nokia,-78,2024-09-04 02-44-52,24067,101,40716008942,-447780219,XCnKHwAw,40728398803
nokia,-30,2024-09-04 02-41-30,20252,-98,40709797846,-1289386801,PfBOdTSu,40751111196
nokia,93,2024-09-04 02-43-49,13821,95,40774137590,-1598227298,UEbEtDGC,40763072571
nokia,-29,2024-09-04 02-43-35,-16283,5,40777337937,-771512033,KJoZXsVc,40769968484
nokia,-22,2024-09-04 02-44-47,1526,94,40764445038,-1082045806,gmZfJbtb,40721275363
nokia,-68,2024-09-04 02-40-45,-29147,0,40778075899,1230723455,URNqWApd,40759158263
nokia,47,2024-09-04 02-44-01,18613,-107,40709475703,1315661876,zwRrAlHv,40737768507
nokia,8,2024-09-04 02-43-50,25879,87,40712102720,804353442,WxJFCzLG,40755807184
nokia,113,2024-09-04 02-42-47,-16496,63,40751090260,737676758,RRFvuDNe,40743941117
nokia,59,2024-09-04 02-40-42,-27069,-27,40742062717,-841671110,uRReNceR,40723110410
nokia,-50,2024-09-04 02-42-31,25231,-84,40707101354,-1487693032,NejTZLjn,40771673599
nokia,-121,2024-09-04 02-42-19,6378,-31,40789067771,-34782003,tGUJZbsT,40711360464
nokia,110,2024-09-04 02-43-57,-15915,109,40773463093,1533262328,XYssfIMh,40715048376
nokia,94,2024-09-04 02-42-47,8711,46,40716171056,-742112513,ZUFMcdDp,40762011963
nokia,-54,2024-09-04 02-43-46,-14890,22,40791569692,-1624512324,JVDJhTKL,40793486646
nokia,63,2024-09-04 02-43-38,-10536,0,40765854619,-262649698,XyhQlzeb,40771884172
nokia,-20,2024-09-04 02-41-16,-19767,66,40758705649,-2013944873,fnSNNGmN,40756803267
nokia,-77,2024-09-04 02-42-20,-773,87,40755541581,-19847807,HaMmnIOH,40787740348
nokia,22,2024-09-04 02-40-07,14364,29,40702146630,418628667,NQnSWPNl,40777949678
nokia,-23,2024-09-04 02-41-31,-29656,-112,40740377627,1199354272,ovKHawQC,40744937388
nokia,85,2024-09-04 02-43-56,-11208,107,40789769286,-1696291979,PaYLCjlJ,40708499739
nokia,97,2024-09-04 02-41-40,6416,-115,40722506002,904577774,SaaGPyUo,40711194446
nokia,45,2024-09-04 02-44-02,11810,-76,40737958192,-1457314271,VjyoVRtV,40716118147
nokia,-66,2024-09-04 02-44-34,23902,122,40712183058,1776769186,OHOCbCNX,40748620186
nokia,91,2024-09-04 02-41-15,8663,-52,40739166761,1850527358,IYMkiCGZ,40792297142
nokia,54,2024-09-04 02-41-45,10311,-11,40758244422,-1708976808,ORbSbPJU,40789446178
nokia,44,2024-09-04 02-42-09,25454,29,40714996022,899738311,uQZNPbGc,40750898776
nokia,-107,2024-09-04 02-42-28,-5251,120,40745273898,-1303424502,JCqcuDVO,40796217635
nokia,1,2024-09-04 02-41-52,32651,-70,40760299711,-622411715,kFYeCQrP,40777189980
nokia,110,2024-09-04 02-42-40,20033,95,40740554952,1715679923,dxAjxZil,40703211471
nokia,95,2024-09-04 02-44-07,26208,-21,40742999602,1036393523,KxarSYJw,40794526044
nokia,-57,2024-09-04 02-43-43,-1423,-35,40725450259,705604972,qFDtWWSE,40794086487
nokia,-77,2024-09-04 02-42-16,-4126,-76,40747601287,-816195314,SzqDXabm,40760760943
nokia,123,2024-09-04 02-40-35,-15853,126,40750278185,1804932867,tQTqZhhI,40723090271
nokia,-32,2024-09-04 02-43-07,31217,40,40739560667,-1652471639,yEIWQuDf,40741490905
nokia,-34,2024-09-04 02-43-11,-1384,-123,40712928012,665482290,mnXaSmyo,40712492974
nokia,45,2024-09-04 02-44-20,-5217,-28,40751238388,-1007731675,NJHUBpmB,40759722533
nokia,-64,2024-09-04 02-43-35,30102,-112,40781221710,1022808593,jYmgprrN,40701383693
nokia,-97,2024-09-04 02-44-50,23240,-8,40735706245,-203305399,UaTeIuDx,40738552813
nokia,-81,2024-09-04 02-43-23,2747,59,40778366235,-532189302,sERYswRk,40710138396
nokia,-68,2024-09-04 02-41-38,15119,-75,40701202842,-412090088,erueBHCC,40774793533
nokia,9,2024-09-04 02-40-36,25162,-123,40799179768,-399164577,yYDBulia,40707887902
nokia,92,2024-09-04 02-41-55,7002,20,40786598015,383746361,HQzCXsvt,40709615929
nokia,112,2024-09-04 02-44-26,-6355,29,40777343355,351514049,pUOTJirg,40757894248
nokia,114,2024-09-04 02-44-35,-26243,75,40707372901,1364479671,OhhUuEgs,40789371110
nokia,-32,2024-09-04 02-44-09,20525,103,40784354445,1483580354,sXsyihdY,40723533091
nokia,88,2024-09-04 02-43-21,-11195,-27,40761320115,368887958,jwWwkZFh,40744750032
nokia,117,2024-09-04 02-40-34,-16956,-122,40794502411,-1975631684,gMxrcHFT,40709606036
nokia,42,2024-09-04 02-43-47,4588,-103,40755132676,-2146354314,XiuaMOfm,40728687159
nokia,60,2024-09-04 02-43-14,20118,-106,40707137000,1869155903,ruytgoYt,40785936189
nokia,-66,2024-09-04 02-43-55,25100,-107,40703947513,-2115730855,NIWQEupN,40748283264
nokia,-109,2024-09-04 02-43-45,-29634,-14,40713224413,1648193578,WcCYuSNx,40766708445
nokia,-38,2024-09-04 02-43-10,-9449,-93,40718980819,1955220289,pMKMJcZo,40752841461
nokia,60,2024-09-04 02-41-37,-11277,-47,40724449997,-499681180,dpKNAVJo,40704723935
nokia,-101,2024-09-04 02-42-47,25150,111,40795671207,-1080032331,iqFokxuN,40737663248
nokia,92,2024-09-04 02-44-28,6424,-118,40702433085,-1375200235,RUzShtSw,40775939404
nokia,101,2024-09-04 02-44-11,31764,61,40798423277,-1777534379,disVuglG,40734018386
nokia,-91,2024-09-04 02-43-57,5410,-32,40798663661,-1018952628,AEEhgamO,40768513955
nokia,-1,2024-09-04 02-41-24,-958,-98,40795032717,-515078305,UJDDjzpV,40765175179
nokia,-97,2024-09-04 02-40-33,-1996,81,40718572440,-1131398231,eDghGSYg,40753406109
nokia,-78,2024-09-04 02-43-45,18407,83,40758821126,-477330115,YRIjGgmJ,40759175263
nokia,41,2024-09-04 02-40-30,-25902,-121,40741479048,1950085122,ZohwRcEQ,40772935273
nokia,46,2024-09-04 02-42-22,12651,-12,40708983407,1718422495,kOZqMuZs,40791948416
nokia,-125,2024-09-04 02-40-05,-22118,-7,40713018656,-348406509,OmgozsAq,40796531669
nokia,-116,2024-09-04 02-42-23,-5705,7,40729274354,-1502083785,APaxMlyz,40791974512
nokia,98,2024-09-04 02-44-08,-18480,-118,40792247519,-2038843599,ijFtNUOx,40789292762
nokia,-37,2024-09-04 02-43-09,-739,72,40753992361,-1995364088,EDvulBoW,40724442907
nokia,66,2024-09-04 02-44-40,-351,21,40795984425,-40285298,qRWblPLx,40797675200
nokia,-38,2024-09-04 02-40-30,9490,-88,40706034170,1355672504,OEIIyGTU,40797381492
nokia,85,2024-09-04 02-44-13,-27166,79,40741271226,405607573,hywLOdrc,40706721710
nokia,85,2024-09-04 02-41-17,22928,39,40756752008,-725630451,wBQXDbHS,40730943528
nokia,-82,2024-09-04 02-42-06,-3529,111,40787926537,196935509,iDtglhnj,40729789253
nokia,113,2024-09-04 02-40-24,-14474,-103,40704729405,76871574,VcguXLha,40710912237
nokia,30,2024-09-04 02-43-30,-4879,66,40789813873,457048716,uDlxzElQ,40769567175
nokia,-28,2024-09-04 02-41-51,-31429,57,40795742662,1375964900,ARNseGNW,40795547421
nokia,-23,2024-09-04 02-40-50,-9832,17,40728439225,-663367541,HXIbwdEV,40771719783
nokia,-111,2024-09-04 02-43-42,-30473,-1,40758343377,76832501,dkGQEdpb,40742318865
nokia,-85,2024-09-04 02-40-35,20312,-37,40740663409,389249043,ifiPYbdl,40772038774
nokia,-106,2024-09-04 02-42-42,-9423,-58,40739436077,-477602544,GeCThtFU,40705220919
nokia,65,2024-09-04 02-43-49,-17945,-30,40711363373,1421302853,watXThOr,40732480490
nokia,59,2024-09-04 02-41-43,-2027,81,40712324630,1331436672,ClYbUBRp,40793187559
