src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,92,2024-09-04 02-56-15,-3591,18,40727230717,-94703539,GeBPYuLK,40744004761
nokia,-45,2024-09-04 02-59-06,-30618,30,40748905600,1204628075,LrEmTlYQ,40720114987
nokia,-68,2024-09-04 02-56-07,-4899,120,40739291347,-1699057092,paEksKMB,40761628873
nokia,24,2024-09-04 02-59-13,-17834,116,40799579999,-1736063658,HKmXOsnV,40704451026
nokia,-37,2024-09-04 02-55-36,-20917,-118,40791419474,267889610,rZwzvoKQ,40727620728
nokia,-52,2024-09-04 02-58-57,9959,-73,40711097108,-1706370528,wFOoPwDx,40702208204
nokia,-49,2024-09-04 02-59-30,-11312,2,40708033295,1394621495,dxRpTjxZ,40707636635
nokia,33,2024-09-04 02-59-57,7585,69,40704378707,-660708235,IFRtjxOx,40769493888
nokia,-8,2024-09-04 02-59-35,-5481,36,40737516482,-1068253021,TNGbkowE,40748148289
nokia,-22,2024-09-04 02-58-23,-26811,10,40746119673,-794387185,ebTxbstu,40763508551
nokia,117,2024-09-04 02-55-21,-6737,-63,40717219813,-173882363,tygKBapq,40706833296
nokia,-75,2024-09-04 02-56-49,-5298,13,40759116276,-2119223967,xkBuXlUt,40764333676
nokia,-122,2024-09-04 02-57-18,-12499,-114,40766041038,1465099677,KVTqpBpL,40716818695
nokia,110,2024-09-04 02-55-52,-13834,-20,40753574610,-1540623386,uRWHlhcR,40709138218
nokia,-64,2024-09-04 02-59-13,11107,-29,40754477840,-711063451,YYIcmmDg,40769620224
nokia,60,2024-09-04 02-58-50,30146,123,40715771877,1923938137,ewwdhXlD,40765828710
nokia,-59,2024-09-04 03-00-00,30427,-92,40726185863,2065694631,nXJLIxmP,40798158437
nokia,82,2024-09-04 02-58-49,-4105,-67,40723494610,-417594538,PHrjrEPv,40767023113
nokia,-45,2024-09-04 02-57-21,28304,-62,40767683964,-1165493668,WgcmZJXz,40779657756
nokia,90,2024-09-04 02-57-53,-16948,-27,40737759681,-2141197542,RkMVaSIA,40736807678
nokia,-77,2024-09-04 02-57-42,-14866,-7,40795960860,-166623562,vzJFOmOO,40700172136
nokia,29,2024-09-04 02-58-54,20783,1,40733209261,1220965371,StwZwDfs,40727183488
nokia,48,2024-09-04 02-57-10,14303,22,40778486978,1179910262,jLjGtVtc,40742227123
nokia,-83,2024-09-04 02-59-08,-4947,89,40787049585,1056360064,JQzZrHJV,40731114420
nokia,102,2024-09-04 02-58-54,-22825,22,40786429255,1068474187,LPooQUQP,40711133556
nokia,-76,2024-09-04 02-56-50,22067,54,40712744515,1587551179,KoiHXMru,40704575857
nokia,-44,2024-09-04 02-57-50,-5597,28,40726508303,-892542389,DnsYSpUP,40787907686
nokia,81,2024-09-04 02-57-18,-15625,-36,40794377153,-2056877872,vAJxjNKy,40711776937
nokia,3,2024-09-04 02-57-20,-13381,6,40771576038,-1559767662,ovnJsonB,40785861428
nokia,21,2024-09-04 02-56-47,-17519,-97,40795894182,-560034448,jMhLupiI,40798814936
nokia,-65,2024-09-04 02-59-27,-12771,51,40734683613,-1298808608,MUVoWmri,40798074097
