src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-42,2024-09-04 03-17-16,31336,51,40728292288,-1252407659,TDlvhzbO,40799141895
nokia,-14,2024-09-04 03-18-18,-14616,-30,40721504075,515557636,kBGuvvVV,40729989337
nokia,29,2024-09-04 03-17-32,-31532,104,40753287471,-1358484869,tYfCdTJD,40769997994
nokia,-91,2024-09-04 03-15-08,-16845,45,40707803238,-582148518,RnUPdqaD,40707972210
nokia,32,2024-09-04 03-15-43,-12015,-117,40781012375,-1324333324,vAFHlptD,40718056963
nokia,0,2024-09-04 03-17-33,-14726,91,40787276258,453373547,RoTEtxho,40794577804
nokia,-117,2024-09-04 03-18-36,-7589,105,40714196057,923326828,dZjEpjgd,40770383702
nokia,79,2024-09-04 03-15-53,12767,24,40758898037,174955025,qZFHLPDt,40736936877
nokia,-9,2024-09-04 03-17-32,4126,-63,40774715488,1163363032,aggwByVV,40726500000
nokia,16,2024-09-04 03-19-10,-23185,-29,40737804704,540559117,kDhVlqED,40772538238
nokia,20,2024-09-04 03-20-02,-7167,48,40778141804,-1380133124,TiCYzOlV,40764239162
nokia,122,2024-09-04 03-16-16,24570,-33,40795292264,791402459,kFHIoGRM,40780779636
nokia,-14,2024-09-04 03-15-09,-32588,-58,40717174171,1090033908,vaEqDpXp,40795249524
nokia,-47,2024-09-04 03-15-57,18565,-17,40742156056,876324902,XCkEwrYo,40768820273
nokia,43,2024-09-04 03-16-02,24768,-104,40788156801,244688685,wtDJDQIN,40772344267
nokia,111,2024-09-04 03-19-01,-19489,10,40779984376,-2140864037,fzeRrzMH,40728343564
nokia,-82,2024-09-04 03-16-58,-16721,-6,40755242533,-1570803643,eCGOTAjT,40784912416
nokia,-123,2024-09-04 03-16-54,-1278,41,40707531143,-909285213,YTBMyHfY,40773338724
nokia,30,2024-09-04 03-19-18,-8337,20,40781190204,133930150,CoTCJCas,40768824147
nokia,79,2024-09-04 03-17-11,25102,-72,40755219763,1668173898,nGTmDJMx,40781392123
nokia,-18,2024-09-04 03-19-54,-6219,-89,40708191368,449402187,nKdcHXoi,40727494981
nokia,65,2024-09-04 03-15-12,16370,16,40727396857,-226851235,FaISvNUS,40781499427
nokia,115,2024-09-04 03-17-10,-12094,127,40735527216,1031596494,xXKMwTUq,40792339478
nokia,50,2024-09-04 03-16-59,32482,127,40786585730,217642773,SUnbxrSm,40720662771
nokia,83,2024-09-04 03-16-52,10228,-125,40775735060,-564836775,yshlRRRc,40753413525
nokia,23,2024-09-04 03-16-16,29419,23,40727797210,1743714241,JenfQyFi,40783764538
nokia,-20,2024-09-04 03-18-24,16060,27,40737672070,1091710558,meBxuGJr,40783095048
nokia,-13,2024-09-04 03-15-56,13337,0,40766618164,-205109709,mteEazmu,40740678254
nokia,39,2024-09-04 03-15-43,2975,-45,40717899053,1846930691,ShXqQDAc,40722582041
nokia,-85,2024-09-04 03-18-23,-9171,15,40791204790,-1415982681,iEevcxhj,40706039102
nokia,64,2024-09-04 03-16-07,2123,86,40764830605,-973679512,mbELbVrD,40797987611
nokia,-72,2024-09-04 03-19-11,-23551,-78,40763482826,-675727717,oXygfTHU,40704606415
nokia,62,2024-09-04 03-18-05,-3875,-57,40758120909,-1638146682,BRVPkAUt,40758163653
nokia,98,2024-09-04 03-20-02,22648,60,40743739016,-1057810005,gPmHzhGt,40774791225
nokia,96,2024-09-04 03-17-17,-11545,64,40732522226,1761135584,WqppouPG,40755788310
nokia,86,2024-09-04 03-17-51,-8584,82,40715685000,1917450762,dEcuoVDF,40703876377
nokia,104,2024-09-04 03-18-32,27699,-106,40737796013,653720215,BZMmBrDa,40773062037
nokia,-84,2024-09-04 03-19-38,3078,40,40714515853,1408169695,UDdfKsVn,40746013631
nokia,94,2024-09-04 03-18-24,15167,-30,40736683645,488887090,QaPzozZQ,40714512254
nokia,-105,2024-09-04 03-16-47,-29396,121,40735773391,769630193,OGwpDiZA,40774045804
nokia,-26,2024-09-04 03-16-42,27326,57,40771602601,801644851,NIJEpAmp,40712733337
nokia,-108,2024-09-04 03-15-51,-31347,117,40776681647,-1114908908,EbEQeyKZ,40769217403
nokia,17,2024-09-04 03-17-08,8067,-6,40709972287,-975417873,OJnaerny,40757206397
nokia,-78,2024-09-04 03-15-43,-3279,99,40719309587,1934779102,MZBRwRvJ,40785053429
nokia,-94,2024-09-04 03-15-05,-25839,48,40719808106,-515916672,GHVUWkao,40786000559
nokia,-91,2024-09-04 03-16-54,-31332,4,40735055662,1644385932,CWKFeXKx,40721281304
nokia,112,2024-09-04 03-18-15,22909,-38,40730210789,1283584840,wboKqoXv,40778018758
nokia,-75,2024-09-04 03-19-07,21145,-6,40785258694,-33033204,LVqgArxx,40772857295
nokia,86,2024-09-04 03-18-09,-11343,-77,40797922393,892573402,NibGigss,40792906394
nokia,115,2024-09-04 03-15-59,3272,-10,40786435107,1659722575,veDAeNwy,40718408296
nokia,10,2024-09-04 03-17-14,-7329,-61,40761493794,-227519580,gMLZmeAT,40782210374
nokia,68,2024-09-04 03-15-42,-3350,-14,40778110969,1969874049,PNbLNXTZ,40791685956
nokia,33,2024-09-04 03-19-25,12469,-17,40712531371,-521505830,YuJKeKgP,40712090392
nokia,72,2024-09-04 03-15-40,-8259,-37,40735300648,952794631,CVCmJuSa,40750638998
nokia,112,2024-09-04 03-18-28,-13117,-125,40782640785,-973308056,wdySGDHj,40715413105
nokia,-119,2024-09-04 03-16-43,-28529,-79,40778777278,-803295753,TnQnNref,40747262676
nokia,67,2024-09-04 03-18-37,22783,95,40749401091,-828582898,NQFAXnEr,40792291491
nokia,-15,2024-09-04 03-18-03,1199,-46,40706828035,210616527,LuhVqJgh,40786391375
nokia,-82,2024-09-04 03-18-13,-9973,109,40708203101,-1233361603,ZcdxWshk,40790173829
nokia,-57,2024-09-04 03-19-10,8259,62,40714338481,-1868652838,dcFoQlQl,40754002384
nokia,63,2024-09-04 03-17-25,31284,-16,40718447939,-270789117,FAIoUxez,40782528591
nokia,-76,2024-09-04 03-19-36,-21874,114,40740213846,683607537,aElCtpeR,40794830006
nokia,-86,2024-09-04 03-18-39,13857,-87,40707415941,-602805018,UVfelKlV,40726787642
nokia,-32,2024-09-04 03-18-30,-1252,96,40701502189,-54565933,zFDpRSOI,40760154780
nokia,-59,2024-09-04 03-15-23,-1032,91,40778775640,-1303276053,SqoOYWMD,40762015593
nokia,21,2024-09-04 03-15-58,12460,103,40777081367,-1011775468,NEBlmVWK,40778673066
nokia,-32,2024-09-04 03-19-13,30968,-14,40719918041,-891948325,BZpdCuWh,40785637313
nokia,-48,2024-09-04 03-15-27,8124,93,40789356669,-657418043,QcxIBNaE,40798453794
nokia,-67,2024-09-04 03-18-26,-9892,-38,40786062166,-1136439196,SkVaxspm,40790827177
nokia,57,2024-09-04 03-16-43,-20458,-36,40711803118,-1375182292,MoxOzODG,40746028004
nokia,122,2024-09-04 03-16-02,28488,113,40705618996,1008366642,BXvjOUaQ,40791358146
nokia,31,2024-09-04 03-17-52,24470,-18,40747274874,1296631537,NyMktCXJ,40738766737
nokia,-3,2024-09-04 03-19-40,8732,50,40798632330,677368093,uHXZYUes,40705019350
nokia,29,2024-09-04 03-17-22,6116,-106,40774512431,2100623129,dAozYsqR,40788819583
nokia,78,2024-09-04 03-15-46,3489,-86,40783544655,1627823928,xwaSBlZL,40713423337
nokia,-42,2024-09-04 03-16-47,-9211,81,40708507762,-1439221857,LbIzEABK,40727603688
nokia,78,2024-09-04 03-15-52,18840,-91,40798608912,572927026,IUffkybS,40734017317
