src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,37,2024-09-04 03-34-47,5616,41,40717369099,-949453218,BLCVCjtL,40704119128
nokia,89,2024-09-04 03-33-21,2842,-88,40755961586,869095686,rcOkcsDj,40777692259
nokia,-75,2024-09-04 03-30-59,21368,110,40728202277,1893399956,JcyLBBOs,40785158228
nokia,-10,2024-09-04 03-34-27,-5077,-115,40725786879,-2075956302,qyNEadce,40739225840
nokia,18,2024-09-04 03-34-33,5753,-128,40722161548,1406348367,nkdwGLDy,40797853600
nokia,-1,2024-09-04 03-34-34,-22179,106,40723871047,176382082,UlRrKGWF,40791015394
nokia,-116,2024-09-04 03-31-24,6825,-14,40793979466,819670750,BAUWtOWs,40766253942
nokia,-57,2024-09-04 03-33-26,-19777,-38,40744956362,-1275857433,GehRowvy,40734798194
nokia,-19,2024-09-04 03-34-44,-27767,12,40755831421,-487084543,sGIOMjOG,40724258426
nokia,98,2024-09-04 03-32-44,1858,-10,40732318836,-1110547582,blUMrAxd,40722978346
nokia,108,2024-09-04 03-33-55,-14769,36,40726330652,-1477526339,IPhtpJmS,40786087195
nokia,-79,2024-09-04 03-31-16,-17146,81,40770029218,2096867353,OyfQgUTr,40782755197
nokia,-28,2024-09-04 03-32-11,22940,-70,40717817817,-1324161693,SqpLEFpk,40791675225
nokia,38,2024-09-04 03-31-32,-2189,121,40747066486,1332251484,YMSzdENW,40709731610
nokia,-96,2024-09-04 03-33-02,-20054,-31,40765509603,-157571341,vwcNPJWe,40769773686
nokia,31,2024-09-04 03-31-20,-2513,9,40706487652,483478847,SnESUAQN,40721514511
nokia,38,2024-09-04 03-34-12,2496,0,40785965104,-1383731331,igJOACHD,40799739940
nokia,-113,2024-09-04 03-33-42,-29253,-2,40700996042,-956375079,zZhSZaqE,40715887838
nokia,-99,2024-09-04 03-34-27,31034,38,40773118661,1873409421,RbXRgkOR,40790979041
nokia,-88,2024-09-04 03-30-45,7722,-49,40723881809,-1805729005,kWyuivZC,40713504391
nokia,-127,2024-09-04 03-33-01,-6803,35,40796661712,1642319439,fsmrfqjE,40756059075
nokia,102,2024-09-04 03-34-51,-491,108,40787510187,1863474723,TOVpWZiM,40772249145
nokia,92,2024-09-04 03-33-47,4006,101,40764256938,-1294042598,HelEXqWu,40726238884
nokia,19,2024-09-04 03-32-23,-12695,103,40753249063,-50040125,beKpeTvA,40771038062
nokia,88,2024-09-04 03-32-44,11503,52,40772517102,-1503665127,aqKTImoX,40715927059
nokia,103,2024-09-04 03-33-56,31020,-116,40704476590,1678945570,cyTUVwCq,40773359789
nokia,-113,2024-09-04 03-34-39,17646,-105,40721393787,-1587012947,NlfCHGQz,40716793152
nokia,-110,2024-09-04 03-32-41,-19870,22,40745369705,618185126,IudyggAx,40740206192
nokia,9,2024-09-04 03-33-22,23726,-127,40797990298,-879118638,tZmXKgoy,40733687128
nokia,48,2024-09-04 03-33-57,4334,95,40784699732,1031163488,jTDeboxl,40738874885
nokia,115,2024-09-04 03-30-59,-8773,62,40798873893,-681984599,yBlzbQpN,40783517038
nokia,75,2024-09-04 03-30-47,7397,5,40712096290,1840674156,VFJBHGIP,40741330578
nokia,17,2024-09-04 03-34-27,-10064,-65,40794677826,-373471847,MLhPfRLU,40721679572
nokia,20,2024-09-04 03-33-01,29714,74,40741703068,936491471,lwFbSMNV,40761924827
nokia,-38,2024-09-04 03-33-33,30036,13,40718690315,-1618044202,DqvFgimQ,40798334075
nokia,-123,2024-09-04 03-33-03,-25867,-125,40728136854,1726132664,WWJYQsHd,40700276224
nokia,-110,2024-09-04 03-31-00,-14867,-4,40752779686,2095639656,ztzGApJq,40708076665
nokia,15,2024-09-04 03-30-54,-1777,-105,40705917794,1107893917,AkpGTlgq,40768445993
nokia,48,2024-09-04 03-33-59,756,104,40737441319,-1292464090,NJJnuNgN,40758799474
nokia,18,2024-09-04 03-31-57,18072,93,40732105865,800886454,vDhaFZiv,40728347276
nokia,-5,2024-09-04 03-34-57,3720,53,40781431094,-2083040107,JUkVGymn,40754437874
nokia,-22,2024-09-04 03-32-03,-17592,-42,40743362579,779283468,sXEhYInU,40732378047
nokia,-73,2024-09-04 03-30-56,31053,65,40713068735,623054050,yQyxYiKC,40701180925
nokia,-96,2024-09-04 03-34-43,32022,43,40775718327,822520459,vWbQFalO,40781857939
nokia,-28,2024-09-04 03-33-46,-19664,40,40723769411,658854526,YrSObudR,40740433605
nokia,-53,2024-09-04 03-33-19,6192,-125,40779751642,-1847680681,GCsKyrvm,40777330221
nokia,-92,2024-09-04 03-33-11,-21734,-101,40753747139,-1026922023,mClzINee,40775980604
nokia,16,2024-09-04 03-31-41,28534,46,40716686751,-3618919,JAgLxSIC,40791399769
nokia,50,2024-09-04 03-32-04,16868,-101,40795159795,1035755790,pSCfQrCd,40712828350
nokia,-14,2024-09-04 03-32-13,22053,-80,40797820190,-1387707795,EgNJnqDq,40723524804
nokia,126,2024-09-04 03-34-43,32428,-18,40752816071,-2028773552,MpYpMJlF,40787234748
nokia,100,2024-09-04 03-34-31,29044,-6,40704084060,853495119,YwBQLqnI,40788630657
nokia,55,2024-09-04 03-34-10,27248,-86,40719704673,1387670529,PeBBUJBR,40719374269
nokia,29,2024-09-04 03-32-04,-22392,-93,40750004739,892126872,spkxclWI,40722134551
nokia,95,2024-09-04 03-33-37,-5433,78,40798239259,1973524100,QZOcmywI,40761098020
