src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-58,2024-09-04 03-42-12,-24159,107,40726067877,1109002421,lzrwdVNx,40703467357
nokia,-109,2024-09-04 03-40-53,20226,81,40770114435,-1958861738,Xfwulabt,40798899530
nokia,93,2024-09-04 03-42-26,6863,115,40742339645,953498989,MIzswNUH,40759984605
nokia,116,2024-09-04 03-40-45,-16491,-8,40743100711,1531548948,EhvlxSAJ,40736301325
nokia,-123,2024-09-04 03-42-24,-14592,71,40741273744,-1765534922,LbINWCMP,40710329267
nokia,41,2024-09-04 03-42-11,-13606,-45,40747381081,-971052617,wEGbZoQX,40728110854
nokia,-97,2024-09-04 03-42-49,18128,-115,40793765251,757450961,hTZoMHMU,40739600854
nokia,-110,2024-09-04 03-44-09,-4218,-4,40787801880,1150602479,jcGuMUfY,40710401884
nokia,-111,2024-09-04 03-42-10,-13588,3,40789266097,730314728,HWyseFhh,40772336477
nokia,61,2024-09-04 03-41-40,-26604,52,40714393120,-493507489,auOHQiWs,40794371816
nokia,-56,2024-09-04 03-42-57,-12009,8,40717131865,1537446025,Sbjivkbx,40796980737
nokia,26,2024-09-04 03-42-08,-28332,-100,40765072533,-1540785281,jTMqlsIH,40705416317
nokia,37,2024-09-04 03-41-22,-2253,80,40727788469,779987520,imbHDlot,40744643719
nokia,-64,2024-09-04 03-44-56,1669,-118,40795779174,1127519610,ghsCTUen,40783376326
nokia,-67,2024-09-04 03-43-08,-14953,126,40713109776,-1903409945,qVcbnCYN,40700635005
nokia,115,2024-09-04 03-41-46,52,127,40751881524,-900163772,MIvjmvit,40734917881
nokia,-37,2024-09-04 03-40-14,-4995,-12,40726044496,-255748147,cqZEWyOG,40730947715
nokia,-28,2024-09-04 03-43-51,-8458,-101,40756386224,-1262325366,sGphYmrf,40742523460
nokia,-71,2024-09-04 03-44-43,15172,21,40734972404,-1857851493,tRSpvITk,40759973656
nokia,-118,2024-09-04 03-44-34,5603,-91,40724461553,1115957480,WViwNFFg,40736707600
nokia,-81,2024-09-04 03-41-18,5658,116,40766000004,-1720281879,VCqMAALC,40716516690
nokia,41,2024-09-04 03-41-18,-10101,-52,40749265046,187594704,kgUdJpzb,40719209896
nokia,-27,2024-09-04 03-43-08,31684,-118,40749359204,-1425968607,Gzzahcwt,40777156018
nokia,22,2024-09-04 03-41-29,-21976,73,40720644560,1111799589,lkpIdNxP,40747993375
nokia,-58,2024-09-04 03-40-43,15545,108,40763208150,601478814,watfSWol,40771063366
nokia,3,2024-09-04 03-40-37,-27990,-58,40734127068,-2068896136,qeKBsMHK,40783818022
nokia,-27,2024-09-04 03-44-38,-26572,-124,40709624661,192649132,zDKcTeXe,40733221223
nokia,104,2024-09-04 03-42-10,-18766,12,40753123661,-394521114,lCiVzUXB,40772724568
nokia,-72,2024-09-04 03-42-33,11972,100,40782980295,110674352,vhLbDkWU,40730181279
nokia,126,2024-09-04 03-42-54,-32371,99,40712358660,-1473547393,TNjezrwX,40703068504
nokia,-9,2024-09-04 03-43-01,-29539,-15,40754917639,-911608306,SkuNNYZt,40799354194
nokia,16,2024-09-04 03-40-23,6883,85,40742091948,-2058666586,ugPAjpxr,40783430323
nokia,10,2024-09-04 03-44-21,10131,121,40738500153,-1269057679,Uozyjzta,40738918310
nokia,119,2024-09-04 03-45-01,27220,-83,40701782586,-451462222,qHEkyPOo,40719056848
nokia,-54,2024-09-04 03-43-03,11387,-41,40789544647,839770962,ZmiRBbhj,40758012105
nokia,-79,2024-09-04 03-43-30,8324,-42,40777499528,-608079704,WzOgeBCg,40766949154
nokia,97,2024-09-04 03-40-24,3030,-104,40786677174,883526965,VMredpnA,40718250725
nokia,22,2024-09-04 03-44-20,-3555,-85,40781751829,1207118745,StWokkVE,40749148233
nokia,46,2024-09-04 03-40-19,-7990,-41,40713102043,-1433692100,WHmxjiPJ,40752598360
nokia,-104,2024-09-04 03-43-14,-20383,-45,40768846453,269914996,zREuMbSl,40736090780
nokia,92,2024-09-04 03-40-04,13373,113,40749423272,1602980464,wBskNCWQ,40767634150
nokia,9,2024-09-04 03-40-45,-10161,-102,40798024638,1637825142,AXjKuXmT,40711020025
nokia,108,2024-09-04 03-41-31,31710,-16,40714962178,-1368461721,fQTLcaaO,40733989153
nokia,96,2024-09-04 03-41-33,-3924,-38,40709789309,901209172,QvikGJAF,40749413402
nokia,-126,2024-09-04 03-42-33,-11997,6,40754360593,587081918,YOzxDhaM,40704992710
nokia,-86,2024-09-04 03-40-47,-15535,78,40700022580,-1073882635,GwAjTZTo,40723767300
nokia,78,2024-09-04 03-41-13,15217,15,40757191453,911839945,oveNKqTa,40745030752
nokia,105,2024-09-04 03-40-41,-25250,50,40704672885,-1051318041,PHGhYrks,40714334990
nokia,39,2024-09-04 03-43-49,16029,-68,40713241821,-846201227,vQEKvLwl,40700678670
nokia,76,2024-09-04 03-41-06,10369,-98,40781532696,1754625222,kzqufMJk,40768847721
nokia,83,2024-09-04 03-41-27,28268,89,40766296497,1443987110,RDApXKVD,40796675272
nokia,8,2024-09-04 03-43-49,32254,-111,40754729616,-687788192,VdDDSXRR,40787326391
nokia,-51,2024-09-04 03-40-54,-28168,3,40781085199,-225502275,IzQmEmzv,40778231454
nokia,-49,2024-09-04 03-44-10,-7526,-42,40712659152,-193534680,pzTOQkjS,40745901362
nokia,-113,2024-09-04 03-41-06,-23440,5,40792559982,-6946530,HGqFOLkn,40702186488
nokia,98,2024-09-04 03-42-26,31825,-64,40758766818,596069052,RtjmwACi,40782986711
nokia,-95,2024-09-04 03-41-38,-15429,-107,40748394840,2044509211,AYLLCvMV,40755116957
nokia,-56,2024-09-04 03-42-10,-17010,-94,40714365058,1481415414,YtZRXpTT,40748125305
nokia,50,2024-09-04 03-43-57,20506,126,40797330738,764964591,SgsRNWjf,40722385657
nokia,-46,2024-09-04 03-40-03,10845,108,40745754680,1037682733,cBFbIiti,40753539031
nokia,-34,2024-09-04 03-43-37,-19101,-128,40782409220,2064466528,LXezUlZB,40758681782
nokia,-82,2024-09-04 03-44-41,-14141,-23,40731643315,729190091,qlJlbfjP,40780839636
nokia,35,2024-09-04 03-43-23,-30723,-28,40746960511,-380684482,YzMphJDn,40785910386
nokia,-54,2024-09-04 03-40-12,-14985,101,40779356329,2053899102,ZqwGLkqF,40767852777
nokia,41,2024-09-04 03-41-49,-3611,-56,40775202834,1369710465,qhDzNQwg,40716111997
nokia,-70,2024-09-04 03-44-49,-47,40,40774239849,-602631315,HuwhRthB,40786438846
nokia,-113,2024-09-04 03-41-28,-2332,74,40717142777,449276594,vikynxYq,40775454866
nokia,-8,2024-09-04 03-42-30,10492,-82,40751361595,1971917093,qPEYchNh,40780183429
nokia,104,2024-09-04 03-43-34,-30285,71,40771698337,-1966922137,fFPTsdnX,40781744818
nokia,-124,2024-09-04 03-44-30,23190,88,40700755595,-1744299281,VbVVoBuF,40744445826
nokia,78,2024-09-04 03-44-51,1819,6,40750665963,82344706,fyLQcGIP,40713356160
nokia,81,2024-09-04 03-41-03,-10030,93,40736731460,-1503809220,jQvowVtF,40700829496
nokia,-105,2024-09-04 03-44-42,28281,42,40786958946,-365717215,kqBbuXoX,40764796005
nokia,103,2024-09-04 03-44-06,-22668,-30,40737374493,-1381012458,WVVFdssf,40794585890
nokia,8,2024-09-04 03-43-25,-3202,46,40741710772,689479101,tRPusQIU,40768037000
