src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,120,2024-09-04 03-53-44,-21850,127,40728678029,-801344559,ZqmPwcEo,40784164680
nokia,-89,2024-09-04 03-50-26,-24986,-15,40758984743,344104014,SBGphhsx,40798889154
nokia,3,2024-09-04 03-54-11,21172,-38,40724530336,-799170747,YeYqgYlJ,40794553035
nokia,73,2024-09-04 03-53-34,-14663,-83,40785748317,720897315,CuUyfxHs,40731461857
nokia,-65,2024-09-04 03-54-54,11102,75,40797396216,-1638291045,xmBOwZfl,40703812857
nokia,-30,2024-09-04 03-52-41,-236,-49,40741872610,1058912082,iRybbkwi,40747664882
nokia,10,2024-09-04 03-51-10,-21369,27,40780356132,-943851265,oibnSszB,40726805194
nokia,-11,2024-09-04 03-53-55,-22169,-86,40730185484,871045033,ZTFLBGFw,40768898154
nokia,-1,2024-09-04 03-52-36,7144,-58,40790011156,-150514006,VLCusHgh,40767965670
nokia,-121,2024-09-04 03-50-28,-8783,64,40751987885,-660908218,YgDqtrTE,40768722672
nokia,-3,2024-09-04 03-51-26,3103,28,40769614598,476505114,dhQKVcdI,40771544597
nokia,-37,2024-09-04 03-50-21,-26655,70,40774286417,1040694783,kvuizBQd,40792274734
nokia,-108,2024-09-04 03-53-16,-26746,-103,40780017485,1367122105,SstYlisv,40723604384
nokia,57,2024-09-04 03-51-30,22905,-100,40762153434,-334200671,bFAOssxm,40767214479
nokia,112,2024-09-04 03-54-41,-21217,-111,40750850296,1020458832,LxjRDqLC,40738064767
nokia,-3,2024-09-04 03-54-08,14530,22,40757729063,1972086591,QlLKFyZK,40753676382
nokia,-100,2024-09-04 03-52-31,-11576,-127,40721181952,1189425472,JfguwznZ,40714801133
nokia,15,2024-09-04 03-51-04,23351,-79,40778238892,-495939068,emgNaIgo,40729361759
nokia,-30,2024-09-04 03-51-32,26552,57,40700132997,61805532,RAbwHTYG,40709157358
nokia,30,2024-09-04 03-52-57,4636,88,40724860602,-1744948222,yOExqVkv,40724281956
nokia,50,2024-09-04 03-51-05,-6605,104,40704679432,-624923553,tivmfqPY,40786080104
nokia,-37,2024-09-04 03-53-01,19876,18,40731554123,1280668695,Vdkhdett,40744169607
nokia,102,2024-09-04 03-52-48,28569,13,40782436482,-236069564,WzgPyEZv,40723940643
nokia,108,2024-09-04 03-52-10,24959,-94,40770554383,-996410673,nqtKaiZZ,40790177184
nokia,4,2024-09-04 03-54-05,32468,69,40741495366,-534602443,dcauMyxB,40711488774
nokia,-110,2024-09-04 03-51-01,9718,28,40734320622,907842740,DYPojOBR,40737947423
nokia,-68,2024-09-04 03-51-59,28790,-65,40797515079,-1768417573,bvovsIqX,40707245496
nokia,24,2024-09-04 03-53-39,25864,104,40782801304,329064740,ZxkxsWbk,40732955704
nokia,-22,2024-09-04 03-50-13,26920,-49,40764012460,-1603933126,DuhGTBtg,40702183029
nokia,-44,2024-09-04 03-52-10,26629,33,40798421557,652240919,PRPXkOFC,40762451783
nokia,47,2024-09-04 03-50-25,28357,125,40764325260,1079271321,ZPiueqQd,40716324235
nokia,88,2024-09-04 03-53-03,-31184,44,40706617132,-1342365506,YlklLtYL,40770364808
nokia,85,2024-09-04 03-52-43,2047,-105,40717663729,1101393215,jkhBUofO,40723570785
nokia,125,2024-09-04 03-50-39,-30831,18,40750486614,600097391,tZKwjPxr,40759707484
nokia,-109,2024-09-04 03-51-37,-19157,25,40708132176,1119351411,TXsAcZvH,40740889509
nokia,-30,2024-09-04 03-51-13,3821,59,40700874801,546710689,CGJzNXdt,40796537983
