src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-115,2024-09-04 03-57-41,2748,-4,40741074113,-1347270835,eOReXmMz,40735100099
nokia,-15,2024-09-04 03-56-23,-7787,-14,40795007296,-1077137773,BxwQWJdW,40794834763
nokia,118,2024-09-04 03-59-15,28489,45,40720442797,-629274646,rUQxwdpn,40770354838
nokia,-86,2024-09-04 03-59-29,32407,-118,40771869020,609533487,MXSLgsiG,40760772341
nokia,90,2024-09-04 03-56-14,-16030,89,40739448374,-658079767,UZPgmFzh,40770328960
nokia,-51,2024-09-04 03-58-47,7033,19,40725351311,1097762118,LJcAShiq,40771630223
nokia,115,2024-09-04 03-57-38,-13662,-59,40706280371,207629296,dDJCnbbc,40721738196
nokia,16,2024-09-04 03-57-31,8863,114,40794281249,-97244345,yROmoQjs,40740267956
nokia,-109,2024-09-04 03-55-39,-5426,0,40791618488,301520702,LaWRvrQj,40797465395
nokia,-82,2024-09-04 03-55-07,-13318,64,40753041264,-1041104492,jRdKEkTJ,40722418183
nokia,-118,2024-09-04 03-55-15,-9586,2,40742198467,-347877263,rLfOMqWg,40794109448
nokia,110,2024-09-04 03-56-53,114,61,40704221773,-357586301,GSbSdFpO,40702532591
nokia,-120,2024-09-04 03-56-34,-31217,103,40717252944,-628913077,aheGYyuM,40765014452
nokia,55,2024-09-04 03-56-50,16913,-82,40794349132,1216092067,INifVKVU,40704167585
nokia,-19,2024-09-04 03-56-38,-5230,25,40711029871,338846810,dFlUxUqR,40704165083
nokia,-95,2024-09-04 03-58-55,-17329,-25,40735783900,-267546310,mkUVvUWX,40752472031
nokia,-11,2024-09-04 03-57-10,-20145,60,40757061757,1480531397,HRieuwwt,40742378569
nokia,114,2024-09-04 03-55-29,-13309,26,40722727173,-307361650,bsewqMXq,40759172448
nokia,7,2024-09-04 03-56-43,17547,-106,40778145230,-1460042338,zuvhDPPn,40740623990
nokia,-52,2024-09-04 03-57-03,-15124,-42,40746612787,1157548961,kQfCFupl,40730397352
nokia,36,2024-09-04 03-55-13,-634,-63,40725419100,-1008260824,VUtASGNd,40785468871
nokia,-14,2024-09-04 03-58-53,17122,98,40755180982,-472047672,CXLYcAVa,40786785626
nokia,122,2024-09-04 03-58-16,-17733,76,40776086412,-463572782,HzIuDFCh,40770449892
nokia,-127,2024-09-04 03-56-43,3167,-109,40770874724,-879722457,ZvrKqSpJ,40759530941
nokia,12,2024-09-04 03-58-01,-25790,-44,40773738202,-649998673,eidiJMAo,40719955655
nokia,-99,2024-09-04 03-57-07,-27076,58,40797375906,1124529095,vcIVflOv,40763419337
nokia,75,2024-09-04 03-56-59,9619,-27,40707109576,1070188586,pVELyYPj,40759414676
nokia,127,2024-09-04 03-58-00,31608,47,40768239645,847510420,ipxFXLvX,40711484107
nokia,-38,2024-09-04 03-58-39,10463,122,40728053624,-1518566884,KJBKzCle,40745816840
nokia,116,2024-09-04 03-56-20,-6274,-91,40737259501,1710650967,UlxtQchW,40778890458
nokia,-52,2024-09-04 03-59-28,-4767,-72,40701435251,-1544840411,XUnfXcFv,40705660318
nokia,89,2024-09-04 03-59-10,-17839,44,40750090000,994070116,OzhdxOuF,40780739490
nokia,51,2024-09-04 03-57-55,-14912,28,40720966098,1985298794,WQTwHPwC,40704401928
nokia,-49,2024-09-04 03-55-39,18397,46,40768668174,-1781214211,VxOQhHKx,40733695703
nokia,42,2024-09-04 03-59-49,-21948,17,40721811343,-652204708,aVarjjhR,40777856456
nokia,90,2024-09-04 03-57-53,-22922,61,40714312381,-576340838,EUKbOmMg,40746060074
nokia,-118,2024-09-04 03-59-53,20297,-44,40767365064,-36860004,cwMRwGUX,40793197350
nokia,6,2024-09-04 03-59-30,-16907,76,40709700882,160389897,hzUnDQUX,40784780971
nokia,66,2024-09-04 03-58-44,23790,67,40701620418,-335322589,xTswytzQ,40753847776
nokia,-74,2024-09-04 03-57-14,-580,-9,40719623501,434716577,IxfYwGDQ,40761775347
nokia,69,2024-09-04 03-58-19,16652,-34,40792903947,-1077379999,GsErgRRp,40736698409
nokia,84,2024-09-04 03-56-22,9714,17,40791046978,1033057406,IxdwvmvS,40703271375
nokia,-13,2024-09-04 03-57-18,11062,-87,40722281223,-379446243,ZERcPCfO,40768981189
nokia,109,2024-09-04 03-55-04,-5608,21,40701605291,-422646737,HUadeQJo,40766588988
nokia,80,2024-09-04 03-55-39,-6922,-76,40794520168,-752936222,oOCDVPKx,40767884715
nokia,-86,2024-09-04 03-56-58,18390,25,40741033515,-740534304,fdgdlXHH,40742531353
nokia,-43,2024-09-04 03-55-16,180,57,40767377014,122055646,swXzEsqZ,40753883687
nokia,-83,2024-09-04 03-57-56,-8899,-109,40788631363,206405845,HpLgsaVP,40764161682
nokia,-108,2024-09-04 03-58-37,-28467,47,40710116312,1558949627,PdZiSaqU,40720545501
nokia,-94,2024-09-04 03-58-03,31819,-113,40784000639,-1529925707,EUntPfjF,40746268506
nokia,55,2024-09-04 03-57-43,-28503,-100,40793379391,851632407,aRosXWCG,40700556865
nokia,74,2024-09-04 03-55-30,-28006,-2,40796759297,1452092978,dUgHPqsn,40760052386
nokia,1,2024-09-04 03-59-37,-28607,34,40745495526,-298743216,nXnkDiXV,40741654713
nokia,-50,2024-09-04 03-57-58,-12708,-74,40718155843,-1588008726,uogtOywQ,40756574835
nokia,36,2024-09-04 03-56-49,32495,127,40730601388,995569144,sYFcKNUE,40772087353
nokia,30,2024-09-04 03-55-36,17457,87,40766652239,749168907,NRSktDXn,40739676594
nokia,118,2024-09-04 03-58-31,29356,108,40783890665,853791302,AmXFbvme,40707829274
nokia,-72,2024-09-04 03-57-32,-10380,83,40760210372,-1735737730,pAYxijuY,40774578264
nokia,-82,2024-09-04 03-57-29,-20333,-52,40788635825,-1271939711,mwlhczrM,40749994103
