src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-32,2024-09-04 04-02-03,-31587,-38,40723406638,-1376522821,xRmCycnT,40783061427
nokia,126,2024-09-04 04-04-11,-13815,105,40726858235,730891872,odfnGSsn,40738073190
nokia,73,2024-09-04 04-01-14,-8389,-28,40765033534,-327797748,xFvZcXJG,40730472113
nokia,33,2024-09-04 04-00-46,16267,-120,40796276121,500649759,duukDilz,40787977711
nokia,114,2024-09-04 04-01-07,-13235,-98,40772579423,729653019,myIZYcqV,40732854740
nokia,-93,2024-09-04 04-04-40,-22901,-45,40793235134,-86786795,OaZbOGpJ,40704194676
nokia,-57,2024-09-04 04-01-00,-31451,-13,40747162834,868142176,JpwjivlR,40754454449
nokia,115,2024-09-04 04-01-19,-12785,78,40781636097,1567158993,bbdAzpCV,40787024289
nokia,114,2024-09-04 04-03-25,23739,-76,40759241080,-1052618022,BciWewof,40715103575
nokia,51,2024-09-04 04-01-29,-20421,125,40771452588,1810684205,ObsiRBUu,40732066678
nokia,29,2024-09-04 04-01-13,26238,-111,40761391887,-1772435373,GCKgBYgF,40740600129
nokia,-115,2024-09-04 04-03-54,-1553,51,40758930968,-1862681062,lEygTbtK,40759522931
nokia,55,2024-09-04 04-01-04,31072,-28,40731737539,-1936893088,NLeiBuQe,40753057243
nokia,-13,2024-09-04 04-01-59,220,60,40748326907,432796545,HEDtEqrs,40710925187
nokia,-109,2024-09-04 04-01-28,29782,37,40711928462,890430448,XKBVJlVP,40725643758
nokia,53,2024-09-04 04-04-14,-1279,24,40729033610,72878407,iITqQEXD,40750308290
nokia,105,2024-09-04 04-00-14,-1462,-92,40784108312,-1509755334,RuqywCOk,40711771489
nokia,-116,2024-09-04 04-02-39,24852,78,40755387566,922191118,EnZiQMQY,40756307059
nokia,33,2024-09-04 04-03-51,19680,-94,40711843306,-91425771,TGzYdFNZ,40742755864
nokia,112,2024-09-04 04-00-19,-32074,-94,40743438862,-658113417,SpgDECvD,40726181627
nokia,46,2024-09-04 04-03-13,25004,0,40770904325,1587175748,pGqvmAMI,40781478315
nokia,-74,2024-09-04 04-00-07,-26987,-41,40711949686,1117700227,eehwIwtz,40756913810
nokia,-68,2024-09-04 04-01-18,-18475,116,40798170730,-594203394,IIvqfLXc,40703081054
nokia,-29,2024-09-04 04-01-42,18243,-11,40798667801,-1434870796,oLdfPEOn,40796919500
nokia,-16,2024-09-04 04-02-08,-18001,47,40770472546,1328952717,jhgpGsah,40760294823
nokia,104,2024-09-04 04-04-38,30102,36,40761359930,1918014725,mDmJJscs,40731930988
nokia,19,2024-09-04 04-01-31,25764,44,40789012252,-701165941,VsRYnroi,40754817188
nokia,-104,2024-09-04 04-02-51,-8420,-113,40779656675,1649399060,HwfjVtju,40752879130
nokia,-65,2024-09-04 04-01-49,-1687,-112,40700388171,1375876214,AOoyzafn,40771687002
nokia,24,2024-09-04 04-01-06,31113,-100,40729120866,-1973587309,mnSfMpVF,40763964691
nokia,48,2024-09-04 04-04-09,-17915,77,40770369191,-56387483,pDxUbMYj,40723171786
nokia,44,2024-09-04 04-03-56,10523,-126,40723665481,-1564650993,HppboNtp,40741304854
nokia,11,2024-09-04 04-00-35,-8302,-25,40735835395,104061032,ewGUsCos,40743188586
nokia,37,2024-09-04 04-01-55,-22781,-45,40709460326,1562672983,iIHJMiQh,40775974095
nokia,-123,2024-09-04 04-03-48,-4655,113,40782449225,1253030267,BUOxzzpM,40744216312
nokia,110,2024-09-04 04-04-00,28220,-53,40776517421,875971493,VdbWKmfx,40773903353
nokia,98,2024-09-04 04-04-39,-28384,16,40777350045,-1670790920,UyKzZYwS,40714363645
nokia,82,2024-09-04 04-02-49,26163,-30,40789021000,-1233678101,rgliPpEc,40759896502
nokia,67,2024-09-04 04-01-42,-32141,43,40768598650,1927882964,gctmBVEw,40727121768
nokia,67,2024-09-04 04-04-07,-8979,82,40776402087,-350077238,HdyhIeEm,40705012562
nokia,81,2024-09-04 04-04-33,25218,79,40779250943,1609333101,kjEItUMt,40797176578
nokia,-11,2024-09-04 04-04-14,31712,35,40735145776,-1488142270,yomhFmay,40740012146
nokia,107,2024-09-04 04-03-05,-18864,-111,40702784177,1721894546,uFCuIbWx,40788809518
nokia,53,2024-09-04 04-00-17,-24082,33,40790304396,-1538943740,OTpWJCsH,40715787488
nokia,34,2024-09-04 04-02-15,-7724,-52,40738387033,-211732077,QHtPoDJD,40769012363
nokia,1,2024-09-04 04-03-58,-7432,-16,40740505005,-2059301083,YrgdDYji,40766700016
nokia,89,2024-09-04 04-03-07,1696,94,40794439355,282032665,NipIJqkD,40708111667
nokia,28,2024-09-04 04-04-23,16562,120,40732650464,1369250224,CUlfSDmO,40758917456
nokia,108,2024-09-04 04-02-20,24875,-107,40755447678,667623237,nLWQswNG,40722403041
nokia,125,2024-09-04 04-04-20,-2445,-56,40734162099,-1378772426,KIVtocfF,40778450738
nokia,81,2024-09-04 04-04-56,4449,57,40796221837,2044189181,ZQkuLvfp,40719738375
nokia,84,2024-09-04 04-01-10,14446,72,40735151272,-1741889015,aKbxtEKm,40773478044
nokia,-7,2024-09-04 04-00-29,-20923,124,40755690820,-982531515,mgMvJglP,40790086901
nokia,-84,2024-09-04 04-01-31,-32128,-63,40754831191,-113999476,wFpHRTVT,40711551501
nokia,-99,2024-09-04 04-00-56,10379,106,40786395923,-1361572993,kGtQvCWK,40732833181
nokia,-68,2024-09-04 04-03-40,16180,-21,40717178628,-1108105329,oWTEINCG,40703844188
nokia,-48,2024-09-04 04-00-09,-17021,84,40752548861,-190218262,tEovTJaI,40716333187
nokia,42,2024-09-04 04-04-05,9998,-99,40724749453,868292165,QALAiAuY,40713525394
nokia,-5,2024-09-04 04-04-17,-13065,35,40749391175,1030588845,auVvqZyi,40733250297
nokia,-12,2024-09-04 04-04-43,-26827,8,40734669940,744337098,bZECoFdH,40733037188
nokia,-66,2024-09-04 04-01-29,-4215,-119,40709109163,2053599130,RtPTdiaP,40793838195
nokia,-68,2024-09-04 04-02-46,11144,-74,40701625655,-2146177195,AjGxnbvi,40764648892
nokia,63,2024-09-04 04-00-58,23735,127,40764283744,-967195323,HOeCTScf,40710271494
nokia,-51,2024-09-04 04-04-20,12182,-86,40709923396,1593961715,gFPiypgW,40767462202
nokia,-119,2024-09-04 04-04-05,11729,119,40725391960,-390644638,gPHbYaVC,40798799725
nokia,115,2024-09-04 04-02-07,-23246,59,40751490097,-1788890682,rSpWilCl,40739458240
nokia,-69,2024-09-04 04-02-31,-4105,-65,40772692837,2115575765,LjJqUXGP,40732183527
nokia,44,2024-09-04 04-03-29,29887,127,40703677033,-563498232,CSIicwWN,40748129781
nokia,95,2024-09-04 04-01-15,-20671,60,40740963797,1570915135,echAXMch,40786842245
nokia,-73,2024-09-04 04-03-22,6835,116,40701046352,192826754,UNXMhQXX,40763851141
nokia,-73,2024-09-04 04-00-28,-20789,10,40748435776,1001385080,PJhpMbXO,40707579963
nokia,-78,2024-09-04 04-00-03,18254,84,40763481633,1846191434,IVAJbCCL,40757528284
nokia,-103,2024-09-04 04-00-27,-22626,10,40791984557,-1785909425,cKzrtSwI,40774884824
nokia,-82,2024-09-04 04-04-55,-30248,-100,40799124842,1114038191,JRYUEtgP,40787972430
nokia,10,2024-09-04 04-00-30,10162,16,40717734875,-280919270,YLTOgOKI,40780838685
nokia,-126,2024-09-04 04-01-43,-8434,33,40717029306,1061076332,XOWAGZrB,40746996354
nokia,107,2024-09-04 04-03-58,-20795,-51,40777554102,-1614132466,FsmmNDOB,40791674688
nokia,-4,2024-09-04 04-02-33,9809,67,40785091679,1347313959,cpiObtQq,40775084775
nokia,-47,2024-09-04 04-03-38,-6885,-119,40705531725,1852727123,wnxDhoem,40715510405
nokia,124,2024-09-04 04-00-37,-22959,44,40779803848,889840772,zDhfsDBb,40718009257
nokia,27,2024-09-04 04-00-28,-18032,-92,40779174276,1172461642,ZFhgjpBJ,40780321142
nokia,1,2024-09-04 04-04-02,5209,5,40716344588,222403198,uCOxuxPq,40712928048
nokia,-112,2024-09-04 04-03-13,-552,111,40704925865,554265383,XkLwhDao,40709221930
nokia,17,2024-09-04 04-00-50,28667,-83,40767023765,1805880101,AoXuVaAx,40728045136
nokia,-36,2024-09-04 04-01-35,2217,-87,40746788987,1416006216,TTsjuAIM,40792870514
nokia,77,2024-09-04 04-01-37,-26904,-66,40737797404,1360843272,lixkgEJJ,40750398074
nokia,-88,2024-09-04 04-02-52,15159,-84,40775519121,-1093585969,tKCMROxQ,40791420320
nokia,-35,2024-09-04 04-03-23,3528,-10,40725433589,-491138253,kkXAWxkt,40732531176
nokia,-108,2024-09-04 04-02-59,21619,19,40791270529,-1271402181,LsLxDvMT,40751557892
nokia,-107,2024-09-04 04-00-46,3827,115,40708017815,1481076756,sfNckiGk,40708575397
nokia,-65,2024-09-04 04-00-28,-8239,20,40791474594,1244941418,rioTCjFK,40766904302
nokia,-81,2024-09-04 04-03-19,-12761,116,40705513571,94051172,civDMNUM,40756573472
nokia,58,2024-09-04 04-04-29,-4990,60,40748319417,-706122064,uCkUPWCx,40735642026
nokia,-19,2024-09-04 04-02-06,-30379,-61,40700519278,-791047541,emisacHr,40767296595
nokia,91,2024-09-04 04-04-49,-9689,79,40739936390,1006491022,rcGrNwNo,40785485102
nokia,53,2024-09-04 04-03-16,-10565,-76,40774174203,920063951,VgDCnvsn,40721929646
nokia,-73,2024-09-04 04-04-39,-27294,27,40724916670,1609369145,dAHaLBLx,40780145807
nokia,-127,2024-09-04 04-03-52,-25914,-100,40794992968,269017040,QbBwNeRE,40781449854
nokia,-126,2024-09-04 04-00-42,7903,69,40709040201,1372215136,dUhncjet,40709310745
nokia,64,2024-09-04 04-02-25,12321,-97,40742639377,373080408,JNpoSLgH,40737410129
nokia,-84,2024-09-04 04-01-44,7199,53,40768373876,136206367,uKMfoZjh,40790704926
nokia,107,2024-09-04 04-03-06,-16284,13,40704731628,-1001987015,cwOLiCmL,40780721151
nokia,120,2024-09-04 04-04-55,-18748,72,40739390091,429498721,FccnOaUI,40750285419
nokia,37,2024-09-04 04-04-21,-8887,66,40712594342,201938888,AGvktWiC,40772607072
