src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,114,2024-09-04 04-17-43,-25388,72,40797023337,73732819,QBiYrJrv,40736214254
nokia,6,2024-09-04 04-19-26,5047,14,40785623212,1425594973,GdMTMnwd,40743766328
nokia,-26,2024-09-04 04-20-01,-3584,122,40723242191,-135278694,MOvFvUmx,40743116722
nokia,-64,2024-09-04 04-15-55,-26923,-81,40755287842,-522223321,lUgTEygF,40794480392
nokia,64,2024-09-04 04-17-42,-26752,33,40777972115,-1815476647,NDZkolgc,40781754344
nokia,-62,2024-09-04 04-19-32,-26520,-104,40792946069,682826961,jYlxuzFK,40732826186
nokia,22,2024-09-04 04-18-35,16328,-2,40748725517,-352544075,rRFMYTpx,40783104896
nokia,-45,2024-09-04 04-19-51,-14321,-100,40784469473,1360242500,jtWaDHAJ,40720138439
nokia,60,2024-09-04 04-16-33,-26785,113,40712308741,1233932434,AiFsfmet,40728443217
nokia,-112,2024-09-04 04-15-15,-31056,-37,40767455813,8070607,HwmduCEz,40770125640
nokia,73,2024-09-04 04-19-40,-19394,-125,40750925395,1731551960,jutOaFfs,40771080517
nokia,37,2024-09-04 04-18-49,607,0,40767786387,-206732378,LzvsTJkV,40776938100
nokia,89,2024-09-04 04-18-36,-13341,4,40769397544,1119704985,VcqHwtbR,40762945272
nokia,-94,2024-09-04 04-15-26,-17154,12,40792843351,1290530694,WLAJJXyv,40722022037
nokia,5,2024-09-04 04-16-46,17097,103,40726470041,1656042847,WVRPBaal,40739266445
nokia,-80,2024-09-04 04-19-23,8918,-67,40730992634,-1634033325,ahTAKrgH,40711498484
nokia,-112,2024-09-04 04-19-05,5163,-39,40794095607,1280040911,UIkBxbBA,40747418128
nokia,52,2024-09-04 04-15-37,-4206,-11,40769693448,1873187379,hhLAoGxM,40744094061
nokia,5,2024-09-04 04-15-57,-29103,-50,40713605077,1180484783,naNbUNbg,40735795886
nokia,-91,2024-09-04 04-16-57,12718,-56,40769417254,-1445663718,EcJcVRIe,40730674336
