src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-95,2024-09-04 04-25-26,5217,84,40749835712,-447461358,XJwPcOyf,40753827600
nokia,21,2024-09-04 04-29-46,25452,-27,40718322889,1857654365,emfWoEkZ,40775421832
nokia,-49,2024-09-04 04-29-57,-27882,-24,40704931266,-85451424,aCldFLHa,40728267953
nokia,-101,2024-09-04 04-28-59,-28111,7,40790261295,-483586326,ibnozUKf,40723306809
nokia,-32,2024-09-04 04-25-52,21482,-83,40755754249,1268506544,HqtBWqRw,40738247202
nokia,-113,2024-09-04 04-26-29,13537,2,40706258269,-840442622,IbiPGKcj,40747261388
nokia,91,2024-09-04 04-27-43,20200,-118,40772248490,167411739,hHWKxykK,40700058190
nokia,2,2024-09-04 04-29-09,28901,-9,40740853166,1205217154,GeccUJUH,40727680192
nokia,-35,2024-09-04 04-29-01,29145,-110,40773235968,-1688675380,FYmSLfjR,40726835994
nokia,41,2024-09-04 04-26-33,-30098,-19,40757816144,-901042717,baEtFdmW,40724607276
nokia,31,2024-09-04 04-26-25,30834,83,40782255943,273736279,ZKBlNnmh,40740795702
nokia,61,2024-09-04 04-29-11,14523,-111,40731062948,-1962550132,jlJPWGix,40793688053
nokia,96,2024-09-04 04-29-59,23811,-109,40718453693,165236389,jIKaAmzG,40790553660
nokia,51,2024-09-04 04-25-12,12078,106,40735707289,259173464,qRogyQEn,40744072203
nokia,58,2024-09-04 04-29-41,-6992,5,40738213466,-1360311558,UEaNCNYZ,40712134873
nokia,-111,2024-09-04 04-25-40,-30122,-82,40799234749,1348760062,bwKHsoUJ,40758342013
nokia,14,2024-09-04 04-29-36,-15253,-25,40710787290,1378437849,bFGsFdvU,40745303726
nokia,-59,2024-09-04 04-28-38,3149,77,40751252007,-250971106,dZOvKPCD,40780689457
nokia,-108,2024-09-04 04-25-59,-6094,119,40727772953,1773912324,fOyeTYcb,40784902772
nokia,79,2024-09-04 04-28-58,-20632,-116,40762532834,-1064567280,qtYYCNiz,40743367896
nokia,-118,2024-09-04 04-27-21,-14626,-124,40762149873,-427604392,IcLDlplf,40735810713
nokia,-69,2024-09-04 04-29-54,24362,115,40721783160,1207964504,oBebFRnG,40739819906
nokia,5,2024-09-04 04-25-18,-14597,-95,40747292281,-110373763,qimRkZnW,40755487524
nokia,34,2024-09-04 04-25-39,-31089,-91,40772681036,1224898194,PruqGmhh,40782708150
nokia,79,2024-09-04 04-26-25,-30296,61,40769504377,1400013224,UxHmHBhr,40753527516
nokia,19,2024-09-04 04-29-15,-10711,-8,40782791939,2109802217,gwcclcdA,40748678568
nokia,53,2024-09-04 04-28-28,17571,-21,40713471579,1574716079,oGXKwsiJ,40713092883
nokia,-48,2024-09-04 04-27-08,27248,39,40798349189,-1853035976,mNleoKSv,40712444913
nokia,-73,2024-09-04 04-26-12,13285,-80,40780528434,-1890104531,XrLzlMeB,40731688597
nokia,70,2024-09-04 04-29-11,-32247,-30,40791965306,1054259912,NCoVTJGh,40791564769
nokia,31,2024-09-04 04-28-35,-15802,75,40779952966,2079040529,EyzZVHTS,40700658305
nokia,19,2024-09-04 04-28-07,29519,13,40779733236,499096087,EQNNSdbp,40744613636
nokia,-24,2024-09-04 04-27-05,19516,27,40724700061,417307498,HPRISplQ,40741957281
nokia,119,2024-09-04 04-27-42,-25502,-28,40765903147,1318282718,lzwpoVPb,40771183000
nokia,25,2024-09-04 04-29-54,29053,30,40733196245,-128582247,HgwPkknh,40713076228
nokia,6,2024-09-04 04-27-35,-13499,5,40757392811,1766409940,jLsEUZwd,40732261340
nokia,122,2024-09-04 04-26-45,-21214,61,40755629172,-916984456,qAqnRVeq,40704376512
nokia,-124,2024-09-04 04-29-29,-20127,-77,40704701209,-97945784,TUSGsZOs,40740147444
nokia,63,2024-09-04 04-26-48,16550,24,40757030025,1653739864,ktIRWnMy,40782526120
nokia,63,2024-09-04 04-29-25,-13209,33,40781911516,-1957684802,TkXpqcUN,40755964728
nokia,104,2024-09-04 04-27-38,-11080,-26,40722977359,-206433239,vpETdntn,40766804465
nokia,107,2024-09-04 04-26-06,-23747,104,40754819058,1466500476,MfGlzmbr,40775307334
nokia,57,2024-09-04 04-25-49,26364,-126,40752852370,185283158,EFQkOuOk,40727853930
nokia,122,2024-09-04 04-25-24,5401,-124,40759236977,-2031327333,AmZoqkeX,40799534279
nokia,4,2024-09-04 04-28-20,11623,-80,40749825308,809254374,ZvgvEkSR,40737084094
nokia,-86,2024-09-04 04-29-30,-26178,100,40718967397,1814184030,isLVVgKQ,40768168608
nokia,-25,2024-09-04 04-27-43,32649,-47,40755833276,-891330732,oPmKZHCV,40772720636
nokia,-76,2024-09-04 04-28-04,6549,75,40781488653,563576195,ZYMRZvBG,40791281992
nokia,26,2024-09-04 04-25-14,-9598,-71,40761406196,134126307,fpfXrrXb,40764371652
nokia,-128,2024-09-04 04-27-48,7580,-95,40782713315,534308710,IxspGADH,40764182124
nokia,-28,2024-09-04 04-30-02,-24567,62,40765892374,2080739724,ytwXHFjf,40727423959
nokia,-98,2024-09-04 04-26-33,17071,-28,40737329536,1121798486,eVmPySmr,40791146108
nokia,63,2024-09-04 04-25-45,17326,17,40776141944,2143329595,XjwMgiLU,40747879751
nokia,55,2024-09-04 04-27-48,5853,43,40781305867,2010037548,TfcESbcR,40780480680
nokia,-54,2024-09-04 04-25-41,-21014,-84,40721109992,-1377970782,SdnagkeJ,40729307469
nokia,-70,2024-09-04 04-27-39,-14207,82,40776268782,1491917250,GMVlSNqs,40743383414
nokia,-25,2024-09-04 04-28-57,-4656,5,40763437113,1850286463,YMXjauPF,40748831359
nokia,-100,2024-09-04 04-27-39,1405,82,40752681230,384955823,ScjsZZGZ,40782526824
nokia,18,2024-09-04 04-25-09,20281,75,40791142372,-577713029,xNPhQCVi,40713949363
nokia,-34,2024-09-04 04-27-05,-18216,-106,40727974201,1559669862,rZeAWgcr,40752268299
nokia,-51,2024-09-04 04-29-27,-29445,78,40744901655,1763792726,eBFVCkoC,40755518530
nokia,105,2024-09-04 04-29-01,-20081,74,40756852244,914682817,wHFwREkv,40706825766
nokia,102,2024-09-04 04-29-11,-26952,64,40745099822,-1750504647,GuwIlMHs,40766787933
nokia,0,2024-09-04 04-27-34,-19109,5,40724645809,2008133016,GPTtPywq,40759380111
nokia,-128,2024-09-04 04-29-37,23165,-88,40790250362,1359686638,KkXGjIyn,40719580187
nokia,-100,2024-09-04 04-26-19,19283,-9,40766191812,-1457283159,SDEkquMX,40748511767
nokia,16,2024-09-04 04-25-29,-5162,-59,40783657319,-944865731,aoAYNPLq,40782637462
nokia,57,2024-09-04 04-26-08,19989,126,40791899737,-1102662432,GHlMUThg,40739801902
nokia,23,2024-09-04 04-27-01,3587,121,40721462176,-1038275958,jQfYdFRF,40798976442
nokia,94,2024-09-04 04-27-23,1769,-22,40701642497,-11260548,HMfrNGGb,40706083598
nokia,-64,2024-09-04 04-29-52,19403,54,40735963180,-317876081,LMUyXLwr,40715110522
nokia,52,2024-09-04 04-26-11,28851,-105,40718160106,-129385211,ppXoNNJW,40743711312
nokia,-96,2024-09-04 04-25-28,-16386,50,40704155805,68288027,VcJfaJok,40799860553
nokia,57,2024-09-04 04-25-49,-2130,119,40779663352,-1735600909,hayYlgUP,40783907381
nokia,-117,2024-09-04 04-27-10,16919,-39,40753770196,-420496980,giwwVyBS,40726111339
nokia,106,2024-09-04 04-28-11,-23099,82,40727839289,-1387999546,FhPXetjq,40786694931
nokia,92,2024-09-04 04-25-10,6138,-73,40783176078,-837282782,KfNCpSVz,40773166946
nokia,-72,2024-09-04 04-29-10,-31864,27,40704118758,-534313496,CtgnqCaN,40774200602
nokia,48,2024-09-04 04-26-58,1939,-62,40764221899,-1661520226,DChfnQyM,40755728027
nokia,-112,2024-09-04 04-28-24,-15545,124,40738535164,1835874547,vHijwOtq,40757967972
nokia,-24,2024-09-04 04-29-22,7210,119,40797333326,1818025134,vIodLHLc,40721805494
nokia,102,2024-09-04 04-29-14,14745,116,40759695545,-1695384898,ekcoJVKn,40712430767
