src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,1,2024-09-04 04-44-16,-13847,72,40738126806,162635387,tZPigpmd,40718265554
nokia,-96,2024-09-04 04-44-38,5127,-119,40742482852,-84951622,FPnvQKUw,40752739343
nokia,17,2024-09-04 04-42-36,-16033,-36,40784174675,-1173383669,hDYIGbLH,40762231576
nokia,-110,2024-09-04 04-41-29,25091,-117,40765684770,1416663233,BcCNADRM,40738225233
nokia,34,2024-09-04 04-43-12,-17545,9,40735592440,79204589,GLCNzpFs,40710058368
nokia,119,2024-09-04 04-41-55,1447,27,40733409055,-1633219550,jWvSRBie,40793240378
nokia,21,2024-09-04 04-44-00,24141,118,40774158927,1860892605,TrjxVOwJ,40754908038
nokia,-45,2024-09-04 04-42-46,14058,-90,40712509286,1865730202,lOVqPsbH,40780098776
nokia,-29,2024-09-04 04-40-55,18332,19,40773848418,895913586,UcJSycPj,40792253027
nokia,-33,2024-09-04 04-40-13,16500,-59,40771558931,2127115812,SszLtrwE,40784377167
nokia,99,2024-09-04 04-40-04,-28565,51,40721321256,-2097317317,tmJDzXWb,40769709648
nokia,10,2024-09-04 04-41-16,27145,-78,40767691329,892540682,btlXRJEP,40763933231
nokia,113,2024-09-04 04-42-05,-27368,-7,40702510360,2066158341,GeqAWkNB,40720994670
nokia,-12,2024-09-04 04-43-01,28977,-40,40784694643,1830616038,OkyIswTg,40722070307
nokia,95,2024-09-04 04-41-33,-21858,-27,40705889359,1666788313,aJTbybps,40758129197
nokia,74,2024-09-04 04-44-30,13099,59,40793265964,-1690753262,xdhBYpHB,40781171054
nokia,-39,2024-09-04 04-44-46,-19452,79,40754535827,-1209911856,lgQkizWR,40769086450
nokia,102,2024-09-04 04-42-01,15052,-77,40722157016,-816122176,CcvgrUvx,40750796868
nokia,61,2024-09-04 04-40-11,-9179,47,40790906703,755657663,zSpPtfQB,40765488911
nokia,-125,2024-09-04 04-44-35,-12203,106,40780141650,80569092,BmoEffnq,40796607393
nokia,-120,2024-09-04 04-43-24,5659,-117,40786797012,1134235668,tZoPFrTV,40747022860
nokia,-61,2024-09-04 04-41-00,-30409,20,40717914889,1395303925,bAfFXsxv,40768234061
nokia,-45,2024-09-04 04-41-48,12220,-58,40784008476,-1296942298,UczGzbvG,40713784550
nokia,122,2024-09-04 04-44-21,28627,-107,40769179445,2018802495,YCFzXJTV,40767694748
nokia,-115,2024-09-04 04-40-02,-9161,-98,40753934028,-1947439537,TAMGsVEE,40733441036
nokia,-98,2024-09-04 04-42-29,22507,52,40776757125,301593656,lRbwYBiM,40766548047
nokia,87,2024-09-04 04-44-58,3355,-39,40713844722,729567557,WXMQHDNA,40702228964
nokia,-69,2024-09-04 04-41-37,22213,-102,40751114603,1119668184,STToDKdD,40776086254
nokia,-72,2024-09-04 04-40-55,11757,26,40790870355,1608329129,yIMmkHeT,40752983765
nokia,-107,2024-09-04 04-40-25,-15245,52,40747486520,270260008,Usnettdr,40734896602
nokia,-113,2024-09-04 04-42-19,-22189,-107,40781409682,1404166987,cHjuiZrg,40792298225
nokia,15,2024-09-04 04-44-52,-10539,108,40764700394,365314389,guenyFyA,40799892638
nokia,27,2024-09-04 04-42-33,15725,61,40721527898,20590237,kUKwTZGq,40786814422
nokia,62,2024-09-04 04-43-19,27985,70,40724283390,-884266708,BqQSbGJw,40793448243
nokia,111,2024-09-04 04-44-35,6720,-64,40760994658,-943195396,aRMpQbrR,40776826055
nokia,42,2024-09-04 04-44-16,16750,-72,40765392898,-351234312,OnnNvbWb,40752368693
nokia,104,2024-09-04 04-44-05,32063,109,40752598993,842667782,TbCylGvW,40758958668
nokia,-9,2024-09-04 04-42-52,28122,98,40789304589,-452662242,gIwfOfNL,40786459429
nokia,7,2024-09-04 04-44-54,18863,-28,40715271662,403461311,ovbzprVR,40723561745
nokia,36,2024-09-04 04-40-13,19182,25,40735523793,-1823792382,QUBHkuZW,40717487128
nokia,-116,2024-09-04 04-40-37,16449,-45,40795340278,383623847,DzFXyanP,40708598734
nokia,70,2024-09-04 04-40-05,-30366,80,40709743798,1284080140,dXxEPoOo,40745070327
nokia,-110,2024-09-04 04-43-54,-5409,89,40779214663,492264460,YrkbdImb,40782014421
nokia,88,2024-09-04 04-45-00,15056,-13,40770338369,1480742634,TeRHIBwr,40797591391
nokia,-21,2024-09-04 04-43-11,-15802,75,40776330371,-798422341,jqqscPZQ,40703267179
nokia,-3,2024-09-04 04-43-14,-17985,25,40770697236,-1865962147,xYfcCsVV,40763422164
nokia,18,2024-09-04 04-42-11,-21653,36,40772833946,-2079184903,MWGrogaM,40731969398
nokia,1,2024-09-04 04-40-55,28917,22,40767283493,-753281952,MWEJktyl,40748684956
nokia,-92,2024-09-04 04-41-37,-13458,-13,40789416268,-1531611845,HuypciAL,40709003984
nokia,-126,2024-09-04 04-43-15,-11404,21,40735260708,-344173928,XyGZmRkf,40701443468
nokia,-106,2024-09-04 04-41-26,-27655,-29,40769749708,-411222912,NDjMokWo,40761277269
nokia,-9,2024-09-04 04-40-12,15667,-120,40736106462,266320242,lpHrJmvO,40798212031
nokia,-23,2024-09-04 04-40-24,-20317,52,40709937269,-1900276254,wsVtCAbb,40757945465
nokia,-74,2024-09-04 04-40-14,-16999,56,40757472501,-1169762205,yWwvFzaC,40793298327
nokia,-59,2024-09-04 04-42-09,-7832,12,40744015449,369348284,XyamBQMF,40713384483
nokia,21,2024-09-04 04-42-44,-13453,-98,40722366082,-1530563382,TlDbqUFK,40739717819
nokia,19,2024-09-04 04-40-22,17850,77,40789139165,-463834594,zPJZysvR,40729216774
nokia,47,2024-09-04 04-41-23,26684,23,40717539524,1205950327,clnIbRQg,40719060765
nokia,78,2024-09-04 04-42-01,-10941,-83,40781484926,-1480565562,RkhBbpto,40764160598
nokia,-35,2024-09-04 04-41-55,-25321,-79,40721154370,2109801507,WSjwIUZE,40705948275
nokia,43,2024-09-04 04-44-14,17881,-94,40765742236,121468061,flBRvpaF,40759273952
nokia,-43,2024-09-04 04-41-48,20244,-112,40794840093,854144337,MfnSwOLW,40748069156
nokia,45,2024-09-04 04-42-45,31624,92,40789826195,1281993266,mZRXhxkk,40766415219
nokia,80,2024-09-04 04-41-18,24266,24,40790684091,497059036,OSiJCnaA,40731457140
nokia,-113,2024-09-04 04-42-33,19361,-66,40731289471,-1303776406,lpsIoLXe,40774806464
nokia,64,2024-09-04 04-42-36,-26578,-92,40767629191,-1861840579,EpYNETnW,40756948105
nokia,42,2024-09-04 04-43-56,23423,11,40771288022,458012672,beuCqPKz,40782402449
nokia,56,2024-09-04 04-41-01,19786,-89,40774950195,-997736350,BDKabqTQ,40729272507
