src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,33,2024-09-04 04-47-51,5684,45,40798536443,-860686431,hmrtDUPn,40746674656
nokia,-63,2024-09-04 04-47-56,-32563,29,40782166659,-1935498651,HigJtmKW,40778733635
nokia,-6,2024-09-04 04-45-18,-31853,59,40727705542,-774396005,JiNgoHWz,40773222820
nokia,-9,2024-09-04 04-49-41,-15907,-116,40796294184,1236269630,BMgtuLnk,40771641504
nokia,-44,2024-09-04 04-45-36,14691,51,40731896723,-1265481374,TgUbElAC,40716528593
nokia,63,2024-09-04 04-48-02,26050,47,40742812908,-1384138106,NjhrCVDK,40709762614
nokia,35,2024-09-04 04-46-41,4175,103,40795124674,1471517123,tEUmKUxO,40704386032
nokia,-113,2024-09-04 04-45-14,12288,-50,40765859078,-978178042,drXydGNe,40704264637
nokia,-29,2024-09-04 04-45-50,-20226,-3,40717253134,1999030761,MsKYrhEy,40729240682
nokia,92,2024-09-04 04-48-37,11835,-110,40784536165,-1350553806,XKfgoWjF,40712263314
nokia,-100,2024-09-04 04-47-41,18152,-27,40715635325,-1719670044,blBkSjHM,40714160855
nokia,83,2024-09-04 04-48-51,-22987,-5,40744202205,1927221247,EDKqoWiV,40747106948
nokia,-69,2024-09-04 04-49-11,19796,-125,40752529446,857261390,JvvKzWVW,40768198369
nokia,-48,2024-09-04 04-45-48,32688,-78,40718389183,545686442,ZdKeaatm,40755559517
nokia,-30,2024-09-04 04-46-53,23624,87,40726791080,402795221,TsUNPcAc,40707706924
nokia,-115,2024-09-04 04-49-26,25307,-36,40761809479,-1419836636,WvmuisIJ,40722827319
nokia,-103,2024-09-04 04-45-26,-32733,-51,40772563804,1520503338,YoIYuMBC,40770855895
nokia,-60,2024-09-04 04-48-13,10787,35,40718012562,1667735619,mcEikXDR,40746174892
nokia,-45,2024-09-04 04-47-18,15833,-13,40748217211,-585292659,gXiRQxky,40777477764
nokia,-13,2024-09-04 04-47-09,18174,87,40700018143,1183267440,bxUjODPm,40756683957
nokia,109,2024-09-04 04-49-12,19801,-4,40716226232,583756504,nDtyWnpq,40790490233
nokia,-67,2024-09-04 04-47-54,20547,101,40768061118,1288168281,nZcAUYHI,40767632092
nokia,113,2024-09-04 04-46-40,31561,106,40744872930,-130674678,EetLYeis,40796164677
nokia,-124,2024-09-04 04-48-00,12361,-4,40749143259,338823817,RAZPdLFE,40702453059
nokia,82,2024-09-04 04-46-20,628,124,40764091676,-331138942,lRvjLhfw,40739866875
nokia,-49,2024-09-04 04-45-25,27118,36,40771009128,408549573,GLeNvTJS,40743137558
nokia,-95,2024-09-04 04-49-37,22145,106,40737798758,1281858526,QtFNOjku,40791304995
nokia,-93,2024-09-04 04-49-06,15425,-82,40747247476,1597480937,JqhNWfcP,40770829409
nokia,84,2024-09-04 04-47-44,23910,10,40735119315,1381738137,JlcohzmU,40793462231
nokia,-95,2024-09-04 04-48-02,-12284,-34,40792322043,-853290234,EdCScUar,40793604968
nokia,-2,2024-09-04 04-47-48,14090,-21,40768177518,545192381,jRRKzozx,40792077506
nokia,-28,2024-09-04 04-45-06,19047,117,40715449716,146714369,FxGfsArb,40733494803
nokia,125,2024-09-04 04-49-47,-25901,119,40786999413,801824819,GTUDOWNK,40701142477
nokia,127,2024-09-04 04-46-59,-28884,-124,40777881497,1702761491,XcOjoKbv,40793572531
nokia,69,2024-09-04 04-48-27,30642,37,40731421159,1181937172,qkbQzTbw,40730400428
nokia,-32,2024-09-04 04-46-09,14673,-77,40764708064,1246348973,CrZCqVos,40712506689
nokia,92,2024-09-04 04-49-30,-10337,-38,40788927210,1705913007,tUrYuBkm,40716814217
nokia,-112,2024-09-04 04-49-25,15002,98,40732636176,474720151,tIawSyRf,40785608462
nokia,-121,2024-09-04 04-46-32,-6186,-99,40771930333,-1916406655,RcDiZUtG,40755006696
nokia,76,2024-09-04 04-47-36,7994,-45,40704083257,-1720468863,JiBbBzIE,40730280524
nokia,-31,2024-09-04 04-49-39,-7497,-10,40779934812,1159864608,tIxeUbhe,40750440900
nokia,97,2024-09-04 04-45-48,-9374,-15,40702061290,1507255928,XjYrSAAf,40794706999
nokia,-119,2024-09-04 04-50-01,-12668,21,40717077091,351278901,eOsUISeN,40734897178
nokia,106,2024-09-04 04-46-52,1245,-21,40724932340,913457555,kMkWVgNG,40705878116
nokia,106,2024-09-04 04-45-08,25821,-116,40719531298,66813496,vdzImQng,40754400357
nokia,60,2024-09-04 04-48-41,20724,84,40701006200,-1001505755,fkitAAnE,40706069711
nokia,-69,2024-09-04 04-46-30,-11431,81,40786754734,1134183094,iwBhyKiU,40783772374
nokia,-79,2024-09-04 04-45-40,-29765,86,40726219796,-340249413,FlZfdhDm,40748264032
nokia,-124,2024-09-04 04-47-18,3934,1,40771920866,-1914057495,BjxLrWYU,40797748482
nokia,-124,2024-09-04 04-47-13,10689,101,40752759187,-103866062,patrkmSK,40774835553
nokia,121,2024-09-04 04-49-34,8796,40,40755942550,114249045,kbTJDdWc,40731394507
nokia,76,2024-09-04 04-48-49,-7540,-124,40706420832,1607027969,VPTwBcsn,40769109157
nokia,42,2024-09-04 04-48-34,-1196,-31,40712930663,-2075949031,ZZcAaFmb,40734450724
nokia,62,2024-09-04 04-47-43,-21413,-52,40708978922,2005426018,UBvvPkSu,40796007384
nokia,46,2024-09-04 04-46-37,-17380,-67,40783228343,-281833822,IPupEDmW,40780841484
nokia,-80,2024-09-04 04-45-16,-15100,41,40776405821,-2035742539,pGlHwdWn,40714308860
nokia,104,2024-09-04 04-46-47,5844,121,40768016508,931627474,ppRtYwmZ,40785995761
nokia,125,2024-09-04 04-45-53,5960,125,40703127510,2040073606,FJYQAFgB,40758275888
nokia,-64,2024-09-04 04-49-00,17687,90,40722714097,760918610,MVYwluxs,40707210756
nokia,-118,2024-09-04 04-47-44,-25359,-41,40744406522,72914788,uGDVaxyc,40762019138
nokia,35,2024-09-04 04-46-14,-30131,-85,40791202005,-356986041,eMeGVFKI,40717866256
nokia,-69,2024-09-04 04-45-01,-10065,-30,40796313600,417713251,ewhRiXht,40704810683
nokia,-91,2024-09-04 04-49-46,-6162,-15,40752533848,344551920,vqUohuCB,40798966026
nokia,94,2024-09-04 04-45-05,-31714,-110,40756254679,1125650773,sxjYGgEN,40784373373
nokia,12,2024-09-04 04-45-23,-32353,33,40709928383,775347868,UDkWjyrh,40742638354
nokia,12,2024-09-04 04-48-00,-21354,-126,40727469323,1289775068,wqelkJZx,40717655788
nokia,111,2024-09-04 04-48-42,-29896,-66,40718264121,-2003756655,qRbmAFAd,40767622410
nokia,23,2024-09-04 04-47-25,31411,15,40793840009,170306602,AhfkkSqW,40767493608
nokia,40,2024-09-04 04-48-50,-24831,-5,40756867456,433216365,WVrvJBwh,40772122689
nokia,13,2024-09-04 04-49-57,26864,90,40739601919,293233015,RtGDFHzq,40755377824
nokia,6,2024-09-04 04-49-41,-24213,73,40752881735,-1652515600,ugqZJYXR,40767399610
nokia,-8,2024-09-04 04-46-02,32434,-118,40701638721,245286164,AzZdcdco,40753181214
nokia,14,2024-09-04 04-45-10,-31384,-71,40769834352,-936815996,qpDyYbwL,40757041398
nokia,78,2024-09-04 04-45-14,-5048,-108,40724212256,-1964068435,iGnDOkdL,40740852229
nokia,-27,2024-09-04 04-49-10,-22554,-20,40795499630,1860120119,adazfQRr,40760609321
nokia,94,2024-09-04 04-48-21,30226,12,40719649325,2124545937,KNBiDbIZ,40747396374
nokia,30,2024-09-04 04-48-41,28858,-116,40764204765,1472847149,XxKgjVgY,40779987021
nokia,90,2024-09-04 04-45-15,8115,56,40740948271,1308383564,uGpGHnTm,40791611260
nokia,-20,2024-09-04 04-49-50,-15444,-62,40769496973,-1858823858,oIQktuqG,40759776190
nokia,-60,2024-09-04 04-46-47,-26736,-99,40782548422,1596413240,BXHuCFKK,40715136538
nokia,-108,2024-09-04 04-45-55,-12453,66,40734342008,512327318,zSadgMkF,40721820017
nokia,-11,2024-09-04 04-45-19,1216,124,40768178402,-1142805354,HnpKUMae,40708523003
nokia,80,2024-09-04 04-47-24,25005,91,40794359709,-1550597352,eRrqspEZ,40702414363
nokia,-53,2024-09-04 04-47-28,28489,62,40705745649,-1869203854,bUVqHTOj,40795072404
nokia,-82,2024-09-04 04-46-48,-12760,96,40784198538,2038636869,otJYsJhi,40745132368
nokia,-43,2024-09-04 04-45-35,27370,27,40716822044,180006307,AbIOZRav,40791029242
nokia,-99,2024-09-04 04-47-20,-3841,-5,40730997613,1376964002,fKCuSGwn,40753229796
nokia,-22,2024-09-04 04-46-05,1237,-126,40798093411,861527592,TeXYtRqB,40750375916
nokia,113,2024-09-04 04-45-07,-6210,18,40707386418,-611992316,wowTigSZ,40766497754
nokia,-19,2024-09-04 04-49-35,-3613,121,40781018346,-92671409,GuXnilXP,40735684411
nokia,102,2024-09-04 04-47-11,21324,-93,40715104146,1696748769,wzUtRwxt,40718867519
nokia,-13,2024-09-04 04-49-49,-3504,-30,40775398823,-1192668583,dtYAMnoB,40757543374
nokia,-117,2024-09-04 04-45-27,404,-114,40739298928,-1283337102,QtPrcUQi,40758956281
nokia,83,2024-09-04 04-49-14,14537,-102,40717576965,442249815,mwSAndPp,40772997642
nokia,-75,2024-09-04 04-49-28,19083,26,40745333853,1013328671,drRIEKph,40794653971
nokia,-57,2024-09-04 04-46-51,14683,-71,40707324254,-2044099913,fnULrFFG,40780788313
