src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,101,2024-09-04 04-51-49,-11397,24,40727453701,-1316501974,BNgqMTio,40705694029
nokia,10,2024-09-04 04-52-44,-19607,102,40747946438,1234868015,PFjPxGhG,40741978260
nokia,-37,2024-09-04 04-53-32,-11964,-127,40726089061,1439045753,OalmbMfO,40777589813
nokia,35,2024-09-04 04-54-42,-10588,-6,40702584136,-191381582,aXJJguIL,40700787813
nokia,38,2024-09-04 04-52-48,-9469,-78,40727949163,1390047892,oBRfCTFU,40739647831
nokia,-111,2024-09-04 04-54-37,9432,-13,40774091853,-1669276354,SPwSQDmo,40707678368
nokia,30,2024-09-04 04-53-16,24006,-81,40766579820,-1763549026,XkFBMLqo,40786967808
nokia,-111,2024-09-04 04-53-20,31052,-48,40746103738,-1761408116,TzLuvYYr,40786963608
nokia,-50,2024-09-04 04-51-40,1452,41,40771084722,2116678544,VXMnZAmd,40705568866
nokia,0,2024-09-04 04-53-09,-38,-31,40762149018,352268224,tpMFCYJr,40714033506
nokia,62,2024-09-04 04-53-53,-28509,98,40763446049,565116758,VQFznYgn,40726861878
nokia,-31,2024-09-04 04-52-01,-24535,-94,40757312995,-1777026792,TneFJmZB,40703777951
nokia,-69,2024-09-04 04-54-57,-24908,-42,40780388033,697220430,lsxKYzlq,40705561260
nokia,-56,2024-09-04 04-54-13,-31595,-74,40771597794,1797167925,sOrbglee,40730288951
nokia,-116,2024-09-04 04-51-55,-3936,-42,40758727824,-439493655,VZTpgaEL,40777675581
nokia,-27,2024-09-04 04-50-08,2834,122,40713405767,-475091162,nKLYmSnk,40740905291
nokia,-22,2024-09-04 04-53-16,-2885,3,40727342067,152916006,FOjspsEz,40749522888
nokia,-18,2024-09-04 04-53-22,-13400,66,40783031060,1655121071,xplnBxNn,40782701527
nokia,-16,2024-09-04 04-54-57,28061,-93,40757551993,-657749376,UaTXRrLj,40703668856
nokia,5,2024-09-04 04-50-23,-1050,110,40766673282,2103928094,KdtUUHTv,40725515253
nokia,-56,2024-09-04 04-52-58,3634,-44,40773751959,1166086119,YqPejEZN,40704594520
nokia,-56,2024-09-04 04-53-08,-29352,3,40704038368,-1183253327,nDMzHwkF,40758695400
nokia,-28,2024-09-04 04-53-00,-13422,-41,40769975589,150009924,QJzPqGEQ,40752287498
nokia,-90,2024-09-04 04-52-54,-32258,84,40754843845,-447851920,pJLCslaM,40722319463
nokia,-30,2024-09-04 04-53-01,-19313,-50,40712738524,705468992,pKwsNnMF,40752651513
nokia,-107,2024-09-04 04-54-20,20266,30,40763117681,1898036408,wLHCIhQO,40740055143
nokia,-3,2024-09-04 04-52-26,8801,83,40721948370,127042195,YUHqjimW,40766899824
nokia,59,2024-09-04 04-50-21,10784,73,40786963376,2049241182,ehSNhIWG,40721622519
nokia,58,2024-09-04 04-53-11,-2671,72,40719394503,827734232,mECcOXJS,40751689616
nokia,-20,2024-09-04 04-50-02,-14498,-74,40725468311,358559143,tWLgJaad,40740941875
nokia,-12,2024-09-04 04-53-58,14291,49,40708663952,1365616420,vSbrvpWs,40730679047
nokia,-121,2024-09-04 04-53-02,-17473,112,40763627611,-584904263,ilDLUwKo,40781165465
nokia,46,2024-09-04 04-52-36,-24679,46,40773868421,-1975316625,XcWyeYxs,40700791892
nokia,-47,2024-09-04 04-52-59,29160,-118,40789981805,-1138928460,CwtuTJHh,40712726881
nokia,21,2024-09-04 04-51-19,-18189,-14,40799603258,-1309070793,kPPfUFWY,40779712874
nokia,13,2024-09-04 04-54-42,-11126,96,40770474920,1588782568,EXGgQjYZ,40761685559
nokia,99,2024-09-04 04-53-38,-3453,77,40773685753,9236063,evPaiUSW,40716087184
nokia,-121,2024-09-04 04-52-55,17913,3,40793246993,1911520334,TiXlZVTR,40702429195
nokia,13,2024-09-04 04-53-11,3111,-48,40783702173,952429391,TSiNbCEi,40771912660
nokia,-57,2024-09-04 04-51-35,-12815,32,40792276442,-405315340,GQNrwrFw,40781371907
nokia,-2,2024-09-04 04-52-25,12172,65,40733394446,-2084386210,BHBgDXdT,40750034792
nokia,-71,2024-09-04 04-53-41,-207,-117,40769258476,536103143,RLsbaljG,40767272920
nokia,11,2024-09-04 04-53-49,-884,-48,40769490823,2061820973,kTZBdawJ,40743479510
nokia,-6,2024-09-04 04-50-19,6132,78,40745204859,281354897,EEBqtGpE,40709586684
nokia,81,2024-09-04 04-51-29,-11946,120,40748028721,-542787822,HNEjjyZr,40761290013
nokia,23,2024-09-04 04-52-52,4251,-111,40729010192,-576364656,UXhAMUyi,40757672281
nokia,-118,2024-09-04 04-54-30,25576,-1,40776625620,50633790,TiveyBwX,40720274672
nokia,11,2024-09-04 04-51-15,-31468,57,40756273703,1457368035,oepeeNbS,40784862321
nokia,55,2024-09-04 04-54-46,8680,-61,40751372603,44800961,REBwLPMU,40773412506
nokia,-26,2024-09-04 04-54-55,-15366,-40,40789289723,1914533299,mTpmbBGZ,40752337759
nokia,-89,2024-09-04 04-53-46,-25136,24,40784660331,314087419,XXJlAvLD,40718884591
nokia,3,2024-09-04 04-50-53,-18711,104,40704843139,-823942913,DWpdeoou,40742277039
nokia,-68,2024-09-04 04-53-11,509,104,40791565589,-620879659,klbsDjKw,40752134625
nokia,74,2024-09-04 04-53-35,-17323,-8,40762169657,875721421,ynZrycJe,40746485563
nokia,-65,2024-09-04 04-53-16,28964,52,40709845556,2057284235,sVrQDDzC,40717954089
nokia,-78,2024-09-04 04-53-28,-24058,78,40749994452,1998690573,HAayCJbw,40735226408
nokia,-95,2024-09-04 04-53-13,-30520,111,40732002981,1192698370,IqkJnKGZ,40770627836
