src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-115,2024-09-04 05-04-54,-22664,38,40711799895,1191644778,lGjNnleQ,40713596581
nokia,-102,2024-09-04 05-04-45,4354,30,40770609940,-1580815279,kxrsLhwW,40796798748
nokia,7,2024-09-04 05-04-32,28101,-74,40733050214,92137100,vLAAZLPF,40710136408
nokia,-47,2024-09-04 05-00-26,2087,55,40755406036,-692999063,qkdGfqks,40753694146
nokia,29,2024-09-04 05-01-19,-26829,11,40723829353,-361026263,FyEXIGRV,40709601559
nokia,-96,2024-09-04 05-04-01,-20591,-117,40718637805,-396476825,YdbhVdtM,40707483319
nokia,-71,2024-09-04 05-00-15,20077,-119,40773910352,83741374,JMIGozKb,40757329505
nokia,46,2024-09-04 05-02-04,-20474,-116,40714339900,385195435,vVViPIlS,40793163557
nokia,-15,2024-09-04 05-00-09,7907,-32,40777027179,1511149637,gpnXlJao,40794522272
nokia,-118,2024-09-04 05-02-38,-4360,86,40708867600,-1424600867,kFXUbdUV,40744739125
nokia,109,2024-09-04 05-03-53,19630,93,40719968284,1168903354,GKTPzIBz,40780582579
nokia,82,2024-09-04 05-02-03,-854,-4,40785408562,-124506793,QgOzwkxg,40769750928
nokia,-120,2024-09-04 05-04-51,24248,-84,40765323723,-1946075022,GJXZrAeX,40769069006
nokia,-12,2024-09-04 05-03-48,-30187,-115,40730808302,2047546199,JhyEcgyO,40791089363
nokia,-38,2024-09-04 05-01-21,-5965,63,40787742781,-112097159,EjzclJQX,40713496713
nokia,-45,2024-09-04 05-01-18,20514,73,40711631720,-1907258220,CuzawEDq,40778475640
nokia,74,2024-09-04 05-01-30,26713,-23,40798723032,-402396594,FwMEVaTh,40736313378
nokia,88,2024-09-04 05-02-56,-3827,45,40708942017,-1652427146,TuIOYozQ,40760334799
nokia,27,2024-09-04 05-00-51,-14106,-34,40716823974,-88885454,GAGLNxQz,40768598992
nokia,116,2024-09-04 05-04-06,-12671,-50,40708476669,1394175355,vLpMWnMi,40710375091
nokia,38,2024-09-04 05-02-02,-29567,62,40701849507,217887330,VMRGSKiu,40799545599
nokia,-72,2024-09-04 05-01-57,-964,1,40707722837,-974184821,fwUaiirM,40727272914
nokia,-25,2024-09-04 05-01-15,31419,17,40736046137,-6499428,ELHfEygv,40700758802
nokia,-50,2024-09-04 05-03-32,-19782,52,40703833855,294285306,TagtVSxe,40709225208
nokia,75,2024-09-04 05-03-58,-27266,80,40783015420,-535805562,KnptikCm,40754793637
nokia,-57,2024-09-04 05-02-42,-9778,94,40737899982,1407724868,vkdXVGaR,40755597197
nokia,114,2024-09-04 05-00-44,-4114,-58,40750311631,-1415106120,tdJNVSsZ,40736797794
nokia,-22,2024-09-04 05-01-36,19500,-107,40703488739,1471958682,raZeWIMk,40799812332
nokia,18,2024-09-04 05-02-19,21890,104,40798429311,-1197811175,URYvWaLW,40751314847
nokia,8,2024-09-04 05-02-49,23163,120,40782748623,-1406775673,mRwADUDY,40738364671
nokia,-109,2024-09-04 05-00-43,-8385,-42,40760963062,170242253,hMdzdNKO,40755438024
nokia,95,2024-09-04 05-04-34,-5279,-80,40795353474,1196676397,zYfLZFrn,40725455574
nokia,37,2024-09-04 05-04-21,8015,91,40761554974,438018424,NGEclqTc,40705467232
