src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,117,2024-09-04 05-39-42,-27266,-45,40761877392,455090170,dsJxlBno,40723235654
nokia,12,2024-09-04 05-39-17,13886,-4,40715418488,1686195823,AJTQWeTO,40799622687
nokia,75,2024-09-04 05-37-19,-13121,-58,40751432628,-1096712702,ATvjZFaG,40708374753
nokia,-117,2024-09-04 05-39-24,24979,73,40768282776,-628552089,qVPABHPG,40757459528
nokia,73,2024-09-04 05-35-34,9081,-4,40729007766,-1138171241,AgrVswWq,40766838711
nokia,-68,2024-09-04 05-38-28,-15832,-9,40736833576,558655323,LnGsBrso,40719642552
nokia,-50,2024-09-04 05-36-19,8427,19,40772437808,-1362163304,BeOmRvxb,40757230681
nokia,-53,2024-09-04 05-38-19,-5929,-32,40712129367,727750501,khqIqCJf,40710322337
nokia,-87,2024-09-04 05-37-37,25648,21,40782160672,500605703,YwUPLXXk,40774994479
nokia,-66,2024-09-04 05-38-13,-19012,-67,40759510543,1183846041,roolkOIm,40764584752
nokia,117,2024-09-04 05-38-58,31500,-62,40789897646,1540901701,NFqNBouY,40717240918
nokia,30,2024-09-04 05-36-16,957,76,40765811644,1410511016,wMJoQIDU,40726554338
nokia,12,2024-09-04 05-35-14,-17756,-21,40775003646,13329607,htZlrRHa,40753010955
nokia,-56,2024-09-04 05-37-55,-24982,-33,40784410558,-1472593973,nHdhAUTi,40750501292
nokia,-84,2024-09-04 05-39-28,465,107,40786453435,-517715437,HbDfYtvy,40757921339
nokia,113,2024-09-04 05-39-00,-17772,14,40790197902,-1162100839,shJHoveO,40770069640
nokia,-53,2024-09-04 05-37-31,9448,96,40790723302,549679026,zXsmCMAB,40778477974
nokia,-115,2024-09-04 05-38-56,-805,96,40702710985,1005117046,tHpiGRvq,40709588614
nokia,40,2024-09-04 05-35-01,-18932,-43,40753990827,1238707910,xCmHbxtw,40747579074
nokia,74,2024-09-04 05-36-29,-21673,-114,40749240063,-147428397,ftEeUfXm,40716483751
nokia,96,2024-09-04 05-39-20,10238,-109,40729837249,177343352,eVRbSGDh,40770597861
nokia,34,2024-09-04 05-39-59,-12724,-23,40795968086,-1814304958,FVmcSjwD,40713361292
nokia,-105,2024-09-04 05-35-12,-22095,30,40746651626,2114681667,AzripApe,40760343229
nokia,30,2024-09-04 05-38-33,-9758,69,40736132003,-1136528089,LgkBjKEe,40750619862
nokia,-33,2024-09-04 05-38-35,17200,-4,40741421400,-651056776,GnZkKjJy,40770641620
nokia,86,2024-09-04 05-39-58,-12838,126,40796135641,1248725949,FdVtsJGu,40754760980
nokia,-78,2024-09-04 05-39-05,25061,24,40711391519,-2038727741,nGiOaViJ,40724397023
nokia,115,2024-09-04 05-35-50,7450,-45,40790446852,2013688953,glQSJJUM,40741846868
nokia,-89,2024-09-04 05-35-18,30733,37,40769148622,-176941034,LokphfHv,40736258151
nokia,11,2024-09-04 05-37-24,6736,85,40734321206,2031588864,qGMFxryT,40707087701
nokia,32,2024-09-04 05-36-14,25838,-105,40776938042,578888878,Xmelgodg,40765883351
nokia,-108,2024-09-04 05-40-00,-2666,-31,40770453573,1749078872,ngvkcDFf,40713761224
nokia,-113,2024-09-04 05-38-42,-2539,-99,40703493527,737357784,mNvHkLQG,40774871500
nokia,-88,2024-09-04 05-36-11,24426,-5,40705800979,-141160188,bdHLpAtw,40708770312
nokia,57,2024-09-04 05-35-48,-32259,-76,40717582990,418128272,okcaCHKe,40715060330
nokia,-123,2024-09-04 05-38-31,2062,5,40774534787,84069860,QOsnJNSb,40708525613
nokia,94,2024-09-04 05-38-38,22789,-6,40721798075,-728930910,nVpyaZBt,40734685811
nokia,81,2024-09-04 05-38-54,14808,-8,40753398267,411669108,OKYSJXMJ,40754764176
nokia,-76,2024-09-04 05-36-50,-20865,-30,40744891611,1817783128,VpwRFaoT,40737227967
nokia,7,2024-09-04 05-36-34,-17326,118,40774581355,779037030,KGFtDCHk,40746291296
nokia,-29,2024-09-04 05-39-40,9378,-45,40764584712,601060148,ywNbKalj,40760127119
nokia,26,2024-09-04 05-39-24,14224,65,40716914219,1146678132,cCaSLeiz,40739406988
nokia,93,2024-09-04 05-38-09,17615,97,40745386843,-1746941370,JwnYfGdy,40728033646
nokia,-30,2024-09-04 05-37-15,29875,70,40788337871,1918774558,iFkzOsxe,40778799529
nokia,39,2024-09-04 05-38-31,13494,-6,40793903977,1093567916,OfzGSlKq,40788741158
nokia,-96,2024-09-04 05-38-36,15494,-118,40735693253,787461401,PsFyCJaI,40706922632
nokia,-120,2024-09-04 05-39-55,-29883,74,40722556128,1029575514,xnJLETUO,40791685130
nokia,-44,2024-09-04 05-35-31,-4802,-80,40773977057,-1072273849,MQXQHjxh,40748804628
nokia,-83,2024-09-04 05-39-08,32239,83,40712115533,35113356,TfEGpLqW,40706281355
nokia,97,2024-09-04 05-40-01,13296,42,40764594474,1033152859,TlrHhopP,40712237753
nokia,102,2024-09-04 05-38-40,-24570,-57,40706820405,-857451745,udDMOKkR,40752188012
nokia,-20,2024-09-04 05-38-41,5781,69,40768137244,487622432,wYOTaSYh,40793423464
nokia,28,2024-09-04 05-36-27,-10548,52,40732749836,109328670,EDYNkysl,40733868085
nokia,86,2024-09-04 05-39-53,-10678,15,40745865833,523756117,rtepFoeq,40794321533
nokia,121,2024-09-04 05-38-42,30122,-10,40765939329,623668831,WBxbMHdY,40785479619
nokia,10,2024-09-04 05-35-40,-28130,-13,40711720486,-240787893,HoqQVeXu,40784197903
nokia,-53,2024-09-04 05-36-08,5232,-61,40720674560,929534632,nsFGLHMv,40748256295
nokia,26,2024-09-04 05-39-17,-30173,112,40709944194,-234791019,eMUshDxp,40752001762
nokia,-36,2024-09-04 05-36-30,16833,43,40746389561,-1764733164,gZWqSxeT,40709925555
nokia,22,2024-09-04 05-35-37,-7216,111,40727173765,-1371370812,wxsfzAWG,40717154466
nokia,-64,2024-09-04 05-38-15,17539,-7,40790029903,436134614,cpDlogwu,40783779862
nokia,28,2024-09-04 05-39-48,-1816,97,40722229839,1815778465,bkrIQJzj,40736740015
nokia,-37,2024-09-04 05-36-47,4587,-46,40720592225,-2030757502,VWNMPbRb,40795112860
nokia,-39,2024-09-04 05-39-26,26335,57,40781002926,-203546930,tfwPQPsB,40794132417
nokia,-76,2024-09-04 05-38-37,25252,-88,40707404452,1651054272,BkATttVV,40799335683
nokia,-43,2024-09-04 05-38-30,14894,64,40717611913,1535903753,EpoAskFR,40759511701
nokia,115,2024-09-04 05-37-07,-6074,32,40740243437,532527345,wOFfgDXA,40790844288
nokia,60,2024-09-04 05-35-36,-16227,-32,40757403448,-1643572333,JGFnrzqU,40757168990
nokia,17,2024-09-04 05-38-59,-19125,-48,40756265016,-654691193,yXrumlsP,40739019855
nokia,23,2024-09-04 05-36-11,9769,78,40705060783,2129319898,OqQJrotu,40709136396
nokia,117,2024-09-04 05-36-24,28235,56,40705945196,743881367,VdgXGyMp,40776909322
nokia,53,2024-09-04 05-36-33,21095,-56,40718223684,-648568534,Abdtxxmv,40703194301
nokia,-11,2024-09-04 05-35-48,17146,111,40717829613,477222483,VNXKsKER,40788155457
nokia,56,2024-09-04 05-39-21,11599,51,40719369738,128286046,ShHxlLCk,40703441005
nokia,58,2024-09-04 05-37-24,27213,32,40754275650,132175812,juhosQxN,40795743000
nokia,-60,2024-09-04 05-37-23,31712,-105,40760386132,-1319652378,VObLJQsV,40748518950
nokia,-123,2024-09-04 05-38-54,4193,15,40723201399,-273362199,bsSLvedt,40782456955
nokia,-63,2024-09-04 05-36-34,-12759,-113,40758027903,-2022751968,ubBUDbRM,40717686076
nokia,23,2024-09-04 05-38-11,17141,-36,40780342540,-2113587938,ZatXYxvi,40753434766
nokia,-34,2024-09-04 05-38-42,28199,93,40748273554,-909024168,jkSYyJaz,40708826539
nokia,33,2024-09-04 05-36-45,24593,-44,40773597209,221754697,hQuvMPLm,40760804772
nokia,-2,2024-09-04 05-38-56,-1906,64,40782693088,1188965008,HugUxcKS,40771872107
nokia,-98,2024-09-04 05-35-12,-17030,114,40721646846,-68387906,EQUcDAut,40708620998
nokia,-39,2024-09-04 05-36-46,1518,-28,40797112310,-246576084,VIFLVSUP,40701801904
nokia,101,2024-09-04 05-38-12,-12489,-12,40736793134,7156231,XIWBJjem,40715558813
nokia,-11,2024-09-04 05-36-41,22529,-12,40790664726,-545053202,XkFNIrEA,40724037126
nokia,65,2024-09-04 05-36-01,15115,123,40713250263,-1852708688,LCAGoAlC,40796662222
nokia,84,2024-09-04 05-39-01,18293,-100,40746411777,1609213576,mRmSIucW,40722240683
nokia,4,2024-09-04 05-38-28,20184,-56,40787994775,1317744907,IOVDEyFq,40794579718
nokia,108,2024-09-04 05-37-54,-17176,19,40788728700,1808913934,DvMiSVzD,40711036959
nokia,14,2024-09-04 05-35-59,-13437,54,40794012637,-284136399,QOmuDKeU,40718348540
nokia,72,2024-09-04 05-37-55,28379,-52,40726015767,-326571314,aQMKjsrU,40719533654
nokia,18,2024-09-04 05-37-04,24164,-93,40763272614,1758529198,qFtVuqtW,40795869797
nokia,28,2024-09-04 05-38-07,-27054,-19,40723223070,-1270052311,nXFHfwES,40767201729
nokia,88,2024-09-04 05-35-45,21671,95,40771181687,1305418077,KsBPBsjl,40723240655
